date, min_price, max_price
1402/03/03, 6320, 6460
1402/03/02, 6310, 6450
1402/03/01, 6360, 6580
1402/02/31, 6320, 6570
1402/02/30, 6380, 6520
1402/02/25, 6590, 6760
1402/02/24, 6460, 6790
1402/02/23, 6200, 6610
1402/02/20, 6420, 6820
1402/02/19, 6170, 6800
1402/02/18, 6400, 6870
1402/02/17, 6730, 7250
1402/02/16, 7090, 7360
1402/02/13, 7140, 7340
1402/02/12, 7120, 7370
1402/02/11, 6890, 7170
1402/02/10, 6880, 7290
1402/02/09, 6670, 6840
1402/02/06, 6250, 6500
1402/02/05, 6240, 6490
1402/02/04, 6210, 6340
1402/01/30, 6230, 6410
1402/01/29, 6260, 6500
1402/01/28, 6270, 6460
1402/01/27, 6250, 6420
1402/01/26, 6260, 6410
1402/01/22, 6130, 6320
1402/01/21, 6110, 6490
1402/01/20, 6350, 6570
1402/01/19, 6180, 6630
1402/01/16, 6100, 6280
1402/01/15, 6160, 6410
1402/01/14, 6000, 6300
1402/01/09, 6250, 6400
1402/01/08, 6210, 6460
1402/01/07, 6050, 6480
1402/01/06, 6110, 6570
1402/01/05, 5910, 6300
1401/12/28, 5770, 6060
1401/12/22, 7880, 8100
1401/12/21, 7780, 8060
1401/12/20, 8100, 8490
1401/12/16, 8010, 8490
1401/12/15, 7760, 8070
1401/12/14, 8000, 8350
1401/12/13, 8020, 8230
1401/12/10, 8200, 8560
1401/12/09, 8270, 8700
1401/12/08, 8070, 8750
1401/12/07, 8220, 8510
1401/12/06, 7960, 7960
1401/12/03, 7250, 7700
1401/12/02, 7280, 7340
1401/12/01, 6700, 6860
1401/11/30, 6290, 6580
1401/11/26, 6210, 6330
1401/11/25, 6240, 6350
1401/11/24, 6260, 6410
1401/11/23, 6200, 6300
1401/11/19, 6200, 6380
1401/11/18, 6050, 6270
1401/11/17, 5940, 6080
1401/11/16, 5890, 6000
1401/11/12, 5960, 6030
1401/11/11, 5910, 6100
1401/11/10, 5680, 6010
1401/11/09, 5790, 6020
1401/11/08, 6020, 6180
1401/11/05, 6030, 6200
1401/11/04, 6140, 6270
1401/11/03, 6110, 6380
1401/11/02, 6110, 6290
1401/11/01, 6100, 6310
1401/10/28, 6350, 6460
1401/10/27, 6360, 6560
1401/10/26, 6380, 6560
1401/10/24, 6060, 6470
1401/10/21, 6300, 6530
1401/10/20, 6380, 6550
1401/10/19, 6010, 6290
1401/10/18, 5960, 6220
1401/10/17, 5800, 5990
1401/10/14, 5760, 5930
1401/10/13, 5850, 6050
1401/10/12, 5940, 6030
1401/10/11, 5700, 6090
1401/10/10, 5850, 6250
1401/10/07, 6100, 6290
1401/10/05, 5760, 5940
1401/10/04, 5830, 6050
1401/10/03, 5570, 5910
1401/09/30, 5450, 5610
1401/09/29, 5490, 5650
1401/09/28, 5500, 5740
1401/09/27, 5470, 5720
1401/09/26, 5320, 5460
1401/09/23, 5360, 5647
1401/09/22, 5051, 5312
1401/09/21, 4800, 5030
1401/09/20, 4759, 4880
1401/09/19, 4706, 4819
1401/09/16, 4815, 4920
1401/09/15, 4921, 4963
1401/09/14, 4929, 5000
1401/09/13, 4933, 5020
1401/09/12, 4949, 5040
1401/09/07, 4910, 4945
1401/09/06, 4871, 4970
1401/09/05, 4880, 5000
1401/09/02, 4900, 4970
1401/09/01, 4910, 4990
1401/08/30, 4920, 5010
1401/08/29, 4850, 5050
1401/08/28, 4820, 5040
1401/08/25, 5010, 5110
1401/08/24, 5000, 5100
1401/08/23, 4920, 5110
1401/08/22, 5020, 5160
1401/08/21, 5100, 5340
1401/08/18, 5021, 5260
1401/08/17, 5034, 5347
1401/08/16, 4950, 5249
1401/08/15, 4850, 5050
1401/08/14, 4660, 4932
1401/08/11, 4522, 4669
1401/08/10, 4560, 4645
1401/08/09, 4517, 4590
1401/08/08, 4365, 4550
1401/08/07, 4319, 4404
1401/08/04, 4214, 4444
1401/08/03, 4378, 4493
1401/08/02, 4416, 4640
1401/08/01, 4643, 4855
1401/07/30, 4859, 4910
1401/07/27, 4880, 4960
1401/07/26, 4910, 5010
1401/07/25, 4910, 5000
1401/07/24, 4930, 5040
1401/07/23, 4940, 5080
1401/07/20, 5018, 5090
1401/07/19, 4904, 5060
1401/07/18, 4879, 4920
1401/07/17, 4880, 4920
1401/07/16, 4899, 4980
1401/07/12, 4900, 4960
1401/07/11, 4900, 4980
1401/07/10, 4870, 4970
1401/07/09, 4900, 5060
1401/07/06, 4950, 5110
1401/07/04, 4870, 5020
1401/07/02, 4860, 4990
1401/06/30, 4990, 5080
1401/06/29, 5060, 5110
1401/06/28, 5080, 5120
1401/06/27, 5080, 5190
1401/06/23, 5120, 5250
1401/06/22, 5120, 5230
1401/06/21, 5050, 5170
1401/06/20, 5020, 5060
1401/06/19, 4990, 5070
1401/06/16, 5020, 5090
1401/06/15, 5020, 5100
1401/06/14, 5050, 5150
1401/06/13, 5070, 5180
1401/06/12, 5020, 5170
1401/06/09, 5120, 5190
1401/06/08, 5130, 5280
1401/06/07, 5200, 5280
1401/06/06, 5240, 5350
1401/06/05, 5300, 5380
1401/06/02, 5280, 5370
1401/06/01, 5220, 5340
1401/05/31, 5240, 5420
1401/05/30, 5400, 5450
1401/05/26, 5500, 5650
1401/05/25, 5510, 5730
1401/05/24, 5600, 5750
1401/05/23, 5650, 5850
1401/05/22, 5500, 5850
1401/05/19, 5480, 5600
1401/05/18, 5390, 5500
1401/05/09, 10690, 11370
1401/05/08, 10840, 11170
1401/05/05, 10680, 11090
1401/05/04, 10600, 10760
1401/05/03, 10500, 10930
1401/05/02, 10710, 10990
1401/04/26, 10910, 11090
1401/04/25, 10910, 11370
1401/04/22, 11200, 11500
1401/04/21, 11200, 11460
1401/04/20, 11210, 11660
1401/04/18, 10950, 11300
1401/04/15, 10930, 11220
1401/04/14, 10790, 11100
1401/04/13, 10760, 10900
1401/04/12, 10630, 10840
1401/04/11, 10660, 10930
1401/04/08, 10900, 10970
1401/04/07, 10880, 11050
1401/04/06, 10780, 10950
1401/04/05, 10750, 11120
1401/04/04, 11070, 11320
1401/04/01, 11310, 11550
1401/03/31, 11460, 11610
1401/03/30, 11580, 11740
1401/03/29, 11560, 11740
1401/03/28, 11550, 11750
1401/03/25, 11580, 11990
1401/03/24, 11640, 11910
1401/03/23, 11600, 12100
1401/03/22, 11200, 11700
1401/03/21, 11150, 11340
1401/03/18, 11250, 11360
1401/03/17, 11150, 11340
1401/03/16, 11020, 11480
1401/03/10, 11600, 11900
1401/03/09, 11680, 11930
1401/03/08, 11580, 11890
1401/03/07, 11750, 12250
1401/03/04, 11950, 12280
1401/03/03, 12180, 12390
1401/03/02, 12270, 12580
1401/03/01, 12400, 12600
1401/02/31, 12250, 12660
1401/02/28, 12510, 12830
1401/02/27, 12550, 12890
1401/02/26, 12090, 12620
1401/02/25, 11910, 12240
1401/02/24, 12050, 12470
1401/02/21, 11850, 12240
1401/02/20, 11820, 11970
1401/02/19, 11780, 12180
1401/02/18, 11820, 12180
1401/02/17, 11750, 11970
1401/02/12, 11740, 11880
1401/02/11, 11790, 11990
1401/02/10, 11900, 12070
1401/02/07, 11980, 12150
1401/02/06, 12010, 12200
1401/02/05, 11820, 12200
1401/02/04, 11790, 12240
1401/01/31, 12000, 12140
1401/01/28, 11800, 12070
1401/01/27, 11870, 12080
1401/01/24, 11570, 11970
1401/01/23, 11650, 11930
1401/01/22, 12210, 12330
1401/01/21, 12060, 12330
1401/01/20, 11670, 12100
1401/01/17, 11940, 12370
1401/01/16, 12010, 12420
1401/01/15, 12020, 12670
1401/01/14, 11650, 12190
1401/01/10, 11310, 11700
1401/01/09, 11410, 11850
1401/01/08, 11620, 11940
1401/01/07, 11460, 11850
1401/01/06, 11100, 11480
1400/12/28, 10770, 11060
1400/12/25, 10500, 10750
1400/12/24, 10450, 10590
1400/12/23, 10460, 10580
1400/12/22, 10310, 10630
1400/12/21, 10360, 10610
1400/12/18, 10470, 10790
1400/12/17, 10420, 10650
1400/12/16, 10560, 10960
1400/12/15, 10320, 10670
1400/12/14, 10070, 10360
1400/12/11, 10020, 10180
1400/12/09, 10010, 10210
1400/12/08, 10000, 10190
1400/12/07, 10070, 10410
1400/12/04, 10390, 10470
1400/12/03, 10330, 10460
1400/12/02, 10260, 10490
1400/12/01, 10470, 10510
1400/11/30, 10470, 10500
1400/11/27, 10470, 10610
1400/11/25, 10300, 10580
1400/11/24, 10100, 10260
1400/11/23, 10140, 10500
1400/11/20, 10080, 10490
1400/11/19, 10210, 10500
1400/11/18, 10340, 10540
1400/11/17, 10310, 10820
1400/11/16, 10790, 10840
1400/11/13, 10760, 10830
1400/11/12, 10740, 10850
1400/11/11, 10680, 10900
1400/11/10, 10520, 10800
1400/11/09, 10100, 10410
1400/11/06, 9720, 9950
1400/11/05, 9100, 9650
1400/11/04, 9430, 9760
1400/11/03, 9550, 9900
1400/11/02, 9840, 10100
1400/10/29, 9580, 9760
1400/10/28, 9440, 9830
1400/10/27, 9820, 10100
1400/10/26, 9890, 10100
1400/10/25, 9970, 10200
1400/10/22, 10010, 10180
1400/10/21, 10040, 10270
1400/10/20, 9960, 10180
1400/10/19, 9970, 10300
1400/10/18, 10240, 10560
1400/10/15, 10330, 10490
1400/10/14, 10360, 10500
1400/10/13, 10490, 10720
1400/10/12, 10480, 10680
1400/10/11, 10450, 10680
1400/10/08, 10680, 11070
1400/10/07, 10820, 11090
1400/10/06, 10870, 11240
1400/10/05, 10450, 10950
1400/10/04, 10580, 11060
1400/10/01, 10210, 10620
1400/09/30, 9960, 10230
1400/09/29, 9830, 10060
1400/09/28, 9590, 9990
1400/09/27, 9880, 10070
1400/09/24, 9770, 10100
1400/09/23, 9630, 10020
1400/09/22, 9620, 10190
1400/09/21, 10050, 10300
1400/09/20, 10320, 10600
1400/09/17, 10260, 10650
1400/09/16, 10130, 10370
1400/09/15, 10160, 10380
