date, min_price, max_price
1402/03/03, 19700, 20330
1402/03/02, 19200, 20490
1402/03/01, 19300, 19900
1402/02/31, 19230, 19900
1402/02/30, 19430, 20510
1402/02/27, 18600, 20100
1402/02/25, 18530, 19150
1402/02/24, 18440, 19500
1402/02/23, 18380, 19000
1402/02/20, 18780, 19550
1402/02/19, 17910, 19500
1402/02/18, 18410, 19270
1402/02/17, 19210, 20570
1402/02/16, 20300, 21510
1402/02/13, 20510, 21900
1402/02/12, 20560, 22000
1402/02/11, 20030, 21310
1402/02/10, 19200, 19960
1402/02/09, 17680, 18670
1402/02/06, 17310, 17620
1402/02/05, 16920, 17430
1402/02/04, 16780, 17260
1402/01/30, 16670, 17250
1402/01/29, 16510, 17100
1402/01/28, 16430, 16890
1402/01/27, 16620, 17190
1402/01/26, 16800, 17170
1402/01/22, 16580, 17130
1402/01/21, 16230, 17390
1402/01/20, 17140, 18000
1402/01/19, 16790, 18000
1402/01/16, 16700, 17060
1402/01/15, 16530, 17220
1402/01/14, 16510, 17490
1402/01/09, 16560, 17550
1402/01/08, 16540, 16950
1402/01/07, 16150, 16650
1402/01/06, 16190, 16790
1402/01/05, 16510, 17300
1401/12/28, 16550, 18100
1401/12/27, 16110, 16930
1401/12/24, 15240, 16000
1401/12/23, 14900, 15240
1401/12/22, 14220, 15050
1401/12/21, 14170, 15140
1401/12/20, 14950, 15700
1401/12/16, 14650, 15640
1401/12/15, 14330, 14740
1401/12/14, 14500, 14990
1401/12/13, 14400, 14910
1401/12/10, 14510, 15400
1401/12/09, 15180, 16000
1401/12/08, 14040, 15900
1401/12/07, 14300, 15080
1401/12/06, 13830, 14250
1401/12/03, 13130, 13680
1401/12/02, 12900, 13260
1401/12/01, 12000, 12410
1401/11/30, 11000, 11690
1401/11/26, 10670, 11010
1401/11/25, 10910, 11110
1401/11/24, 10700, 11110
1401/11/23, 10760, 11170
1401/11/19, 10940, 11110
1401/11/18, 10690, 11310
1401/11/17, 10360, 10890
1401/11/16, 10490, 10960
1401/11/12, 10520, 10960
1401/11/11, 10670, 10930
1401/11/10, 10270, 10900
1401/11/09, 10270, 10940
1401/11/08, 10660, 11180
1401/11/05, 10670, 11500
1401/11/04, 11090, 11500
1401/11/03, 10780, 11410
1401/11/02, 10660, 11100
1401/11/01, 10400, 10850
1401/10/28, 10350, 10850
1401/10/27, 10300, 11000
1401/10/26, 10450, 10980
1401/10/24, 10230, 10900
1401/10/21, 10250, 10900
1401/10/20, 10420, 10920
1401/10/19, 9650, 10380
1401/10/18, 9510, 10100
1401/10/17, 9200, 9680
1401/10/14, 9110, 9780
1401/10/13, 9360, 10000
1401/10/12, 9580, 9950
1401/10/11, 9170, 9800
1401/10/10, 9690, 10330
1401/10/07, 9740, 10550
1401/10/05, 9510, 9980
1401/10/04, 9760, 10050
1401/10/03, 9110, 10000
1401/09/30, 9090, 9400
1401/09/29, 9070, 9380
1401/09/28, 9160, 9600
1401/09/27, 9300, 9770
1401/09/26, 9060, 9490
1401/09/23, 9000, 9560
1401/09/22, 8530, 8970
1401/09/21, 8070, 8740
1401/09/20, 8050, 8220
1401/09/19, 7990, 8230
1401/09/16, 7990, 8370
1401/09/15, 8270, 8470
1401/09/14, 8150, 8400
1401/09/13, 7920, 8100
1401/09/12, 7860, 8050
1401/09/09, 7910, 8270
1401/09/08, 8060, 8270
1401/09/07, 7890, 8140
1401/09/06, 7660, 8130
1401/09/05, 7510, 7950
1401/09/02, 7820, 8000
1401/09/01, 7750, 8050
1401/08/30, 7720, 8100
1401/08/29, 7500, 7750
1401/08/28, 7460, 7790
1401/08/25, 7570, 7800
1401/08/24, 7610, 7780
1401/08/23, 7500, 7800
1401/08/22, 7530, 7880
1401/08/21, 7450, 7790
1401/08/18, 7300, 7580
1401/08/17, 7330, 7690
1401/08/16, 7300, 7660
1401/08/15, 7150, 7380
1401/08/14, 6980, 7260
1401/08/11, 6780, 6950
1401/08/10, 6700, 6940
1401/08/09, 6650, 6860
1401/08/08, 6580, 6880
1401/08/07, 6550, 6870
1401/08/04, 6390, 6840
1401/08/03, 6610, 6810
1401/08/02, 6600, 6870
1401/08/01, 6640, 6750
1401/07/30, 6750, 6900
1401/07/27, 6760, 6910
1401/07/26, 6760, 6950
1401/07/25, 6730, 6850
1401/07/24, 6750, 6830
1401/07/23, 6750, 6980
1401/07/20, 6820, 6980
1401/07/19, 6740, 6950
1401/07/18, 6770, 6930
1401/07/17, 6720, 6920
1401/07/16, 6720, 6940
1401/07/12, 6770, 6960
1401/07/11, 6750, 6990
1401/07/10, 6650, 6990
1401/07/09, 6800, 7000
