date, min_price, max_price
1402/03/03, 8110, 8600
1402/03/02, 8220, 8620
1402/03/01, 8210, 8570
1402/02/31, 8170, 8750
1402/02/30, 8320, 8900
1402/02/27, 7850, 8390
1402/02/25, 7610, 7880
1402/02/24, 7120, 7450
1402/02/23, 6890, 7390
1402/02/20, 7310, 8100
1402/02/19, 7790, 8180
1402/02/18, 8370, 8370
1402/02/17, 8920, 9440
1402/02/16, 9200, 9900
1402/02/13, 9250, 9750
1402/02/12, 9540, 10290
1402/02/11, 9450, 10290
1402/02/10, 9200, 9820
1402/02/09, 8790, 9400
1402/02/06, 8610, 9100
1402/02/05, 8890, 9820
1402/02/04, 8600, 9630
1402/01/30, 8330, 9130
1402/01/28, 7950, 8890
1402/01/27, 8060, 8320
1402/01/26, 7780, 7780
1402/01/22, 6800, 7600
1402/01/21, 6670, 7310
1402/01/20, 6550, 7130
1402/01/19, 6760, 7050
1402/01/16, 6030, 6680
1402/01/15, 5940, 6290
1402/01/14, 5560, 6050
1402/01/09, 5770, 5990
1402/01/08, 5850, 6040
1402/01/07, 5500, 5890
1402/01/06, 5400, 5840
1402/01/05, 5610, 5780
1401/12/28, 5530, 5940
1401/12/27, 5450, 5930
1401/12/24, 5460, 5670
1401/12/23, 5320, 5550
1401/12/22, 5340, 5610
1401/12/21, 5300, 5550
1401/12/20, 5400, 5800
1401/12/16, 5210, 5540
1401/12/15, 5100, 5360
1401/12/14, 5120, 5390
1401/12/13, 5100, 5360
1401/12/10, 5150, 5640
1401/12/09, 5370, 5700
1401/12/08, 5460, 5790
1401/12/07, 5600, 6100
1401/12/06, 5440, 5720
1401/12/03, 5200, 5470
1401/12/02, 5300, 5619
1401/12/01, 5050, 5285
1401/11/30, 4832, 4990
1401/11/26, 4751, 4960
1401/11/25, 4761, 4950
1401/11/24, 4872, 5060
1401/11/23, 4836, 5190
1401/11/19, 4820, 5060
1401/11/18, 4940, 5250
1401/11/17, 4850, 5150
1401/11/16, 5030, 5420
1401/11/12, 5140, 5390
1401/11/11, 5170, 5650
1401/11/10, 5100, 5630
1401/11/09, 5380, 5660
1401/11/08, 5760, 6190
1401/11/05, 5946, 6650
1401/11/04, 6393, 6393
1401/11/03, 5975, 5975
1401/11/02, 5405, 5598
1401/11/01, 5100, 5400
1401/10/20, 9300, 9900
1401/10/19, 9100, 9600
1401/10/18, 9030, 9340
1401/10/17, 8200, 8950
1401/10/14, 8190, 8650
1401/10/13, 8300, 8840
1401/10/12, 8260, 8630
1401/10/11, 8090, 8600
1401/10/05, 8510, 8860
1401/10/04, 8700, 9110
1401/10/03, 8510, 9000
1401/09/30, 8350, 8690
1401/09/29, 8330, 8870
1401/09/28, 8110, 8660
1401/09/27, 7940, 8350
1401/09/26, 7800, 8180
1401/09/23, 7720, 8130
1401/09/22, 7400, 7880
1401/09/21, 7260, 7480
1401/09/20, 7250, 7560
1401/09/19, 7200, 7700
1401/09/16, 7200, 7500
1401/09/15, 7210, 7500
1401/09/14, 7100, 7550
1401/09/09, 7240, 7400
1401/09/08, 7230, 7500
1401/09/07, 7300, 7640
1401/09/06, 7100, 7500
1401/09/05, 7160, 7340
1401/09/02, 7170, 7390
1401/09/01, 7000, 7360
1401/08/30, 7050, 7340
1401/08/29, 7050, 7370
1401/08/28, 6940, 7380
1401/08/25, 7350, 7730
1401/08/24, 7410, 7730
1401/08/23, 7250, 7810
1401/08/22, 7500, 7780
1401/08/21, 7530, 8080
1401/08/18, 7230, 7860
1401/08/17, 7520, 7900
1401/08/16, 7200, 7720
1401/08/15, 7070, 7530
1401/08/14, 6730, 7200
1401/08/11, 6500, 6850
1401/08/10, 6650, 6930
1401/08/09, 6210, 6620
1401/08/08, 6050, 6450
1401/08/07, 6200, 6550
1401/08/04, 6380, 6890
1401/08/03, 6600, 7100
1401/08/02, 6920, 7100
1401/08/01, 6980, 7140
1401/07/30, 7020, 7300
1401/07/27, 7050, 7310
1401/07/26, 7160, 7390
1401/07/25, 7020, 7200
1401/07/24, 6960, 7250
1401/07/23, 7000, 7770
1401/07/20, 7400, 7600
1401/07/19, 7090, 7500
1401/07/18, 7010, 7280
1401/07/17, 7040, 7480
1401/07/16, 7320, 7840
1401/07/12, 7400, 7900
1401/07/11, 7260, 7620
1401/07/10, 6930, 7540
1401/07/09, 7290, 7890
1401/07/06, 7570, 7980
1401/07/04, 7300, 7950
1401/07/02, 7630, 8370
1401/06/30, 7930, 8500
1401/06/29, 8270, 8650
1401/06/28, 8190, 8440
1401/06/27, 8270, 8580
1401/06/23, 8470, 8900
1401/06/22, 8730, 8910
1401/06/21, 8610, 8940
1401/06/20, 8680, 9220
1401/06/19, 8750, 9190
1401/06/16, 8500, 8980
1401/06/15, 8300, 8550
1401/06/14, 8370, 8740
1401/06/13, 8420, 8880
1401/06/12, 8500, 8700
1401/06/09, 8640, 8950
1401/06/08, 8730, 9090
1401/06/07, 8620, 9090
1401/06/06, 8590, 8980
1401/06/05, 8710, 9030
1401/06/02, 8880, 9440
1401/06/01, 8750, 9150
1401/05/31, 8270, 8890
1401/05/30, 8200, 8610
