date, min_price, max_price
1402/03/03, 54510, 58500
1402/03/02, 53220, 56520
1402/02/25, 54100, 58000
1402/02/24, 52570, 57900
1402/02/23, 55140, 58890
1402/02/20, 56230, 62000
1402/02/19, 57520, 62710
1402/02/18, 60430, 62000
1402/02/17, 58900, 65080
1402/02/16, 60500, 62000
1402/02/13, 59050, 59050
1402/02/12, 56240, 56240
1402/02/09, 53000, 53570
1402/02/06, 47930, 52040
1402/02/05, 47950, 50460
1402/02/04, 48410, 49990
1402/01/30, 46850, 48370
1402/01/29, 45000, 46350
1402/01/28, 41510, 44840
1402/01/27, 41970, 44370
1402/01/26, 43300, 45120
1402/01/22, 41850, 43120
1402/01/21, 39720, 41300
1402/01/20, 38000, 39380
1402/01/19, 36500, 37630
1402/01/16, 34600, 36300
1402/01/15, 34130, 35150
1402/01/14, 33950, 35000
1402/01/09, 33980, 35150
1402/01/08, 33930, 35000
1402/01/07, 33650, 34500
1402/01/06, 33600, 35200
1402/01/05, 34290, 35900
1401/12/28, 34000, 35970
1401/12/27, 34300, 35440
1401/12/24, 33020, 34480
1401/12/23, 32570, 34000
1401/12/22, 33030, 35490
1401/12/21, 34730, 35300
1401/12/20, 35250, 37560
1401/12/16, 34100, 35990
1401/12/15, 33930, 35390
1401/12/14, 34980, 36900
1401/12/13, 36010, 38600
1401/12/10, 36820, 37920
1401/12/09, 36120, 36120
1401/12/08, 34400, 34400
1401/10/19, 600000, 639990
1401/10/18, 613400, 635830
1401/10/17, 581100, 612020
1401/10/14, 560000, 592800
1401/10/13, 562990, 592990
1401/10/12, 570010, 594540
1401/10/11, 530050, 567290
1401/10/10, 537000, 545480
1401/10/04, 510000, 525000
1401/10/03, 492800, 513000
1401/09/30, 487370, 499980
1401/09/29, 486320, 504000
1401/09/28, 493110, 510000
1401/09/27, 495000, 514670
1401/09/26, 490000, 500000
1401/09/23, 492020, 507340
1401/09/22, 475020, 500600
1401/09/21, 470700, 482500
1401/09/20, 470560, 475900
1401/09/19, 470000, 488000
1401/09/16, 483500, 496780
1401/09/15, 486390, 498990
1401/09/14, 490660, 500960
1401/09/13, 485200, 497000
1401/09/12, 478100, 485000
1401/09/09, 477340, 483500
1401/09/08, 477010, 490000
1401/09/07, 480210, 494000
1401/09/06, 485200, 509300
1401/09/05, 492010, 509600
1401/09/02, 489900, 504980
1401/09/01, 480000, 515000
1401/08/30, 486000, 499290
1401/08/29, 480000, 494800
1401/08/28, 470020, 492150
1401/08/25, 480000, 504960
1401/08/24, 476700, 508500
1401/08/23, 497000, 511000
1401/08/22, 500510, 516970
1401/08/21, 510010, 530000
1401/08/18, 523000, 545000
1401/08/17, 520020, 547660
1401/08/16, 510010, 549580
1401/08/15, 510710, 540000
1401/08/14, 500700, 539900
1401/08/11, 498000, 530680
1401/08/10, 500010, 517780
1401/08/09, 479100, 493410
1401/08/08, 467090, 491650
1401/08/07, 489050, 511700
1401/08/04, 512980, 542000
1401/08/03, 531000, 564000
1401/08/02, 550000, 567790
1401/08/01, 540000, 568780
1401/07/30, 556000, 574000
1401/07/27, 570050, 591100
1401/07/26, 573010, 590000
1401/07/25, 567260, 579960
1401/07/24, 552000, 579000
1401/07/23, 563350, 583330
1401/07/20, 560050, 590000
1401/07/19, 576010, 598810
1401/07/18, 546000, 589510
1401/07/17, 558060, 586600
1401/07/16, 571300, 592000
1401/07/12, 551000, 566850
1401/07/11, 525320, 550000
1401/07/10, 538700, 567370
1401/07/09, 555400, 590000
1401/07/06, 552070, 579670
1401/07/04, 525000, 579580
1401/07/02, 549970, 580000
1401/06/30, 577750, 594690
1401/06/29, 582630, 643940
1401/06/28, 613280, 613280
1401/06/27, 584080, 584080
1401/06/23, 533010, 558530
1401/06/22, 515120, 533960
1401/06/21, 500200, 508730
1401/06/20, 460360, 499140
1401/06/19, 466000, 494800
1401/06/16, 475200, 495150
1401/06/15, 477780, 510000
1401/06/14, 495000, 511900
1401/06/13, 490790, 505950
1401/06/12, 478000, 481890
1401/06/09, 453450, 467880
1401/06/08, 459000, 472000
1401/06/07, 453000, 476000
1401/06/06, 461010, 479800
1401/06/05, 470500, 488100
1401/06/02, 480000, 501720
1401/06/01, 488110, 501770
1401/05/31, 473000, 500900
1401/05/30, 488980, 506040
1401/05/29, 475600, 494890
1401/05/26, 454950, 473740
1401/05/25, 444000, 455620
1401/05/24, 443020, 453760
1401/05/23, 440000, 457000
1401/05/22, 423010, 442000
1401/05/19, 419980, 442450
1401/05/18, 435000, 462990
1401/05/15, 430010, 453180
1401/05/12, 429500, 437990
1401/05/11, 427000, 438500
1401/05/10, 422360, 439800
1401/05/09, 412730, 440000
1401/05/08, 423930, 460000
1401/05/05, 435000, 450000
1401/05/04, 430000, 462000
1401/05/03, 452180, 470960
1401/05/02, 471050, 495810
1401/05/01, 483100, 509000
1401/04/29, 502680, 502870
1401/04/18, 526400, 555900
1401/04/15, 540080, 561480
1401/04/14, 510000, 538160
1401/04/13, 503000, 519990
1401/04/12, 502460, 532500
1401/04/11, 527560, 550000
1401/04/07, 532000, 569000
1401/04/06, 553740, 579990
