date, min_price, max_price
1402/03/03, 34973, 34974
1402/03/02, 34928, 34929
1402/03/01, 34898, 34977
1402/02/31, 34869, 34879
1402/02/30, 34840, 35000
1402/02/27, 34804, 34998
1402/02/25, 34759, 34760
1402/02/24, 34723, 34724
1402/02/23, 34688, 34689
1402/02/20, 34659, 34660
1402/02/19, 34614, 34615
1402/02/18, 34585, 34586
1402/02/17, 34560, 34561
1402/02/16, 34534, 34535
1402/02/13, 34509, 34510
1402/02/12, 34457, 34458
1402/02/11, 34432, 34433
1402/02/10, 34407, 34408
1402/02/09, 34382, 34383
1402/02/06, 34342, 34343
1402/02/05, 34290, 34291
1402/02/04, 34254, 34255
1402/01/30, 34178, 34459
1402/01/29, 34151, 34152
1402/01/28, 34124, 34125
1402/01/27, 34097, 34098
1402/01/26, 34070, 34071
1402/01/22, 34006, 34199
1402/01/21, 33981, 33983
1402/01/20, 33956, 33957
1402/01/19, 33925, 33926
1402/01/16, 33870, 33871
1402/01/15, 33834, 33835
1402/01/14, 33797, 33798
1402/01/09, 33723, 33947
1402/01/08, 33688, 33689
1402/01/07, 33657, 33658
1402/01/06, 33626, 33627
1402/01/05, 33594, 33595
1401/12/28, 33514, 33730
1401/12/27, 33491, 33492
1401/12/24, 33441, 33442
1401/12/23, 33414, 33415
1401/12/22, 33392, 33393
1401/12/21, 33370, 33371
1401/12/20, 33348, 33349
1401/12/16, 33288, 33289
1401/12/15, 33258, 33259
1401/12/14, 33232, 33233
1401/12/13, 33206, 33207
1401/12/10, 33156, 33157
1401/12/09, 33129, 33130
1401/12/08, 33108, 33109
1401/12/07, 33086, 33087
1401/12/06, 33064, 33065
1401/12/03, 33014, 33015
1401/12/02, 32988, 32989
1401/12/01, 32965, 32966
1401/11/30, 32943, 32944
1401/11/26, 32884, 32885
1401/11/25, 32854, 32855
1401/11/24, 32828, 32829
1401/11/23, 32802, 32803
1401/11/19, 32743, 32745
1401/11/18, 32713, 32714
1401/11/17, 32688, 32689
1401/11/16, 32662, 32664
1401/11/12, 32603, 32604
1401/11/11, 32574, 32575
1401/11/10, 32551, 32552
1401/11/09, 32527, 32528
1401/11/08, 32503, 32504
1401/11/05, 32454, 32455
1401/11/04, 32428, 32429
1401/11/03, 32407, 32408
1401/11/02, 32385, 32386
1401/11/01, 32364, 32365
1401/10/28, 32315, 32316
1401/10/27, 32290, 32291
1401/10/26, 32268, 32269
1401/10/24, 32226, 32227
1401/10/21, 32177, 32178
1401/10/20, 32152, 32153
1401/10/19, 32131, 32132
1401/10/18, 32109, 32110
1401/10/17, 32088, 32089
1401/10/14, 32040, 32041
1401/10/13, 32014, 32015
1401/10/12, 31993, 31994
1401/10/11, 31972, 31973
1401/10/10, 31951, 31952
1401/10/07, 31903, 31904
1401/10/05, 31871, 31872
1401/10/04, 31843, 31844
1401/10/03, 31815, 31816
1401/09/30, 31767, 31768
1401/09/29, 31742, 31743
1401/09/28, 31721, 31722
1401/09/27, 31700, 31701
1401/09/26, 31679, 31680
1401/09/23, 31631, 31632
1401/09/22, 31606, 31607
1401/09/21, 31585, 31586
1401/09/20, 31564, 31565
1401/09/19, 31544, 31545
1401/09/16, 31496, 31497
1401/09/15, 31471, 31472
1401/09/14, 31450, 31451
1401/09/13, 31430, 31431
