date, min_price, max_price
1402/02/31, 10050, 10690
1402/02/30, 10290, 11200
1402/02/27, 10350, 11190
1402/02/25, 10400, 11300
1402/02/24, 10920, 11300
1402/02/23, 11490, 11490
1402/02/20, 12090, 12090
1402/02/19, 12720, 12720
1402/02/16, 13100, 13390
1402/02/13, 12030, 12840
1402/02/12, 11370, 12310
1402/02/11, 11210, 11820
1402/02/10, 11260, 11260
1402/02/09, 10730, 10730
1402/02/06, 10220, 10220
1402/02/05, 9300, 9870
1402/02/04, 9200, 9630
1402/01/30, 9020, 9410
1402/01/29, 9020, 9680
1402/01/28, 8850, 9470
1402/01/27, 8880, 9350
1402/01/26, 8770, 9200
1402/01/22, 8410, 9100
1402/01/21, 8630, 9050
1402/01/20, 8610, 9210
1402/01/19, 8520, 8790
1402/01/16, 7900, 8490
1402/01/15, 7900, 8400
1402/01/14, 7700, 8080
1402/01/09, 7380, 7710
1402/01/08, 7170, 7460
1402/01/07, 7000, 7280
1402/01/06, 6900, 7200
1402/01/05, 7060, 7270
1401/12/28, 7090, 7680
1401/12/27, 7290, 7490
1401/12/24, 7000, 7220
1401/12/23, 6750, 6990
1401/12/22, 6750, 6960
1401/12/21, 6760, 7070
1401/12/20, 7030, 7220
1401/12/16, 7000, 7200
1401/12/15, 6970, 7300
1401/12/14, 6980, 7120
1401/12/13, 6790, 7170
1401/12/10, 7060, 7340
1401/12/09, 7100, 7350
1401/12/08, 7260, 7500
1401/12/07, 7320, 7950
1401/12/06, 7460, 7580
1401/12/03, 7100, 7430
1401/12/02, 7170, 7590
1401/12/01, 6810, 7310
1401/11/30, 6670, 7050
1401/11/26, 6580, 6760
1401/11/25, 6550, 6750
1401/11/24, 6690, 6790
1401/11/23, 6510, 6770
1401/11/19, 6660, 6820
1401/11/18, 6600, 6840
1401/11/17, 6430, 6830
1401/11/16, 6730, 7010
1401/11/12, 7010, 7400
1401/11/11, 7240, 7580
1401/11/10, 7020, 7350
1401/11/09, 6960, 7430
1401/11/08, 6800, 7420
1401/11/05, 6860, 7400
1401/11/04, 7020, 7410
1401/11/03, 7080, 7560
1401/11/02, 7090, 7550
1401/11/01, 7080, 7620
1401/10/28, 7170, 7500
1401/10/27, 7150, 7150
1401/10/26, 6580, 6900
1401/10/24, 6260, 6820
1401/10/21, 6410, 6800
1401/10/20, 6520, 6950
1401/10/19, 6500, 6890
1401/10/18, 6540, 6890
1401/10/17, 6570, 6570
1401/10/14, 6260, 6260
1401/10/13, 5790, 5980
1401/10/12, 5600, 5810
1401/10/11, 5530, 5880
1401/10/10, 5660, 5940
1401/10/07, 5880, 6050
1401/10/05, 5830, 6050
1401/10/04, 5870, 6140
1401/10/03, 5680, 5940
1401/09/30, 5500, 5770
1401/09/29, 5600, 5820
1401/09/28, 5610, 5850
1401/09/27, 5680, 5960
1401/09/26, 5500, 5770
1401/09/23, 5340, 5600
1401/09/22, 5350, 5550
1401/09/21, 5110, 5440
1401/09/20, 5050, 5340
1401/09/19, 5040, 5230
1401/09/16, 5220, 5430
1401/09/15, 5280, 5400
1401/09/14, 5250, 5500
1401/09/13, 5370, 5590
1401/09/12, 5380, 5600
1401/09/09, 5480, 5670
1401/09/08, 5360, 5780
1401/09/07, 5450, 5660
1401/09/06, 5120, 5440
1401/09/05, 5100, 5300
1401/09/02, 4960, 5240
1401/09/01, 4950, 5110
1401/08/30, 4950, 5140
1401/08/29, 4860, 5110
1401/08/28, 4780, 5090
1401/08/25, 4920, 5100
1401/08/24, 4880, 5060
1401/08/23, 4860, 5070
1401/08/22, 5040, 5200
1401/08/21, 5100, 5430
1401/08/18, 4840, 5328
1401/08/17, 4901, 5245
1401/08/16, 4830, 5050
1401/08/15, 4672, 4820
1401/08/14, 4350, 4651
1401/08/11, 4371, 4500
1401/08/10, 4419, 4545
1401/08/09, 4136, 4419
1401/08/08, 4100, 4249
1401/08/07, 4111, 4498
1401/08/04, 4301, 4580
1401/08/03, 4490, 4699
1401/08/02, 4615, 4877
1401/08/01, 4653, 4886
1401/07/30, 4620, 4730
1401/07/27, 4673, 4797
1401/07/26, 4720, 4860
1401/07/25, 4605, 4850
1401/07/24, 4602, 4830
1401/07/23, 4657, 4830
1401/07/20, 4751, 4900
1401/07/19, 4590, 4820
1401/07/18, 4530, 4660
1401/07/17, 4528, 4800
1401/07/16, 4450, 4778
1401/07/12, 4500, 4631
1401/07/11, 4487, 4850
1401/07/10, 4533, 4823
1401/07/09, 4671, 4830
1401/07/06, 4801, 4996
1401/07/04, 4681, 4950
1401/07/02, 4741, 5030
1401/06/30, 4810, 5020
1401/06/29, 4550, 4940
1401/06/28, 4660, 4910
1401/06/27, 4800, 5000
1401/06/23, 4880, 5160
1401/06/22, 4890, 4990
1401/06/21, 4870, 5050
1401/06/20, 5000, 5160
1401/06/19, 5080, 5150
1401/06/16, 5100, 5210
1401/06/15, 5080, 5240
1401/06/14, 5110, 5250
1401/06/13, 5050, 5250
1401/06/12, 5030, 5230
1401/06/09, 5110, 5290
1401/06/08, 5050, 5250
1401/06/07, 5120, 5320
1401/06/06, 5100, 5250
1401/06/05, 5110, 5330
1401/06/02, 5090, 5303
1401/06/01, 4850, 5130
1401/05/31, 4775, 4940
1401/05/30, 4700, 4948
1401/05/29, 4801, 5000
1401/05/26, 4850, 5000
1401/05/25, 4900, 5100
1401/05/24, 4803, 5042
1401/05/23, 4736, 4882
1401/05/22, 4603, 4900
1401/05/19, 4732, 4875
1401/05/18, 4700, 4943
1401/05/15, 4801, 4960
1401/05/12, 4690, 4949
1401/05/11, 4685, 4897
1401/05/10, 4800, 4986
1401/05/09, 4874, 5100
1401/05/08, 4853, 5220
1401/05/05, 4750, 5025
1401/05/04, 4511, 4951
1401/05/03, 4650, 4860
1401/05/02, 4609, 4799
1401/05/01, 4411, 4709
1401/04/29, 4351, 4599
1401/04/28, 4351, 4610
1401/04/26, 4516, 4770
1401/04/25, 4519, 4744
1401/04/22, 4500, 4650
1401/04/21, 4308, 4660
1401/04/20, 4461, 4650
1401/04/18, 4630, 4879
1401/04/15, 4751, 4883
1401/04/14, 4783, 4860
1401/04/13, 4755, 4937
1401/04/12, 4752, 4879
1401/04/11, 4753, 4890
1401/04/08, 4774, 4946
1401/04/07, 4886, 5057
1401/04/06, 4751, 5068
1401/04/05, 4774, 5180
1401/04/04, 4911, 5100
1401/04/01, 4930, 5120
1401/03/31, 4920, 5090
1401/03/30, 5010, 5250
1401/03/29, 5000, 5250
1401/03/28, 4930, 5110
1401/03/25, 5010, 5200
1401/03/24, 5020, 5270
1401/03/23, 5100, 5380
1401/03/22, 5070, 5310
1401/03/21, 5130, 5310
1401/03/18, 4851, 5070
1401/03/17, 4613, 4970
1401/03/16, 4700, 5050
1401/03/11, 4851, 5070
1401/03/10, 4860, 5095
1401/03/09, 4853, 4853
1401/03/08, 4551, 4622
1401/03/07, 4150, 4459
1401/03/02, 4580, 4920
1401/03/01, 4760, 4940
1401/02/31, 4780, 5100
1401/02/28, 4990, 5230
1401/02/27, 5020, 5380
1401/02/26, 5170, 5410
1401/02/25, 5260, 5560
1401/02/24, 5310, 5560
1401/02/21, 5200, 5300
1401/02/20, 4660, 5140
1401/02/19, 4840, 5170
1401/02/18, 5010, 5190
1401/02/17, 4880, 5190
1401/02/12, 5000, 5158
1401/02/11, 4670, 4943
1401/02/10, 4550, 4820
1401/02/07, 4500, 4686
1401/02/06, 4525, 4730
1401/02/05, 4565, 4714
1401/02/04, 4400, 4731
1401/01/31, 4311, 4544
1401/01/30, 4231, 4381
1401/01/29, 4280, 4597
1401/01/28, 4301, 4588
1401/01/27, 4350, 4513
1401/01/24, 4021, 4442
1401/01/23, 4199, 4490
1401/01/22, 4175, 4519
1401/01/21, 4190, 4450
1401/01/20, 4001, 4356
1401/01/17, 4037, 4172
1401/01/16, 3700, 4036
1401/01/15, 3653, 3955
1401/01/14, 3760, 3943
1401/01/10, 3700, 3769
1401/01/09, 3460, 3607
1401/01/08, 0, 0
1401/01/07, 3371, 3520
1401/01/06, 3380, 3468
1400/12/28, 3275, 3468
1400/12/25, 3275, 3399
1400/12/24, 3250, 3398
1400/12/23, 3300, 3420
1400/12/22, 3140, 3415
1400/12/21, 3255, 3351
1400/12/18, 3360, 3460
1400/12/17, 3350, 3500
1400/12/16, 3400, 3545
1400/12/15, 3272, 3562
1400/12/14, 3301, 3499
1400/12/11, 3271, 3489
1400/12/09, 3271, 3400
1400/12/08, 3230, 3373
1400/12/07, 3243, 3369
1400/12/04, 3333, 3450
1400/12/03, 3212, 3410
1400/12/02, 3204, 3300
1400/12/01, 3177, 3265
1400/11/30, 3170, 3280
1400/11/27, 3191, 3370
1400/11/25, 3200, 3325
1400/11/24, 3226, 3290
1400/11/23, 3261, 3400
1400/11/20, 3135, 3373
1400/11/19, 3122, 3270
1400/11/18, 3138, 3309
1400/11/17, 3180, 3387
1400/11/16, 3212, 3449
1400/11/13, 3240, 3480
1400/11/12, 3263, 3406
1400/11/11, 3208, 3347
1400/11/10, 3199, 3338
1400/11/09, 3190, 3300
1400/11/06, 3090, 3300
1400/11/05, 3079, 3300
1400/11/04, 3156, 3322
1400/11/03, 3280, 3432
1400/11/02, 3337, 3549
1400/10/29, 3360, 3570
1400/10/28, 3417, 3646
1400/10/27, 3513, 3724
1400/10/26, 3500, 3727
1400/10/25, 3496, 3719
1400/10/22, 3571, 3742
1400/10/21, 3401, 3571
1400/10/20, 3280, 3449
1400/10/19, 3310, 3489
1400/10/18, 3365, 3490
1400/10/15, 3380, 3570
1400/10/14, 3451, 3577
1400/10/13, 3501, 3652
1400/10/12, 3489, 3659
1400/10/11, 3431, 3600
1400/10/08, 3600, 3600
1400/10/07, 3467, 3467
1400/10/06, 3236, 3375
1400/10/05, 3175, 3316
1400/10/04, 3210, 3480
1400/10/01, 3342, 3466
1400/09/30, 3207, 3461
1400/09/29, 3244, 3445
1400/09/28, 3328, 3490
1400/09/27, 3401, 3603
1400/09/24, 3400, 3603
1400/09/23, 3459, 3650
1400/09/22, 3215, 3553
1400/09/21, 3250, 3352
1400/09/20, 3349, 3470
1400/09/17, 3250, 3458
1400/09/16, 3191, 3380
1400/09/15, 3301, 3410
1400/09/14, 3275, 3430
1400/09/13, 3265, 3392
1400/09/10, 3191, 3320
1400/09/09, 3070, 3330
1400/09/08, 3080, 3290
1400/09/07, 3152, 3332
1400/09/06, 3254, 3500
1400/09/03, 3381, 3593
1400/09/02, 3517, 3695
1400/09/01, 3570, 3888
1400/08/30, 3565, 3797
1400/08/29, 3412, 3629
1400/08/26, 3375, 3500
1400/08/25, 3415, 3600
1400/08/24, 3571, 3718
1400/08/23, 3602, 3839
1400/08/22, 3444, 3682
1400/08/19, 3400, 3650
1400/08/18, 3425, 3599
1400/08/17, 3350, 3574
1400/08/16, 3444, 3679
1400/08/15, 3519, 3629
1400/08/12, 3230, 3489
1400/08/11, 3242, 3448
1400/08/10, 3330, 3640
1400/08/09, 3417, 3550
1400/08/08, 3560, 3650
1400/08/05, 3732, 3830
1400/08/04, 3856, 3999
1400/08/03, 3956, 4120
1400/08/01, 4077, 4400
1400/07/28, 4175, 4440
1400/07/27, 4140, 4450
1400/07/26, 4329, 4450
1400/07/25, 4533, 4701
1400/07/24, 4701, 4971
1400/07/21, 4757, 4783
1400/07/20, 4760, 5106
1400/07/19, 4906, 4906
1400/07/18, 4754, 4754
1400/07/17, 4528, 4528
1400/07/06, 7250, 7761
1400/07/04, 7562, 8140
1400/07/03, 7832, 8090
1400/06/31, 7809, 8300
1400/06/30, 8174, 8740
1400/06/29, 8459, 8870
1400/06/28, 8436, 9150
1400/06/27, 8825, 9500
1400/06/24, 9050, 9549
1400/06/23, 8960, 9330
1400/06/22, 9003, 9410
1400/06/21, 9426, 9950
