date, min_price, max_price
1402/03/03, 3830, 4020
1402/03/02, 3830, 4059
1402/03/01, 3790, 3989
1402/02/31, 3770, 4040
1402/02/30, 3800, 3879
1402/02/27, 3505, 3850
1402/02/25, 3641, 3930
1402/02/24, 3649, 3950
1402/02/23, 3971, 3971
1402/02/20, 4162, 4276
1402/02/19, 4381, 4381
1402/02/18, 4611, 4611
1402/02/16, 4630, 5050
1402/02/13, 4701, 4848
1402/02/12, 4499, 4620
1402/02/11, 4080, 4491
1402/02/10, 4149, 4289
1402/02/09, 3933, 4091
1402/02/06, 3798, 4080
1402/02/05, 3850, 4226
1402/02/04, 3861, 4130
1402/01/30, 3800, 3987
1402/01/29, 3669, 3818
1402/01/28, 3560, 3640
1402/01/27, 3467, 3467
1402/01/26, 3302, 3302
1402/01/22, 3145, 3145
1402/01/21, 2930, 3020
1402/01/16, 2760, 2948
1402/01/15, 2774, 3040
1402/01/14, 2755, 2954
1402/01/09, 2700, 2846
1402/01/08, 2676, 2750
1402/01/07, 2550, 2695
1402/01/06, 2501, 2662
1402/01/05, 2493, 2590
1401/12/28, 2472, 2589
1401/12/27, 2466, 2518
1401/12/24, 2369, 2434
1401/12/23, 2272, 2373
1401/12/22, 2230, 2300
1401/12/21, 2229, 2335
1401/12/20, 2288, 2425
1401/12/16, 2300, 2400
1401/12/15, 2267, 2400
1401/12/14, 2316, 2440
1401/12/13, 2330, 2447
1401/12/10, 2358, 2484
1401/12/09, 2320, 2391
1401/12/08, 2241, 2330
1401/12/03, 2180, 2279
1401/12/02, 2215, 2345
1401/12/01, 2165, 2281
1401/11/30, 2130, 2238
1401/11/26, 2123, 2240
1401/11/25, 2203, 2319
1401/11/24, 2261, 2325
1401/11/23, 2162, 2259
1401/11/19, 2170, 2271
1401/11/18, 2125, 2242
1401/11/17, 2113, 2201
1401/11/16, 2202, 2310
1401/11/12, 2250, 2369
1401/11/11, 2150, 2293
1401/11/10, 2134, 2319
1401/11/09, 2242, 2328
1401/11/08, 2344, 2461
1401/11/05, 2438, 2601
1401/11/04, 2525, 2700
1401/11/03, 2596, 2799
1401/11/02, 2704, 2868
1401/11/01, 2753, 2905
1401/10/28, 2652, 2783
1401/10/27, 2590, 2799
1401/10/26, 2634, 2711
1401/10/24, 2490, 2673
1401/10/21, 2549, 2745
1401/10/20, 2611, 2793
1401/10/19, 2650, 2770
1401/10/18, 2690, 2890
1401/10/17, 2664, 2787
1401/10/14, 2512, 2739
1401/10/13, 2463, 2629
1401/10/12, 2445, 2522
1401/10/11, 2368, 2530
1401/10/10, 2488, 2590
1401/10/07, 2550, 2660
1401/10/05, 2432, 2600
1401/10/04, 2445, 2566
1401/10/03, 2390, 2454
1401/09/30, 2230, 2370
1401/09/29, 2224, 2351
1401/09/28, 2290, 2384
1401/09/27, 2272, 2340
1401/09/26, 2230, 2326
1401/09/23, 2233, 2362
1401/09/22, 2289, 2383
1401/09/21, 2200, 2315
1401/09/20, 2171, 2263
1401/09/19, 2080, 2209
1401/09/16, 2031, 2137
1401/09/15, 1980, 2095
1401/09/14, 2008, 2059
1401/09/13, 1984, 2062
1401/09/12, 2011, 2096
1401/09/09, 2068, 2160
1401/09/08, 2036, 2150
1401/09/07, 2003, 2100
1401/09/06, 1990, 2042
1401/09/05, 2000, 2080
1401/09/02, 2003, 2080
1401/09/01, 1922, 2070
1401/08/30, 2035, 2035
1401/08/23, 1993, 2088
1401/08/22, 2002, 2145
1401/08/21, 2027, 2067
1401/08/18, 1881, 2029
1401/08/17, 1896, 2045
1401/08/16, 1901, 1976
1401/08/15, 1801, 1896
1401/08/14, 1770, 1832
1401/08/11, 1721, 1799
1401/08/10, 1719, 1719
1401/08/08, 1620, 1720
1401/08/07, 1660, 1780
1401/08/04, 1696, 1828
1401/08/03, 1750, 1846
1401/08/02, 1750, 1850
1401/08/01, 1816, 1880
1401/07/30, 1863, 1970
1401/07/27, 1911, 1992
1401/07/26, 1850, 1905
1401/07/25, 1772, 1855
1401/07/24, 1805, 1889
1401/07/23, 1837, 1910
1401/07/20, 1811, 1932
1401/07/19, 1791, 1844
1401/07/18, 1706, 1787
1401/07/17, 1682, 1770
1401/07/16, 1737, 1839
1401/07/12, 1753, 1826
1401/07/11, 1826, 1944
1401/07/10, 1867, 2030
1401/07/09, 1865, 1956
1401/07/06, 1811, 1904
1401/07/04, 1743, 1859
1401/07/02, 1799, 1901
1401/06/30, 1868, 2000
1401/06/29, 1920, 2030
1401/06/28, 1961, 2058
1401/06/27, 2045, 2178
1401/06/23, 2112, 2210
1401/06/22, 2182, 2264
1401/06/21, 2165, 2267
1401/06/20, 2131, 2199
1401/06/19, 2149, 2238
1401/06/16, 2202, 2282
1401/06/15, 2186, 2297
1401/06/14, 2257, 2330
1401/06/13, 2243, 2339
1401/06/12, 2246, 2384
1401/06/09, 2310, 2409
1401/06/08, 2330, 2420
1401/06/07, 2379, 2459
1401/06/06, 2236, 2398
1401/06/05, 2250, 2363
1401/06/02, 2266, 2370
1401/06/01, 2202, 2295
1401/05/31, 2178, 2298
1401/05/30, 2173, 2320
1401/05/29, 2193, 2283
1401/05/26, 2235, 2401
1401/05/25, 2300, 2350
1401/05/24, 2140, 2280
1401/05/23, 2157, 2285
1401/05/22, 2205, 2330
1401/05/19, 2170, 2335
1401/05/18, 2224, 2370
1401/05/15, 2290, 2410
1401/05/12, 2285, 2369
