date, min_price, max_price
1402/03/03, 163730, 172940
1402/03/02, 168700, 180500
1402/03/01, 165820, 178530
1402/02/31, 164010, 176500
1402/02/30, 171890, 175990
1402/02/27, 180930, 180930
1402/02/23, 187620, 187620
1402/02/20, 195750, 195750
1402/02/19, 203660, 203660
1402/02/16, 208640, 230600
1402/02/12, 219620, 219620
1402/02/11, 209170, 209170
1402/02/10, 185000, 199500
1402/02/09, 190000, 190000
1402/02/06, 180960, 180960
1402/02/05, 167460, 172380
1402/02/04, 160000, 164680
1402/01/30, 151000, 156930
1402/01/28, 143500, 149500
1402/01/27, 142390, 142390
1402/01/26, 138190, 138190
1402/01/22, 131610, 131610
1402/01/21, 125350, 125350
1402/01/20, 123000, 123000
1402/01/19, 119240, 119240
1402/01/16, 113920, 113920
1402/01/15, 108500, 108500
1402/01/14, 96710, 103500
1402/01/09, 96000, 99800
1402/01/08, 95380, 99440
1402/01/07, 94020, 97910
1402/01/06, 94080, 98480
1402/01/05, 95500, 98000
1401/12/28, 93070, 97800
1401/12/27, 91500, 95700
1401/12/24, 89000, 92950
1401/12/23, 86060, 90550
1401/12/22, 88050, 91020
1401/12/21, 87300, 91870
1401/12/20, 89610, 91960
1401/12/16, 91000, 94000
1401/12/15, 85030, 91800
1401/12/14, 85010, 88440
1401/12/13, 84230, 88890
1401/12/10, 84040, 88900
1401/12/09, 84500, 88060
1401/12/08, 83500, 85850
1401/12/07, 83620, 90390
1401/12/06, 80050, 86330
1401/12/03, 80260, 83820
1401/12/02, 80000, 85600
1401/12/01, 79150, 82920
1401/11/30, 78010, 79980
1401/11/26, 76960, 80730
1401/11/25, 77000, 80000
1401/11/24, 79390, 83820
1401/11/23, 80080, 83000
1401/11/19, 81780, 84500
1401/11/18, 82290, 85490
1401/11/17, 81560, 84740
1401/11/16, 83410, 87000
1401/11/12, 86290, 89770
1401/11/11, 80000, 87960
1401/11/10, 83670, 85550
1401/11/09, 85310, 87500
1401/11/08, 88350, 90500
1401/11/05, 91950, 98700
1401/11/04, 92500, 99000
1401/11/03, 94800, 100000
1401/11/02, 96600, 100350
1401/11/01, 96580, 96580
1401/10/28, 88950, 92330
1401/10/27, 86900, 90000
1401/10/26, 84500, 88900
1401/10/24, 84500, 87990
1401/10/21, 86400, 89010
1401/10/20, 86000, 89040
1401/10/19, 84060, 85990
1401/10/18, 81980, 85200
1401/10/17, 80100, 82900
1401/10/14, 78750, 82250
1401/10/13, 80580, 85000
1401/10/12, 80060, 83760
1401/10/11, 80200, 86000
1401/10/10, 83020, 88860
1401/10/07, 85510, 87660
1401/10/05, 83200, 83490
1401/10/04, 77490, 79660
1401/10/03, 75000, 76500
1401/09/30, 74000, 76600
1401/09/29, 74600, 77420
1401/09/28, 74510, 78710
1401/09/27, 73510, 77140
1401/09/26, 72500, 76490
