date, min_price, max_price
1402/03/03, 8000, 8450
1402/03/02, 8010, 8290
1402/03/01, 7950, 8260
1402/02/31, 7810, 8110
1402/02/30, 8160, 8610
1402/02/27, 8570, 8770
1402/02/18, 8580, 8580
1402/02/17, 9000, 9620
1402/02/16, 9180, 9620
1402/02/13, 9030, 9210
1402/02/12, 8500, 9030
1402/02/11, 8310, 9040
1402/02/10, 8450, 8730
1402/02/09, 8320, 8320
1402/02/04, 7940, 8090
1402/01/30, 7520, 8000
1402/01/29, 7610, 8090
1402/01/28, 7420, 8180
1402/01/27, 7550, 7830
1402/01/26, 7280, 7470
1402/01/22, 6650, 7160
1402/01/21, 6590, 6850
1402/01/20, 6590, 6590
1402/01/19, 6390, 6390
1402/01/16, 5770, 6180
1402/01/15, 5720, 6050
1402/01/14, 5400, 5840
1402/01/09, 5400, 5700
1402/01/08, 5330, 5490
1402/01/07, 5220, 5350
1402/01/06, 5150, 5420
1402/01/05, 5220, 5450
1401/12/28, 5270, 5570
1401/12/27, 5200, 5410
1401/12/24, 5000, 5240
1401/12/23, 4960, 5100
1401/12/22, 4960, 5150
1401/12/21, 4950, 5120
1401/12/20, 5080, 5160
1401/12/16, 4980, 5120
1401/12/15, 4980, 5120
1401/12/14, 5000, 5260
1401/12/13, 5020, 5330
1401/12/10, 5070, 5420
1401/12/09, 5010, 5260
1401/12/08, 4940, 5140
1401/12/07, 5070, 5530
1401/12/06, 5100, 5390
1401/12/03, 5050, 5400
1401/12/02, 5310, 5310
1401/10/26, 22260, 23280
1401/10/24, 21560, 22870
1401/10/21, 21860, 22670
1401/10/20, 21470, 22170
1401/10/19, 20700, 21690
1401/10/18, 20450, 21680
1401/10/17, 20040, 20950
1401/10/14, 19800, 20250
1401/10/13, 20000, 20920
1401/10/12, 19950, 20560
1401/10/11, 19760, 20790
1401/10/10, 20020, 21160
1401/10/07, 20500, 21400
1401/10/05, 19750, 20930
1401/10/04, 19750, 20600
1401/10/03, 19700, 20420
1401/09/30, 19730, 20480
1401/09/29, 19500, 20560
1401/09/28, 20010, 20750
1401/09/27, 19890, 20900
1401/09/26, 18700, 20240
1401/09/23, 19010, 19770
1401/09/22, 18130, 19010
1401/09/21, 17990, 18260
1401/09/20, 17490, 18090
1401/09/19, 17260, 18050
1401/09/16, 17580, 18140
1401/09/15, 17170, 18250
1401/09/14, 17470, 18090
1401/09/13, 17610, 18380
1401/09/12, 17620, 18300
1401/09/09, 18000, 18400
1401/09/08, 17950, 18290
1401/09/07, 17220, 18150
1401/09/06, 17030, 17780
1401/09/05, 17250, 17990
1401/09/02, 17650, 18200
1401/08/25, 17650, 18290
1401/08/24, 17980, 18660
1401/08/23, 17950, 19270
