date, min_price, max_price
1402/03/03, 9820, 10380
1402/03/02, 9700, 10370
1402/03/01, 9400, 10080
1402/02/31, 9560, 10210
1402/02/30, 9820, 10680
1402/02/27, 9810, 10390
1402/02/25, 9250, 9810
1402/02/23, 9060, 9690
1402/02/20, 9590, 10970
1402/02/19, 10240, 10610
1402/02/18, 10610, 10610
1402/02/13, 10960, 11660
1402/02/12, 10530, 11060
1402/02/11, 9610, 11010
1402/02/06, 9880, 10470
1402/02/05, 9330, 9880
1402/02/04, 9000, 9340
1402/01/30, 8230, 8980
1402/01/29, 8250, 8700
1402/01/28, 8100, 8800
1402/01/27, 8400, 8850
1402/01/26, 8200, 8450
1402/01/22, 7720, 8250
1402/01/21, 7730, 8590
1402/01/20, 8100, 8620
1402/01/19, 7890, 8190
1402/01/16, 7150, 7900
1402/01/15, 7150, 7430
1402/01/14, 6560, 7150
1402/01/09, 6750, 6980
1402/01/08, 6900, 7190
1402/01/07, 6560, 6900
1402/01/06, 6540, 7070
1402/01/05, 6750, 7100
1401/12/28, 6740, 7100
1401/12/27, 6760, 7080
1401/12/24, 6900, 7220
1401/12/23, 6940, 7600
1401/12/22, 7110, 7240
1401/12/21, 6440, 6810
1401/12/20, 6170, 6390
1401/12/16, 5980, 5980
1401/12/15, 5740, 5740
1401/12/14, 5570, 5570
1401/12/13, 5430, 5430
1401/11/30, 9860, 10540
1401/11/26, 9770, 9990
1401/11/25, 9920, 10350
1401/11/24, 10220, 10540
1401/11/23, 10200, 10800
1401/11/19, 10750, 11050
1401/11/18, 10600, 11150
1401/11/17, 10590, 11100
1401/11/16, 10600, 11550
1401/11/12, 10500, 10990
1401/11/11, 9710, 10470
1401/11/10, 9600, 10330
1401/11/09, 10290, 11270
1401/11/08, 10800, 11270
1401/11/05, 10710, 11810
1401/11/04, 11320, 11780
1401/11/03, 11330, 12080
1401/11/02, 11360, 12200
1401/11/01, 11520, 12600
1401/10/28, 11520, 12230
1401/10/27, 11130, 11950
1401/10/26, 11550, 12040
1401/10/24, 10610, 11540
1401/10/21, 10460, 11000
1401/10/20, 10510, 10840
1401/10/19, 10460, 10790
1401/10/18, 10500, 11180
1401/10/17, 10250, 10740
1401/10/14, 10080, 10450
1401/10/13, 10200, 10800
1401/10/12, 10300, 10880
1401/10/11, 10290, 11240
1401/10/10, 10700, 10990
1401/10/07, 11010, 11680
1401/10/05, 10650, 11280
1401/10/04, 10570, 11120
1401/10/03, 10640, 11140
1401/09/30, 10610, 11390
1401/09/29, 10850, 10850
1401/09/28, 10200, 10340
1401/09/27, 9480, 9890
1401/09/26, 9170, 9520
1401/09/23, 8970, 9280
1401/09/22, 8900, 9150
1401/09/21, 8720, 9200
1401/09/20, 8610, 8990
1401/09/19, 8610, 8870
1401/09/16, 8660, 8940
1401/09/15, 8500, 9070
1401/09/14, 8630, 8990
1401/09/13, 8950, 9110
