date, min_price, max_price
1402/03/03, 11410, 12160
1402/03/02, 11500, 12180
1402/03/01, 11400, 12220
1402/02/31, 11230, 12060
1402/02/30, 10980, 11750
1402/02/27, 11000, 11410
1402/02/23, 10650, 11760
1402/02/20, 11150, 12070
1402/02/19, 11620, 12230
1402/02/18, 12120, 12120
1402/02/16, 12650, 12950
1402/02/13, 12400, 13000
1402/02/12, 12550, 13380
1402/02/11, 12610, 13300
1402/02/10, 13000, 13310
1402/02/05, 12410, 12910
1402/02/04, 11800, 12610
1402/01/30, 11580, 12340
1402/01/29, 11040, 12030
1402/01/28, 11260, 11920
1402/01/27, 11000, 11970
1402/01/26, 11060, 11480
1402/01/22, 10160, 11030
1402/01/21, 10130, 10590
1402/01/20, 10090, 10090
1402/01/19, 9610, 9610
1402/01/16, 8730, 9240
1402/01/15, 8660, 8970
1402/01/14, 8300, 8800
1402/01/09, 8370, 8770
1402/01/08, 8250, 8470
1402/01/07, 8070, 8490
1402/01/06, 8200, 8470
1402/01/05, 8050, 8300
1401/12/28, 8080, 8400
1401/12/27, 7760, 8290
1401/12/24, 7650, 7940
1401/12/23, 7430, 7760
1401/12/22, 7400, 7950
1401/12/21, 7350, 7990
1401/12/20, 7300, 7680
1401/12/16, 7200, 7500
1401/12/15, 7210, 7550
1401/12/14, 7350, 7700
1401/12/13, 7400, 7710
1401/12/10, 7470, 7800
1401/12/09, 7410, 7800
1401/12/08, 7420, 7800
1401/12/07, 7450, 8100
1401/12/06, 7660, 7820
1401/12/03, 7200, 7730
1401/12/02, 7100, 7390
1401/12/01, 6900, 7060
1401/11/30, 6610, 6890
1401/11/26, 6620, 7230
1401/11/25, 6890, 7300
1401/11/24, 7010, 7520
1401/11/23, 7320, 7770
1401/11/19, 7430, 7880
1401/11/18, 7300, 7610
1401/11/17, 7080, 7360
1401/11/16, 7400, 7890
1401/11/12, 7560, 7900
1401/11/11, 7100, 7700
1401/11/10, 7250, 7540
1401/11/09, 7630, 7700
1401/11/08, 8020, 8230
1401/11/05, 8380, 8930
1401/11/04, 8690, 8970
1401/11/03, 8310, 8800
1401/11/02, 8460, 8970
1401/11/01, 8690, 9030
1401/10/28, 8240, 8760
1401/10/27, 8200, 8600
1401/10/26, 8330, 8570
1401/10/24, 8200, 8540
1401/10/21, 8360, 8670
1401/10/20, 8300, 8670
1401/10/19, 8300, 8580
1401/10/18, 8390, 8680
1401/10/17, 8050, 8480
1401/10/14, 7980, 8350
1401/10/13, 8220, 8550
1401/10/12, 8300, 8550
1401/10/11, 8200, 8660
1401/10/10, 8340, 8780
1401/10/07, 8680, 9400
1401/10/05, 8950, 9220
1401/10/04, 8500, 8920
1401/10/03, 8340, 8690
1401/09/30, 8350, 8720
1401/09/29, 7970, 8440
1401/09/28, 7810, 8040
1401/09/27, 7370, 7670
1401/09/26, 7150, 7320
1401/09/23, 6970, 7110
1401/09/22, 6840, 7190
1401/09/21, 6750, 7080
1401/09/20, 6710, 7050
1401/09/19, 6640, 7100
1401/09/16, 6620, 6950
1401/09/15, 6400, 6670
1401/09/14, 6250, 6520
1401/09/13, 6110, 6370
1401/09/12, 6110, 6320
1401/09/09, 6150, 6400
1401/09/08, 6040, 6250
