date, min_price, max_price
1402/03/03, 11805, 11806
1402/03/02, 11790, 11792
1402/03/01, 11781, 11782
1402/02/31, 11773, 11774
1402/02/30, 11765, 11766
1402/02/27, 11750, 11751
1402/02/25, 11727, 11728
1402/02/24, 11719, 11720
1402/02/23, 11711, 11712
1402/02/20, 11695, 11696
1402/02/19, 11681, 11682
1402/02/18, 11673, 11674
1402/02/17, 11665, 11666
1402/02/16, 11657, 11658
1402/02/13, 11641, 11643
1402/02/12, 11627, 11628
1402/02/11, 11619, 11620
1402/02/10, 11611, 11613
1402/02/09, 11603, 11604
1402/02/06, 11579, 11580
1402/02/05, 11565, 11566
1402/02/04, 11557, 11558
1402/01/30, 11540, 11541
1402/01/29, 11515, 11517
1402/01/28, 11507, 11508
1402/01/27, 11499, 11500
1402/01/26, 11491, 11492
1402/01/22, 11474, 11475
1402/01/21, 11456, 11458
1402/01/20, 11448, 11470
1402/01/19, 11440, 11441
1402/01/16, 11419, 11420
1402/01/15, 11411, 11412
1402/01/14, 11403, 11404
1402/01/09, 11370, 11379
1402/01/08, 11362, 11363
1402/01/07, 11354, 11355
1402/01/05, 11338, 11345
1401/12/28, 11295, 11327
1401/12/27, 11287, 11293
1401/12/24, 11273, 11276
1401/12/23, 11261, 11262
1401/12/22, 11253, 11254
1401/12/21, 11245, 11246
1401/12/20, 11237, 11238
1401/12/16, 11216, 11217
1401/12/15, 11201, 11202
1401/12/14, 11193, 11194
1401/12/13, 11185, 11186
1401/12/10, 11165, 11166
1401/12/09, 11157, 11158
1401/12/08, 11150, 11151
1401/12/07, 11143, 11144
1401/12/06, 11136, 11137
1401/12/03, 11118, 11119
1401/12/02, 11109, 11110
1401/12/01, 11102, 11103
1401/11/30, 11095, 11096
1401/11/26, 11072, 11074
1401/11/25, 11059, 11060
1401/11/24, 11052, 11053
1401/11/23, 11045, 11046
1401/11/19, 11026, 11027
1401/11/18, 11013, 11014
1401/11/17, 11005, 11006
1401/11/16, 10997, 10998
1401/11/12, 10979, 10981
1401/11/11, 10965, 10966
1401/11/10, 10958, 10959
1401/11/09, 10950, 10951
1401/11/08, 10941, 10942
1401/11/05, 10929, 10930
1401/11/04, 10918, 10919
1401/11/03, 10910, 10911
1401/11/02, 10902, 10903
1401/11/01, 10893, 10894
1401/10/28, 10879, 10882
1401/10/27, 10870, 10871
1401/10/26, 10861, 10862
1401/10/24, 10845, 10846
1401/10/21, 10831, 10898
1401/10/20, 10822, 10823
1401/10/19, 10813, 10815
1401/10/18, 10806, 10807
1401/10/17, 10798, 10799
1401/10/14, 10786, 10787
1401/10/13, 10777, 10780
1401/10/12, 10767, 10770
1401/10/11, 10760, 10765
1401/10/10, 10752, 10753
1401/10/07, 10739, 10743
1401/10/05, 10720, 10721
1401/10/04, 10714, 10715
1401/10/03, 10708, 10709
1401/09/30, 10688, 10689
1401/09/29, 10682, 10683
1401/09/28, 10676, 10677
1401/09/27, 10670, 10671
1401/09/26, 10664, 10665
1401/09/23, 10645, 10646
1401/09/22, 10639, 10640
1401/09/21, 10633, 10634
1401/09/20, 10626, 10627
1401/09/19, 10620, 10621
1401/09/16, 10602, 10603
1401/09/15, 10595, 10596
1401/09/14, 10589, 10590
1401/09/13, 10582, 10583
1401/09/12, 10576, 10577
1401/09/09, 10563, 10586
1401/09/08, 10554, 10598
1401/09/07, 10547, 10599
1401/09/06, 10540, 10549
1401/09/05, 10533, 10547
1401/09/02, 10512, 10514
1401/09/01, 10506, 10507
1401/08/30, 10500, 10501
1401/08/29, 10494, 10495
1401/08/28, 10488, 10489
1401/08/25, 10469, 10470
1401/08/24, 10462, 10463
1401/08/23, 10456, 10457
1401/08/22, 10450, 10451
1401/08/21, 10444, 10445
1401/08/18, 10426, 10427
1401/08/17, 10419, 10420
1401/08/16, 10413, 10414
1401/08/15, 10407, 10408
1401/08/14, 10401, 10402
1401/08/11, 10381, 10382
1401/08/10, 10375, 10376
1401/08/09, 10368, 10369
1401/08/08, 10362, 10363
1401/08/07, 10355, 10357
1401/08/04, 10342, 10345
1401/08/03, 10334, 10336
1401/08/02, 10327, 10328
1401/08/01, 10320, 10350
1401/07/30, 10314, 10315
1401/07/27, 10301, 10308
1401/07/26, 10294, 10295
1401/07/25, 10286, 10287
1401/07/24, 10279, 10280
1401/07/23, 10271, 10273
1401/07/20, 10259, 10265
1401/07/19, 10251, 10252
1401/07/18, 10244, 10246
1401/07/17, 10237, 10238
1401/07/16, 10230, 10231
1401/07/12, 10211, 10213
1401/07/11, 10203, 10204
1401/07/10, 10196, 10197
1401/07/09, 10188, 10190
1401/07/06, 10172, 10178
1401/07/04, 10160, 10165
1401/07/02, 10150, 10155
1401/06/30, 10134, 10135
1401/06/29, 10128, 10135
1401/06/28, 10122, 10123
1401/06/27, 10117, 10117
1401/06/07, 10000, 10000
