date, min_price, max_price
1402/03/03, 33310, 35930
1402/03/02, 34500, 35260
1402/03/01, 32550, 34060
1402/02/31, 31580, 32900
1402/02/30, 31860, 33750
1402/02/27, 32000, 33700
1402/02/25, 31600, 33380
1402/02/24, 30970, 33800
1402/02/23, 32590, 33580
1402/02/20, 33600, 35800
1402/02/19, 35360, 35370
1402/02/18, 36250, 36250
1402/02/17, 37820, 40400
1402/02/16, 39000, 41250
1402/02/13, 40140, 42290
1402/02/12, 40970, 42460
1402/02/11, 41790, 42500
1402/02/10, 42000, 44480
1402/02/09, 40000, 43230
1402/02/06, 39500, 41230
1402/02/05, 38860, 39300
1402/02/04, 36630, 37590
1402/01/30, 34310, 37340
1402/01/29, 34800, 36340
1402/01/28, 32000, 35120
1402/01/27, 31660, 34390
1402/01/26, 31950, 33020
1402/01/22, 30010, 32440
1402/01/21, 29990, 32120
1402/01/20, 30870, 32000
1402/01/19, 30220, 31880
1402/01/16, 29660, 30930
1402/01/15, 30300, 32790
1402/01/14, 30900, 33000
1402/01/09, 30750, 32430
1402/01/08, 30000, 31140
1402/01/07, 28000, 29790
1402/01/06, 27310, 28900
1402/01/05, 27970, 29820
1401/12/28, 28330, 29520
1401/12/27, 27430, 28260
1401/12/24, 25850, 27400
1401/12/23, 25590, 26730
1401/12/22, 25330, 26960
1401/12/21, 26000, 27000
1401/12/20, 26630, 27500
1401/12/16, 26380, 27190
1401/12/15, 26000, 27480
1401/12/14, 26500, 27850
1401/12/13, 26910, 29000
1401/12/10, 26570, 28580
1401/12/09, 26830, 27700
1401/12/08, 26360, 27800
1401/12/07, 26790, 28190
1401/12/06, 26610, 27990
1401/12/03, 25110, 27710
1401/12/02, 25520, 26810
1401/12/01, 25250, 26390
1401/11/30, 24780, 26100
1401/11/26, 25050, 26290
1401/11/25, 24880, 25780
1401/11/24, 24250, 25770
1401/11/23, 24190, 26480
1401/11/19, 25450, 25450
1401/11/18, 23390, 24250
1401/11/17, 22620, 23800
1401/11/16, 23110, 25450
1401/11/12, 23150, 24620
1401/11/11, 23000, 24290
1401/11/10, 23150, 24750
1401/11/09, 24170, 26000
1401/11/08, 24510, 26200
1401/11/05, 24870, 27140
1401/11/04, 25240, 27350
1401/11/03, 25710, 27770
1401/11/02, 26640, 29100
1401/11/01, 27000, 28470
1401/10/28, 26980, 27950
1401/10/27, 27720, 29270
1401/10/26, 26900, 27940
1401/10/24, 24820, 26760
1401/10/21, 24560, 26060
1401/10/20, 24600, 26060
1401/10/19, 23710, 25890
1401/10/18, 24200, 25160
1401/10/17, 23270, 24070
1401/10/14, 22620, 23640
1401/10/13, 22920, 23980
1401/10/12, 22800, 23600
1401/10/11, 22300, 23300
1401/10/10, 23260, 24390
1401/10/07, 23960, 25150
1401/10/05, 23400, 24760
1401/10/04, 23530, 23950
1401/10/03, 22700, 23440
1401/09/30, 21910, 23140
1401/09/29, 22480, 23800
1401/09/28, 23200, 23990
1401/09/27, 23000, 23860
1401/09/26, 23400, 24100
1401/09/23, 23230, 24230
1401/09/22, 22960, 24280
1401/09/21, 22900, 24080
1401/09/20, 22970, 24400
1401/09/19, 21550, 23810
1401/09/16, 22300, 23200
1401/09/15, 22290, 23180
1401/09/14, 22490, 23200
1401/09/13, 22710, 23500
1401/09/12, 22410, 23170
1401/09/09, 21770, 23120
1401/09/08, 21760, 22190
1401/09/07, 21700, 22190
1401/09/06, 21680, 22280
1401/09/05, 21510, 22680
1401/09/02, 21450, 21990
1401/09/01, 21150, 22190
1401/08/30, 21710, 22300
1401/08/29, 21500, 22140
1401/08/28, 21200, 22000
1401/08/25, 21360, 22100
1401/08/24, 21740, 22440
1401/08/23, 21420, 22550
1401/08/22, 21440, 22390
1401/08/21, 21450, 22440
1401/08/18, 21220, 22190
1401/08/17, 21720, 23740
1401/08/16, 22400, 23370
1401/08/15, 22080, 23000
1401/08/14, 21740, 22720
1401/08/11, 20600, 21720
