date, min_price, max_price
1402/02/27, 84000, 88500
1402/02/25, 80900, 87400
1402/02/24, 77600, 85450
1402/02/23, 78000, 82350
1402/02/20, 78250, 85250
1402/02/19, 77200, 83000
1402/02/18, 82950, 83500
1402/02/17, 87550, 95950
1402/02/16, 93000, 95500
1402/02/13, 92050, 96900
1402/02/12, 91900, 96900
1402/02/11, 91850, 99000
1402/02/10, 94000, 99950
1402/02/09, 97450, 102600
1402/02/06, 91200, 100300
1402/02/05, 90950, 94400
1402/02/04, 83550, 90950
1402/01/30, 85000, 88950
1402/01/29, 84700, 92500
1402/01/28, 84900, 89850
1402/01/27, 84000, 90000
1402/01/26, 81400, 87000
1402/01/22, 79000, 84500
1402/01/21, 80000, 85500
1402/01/20, 82050, 85350
1402/01/19, 74000, 80650
1402/01/16, 72750, 76500
1402/01/15, 73300, 76000
1402/01/14, 72050, 74450
1402/01/09, 72750, 74800
1402/01/08, 72700, 74850
1402/01/07, 70500, 75000
1402/01/06, 71900, 76150
1402/01/05, 75300, 77800
1401/12/28, 75900, 79800
1401/12/27, 72400, 79450
1401/12/24, 72000, 76200
1401/12/23, 70600, 73550
1401/12/22, 71100, 76000
1401/12/21, 72500, 75950
1401/12/20, 73750, 77500
1401/12/16, 72550, 76200
1401/12/15, 70550, 76000
1401/12/14, 70000, 76350
1401/12/13, 69850, 72100
1401/12/10, 72000, 74600
1401/12/09, 72500, 75000
1401/12/08, 70150, 75400
1401/12/07, 72050, 77600
1401/12/06, 68050, 72800
1401/12/03, 66950, 71200
1401/12/02, 67700, 69900
1401/12/01, 60600, 65750
1401/11/30, 59050, 62600
1401/11/26, 58600, 61250
1401/11/25, 58650, 60250
1401/11/24, 58750, 61000
1401/11/23, 58300, 63050
1401/11/19, 60200, 63400
1401/11/18, 60050, 63750
1401/11/17, 58200, 63000
1401/11/16, 60000, 64550
1401/11/12, 62350, 66000
1401/11/11, 62700, 64600
1401/11/10, 56400, 64000
1401/11/09, 60300, 62800
1401/11/08, 63000, 66900
1401/11/05, 63550, 71050
1401/11/04, 64100, 68300
1401/11/03, 60700, 64050
1401/11/02, 58000, 61800
1401/11/01, 57100, 60150
1401/10/28, 55150, 58000
1401/10/27, 56000, 57900
1401/10/26, 55600, 59250
1401/10/24, 54550, 57950
1401/10/21, 55100, 59600
1401/10/20, 56150, 61000
1401/10/19, 55150, 58950
1401/10/18, 52650, 55600
1401/10/17, 51450, 52900
1401/10/14, 50500, 52000
1401/10/13, 50300, 53000
1401/10/12, 50850, 51400
1401/10/11, 49600, 51000
1401/10/10, 49500, 53250
1401/10/07, 50300, 54150
1401/10/05, 50600, 51800
1401/10/04, 51100, 54950
1401/10/03, 51050, 53600
1401/09/30, 47100, 50900
1401/09/29, 46950, 48200
1401/09/28, 45600, 48150
1401/09/27, 45800, 48200
1401/09/26, 44850, 46250
1401/09/23, 45100, 46250
1401/09/22, 44200, 46000
1401/09/21, 44000, 45150
1401/09/20, 43950, 44900
1401/09/19, 43250, 44900
1401/09/16, 43400, 44900
1401/09/15, 44300, 45200
1401/09/14, 43600, 45000
1401/09/13, 43750, 45350
1401/09/12, 42550, 45450
1401/09/09, 42650, 44500
1401/09/08, 41450, 43850
1401/09/07, 41200, 41950
1401/09/06, 41100, 41750
1401/09/05, 41300, 41950
1401/09/02, 41350, 42350
1401/09/01, 41000, 42000
1401/08/30, 41250, 42050
1401/08/29, 40850, 42100
1401/08/28, 40250, 42150
1401/08/25, 41100, 42000
1401/08/24, 40800, 42100
1401/08/23, 41100, 42500
1401/08/22, 40700, 42600
1401/08/21, 41450, 42800
1401/08/18, 40000, 42600
1401/08/17, 41150, 43350
1401/08/16, 39950, 43000
1401/08/15, 39900, 41150
1401/08/14, 39150, 41200
1401/08/11, 39350, 40500
1401/08/10, 39050, 40500
1401/08/09, 38850, 40500
1401/08/08, 38600, 39750
1401/08/07, 38700, 39800
1401/08/04, 38700, 40400
1401/08/03, 38700, 40600
1401/08/02, 39650, 41650
1401/08/01, 40550, 42750
1401/07/30, 38900, 40350
1401/07/27, 37050, 38300
1401/07/26, 37000, 38300
1401/07/25, 37300, 38800
1401/07/24, 37250, 37850
1401/07/23, 37550, 38550
1401/07/20, 37600, 38800
1401/07/19, 37800, 38900
1401/07/18, 37700, 38850
1401/07/17, 37400, 38850
1401/07/16, 36800, 39000
1401/07/12, 37150, 38450
1401/07/11, 36500, 39000
1401/07/10, 36800, 39200
1401/07/09, 37550, 39400
1401/07/06, 37150, 39450
1401/07/04, 37100, 39000
1401/07/02, 37100, 39450
1401/06/30, 38750, 39950
1401/06/29, 39350, 40000
1401/06/28, 39400, 40300
1401/06/27, 39350, 40200
1401/06/23, 39200, 40350
1401/06/22, 39750, 40700
1401/06/21, 38750, 40700
1401/06/20, 39600, 39950
1401/06/19, 39250, 40150
1401/06/16, 39150, 40200
1401/06/15, 39200, 40300
1401/06/14, 39050, 40150
1401/06/13, 38600, 40250
1401/06/12, 38800, 40500
1401/06/09, 38800, 40400
1401/06/08, 39700, 40450
1401/06/07, 39750, 40550
1401/06/06, 39500, 40500
1401/06/02, 39600, 40600
1401/06/01, 38950, 40750
1401/05/31, 39350, 40900
1401/05/30, 39800, 41100
1401/05/29, 38250, 41000
1401/05/26, 38950, 40600
1401/05/25, 36950, 38950
1401/05/24, 35850, 37700
1401/05/23, 36500, 37850
1401/05/22, 34550, 37650
1401/05/19, 35000, 37100
1401/05/18, 36050, 36850
1401/05/15, 34400, 36450
1401/05/12, 33900, 34850
1401/05/11, 31950, 33750
1401/05/10, 31850, 32850
1401/05/09, 31850, 33500
1401/05/08, 32650, 33850
1401/05/05, 32550, 33950
1401/05/04, 32400, 34950
1401/05/03, 33950, 35450
1401/05/02, 35100, 36700
1401/05/01, 36250, 37950
1401/04/29, 36250, 37500
1401/04/28, 35900, 36650
1401/04/26, 36000, 37000
1401/04/25, 35700, 37100
1401/04/22, 35250, 36150
