date, min_price, max_price
1402/03/02, 149000, 153150
1402/03/01, 140010, 146330
1402/02/31, 135810, 143930
1402/02/30, 138000, 149790
1402/02/27, 137660, 149990
1402/02/25, 139800, 148280
1402/02/24, 134000, 147150
1402/02/23, 139650, 145000
1402/02/20, 143890, 158850
1402/02/19, 151460, 151460
1402/02/18, 159430, 159430
1402/02/17, 167120, 174000
1402/02/16, 164420, 181660
1402/02/13, 165480, 173750
1402/02/12, 165480, 165480
1402/02/11, 157600, 157600
1402/02/06, 150100, 150100
1402/02/05, 142960, 142960
1402/02/04, 136160, 136160
1402/01/30, 129680, 129680
1402/01/29, 123510, 123510
1402/01/28, 117630, 117630
1402/01/27, 110100, 112150
1402/01/26, 104770, 106810
1402/01/22, 99690, 103550
1402/01/21, 98730, 108990
1402/01/20, 101000, 106600
1402/01/19, 102100, 105220
1402/01/16, 95200, 103560
1402/01/15, 96560, 105000
1402/01/14, 95320, 104000
1402/01/09, 97500, 100080
1402/01/08, 91660, 96060
1402/01/07, 88000, 93600
1402/01/06, 86530, 94000
1402/01/05, 88000, 89970
1401/12/28, 84100, 85760
1401/12/27, 80000, 82140
1401/12/24, 74670, 78610
1401/12/23, 74000, 76050
1401/12/22, 75510, 78900
1401/12/21, 76560, 80000
1401/12/20, 79330, 81980
1401/12/16, 77500, 80990
1401/12/15, 77000, 79200
1401/12/14, 72800, 77010
1401/12/13, 72010, 75400
1401/12/10, 73400, 77230
1401/12/09, 74270, 77720
1401/12/08, 74190, 77720
1401/12/07, 75100, 80400
1401/12/06, 75500, 76670
1401/12/03, 71140, 74870
1401/12/02, 72940, 76490
1401/12/01, 72940, 72940
1401/11/30, 67500, 71310
1401/11/26, 67060, 69180
1401/11/25, 68710, 71380
1401/11/24, 70610, 72470
1401/11/23, 70900, 74570
1401/11/19, 73150, 76850
1401/11/18, 74650, 77530
1401/11/17, 73020, 76590
1401/11/16, 71550, 75140
1401/11/12, 70310, 73740
1401/11/11, 69700, 73570
1401/11/10, 70260, 74790
1401/11/09, 73650, 77660
1401/11/08, 74400, 79290
1401/11/05, 76070, 81600
1401/11/04, 78570, 82400
1401/11/03, 78300, 84000
1401/11/02, 77500, 82980
1401/11/01, 79640, 84880
1401/10/28, 82000, 85900
1401/10/27, 83870, 88800
1401/10/26, 84500, 87390
1401/10/24, 82100, 85000
1401/10/21, 77000, 81880
1401/10/20, 76730, 80680
1401/10/19, 77040, 80500
1401/10/18, 75730, 78750
1401/10/17, 72580, 76040
1401/10/14, 71000, 74700
1401/10/13, 71350, 75200
1401/10/12, 72470, 75850
1401/10/11, 71510, 76300
1401/10/10, 74750, 78000
1401/10/07, 76520, 80340
1401/10/05, 75510, 78470
1401/10/04, 75770, 79350
1401/10/03, 73310, 76760
1401/09/30, 72050, 73990
1401/09/29, 70500, 73290
1401/09/28, 70500, 73540
1401/09/27, 72300, 75780
1401/09/26, 71010, 74390
1401/09/23, 68100, 72720
1401/09/22, 67430, 70700
1401/09/21, 65440, 68000
1401/09/20, 63020, 65850
1401/09/19, 64310, 67410
1401/09/16, 66950, 68850
1401/09/15, 66100, 67780
1401/09/14, 66750, 68690
1401/09/13, 64210, 67500
1401/09/12, 65070, 68480
1401/09/09, 66700, 68900
1401/09/08, 67860, 69950
1401/09/07, 68500, 70490
1401/09/06, 66880, 69750
1401/09/05, 66200, 68490
1401/09/02, 63510, 67240
1401/09/01, 63400, 65010
1401/08/30, 63320, 65500
1401/08/29, 63680, 65500
1401/08/28, 62220, 65250
1401/08/25, 63700, 66780
1401/08/24, 65010, 66900
1401/08/23, 64030, 69800
1401/08/22, 65920, 67580
1401/08/21, 62910, 66000
1401/08/18, 62010, 64810
1401/08/17, 62010, 66880
1401/08/16, 61910, 64330
1401/08/15, 59610, 62700
