date, min_price, max_price
1402/03/03, 4310, 4460
1402/03/02, 4260, 4570
1402/03/01, 4138, 4398
1402/02/31, 4130, 4370
1402/02/30, 4326, 4651
1402/02/27, 4640, 4750
1402/02/23, 4018, 4590
1402/02/20, 4220, 4820
1402/02/19, 4450, 4800
1402/02/18, 4780, 4780
1402/02/17, 5100, 5510
1402/02/16, 5320, 5630
1402/02/13, 5360, 5560
1402/02/12, 5400, 5640
1402/02/11, 5450, 5780
1402/02/10, 5590, 6010
1402/02/09, 5620, 5910
1402/02/06, 5373, 5719
1402/02/05, 5026, 5384
1402/02/04, 4860, 5230
1402/01/30, 5000, 5500
1402/01/28, 4923, 5226
1402/01/27, 4601, 4923
1402/01/26, 4380, 4656
1402/01/22, 4170, 4478
1402/01/21, 4150, 4517
1402/01/20, 4000, 4231
1402/01/19, 3780, 3961
1402/01/16, 3566, 3762
1402/01/15, 3554, 3800
1402/01/14, 3480, 3800
1402/01/09, 3530, 3689
1402/01/08, 3326, 3638
1402/01/07, 3333, 3456
1402/01/06, 3300, 3474
1402/01/05, 3334, 3579
1401/12/28, 3250, 3590
1401/12/27, 3384, 3540
1401/12/24, 3270, 3450
1401/12/23, 3212, 3460
1401/12/22, 3271, 3449
1401/12/21, 3300, 3518
1401/12/20, 3210, 3432
1401/12/16, 2956, 3251
1401/12/15, 2951, 3100
1401/12/14, 3037, 3130
1401/12/13, 3021, 3139
1401/12/10, 3020, 3180
1401/12/09, 3137, 3296
1401/12/08, 3200, 3350
1401/12/07, 3285, 3580
1401/12/06, 3160, 3438
1401/12/03, 3140, 3331
1401/12/02, 3160, 3340
1401/12/01, 3152, 3279
1401/11/30, 3062, 3180
1401/11/26, 2942, 3150
1401/11/25, 3054, 3180
1401/11/24, 3029, 3150
1401/11/23, 3017, 3130
1401/11/19, 3016, 3170
1401/11/18, 3000, 3130
1401/11/17, 2801, 3039
1401/11/16, 2840, 3090
1401/11/12, 3000, 3140
1401/11/11, 2965, 3163
1401/11/10, 2781, 2991
1401/11/09, 2936, 3150
1401/11/08, 3038, 3214
1401/11/05, 3060, 3203
1401/11/04, 3150, 3350
1401/11/03, 3210, 3427
1401/11/02, 3240, 3490
1401/11/01, 3215, 3510
1401/10/28, 3211, 3450
1401/10/27, 3300, 3554
1401/10/26, 3318, 3536
1401/10/24, 3040, 3412
1401/10/21, 3020, 3298
1401/10/20, 3030, 3254
1401/10/19, 3150, 3256
1401/10/18, 3130, 3284
1401/10/17, 3180, 3363
1401/10/14, 3143, 3143
1401/10/13, 3032, 3032
1401/10/03, 4470, 4650
1401/09/30, 4434, 4650
1401/09/29, 4420, 4545
1401/09/28, 4350, 4643
1401/09/27, 4516, 4830
1401/09/26, 4380, 4547
1401/09/23, 4168, 4419
1401/09/22, 4112, 4300
1401/09/21, 4101, 4239
1401/09/20, 4087, 4212
1401/09/19, 4087, 4218
1401/09/16, 4101, 4200
1401/09/15, 4112, 4280
1401/09/14, 4086, 4185
1401/09/13, 4012, 4173
1401/09/12, 4011, 4259
1401/09/09, 4050, 4251
1401/09/08, 3928, 4150
1401/09/07, 4051, 4146
1401/09/06, 4010, 4300
1401/09/05, 4030, 4155
1401/09/02, 4037, 4119
1401/09/01, 4020, 4138
1401/08/30, 4043, 4147
1401/08/29, 4050, 4200
1401/08/28, 4020, 4140
1401/08/25, 4020, 4340
1401/08/24, 4003, 4300
1401/08/23, 4000, 4200
1401/08/22, 4006, 4299
1401/08/21, 4199, 4232
1401/08/18, 3850, 4129
1401/08/17, 3871, 4000
1401/08/16, 3701, 3920
1401/08/15, 3662, 3838
1401/08/14, 3593, 3799
1401/08/11, 3601, 3800
1401/08/10, 3587, 3698
1401/08/09, 3612, 3809
1401/08/08, 3331, 3750
1401/08/07, 3409, 3665
1401/08/04, 3420, 3632
1401/08/03, 3580, 3670
1401/08/02, 3598, 3750
1401/08/01, 3700, 3767
1401/07/30, 3650, 3771
1401/07/27, 3646, 3770
1401/07/26, 3573, 3840
1401/07/25, 3723, 3800
1401/07/24, 3681, 3815
1401/07/23, 3800, 3889
1401/07/20, 3781, 3871
1401/07/19, 3816, 3890
1401/07/18, 3705, 3900
1401/07/17, 3641, 3842
1401/07/16, 3835, 3945
1401/07/12, 3823, 3941
1401/07/11, 3806, 3958
1401/07/10, 3848, 3900
1401/07/09, 3800, 3941
1401/07/06, 3917, 4037
1401/07/04, 3800, 3999
1401/07/02, 3750, 3990
1401/06/30, 3900, 4005
1401/06/29, 3982, 4030
1401/06/28, 3960, 4048
1401/06/27, 3986, 4079
1401/06/23, 3990, 4093
1401/06/22, 4000, 4077
1401/06/21, 3990, 4074
1401/06/20, 3983, 4072
1401/06/19, 3990, 4200
1401/06/16, 4111, 4219
1401/06/15, 4101, 4236
1401/06/14, 4100, 4260
1401/06/13, 4160, 4307
1401/06/12, 4135, 4240
1401/06/09, 4100, 4290
1401/06/08, 4225, 4375
1401/06/07, 4181, 4300
1401/06/06, 4134, 4290
1401/06/05, 4127, 4430
1401/06/02, 4227, 4368
1401/06/01, 4210, 4358
1401/05/31, 4026, 4260
1401/05/30, 4012, 4099
1401/05/29, 4002, 4099
1401/05/26, 3920, 4067
1401/05/25, 3990, 4079
1401/05/24, 3961, 4088
1401/05/23, 3920, 4112
1401/05/22, 4017, 4100
1401/05/19, 4000, 4054
1401/05/18, 3955, 4079
1401/05/15, 4020, 4140
1401/05/12, 4000, 4096
1401/05/11, 3990, 4080
1401/05/10, 3980, 4099
1401/05/09, 3930, 4185
1401/05/08, 4000, 4199
1401/05/05, 4032, 4175
1401/05/04, 3981, 4150
1401/05/03, 4010, 4229
1401/05/02, 4181, 4274
1401/05/01, 4180, 4295
1401/04/29, 4168, 4300
1401/04/28, 4060, 4260
1401/04/26, 4101, 4299
1401/04/25, 4101, 4336
1401/04/22, 4145, 4480
1401/04/18, 4260, 4374
1401/04/15, 4290, 4409
1401/04/14, 4301, 4488
1401/04/13, 4330, 4491
1401/04/12, 4300, 4499
1401/04/11, 4292, 4475
1401/04/08, 4350, 4602
1401/04/07, 4423, 4639
1401/04/06, 4370, 4510
1401/04/05, 4325, 4503
1401/04/04, 4410, 4640
1401/04/01, 4500, 4640
1401/03/31, 4400, 4596
1401/03/30, 4341, 4640
1401/03/29, 4550, 4724
1401/03/28, 4530, 4736
1401/03/25, 4485, 4600
1401/03/24, 4570, 4750
1401/03/23, 4620, 4825
1401/03/22, 4406, 4670
1401/03/21, 4390, 4490
1401/03/18, 4305, 4420
1401/03/17, 4236, 4480
1401/03/16, 4322, 4679
1401/03/11, 4531, 4695
1401/03/10, 4474, 4699
1401/03/09, 4500, 4773
1401/03/08, 4510, 4680
1401/03/07, 4597, 4990
1401/03/04, 4850, 4990
1401/03/03, 4850, 5090
1401/03/02, 4900, 5050
1401/02/27, 5380, 5760
1401/02/26, 5500, 5750
1401/02/25, 5560, 5940
1401/02/24, 5870, 6400
1401/02/21, 5940, 6370
1401/02/20, 5910, 6290
1401/02/19, 6040, 6320
1401/02/18, 5590, 6130
1401/02/17, 5560, 6020
1401/02/12, 5600, 5880
1401/02/11, 5540, 5780
1401/02/10, 5660, 5880
1401/02/07, 5650, 5990
1401/02/06, 5640, 5990
1401/02/05, 5500, 6020
1401/02/04, 5570, 5760
1401/01/31, 5600, 5790
1401/01/30, 5540, 5900
1401/01/29, 5450, 5700
1401/01/28, 5440, 5700
1401/01/27, 5600, 5840
1401/01/24, 5370, 5630
1401/01/23, 5280, 5530
1401/01/22, 5030, 5300
1401/01/21, 4910, 5170
