date, min_price, max_price
1402/02/31, 189250, 193000
1402/02/30, 189850, 197000
1402/02/27, 188000, 196400
1402/02/25, 189850, 197000
1402/02/24, 191000, 199900
1402/02/23, 187300, 192900
1402/02/20, 183500, 200350
1402/02/19, 185900, 201700
1402/02/18, 195650, 195650
1402/02/17, 203850, 212700
1402/02/16, 211400, 216500
1402/02/13, 212050, 219900
1402/02/12, 215000, 219050
1402/02/11, 214000, 222000
1402/02/10, 214150, 222300
1402/02/09, 213500, 222200
1402/02/06, 213950, 219300
1402/02/05, 203000, 212500
1402/02/04, 201150, 210000
1402/01/30, 206000, 213900
1402/01/29, 208500, 220000
1402/01/28, 211000, 227000
1402/01/27, 209550, 227850
1402/01/26, 214000, 217050
1402/01/22, 200100, 207700
1402/01/21, 197850, 197850
1402/01/20, 183000, 191600
1402/01/19, 178550, 186950
1402/01/16, 177450, 183500
1402/01/15, 170500, 181900
1402/01/14, 173650, 182750
1402/01/09, 181100, 183550
1402/01/08, 181000, 185000
1402/01/07, 181200, 185200
1402/01/06, 181050, 185700
1402/01/05, 181850, 187600
1401/12/28, 181850, 187600
1401/12/27, 184600, 187350
1401/12/24, 181200, 185850
1401/12/23, 182650, 186750
1401/12/22, 183650, 187500
1401/12/21, 180000, 184500
1401/12/20, 183000, 186550
1401/12/16, 181700, 184900
1401/12/15, 181400, 185400
1401/12/14, 179100, 185100
1401/12/13, 181650, 186700
1401/12/10, 182300, 187500
1401/12/09, 182300, 187300
1401/12/08, 181000, 189000
1401/12/07, 185000, 190750
1401/12/06, 183800, 189000
1401/12/03, 180750, 184800
1401/12/02, 180000, 185800
1401/12/01, 181250, 186300
1401/11/30, 177800, 182300
1401/11/26, 177100, 179950
1401/11/25, 173500, 180900
1401/11/24, 176000, 181900
1401/11/23, 178750, 182400
1401/11/19, 181050, 185000
1401/11/18, 182000, 185950
1401/11/17, 181250, 187650
1401/11/16, 180500, 187500
1401/11/12, 181650, 187000
1401/11/11, 178100, 184750
1401/11/10, 179800, 184000
1401/11/09, 180450, 183000
1401/11/08, 180000, 186000
1401/11/05, 182450, 188000
1401/11/04, 183600, 188000
1401/11/03, 181300, 187700
1401/11/02, 182000, 185400
1401/11/01, 177850, 183000
1401/10/28, 177050, 179950
1401/10/27, 177100, 183000
1401/10/26, 177550, 181950
1401/10/24, 176300, 180100
1401/10/21, 174100, 180800
1401/10/20, 177100, 181850
1401/10/19, 177650, 180900
1401/10/18, 176200, 181000
1401/10/17, 175950, 181000
1401/10/14, 175600, 178150
1401/10/13, 175700, 177950
1401/10/12, 175500, 178400
1401/10/11, 175300, 178850
1401/10/10, 175000, 179050
1401/10/07, 177800, 179150
1401/10/05, 175000, 178400
1401/10/04, 175200, 178950
1401/10/03, 175650, 179000
1401/09/30, 177000, 179150
1401/09/29, 175800, 178900
1401/09/28, 175200, 179050
1401/09/27, 174550, 179500
1401/09/26, 175350, 179000
1401/09/23, 177100, 178950
1401/09/22, 176150, 179900
1401/09/21, 177700, 178950
1401/09/20, 176500, 178950
1401/09/19, 176200, 178900
1401/09/16, 177000, 179900
1401/09/15, 176700, 180050
1401/09/14, 177000, 180150
1401/09/13, 177500, 180250
1401/09/12, 177000, 180200
1401/09/09, 176500, 180000
1401/09/08, 176500, 180300
1401/09/07, 174500, 177750
1401/09/06, 175000, 178000
1401/09/05, 175250, 177200
1401/09/02, 175050, 177000
1401/09/01, 175150, 177900
1401/08/30, 175500, 178450
1401/08/29, 175500, 178950
1401/08/28, 175000, 178900
