date, min_price, max_price
1402/03/03, 14359, 14364
1402/03/02, 14350, 14355
1402/03/01, 14340, 14345
1402/02/31, 14333, 14338
1402/02/30, 14326, 14331
1402/02/27, 14298, 14306
1402/02/25, 14283, 14290
1402/02/24, 14274, 14281
1402/02/23, 14268, 14274
1402/02/20, 14244, 14290
1402/02/19, 14234, 14241
1402/02/18, 14227, 14232
1402/02/17, 14218, 14225
1402/02/16, 14209, 14214
1402/02/13, 14186, 14196
1402/02/12, 14177, 14194
1402/02/11, 14169, 14175
1402/02/10, 14160, 14164
1402/02/09, 14153, 14159
1402/02/06, 14129, 14134
1402/02/05, 14120, 14124
1402/02/04, 14112, 14149
1402/01/30, 14073, 14093
1402/01/29, 14064, 14069
1402/01/28, 14056, 14061
1402/01/27, 14047, 14053
1402/01/26, 14039, 14045
1402/01/22, 14008, 14018
1402/01/21, 13999, 14005
1402/01/20, 13992, 13997
1402/01/19, 13982, 13988
1402/01/16, 13960, 13970
1402/01/15, 13952, 14078
1402/01/14, 13943, 14000
1402/01/09, 13904, 13916
1402/01/08, 13895, 13898
1402/01/07, 13887, 13889
1402/01/06, 13880, 13920
1402/01/05, 13872, 13873
1401/12/28, 13824, 13899
1401/12/27, 13815, 13818
1401/12/24, 13788, 13793
1401/12/23, 13781, 13785
1401/12/22, 13775, 13777
1401/12/21, 13766, 13769
1401/12/20, 13759, 13761
1401/12/16, 13729, 13730
1401/12/15, 13720, 13722
1401/12/14, 13712, 13714
1401/12/13, 13704, 13706
1401/12/10, 13681, 13682
1401/12/09, 13674, 13675
1401/12/08, 13665, 13667
1401/12/07, 13657, 13659
1401/12/06, 13649, 13651
1401/12/03, 13627, 13628
1401/12/02, 13619, 13620
1401/12/01, 13611, 13612
1401/11/30, 13602, 13604
1401/11/26, 13572, 13579
1401/11/25, 13564, 13565
1401/11/24, 13556, 13557
1401/11/23, 13548, 13549
1401/11/19, 13517, 13518
1401/11/18, 13508, 13510
1401/11/17, 13502, 13503
1401/11/16, 13493, 13495
1401/11/12, 13463, 13464
1401/11/11, 13454, 13456
1401/11/10, 13447, 13448
1401/11/09, 13440, 13441
1401/11/08, 13432, 13433
1401/11/05, 13409, 13410
1401/11/04, 13401, 13402
1401/11/03, 13393, 13394
1401/11/02, 13385, 13387
1401/11/01, 13378, 13380
1401/10/28, 13357, 13359
1401/10/27, 13350, 13352
1401/10/26, 13343, 13345
1401/10/24, 13330, 13331
1401/10/21, 13308, 13311
1401/10/20, 13301, 13303
1401/10/19, 13294, 13296
1401/10/18, 13287, 13289
1401/10/17, 13280, 13282
1401/10/14, 13260, 13262
