date, min_price, max_price
1402/03/03, 18338, 19050
1402/03/02, 18500, 18972
1402/03/01, 18370, 19150
1402/02/31, 18034, 18450
1402/02/30, 18120, 18999
1402/02/27, 18000, 18477
1402/02/25, 17794, 18659
1402/02/24, 17950, 18714
1402/02/23, 17282, 18850
1402/02/20, 18056, 19540
1402/02/19, 17700, 19699
1402/02/18, 18272, 20001
1402/02/17, 19535, 21090
1402/02/16, 20504, 21089
1402/02/13, 20101, 21150
1402/02/12, 20012, 21000
1402/02/11, 19412, 20000
1402/02/10, 19440, 19835
1402/02/09, 18751, 19660
1402/02/06, 18901, 19220
1402/02/05, 19010, 19300
1402/02/04, 18750, 19280
1402/01/30, 18501, 19339
1402/01/29, 18272, 19480
1402/01/28, 18001, 18800
1402/01/27, 17999, 18370
1402/01/26, 17700, 18288
1402/01/22, 17100, 17785
1402/01/21, 16500, 18000
1402/01/20, 17249, 17600
1402/01/19, 16301, 17600
1402/01/16, 16647, 16900
1402/01/15, 16582, 16990
1402/01/14, 16253, 16640
1402/01/09, 16269, 16698
1402/01/08, 15956, 16429
1402/01/07, 15530, 16000
1402/01/06, 15864, 15864
1402/01/05, 15639, 15965
1401/12/28, 15500, 15850
1401/12/27, 15000, 15698
1401/12/24, 14410, 14940
1401/12/23, 14170, 14780
1401/12/22, 14102, 14350
1401/12/21, 13622, 14395
1401/12/20, 14145, 14920
1401/12/16, 14411, 14846
1401/12/15, 14060, 14599
1401/12/14, 14224, 14600
1401/12/13, 14100, 14330
1401/12/10, 13930, 14779
1401/12/09, 14400, 14820
1401/12/08, 14067, 14930
1401/12/07, 13893, 14950
1401/12/06, 13300, 14053
1401/12/03, 12600, 13000
1401/12/02, 12562, 13130
1401/12/01, 11799, 12727
1401/11/30, 11421, 11700
1401/11/26, 11305, 11500
1401/11/25, 11349, 11496
1401/11/24, 11400, 11600
1401/11/23, 11361, 11618
1401/11/19, 11510, 11798
1401/11/18, 11494, 11650
1401/11/17, 11256, 11559
1401/11/16, 11300, 11600
1401/11/12, 11501, 11847
1401/11/11, 11445, 11729
1401/11/10, 11000, 11680
1401/11/09, 11001, 11990
1401/11/08, 11520, 11960
1401/11/05, 11756, 12011
1401/11/04, 11800, 12199
1401/11/03, 11910, 12319
1401/11/02, 12000, 12329
1401/11/01, 11910, 12300
1401/10/28, 11920, 12170
1401/10/27, 11955, 12370
1401/10/26, 12023, 12330
1401/10/24, 11700, 12042
1401/10/21, 11900, 12200
1401/10/20, 12061, 12650
1401/10/19, 11915, 12230
1401/10/18, 11979, 12288
1401/10/17, 11750, 11990
1401/10/14, 11700, 11920
1401/10/13, 11421, 12040
1401/10/12, 11800, 12111
1401/10/11, 11401, 11963
1401/10/10, 11202, 12150
1401/10/07, 11610, 12400
1401/10/05, 11220, 11650
1401/10/04, 11200, 11500
1401/10/03, 10883, 11459
1401/09/30, 10727, 10939
1401/09/29, 10602, 10900
1401/09/28, 10416, 10798
1401/09/27, 10450, 10600
1401/09/26, 10130, 10390
1401/09/23, 9936, 10193
1401/09/22, 9770, 10190
1401/09/21, 9569, 9795
1401/09/20, 9480, 9650
1401/09/19, 9400, 9603
1401/09/16, 9586, 9709
1401/09/15, 9600, 9714
1401/09/14, 9617, 9750
1401/09/13, 9651, 9750
1401/09/12, 9700, 9860
1401/09/09, 9732, 9875
1401/09/08, 9690, 9850
1401/09/07, 9690, 9811
1401/09/06, 9644, 9777
1401/09/05, 9666, 9799
1401/09/02, 9653, 9857
1401/09/01, 9651, 9790
1401/08/30, 9730, 9800
1401/08/29, 9710, 9958
1401/08/28, 9672, 9898
1401/08/25, 9803, 9999
1401/08/24, 9820, 9988
1401/08/23, 9882, 10066
1401/08/22, 9918, 10053
1401/08/21, 9970, 10159
1401/08/18, 9900, 10194
1401/08/17, 9900, 10250
1401/08/16, 9472, 10199
1401/08/15, 9412, 9658
1401/08/14, 9020, 9674
1401/08/11, 9002, 9147
1401/08/10, 9100, 9225
1401/08/09, 8974, 9246
1401/08/08, 8855, 9118
1401/08/07, 8803, 9000
1401/08/04, 8701, 9000
1401/08/03, 9020, 9180
1401/08/02, 9081, 9289
1401/08/01, 9186, 9295
1401/07/30, 9214, 9350
1401/07/27, 9255, 9370
1401/07/26, 9350, 9450
1401/07/25, 9301, 9382
1401/07/24, 9310, 9475
1401/07/23, 9423, 9555
