date, min_price, max_price
1402/03/03, 4040, 4175
1402/03/02, 4012, 4188
1402/03/01, 4000, 4150
1402/02/31, 3970, 4089
1402/02/30, 3930, 4200
1402/02/27, 3950, 4194
1402/02/25, 3845, 4099
1402/02/24, 3650, 3930
1402/02/23, 3661, 3800
1402/02/20, 3821, 4300
1402/02/19, 4018, 4298
1402/02/18, 4320, 4320
1402/02/17, 4560, 4972
1402/02/16, 4800, 5000
1402/02/13, 4800, 5044
1402/02/12, 4922, 5079
1402/02/11, 4888, 5200
1402/02/10, 4890, 4962
1402/02/09, 4375, 4702
1402/02/06, 4295, 4499
1402/02/05, 4360, 4554
1402/02/04, 4205, 4440
1402/01/30, 4292, 4470
1402/01/29, 4250, 4490
1402/01/28, 4200, 4359
1402/01/27, 4198, 4490
1402/01/26, 4150, 4277
1402/01/22, 3810, 4050
1402/01/21, 3770, 4122
1402/01/20, 3701, 3965
1402/01/19, 3615, 3828
1402/01/16, 3500, 3650
1402/01/15, 3481, 3710
1402/01/14, 3410, 3650
1402/01/09, 3481, 3660
1402/01/08, 3343, 3495
1402/01/07, 3207, 3390
1402/01/06, 3210, 3348
1402/01/05, 3276, 3400
1401/12/28, 3275, 3425
1401/12/27, 3142, 3362
1401/12/24, 3081, 3170
1401/12/23, 3048, 3110
1401/12/22, 3044, 3110
1401/12/21, 3043, 3157
1401/12/20, 3136, 3234
1401/12/16, 3100, 3189
1401/12/15, 3124, 3190
1401/12/14, 3123, 3200
1401/12/13, 3040, 3235
1401/12/10, 3160, 3310
1401/12/09, 3216, 3329
1401/12/08, 3195, 3320
1401/12/07, 3202, 3468
1401/12/06, 3189, 3339
1401/12/03, 3050, 3274
1401/12/02, 3116, 3294
1401/12/01, 2821, 3100
1401/11/30, 2800, 2959
1401/11/26, 2901, 3035
1401/11/25, 2986, 3066
1401/11/24, 3014, 3090
1401/11/23, 3025, 3110
1401/11/19, 3047, 3150
1401/11/18, 3052, 3169
1401/11/17, 3000, 3116
1401/11/16, 3065, 3268
1401/11/12, 3200, 3320
1401/11/11, 3241, 3440
1401/11/10, 3350, 3489
1401/11/04, 3965, 4180
1401/11/03, 3962, 4139
1401/11/02, 3980, 4168
1401/11/01, 4080, 4231
1401/10/28, 4005, 4138
1401/10/27, 4061, 4250
1401/10/26, 4071, 4260
1401/10/24, 3964, 4170
1401/10/21, 4015, 4320
1401/10/20, 4150, 4417
1401/10/19, 4349, 4540
1401/10/18, 4110, 4296
1401/10/17, 3942, 4215
1401/10/07, 7010, 7440
1401/10/05, 6810, 7020
1401/10/04, 6890, 7160
1401/10/03, 6560, 6890
1401/09/30, 6490, 6660
1401/09/29, 6430, 6650
1401/09/28, 6580, 6770
1401/09/27, 6420, 6650
1401/09/26, 6350, 6690
1401/09/23, 6470, 6960
1401/09/22, 6230, 6540
1401/09/21, 5950, 6210
1401/09/20, 5900, 6080
1401/09/19, 5850, 6060
1401/09/16, 5970, 6150
1401/09/15, 6080, 6170
