date, min_price, max_price
1402/03/03, 12800, 14180
1402/03/02, 13030, 13770
1402/03/01, 13250, 14170
1402/02/31, 13280, 14150
1402/02/30, 13010, 14440
1402/02/27, 12530, 13620
1402/02/25, 12000, 13340
1402/02/24, 11800, 13400
1402/02/23, 12570, 13050
1402/02/20, 13060, 14690
1402/02/19, 14020, 14500
1402/02/18, 14600, 14600
1402/02/17, 15220, 16980
1402/02/16, 15500, 16580
1402/02/13, 15150, 15520
1402/02/12, 13820, 14730
1402/02/11, 13300, 14170
1402/02/10, 13620, 14680
1402/02/09, 13650, 15000
1402/02/06, 13520, 14340
1402/02/05, 13300, 13410
1402/02/04, 12000, 12740
1402/01/30, 11500, 12150
1402/01/27, 11490, 12200
1402/01/26, 12000, 12860
1402/01/21, 11800, 12200
1402/01/20, 11130, 11510
1402/01/19, 10170, 10950
1402/01/16, 9750, 10530
1402/01/15, 9800, 10600
1402/01/14, 10130, 10860
1402/01/09, 10560, 11130
1402/01/08, 9980, 10500
1402/01/07, 9500, 9880
1402/01/06, 8900, 9250
1402/01/05, 8200, 8760
1401/12/28, 8100, 8370
1401/12/27, 8000, 8370
1401/12/24, 7820, 8200
1401/12/23, 7610, 8100
1401/12/22, 7690, 8150
1401/12/21, 7700, 8200
1401/12/20, 8060, 8530
1401/12/16, 8260, 8680
1401/12/15, 8500, 8990
1401/12/14, 8450, 8990
1401/12/13, 8210, 8920
1401/12/10, 8320, 9100
1401/12/09, 8400, 8830
1401/12/08, 7700, 8590
1401/12/07, 7750, 8640
1401/12/06, 7820, 8350
1401/12/03, 7610, 8000
1401/12/02, 7680, 8280
1401/12/01, 7220, 7900
1401/11/30, 7400, 7840
1401/11/26, 7220, 7490
1401/11/25, 6850, 7120
1401/11/24, 6960, 7300
1401/11/23, 6880, 7360
1401/11/19, 7140, 7490
1401/11/18, 7230, 7600
1401/11/17, 7120, 7430
1401/11/16, 7280, 8060
1401/11/12, 7200, 7630
1401/11/11, 6940, 7350
1401/11/10, 6830, 7480
1401/11/09, 7290, 7750
1401/11/08, 7580, 8290
1401/11/05, 7940, 8610
1401/11/04, 8380, 8890
1401/11/03, 8420, 8690
1401/11/02, 7800, 8480
1401/11/01, 8070, 8700
1401/10/28, 8450, 8930
1401/10/27, 8510, 8950
1401/10/26, 8740, 9200
1401/10/24, 8250, 8980
1401/10/21, 8360, 9050
1401/10/20, 8340, 8850
1401/10/19, 8200, 8400
1401/10/18, 8100, 8480
1401/10/17, 8180, 8450
1401/10/12, 7850, 8400
