date, min_price, max_price
1402/03/03, 10023, 10026
1402/03/02, 10013, 10014
1402/03/01, 10006, 10007
1402/02/31, 10198, 10199
1402/02/30, 10190, 10191
1402/02/27, 10175, 10176
1402/02/25, 10161, 10162
1402/02/24, 10152, 10153
1402/02/23, 10146, 10147
1402/02/20, 10131, 10132
1402/02/19, 10119, 10120
1402/02/18, 10112, 10113
1402/02/17, 10105, 10106
1402/02/16, 10098, 10099
1402/02/13, 10082, 10083
1402/02/12, 10076, 10077
1402/02/11, 10070, 10071
1402/02/10, 10063, 10064
1402/02/09, 10057, 10058
1402/02/06, 10042, 10043
1402/02/05, 10032, 10033
1402/02/04, 10025, 10026
1402/01/30, 10197, 10198
1402/01/29, 10184, 10185
1402/01/28, 10178, 10179
1402/01/27, 10171, 10172
1402/01/26, 10165, 10167
1402/01/22, 10146, 10147
1402/01/21, 10133, 10134
1402/01/20, 10127, 10128
1402/01/19, 10121, 10122
1402/01/16, 10106, 10109
1402/01/15, 10095, 10096
1402/01/14, 10089, 10090
1402/01/09, 10066, 10067
1402/01/08, 10051, 10052
1402/01/07, 10043, 10044
1402/01/05, 10028, 10029
1401/12/28, 10183, 10189
1401/12/27, 10172, 10173
1401/12/24, 10166, 10167
1401/12/23, 10148, 10149
1401/12/22, 10142, 10143
1401/12/21, 10136, 10137
1401/12/20, 10129, 10130
1401/12/16, 10110, 10116
1401/12/15, 10099, 10100
1401/12/14, 10093, 10094
1401/12/13, 10087, 10089
1401/12/10, 10070, 10072
1401/12/09, 10060, 10061
1401/12/08, 10053, 10054
1401/12/07, 10046, 10047
1401/12/06, 10040, 10041
1401/12/03, 10023, 10024
1401/12/02, 10013, 10014
1401/12/01, 10006, 10007
1401/11/30, 10184, 10186
1401/11/26, 10165, 10170
1401/11/25, 10155, 10156
1401/11/24, 10149, 10150
1401/11/23, 10143, 10144
1401/11/19, 10122, 10125
1401/11/18, 10112, 10113
1401/11/17, 10106, 10107
1401/11/16, 10100, 10101
1401/11/12, 10079, 10083
1401/11/11, 10072, 10074
1401/11/10, 10065, 10066
1401/11/09, 10059, 10060
1401/11/08, 10052, 10054
1401/11/05, 10033, 10035
1401/11/04, 10025, 10026
1401/11/03, 10018, 10050
1401/11/02, 10012, 10014
1401/11/01, 10006, 10009
1401/10/28, 10179, 10180
1401/10/27, 10173, 10174
1401/10/26, 10167, 10168
1401/10/24, 10155, 10156
1401/10/21, 10138, 10139
1401/10/20, 10131, 10132
1401/10/19, 10124, 10125
1401/10/18, 10118, 10120
1401/10/17, 10111, 10114
1401/10/14, 10092, 10094
1401/10/13, 10083, 10086
1401/10/12, 10076, 10077
1401/10/11, 10069, 10070
1401/10/10, 10063, 10064
1401/10/07, 10044, 10045
1401/10/05, 10031, 10033
1401/10/04, 10025, 10026
1401/10/03, 10018, 10022
1401/09/30, 10182, 10183
1401/09/29, 10175, 10176
1401/09/28, 10168, 10169
1401/09/27, 10162, 10163
1401/09/26, 10156, 10157
1401/09/23, 10137, 10138
1401/09/22, 10130, 10131
1401/09/21, 10124, 10125
1401/09/20, 10119, 10120
1401/09/19, 10113, 10114
1401/09/16, 10093, 10094
1401/09/15, 10078, 10087
1401/09/14, 10077, 10081
1401/09/13, 10074, 10075
1401/09/12, 10069, 10075
1401/09/09, 10052, 10053
1401/09/08, 10046, 10047
1401/09/07, 10040, 10041
1401/09/06, 10034, 10035
1401/09/05, 10028, 10029
1401/09/02, 10011, 10012
1401/09/01, 10005, 10006
1401/08/30, 10175, 10176
1401/08/29, 10166, 10167
1401/08/28, 10161, 10162
1401/08/25, 10144, 10145
1401/08/24, 10138, 10139
1401/08/23, 10132, 10133
1401/08/22, 10126, 10127
1401/08/21, 10120, 10122
1401/08/18, 10104, 10105
1401/08/17, 10097, 10098
1401/08/16, 10092, 10093
1401/08/15, 10086, 10087
1401/08/14, 10080, 10081
1401/08/11, 10063, 10064
1401/08/10, 10057, 10058
1401/08/09, 10051, 10052
1401/08/08, 10046, 10047
1401/08/07, 10040, 10041
1401/08/04, 10023, 10024
1401/08/03, 10017, 10018
1401/08/02, 10011, 10012
1401/08/01, 10006, 10008
1401/07/30, 10169, 10174
1401/07/27, 10155, 10156
1401/07/26, 10150, 10151
1401/07/25, 10144, 10145
1401/07/24, 10138, 10139
1401/07/23, 10132, 10133
1401/07/20, 10115, 10118
1401/07/19, 10109, 10110
1401/07/18, 10104, 10105
1401/07/17, 10098, 10099
1401/07/16, 10092, 10093
1401/07/12, 10074, 10075
1401/07/11, 10067, 10068
1401/07/10, 10062, 10063
1401/07/09, 10055, 10056
1401/07/06, 10037, 10038
1401/07/04, 10025, 10026
1401/07/02, 10012, 10014
1401/06/30, 10177, 10178
1401/06/29, 10169, 10170
1401/06/28, 10163, 10164
1401/06/27, 10158, 10159
1401/06/23, 10137, 10139
1401/06/22, 10131, 10132
1401/06/21, 10125, 10126
1401/06/20, 10119, 10120
1401/06/19, 10112, 10114
1401/06/16, 10101, 10103
1401/06/15, 10093, 10095
1401/06/14, 10088, 10091
1401/06/13, 10082, 10083
1401/06/12, 10075, 10076
1401/06/09, 10055, 10056
1401/06/08, 10048, 10049
1401/06/07, 10041, 10042
1401/06/06, 10034, 10035
1401/04/21, 10000, 10000
