date, min_price, max_price
1402/03/03, 12250, 13180
1402/03/02, 12210, 13390
1402/03/01, 12280, 12720
1402/02/31, 11500, 12240
1402/02/30, 10860, 11580
1402/02/27, 10100, 11290
1402/02/25, 10290, 11350
1402/02/24, 10940, 11390
1402/02/23, 11760, 11760
1402/02/20, 12640, 12640
1402/02/17, 13330, 13600
1402/02/16, 12170, 13000
1402/02/13, 11920, 12500
1402/02/12, 11390, 11890
1402/02/11, 10920, 11740
1402/02/10, 10660, 11740
1402/02/09, 10550, 11400
1402/02/06, 10450, 11350
1402/02/05, 10580, 11130
1402/02/04, 10040, 10880
1402/01/30, 10000, 10730
1402/01/29, 9880, 10230
1402/01/28, 9020, 9880
1402/01/27, 9050, 9680
1402/01/26, 9010, 9620
1402/01/22, 8660, 9250
1402/01/21, 8640, 9310
1402/01/20, 8890, 9390
1402/01/19, 8650, 9110
1402/01/16, 8020, 8890
1402/01/15, 8270, 8670
1402/01/14, 8000, 8460
1402/01/09, 8000, 8470
1402/01/08, 7640, 7990
1402/01/07, 7070, 7540
1402/01/06, 6790, 7310
1402/01/05, 6870, 7190
1401/12/28, 6930, 7240
1401/12/27, 6800, 7150
1401/12/24, 6640, 6800
1401/12/23, 6510, 6730
1401/12/22, 6400, 6670
1401/12/21, 6410, 6600
1401/12/20, 6540, 6940
1401/12/16, 6400, 6720
1401/12/15, 6380, 6650
1401/12/14, 6380, 6810
1401/12/13, 6510, 6880
1401/12/10, 6690, 7160
1401/12/09, 6250, 7000
1401/12/08, 6320, 6710
1401/12/07, 6340, 6820
1401/12/06, 6400, 6680
1401/12/03, 6100, 6430
1401/12/02, 6320, 6740
1401/12/01, 6100, 6470
1401/11/30, 5980, 6200
1401/11/26, 5900, 6140
1401/11/25, 5920, 6240
1401/11/24, 6000, 6380
1401/11/23, 5950, 6290
1401/11/19, 6030, 6490
1401/11/18, 6000, 6540
1401/11/17, 5900, 6410
1401/11/16, 6020, 6500
1401/11/12, 5900, 6410
1401/11/11, 5910, 6350
1401/11/10, 5990, 6400
1401/11/09, 6380, 6750
1401/11/08, 6780, 7180
1401/11/05, 6800, 7630
1401/11/04, 7170, 7550
1401/11/03, 7290, 7870
1401/11/02, 7250, 7800
1401/11/01, 7440, 8040
1401/10/28, 7300, 7950
1401/10/27, 7310, 7990
1401/10/26, 7260, 7680
1401/10/24, 7150, 7580
1401/10/21, 7250, 7900
1401/10/20, 7420, 7800
1401/10/19, 6870, 7560
1401/10/18, 6840, 7210
1401/10/17, 6410, 6980
1401/10/14, 6180, 6900
1401/10/13, 6320, 6620
1401/10/12, 6150, 6400
1401/10/11, 5790, 6290
1401/10/10, 5970, 6410
1401/10/07, 6200, 6630
1401/10/05, 6330, 6570
1401/10/04, 5990, 6370
1401/10/03, 5870, 6060
1401/09/30, 5770, 6000
1401/09/29, 5730, 5910
1401/09/28, 5730, 6060
1401/09/27, 5800, 5990
1401/09/26, 5700, 6010
1401/09/23, 5780, 6090
1401/09/22, 5740, 6150
1401/09/21, 5760, 5950
1401/09/20, 5540, 5880
1401/09/19, 5800, 6310
1401/09/16, 6120, 6360
1401/09/15, 5810, 6190
1401/09/14, 5750, 6190
1401/09/13, 6070, 6360
1401/09/12, 6050, 6470
1401/09/09, 6120, 6550
1401/09/08, 6290, 7150
1401/09/07, 6520, 6920
1401/09/06, 6340, 6670
1401/09/05, 5920, 6330
1401/09/02, 5660, 6100
1401/09/01, 5620, 5970
1401/08/30, 5750, 6310
1401/08/29, 5900, 6210
1401/08/28, 5450, 6120
1401/08/25, 5430, 5780
1401/08/24, 5250, 5560
1401/08/23, 5400, 5790
1401/08/22, 5650, 5980
1401/08/21, 5800, 6120
1401/08/18, 5237, 5895
1401/08/17, 5236, 5555
1401/08/16, 5192, 5192
1401/08/15, 4525, 4991
1401/08/14, 4500, 4730
1401/08/11, 4213, 4600
1401/08/10, 4401, 4670
1401/08/09, 4200, 4488
1401/08/08, 4120, 4380
1401/08/07, 4241, 4580
1401/08/04, 4362, 4565
1401/08/03, 4220, 4540
1401/08/02, 4187, 4400
1401/08/01, 4256, 4460
1401/07/30, 4404, 4550
1401/07/27, 4374, 4478
1401/07/26, 4300, 4449
1401/07/25, 4151, 4344
1401/07/24, 4250, 4468
1401/07/23, 4220, 4590
1401/07/20, 4310, 4480
1401/07/19, 4176, 4424
1401/07/18, 4174, 4350
1401/07/17, 4200, 4477
1401/07/16, 4360, 4540
1401/07/12, 4313, 4520
1401/07/11, 4360, 4579
1401/07/10, 4330, 4650
1401/07/09, 4405, 4690
1401/07/06, 4593, 4700
1401/07/04, 4270, 4641
1401/07/02, 4420, 4627
1401/06/30, 4610, 4870
1401/06/29, 4720, 4940
1401/06/28, 4690, 4920
1401/06/27, 4790, 5070
1401/06/23, 5000, 5270
1401/06/22, 5000, 5380
1401/06/21, 5190, 5440
1401/06/20, 5320, 5820
1401/06/19, 5220, 5530
1401/06/16, 4740, 5290
1401/06/15, 4890, 5050
1401/06/14, 4850, 5110
1401/06/13, 4700, 5000
1401/06/12, 4710, 5000
1401/06/09, 4902, 5089
1401/06/08, 4955, 5194
1401/06/07, 4850, 5149
1401/06/06, 4661, 4960
1401/06/05, 4680, 4965
1401/06/02, 4785, 4995
1401/06/01, 4581, 4811
1401/05/31, 4461, 4665
1401/05/30, 4360, 4590
1401/05/29, 4321, 4620
1401/05/26, 4245, 4485
1401/05/25, 4259, 4455
1401/05/24, 4266, 4450
1401/05/23, 4251, 4447
1401/05/22, 4244, 4444
1401/05/19, 4214, 4457
1401/05/18, 4204, 4550
1401/05/15, 4180, 4425
1401/05/12, 4010, 4247
1401/05/11, 3931, 4142
1401/05/10, 3984, 4178
1401/05/09, 4027, 4307
1401/05/08, 4219, 4421
1401/05/05, 4310, 4475
1401/05/04, 4111, 4367
1401/05/03, 4234, 4506
1401/05/02, 4478, 4760
1401/05/01, 4674, 4900
1401/04/29, 4491, 4756
1401/04/28, 4390, 4585
1401/04/26, 4584, 4988
1401/04/25, 4660, 5094
1401/04/18, 4990, 5300
1401/04/15, 5150, 5480
1401/04/14, 5250, 5510
1401/04/13, 5400, 5760
1401/04/12, 5400, 5580
1401/04/11, 5010, 5490
1401/04/08, 5088, 5319
1401/04/07, 4900, 5069
1401/04/06, 4752, 4951
1401/04/05, 4766, 4990
1401/04/04, 4850, 5030
1401/04/01, 4850, 5080
1401/03/31, 4880, 5240
1401/03/30, 5060, 5240
1401/03/29, 5070, 5320
1401/03/28, 5090, 5390
1401/03/25, 5160, 5410
1401/03/24, 5290, 5640
1401/03/23, 5400, 5670
1401/03/22, 5210, 5580
1401/03/21, 5150, 5530
1401/03/18, 5070, 5370
1401/03/17, 5020, 5360
1401/03/16, 5270, 5690
1401/03/11, 5500, 5860
1401/03/10, 5420, 5790
1401/03/09, 5430, 5800
1401/03/08, 5490, 6060
1401/03/07, 5670, 6090
1401/03/04, 5580, 5920
1401/03/03, 5540, 5900
1401/03/02, 5800, 6100
1401/03/01, 6010, 6440
1401/02/31, 6100, 6530
1401/02/28, 6390, 6800
1401/02/27, 6590, 6910
1401/02/26, 6370, 6740
1401/02/25, 6300, 6600
1401/02/24, 6260, 6530
1401/02/21, 6330, 6570
1401/02/20, 6200, 6450
1401/02/19, 6280, 6600
1401/02/18, 6380, 6990
1401/02/17, 6450, 6780
1401/02/12, 6030, 6590
1401/02/11, 6120, 6430
1401/02/10, 6000, 6380
1401/02/07, 6000, 6130
1401/02/06, 5680, 5900
1401/02/05, 5650, 5910
1401/02/04, 5440, 5960
1401/01/31, 5530, 5850
1401/01/30, 5560, 5790
1401/01/29, 5560, 5910
1401/01/28, 5550, 5850
1401/01/27, 5400, 5710
1401/01/24, 5350, 5670
1401/01/23, 5490, 5730
1401/01/22, 5500, 5820
1401/01/21, 5440, 5690
1401/01/20, 5410, 5730
1401/01/17, 5450, 5640
1401/01/16, 5210, 5560
1401/01/15, 5350, 5780
1401/01/14, 5500, 5700
1401/01/10, 5100, 5454
1401/01/09, 5000, 5320
1401/01/08, 0, 0
1401/01/07, 4900, 5148
1401/01/06, 4800, 5050
1400/12/28, 4700, 4946
1400/12/25, 4600, 4820
1400/12/24, 4623, 4799
1400/12/23, 4670, 4839
1400/12/22, 4620, 4799
1400/12/21, 4648, 4890
1400/12/18, 4770, 4999
1400/12/17, 4802, 5000
1400/12/16, 4851, 5154
1400/12/15, 4700, 4977
1400/12/14, 4636, 4799
1400/12/11, 4617, 4949
1400/12/09, 4773, 5080
1400/12/08, 4852, 5000
1400/12/07, 4552, 4920
1400/12/04, 4441, 4764
1400/12/03, 4466, 4650
1400/12/02, 4356, 4630
1400/12/01, 4459, 4645
1400/11/30, 4600, 4878
1400/11/27, 4430, 4780
1400/11/25, 4510, 4800
1400/11/24, 4710, 4980
1400/11/23, 4870, 5160
1400/11/20, 4880, 5220
1400/11/19, 5040, 5220
1400/11/18, 5300, 5330
1400/11/17, 5540, 5970
1400/11/16, 5660, 5990
1400/11/13, 5790, 6040
1400/11/12, 6000, 6260
1400/11/11, 5900, 6140
1400/11/10, 5700, 5980
1400/11/09, 5530, 5970
1400/11/06, 5760, 6160
1400/11/05, 5790, 5790
1400/11/04, 5820, 5820
1400/11/03, 5850, 5850
1400/11/02, 6070, 6600
1400/10/29, 6350, 6750
1400/10/28, 6450, 6780
1400/10/27, 6640, 6960
1400/10/26, 6420, 7000
1400/10/25, 6580, 7170
1400/10/22, 6360, 6980
1400/10/21, 6360, 6790
1400/10/20, 6580, 6840
1400/10/19, 6660, 7230
1400/10/18, 6780, 7180
1400/10/15, 6978, 7120
1400/10/14, 7134, 7363
1400/10/13, 7226, 7749
