date, min_price, max_price
1402/03/03, 16900, 17000
1402/03/02, 16900, 17095
1402/03/01, 16891, 17350
1402/02/31, 16661, 16987
1402/02/30, 16050, 16400
1402/02/27, 15999, 16200
1402/02/25, 16297, 16493
1402/02/24, 16360, 16949
1402/02/23, 16299, 16389
1402/02/20, 16300, 16799
1402/02/19, 16910, 17200
1402/02/18, 16200, 17000
1402/02/17, 16583, 16850
1402/02/16, 17601, 17969
1402/02/13, 16950, 18099
1402/02/12, 17000, 17730
1402/02/11, 17622, 18500
1402/02/10, 17361, 18095
1402/02/09, 17100, 17899
1402/02/06, 15860, 16650
1402/02/05, 15800, 15900
1402/02/04, 15680, 15990
1402/01/30, 15817, 15914
1402/01/29, 15521, 15900
1402/01/28, 15830, 16000
1402/01/27, 15362, 15710
1402/01/26, 15680, 15900
1402/01/22, 15940, 16100
1402/01/21, 15308, 15850
1402/01/20, 16000, 16069
1402/01/19, 16000, 16200
1402/01/16, 15701, 16250
1402/01/15, 15300, 15700
1402/01/14, 15965, 16480
1402/01/09, 16305, 16695
1402/01/08, 15871, 16140
1402/01/07, 15620, 16088
1402/01/06, 15500, 16200
1402/01/05, 15800, 16150
1401/12/28, 15101, 15348
1401/12/27, 14501, 15000
1401/12/24, 13900, 14429
1401/12/23, 13703, 14252
1401/12/22, 13200, 13440
1401/12/21, 12598, 13387
1401/12/20, 12200, 12999
1401/12/16, 13130, 13650
1401/12/15, 13215, 13990
1401/12/14, 14005, 15000
1401/12/13, 14397, 15222
1401/12/10, 14156, 14900
1401/12/09, 14840, 15403
1401/12/08, 14828, 15899
1401/12/07, 15400, 17084
1401/12/06, 16000, 16441
1401/12/03, 14500, 15090
1401/12/02, 13790, 14600
1401/12/01, 14102, 15377
1401/11/30, 14880, 15338
1401/11/26, 13550, 14188
1401/11/25, 13031, 13450
1401/11/24, 12904, 13075
1401/11/23, 12598, 13096
1401/11/19, 12361, 12472
1401/11/18, 12340, 12497
1401/11/17, 12373, 12550
1401/11/16, 12190, 12340
1401/11/12, 12505, 12697
1401/11/11, 12300, 12601
1401/11/10, 12700, 12999
1401/11/09, 12499, 13131
1401/11/08, 12471, 12875
1401/11/05, 11702, 12370
1401/11/04, 11600, 12298
1401/11/03, 12001, 12854
1401/11/02, 13040, 13690
1401/11/01, 12201, 13100
1401/10/28, 11900, 12299
1401/10/27, 11530, 11996
1401/10/26, 11020, 11400
1401/10/24, 10851, 11199
1401/10/21, 10740, 10800
1401/10/20, 10515, 10790
1401/10/19, 10710, 10900
1401/10/18, 10700, 10979
1401/10/17, 10500, 10779
1401/10/14, 10437, 10500
1401/10/13, 10211, 10701
1401/10/12, 10552, 10800
1401/10/11, 10301, 10648
1401/10/10, 10800, 11020
1401/10/07, 11000, 11250
1401/10/05, 10810, 11100
1401/10/04, 10626, 10897
1401/10/03, 10540, 10897
1401/09/30, 10532, 10559
1401/09/29, 10532, 10584
1401/09/28, 10532, 10540
1401/09/27, 10530, 10553
1401/09/26, 10368, 10712
1401/09/23, 10536, 10700
1401/09/22, 10527, 10995
1401/09/21, 10522, 10569
1401/09/20, 10516, 10540
1401/09/19, 10510, 10555
1401/09/16, 10507, 10520
1401/09/15, 10506, 10560
1401/09/14, 10505, 10575
1401/09/13, 10483, 10600
1401/09/12, 10450, 10564
1401/09/09, 10400, 10469
1401/09/08, 10400, 10600
1401/07/27, 10000, 10000
1401/07/26, 10000, 10000
