date, min_price, max_price
1402/03/03, 16433, 16650
1402/03/02, 16470, 16785
1402/03/01, 16542, 16771
1402/02/31, 16503, 16698
1402/02/30, 16440, 16760
1402/02/27, 16301, 16581
1402/02/25, 16280, 16730
1402/02/24, 16174, 16939
1402/02/23, 15909, 16699
1402/02/20, 16313, 17040
1402/02/19, 16411, 16961
1402/02/18, 15901, 16853
1402/02/17, 16195, 17894
1402/02/16, 17655, 17998
1402/02/13, 17550, 17988
1402/02/12, 17550, 18050
1402/02/11, 17665, 18300
1402/02/10, 17988, 18300
1402/02/09, 17400, 18020
1402/02/06, 17249, 17699
1402/02/05, 17557, 17850
1402/02/04, 17200, 18180
1402/01/30, 17800, 18281
1402/01/29, 17565, 18080
1402/01/28, 17120, 17814
1402/01/27, 16800, 17060
1402/01/26, 16767, 17098
1402/01/22, 16763, 17020
1402/01/21, 16800, 17300
1402/01/20, 17050, 17398
1402/01/19, 16900, 17450
1402/01/16, 16601, 17300
1402/01/15, 16636, 17699
1402/01/14, 17000, 17600
1402/01/09, 17140, 17799
1402/01/08, 16560, 17142
1402/01/07, 16337, 16663
1402/01/06, 16303, 17099
1402/01/05, 16422, 16820
1401/12/28, 16219, 16750
1401/12/27, 16256, 16900
1401/12/24, 16220, 16650
1401/12/23, 15581, 16400
1401/12/22, 15150, 15780
1401/12/21, 14850, 15435
1401/12/20, 15092, 16170
1401/12/16, 15590, 16380
1401/12/15, 15611, 16149
1401/12/14, 16091, 16790
1401/12/13, 16000, 16740
1401/12/10, 15599, 17047
1401/12/09, 16800, 17879
1401/12/08, 17525, 18250
1401/12/07, 17700, 19494
1401/12/06, 17460, 18708
1401/12/03, 16522, 17190
1401/12/02, 16238, 16848
1401/12/01, 16072, 17898
1401/11/30, 16770, 17682
1401/11/26, 16052, 16640
1401/11/25, 15801, 16198
1401/11/24, 15800, 16203
1401/11/23, 15001, 15849
1401/11/19, 14950, 15120
1401/11/18, 15026, 15200
1401/11/17, 14889, 15170
1401/11/16, 14881, 15153
1401/11/12, 15000, 15279
1401/11/11, 14931, 15250
1401/11/10, 14740, 15080
1401/11/09, 14600, 15219
1401/11/08, 14801, 15480
1401/11/05, 14552, 15273
1401/11/04, 15180, 15699
1401/11/03, 15377, 15940
1401/11/02, 14366, 15679
1401/11/01, 14172, 14540
1401/10/28, 14060, 14252
1401/10/27, 14115, 14415
1401/10/26, 14150, 14389
1401/10/24, 14094, 14390
1401/10/21, 14222, 14500
1401/10/20, 14374, 14589
1401/10/19, 14370, 14599
1401/10/18, 14377, 14740
1401/10/17, 14321, 14580
1401/10/14, 14352, 14560
