date, min_price, max_price
1402/03/03, 152000, 153980
1402/03/02, 145000, 148000
1402/03/01, 146100, 150000
1402/02/31, 147490, 149200
1402/02/30, 147150, 152110
1402/02/27, 150710, 154450
1402/02/25, 148250, 153820
1402/02/24, 143010, 152530
1402/02/23, 141970, 151670
1402/02/20, 145000, 155760
1402/02/19, 143760, 149750
1402/02/18, 142390, 145850
1402/02/17, 148110, 157990
1402/02/16, 154930, 159000
1402/02/13, 156100, 164530
1402/02/12, 157800, 164520
1402/02/11, 153000, 160400
1402/02/10, 154900, 160870
1402/02/09, 150030, 154280
1402/02/06, 138810, 147600
1402/02/05, 135270, 142000
1402/02/04, 134260, 138650
1402/01/30, 136000, 139960
1402/01/29, 136810, 141250
1402/01/28, 137800, 140900
1402/01/27, 136600, 142070
1402/01/26, 133610, 138800
1402/01/22, 131410, 135300
1402/01/21, 131510, 139300
1402/01/20, 136300, 141080
1402/01/19, 135020, 141310
1402/01/16, 134000, 139900
1402/01/15, 136400, 142360
1402/01/14, 135430, 139900
1402/01/09, 137500, 143750
1402/01/08, 132050, 137300
1402/01/07, 127250, 132700
1402/01/06, 127710, 133850
1402/01/05, 125000, 131200
1401/12/28, 126500, 132970
1401/12/27, 123040, 127760
1401/12/24, 117980, 122170
1401/12/23, 116260, 117390
1401/12/22, 115740, 117400
1401/12/21, 114800, 117800
1401/12/20, 118680, 123120
1401/12/16, 117900, 123750
1401/12/15, 114760, 118950
1401/12/14, 117770, 121200
1401/12/13, 117180, 120510
1401/12/10, 118200, 124550
1401/12/09, 116280, 124000
1401/12/08, 113600, 120550
1401/12/07, 115000, 118320
1401/12/06, 112690, 112690
1401/12/03, 105300, 109660
1401/12/02, 105500, 107660
1401/12/01, 97830, 102720
1401/11/30, 96600, 99000
1401/11/26, 94720, 96510
1401/11/25, 96150, 97670
1401/11/24, 97350, 99500
1401/11/23, 96900, 99200
1401/11/19, 98650, 99790
1401/11/18, 99000, 100300
1401/11/17, 97000, 99900
1401/11/16, 99310, 100300
1401/11/12, 99540, 100930
1401/11/11, 99100, 100990
1401/11/10, 96150, 100690
1401/11/09, 96170, 100000
1401/11/08, 99370, 101500
1401/11/05, 98560, 101890
1401/11/04, 101520, 103000
1401/11/03, 101900, 105320
1401/11/02, 100540, 105750
1401/11/01, 105800, 106800
1401/10/28, 108630, 112400
1401/10/27, 110020, 111550
1401/10/26, 108610, 111750
1401/10/24, 104850, 110150
1401/10/21, 107840, 112000
1401/10/20, 110040, 113270
1401/10/19, 109750, 113690
1401/10/18, 108870, 112210
1401/10/17, 106200, 108550
1401/10/14, 104520, 108000
1401/10/13, 106190, 112500
1401/10/12, 106450, 111000
1401/10/11, 104470, 111540
1401/10/10, 109930, 111920
1401/10/07, 113100, 115750
1401/10/05, 107230, 110560
1401/10/04, 103500, 105340
1401/10/03, 98820, 100990
1401/09/30, 95750, 97100
1401/09/29, 95600, 97300
1401/09/28, 96070, 98590
1401/09/27, 94000, 98680
1401/09/26, 93500, 95970
1401/09/23, 94200, 98000
1401/09/22, 91900, 95940
1401/09/21, 90190, 91950
1401/09/20, 89860, 91770
1401/09/19, 89250, 91500
1401/09/16, 91500, 93200
1401/09/15, 92310, 93500
1401/09/14, 92880, 93350
1401/09/13, 92660, 94000
1401/09/12, 93200, 94850
1401/09/09, 93800, 96550
1401/09/08, 89960, 94560
1401/09/07, 89530, 90230
1401/09/06, 89040, 91000
1401/09/05, 89090, 91140
1401/09/02, 89860, 90990
1401/09/01, 90060, 90900
1401/08/30, 90160, 91900
1401/08/29, 89520, 92790
