date, min_price, max_price
1402/02/31, 2245, 2379
1402/02/30, 2289, 2499
1402/02/27, 2271, 2450
1402/02/25, 2239, 2420
1402/02/24, 2213, 2371
1402/02/23, 2211, 2370
1402/02/20, 2328, 2600
1402/02/19, 2488, 2675
1402/02/18, 2675, 2690
1402/02/17, 2852, 3050
1402/02/16, 2967, 3329
1402/02/13, 3040, 3238
1402/02/12, 3035, 3157
1402/02/11, 2832, 3088
1402/02/10, 2849, 2940
1402/02/09, 2850, 2985
1402/02/06, 2670, 2960
1402/02/05, 2720, 2970
1402/02/04, 2778, 2900
1402/01/30, 2653, 2790
1402/01/29, 2705, 2884
1402/01/28, 2650, 2873
1402/01/27, 2660, 2910
1402/01/26, 2671, 2801
1402/01/22, 2390, 2664
1402/01/21, 2384, 2580
1402/01/20, 2370, 2500
1402/01/19, 2393, 2530
1402/01/16, 2295, 2400
1402/01/15, 2250, 2399
1402/01/14, 2250, 2400
1402/01/09, 2230, 2343
1402/01/08, 2112, 2223
1402/01/07, 1961, 2113
1402/01/06, 1900, 2070
1402/01/05, 1969, 2071
1401/12/28, 1910, 2019
1401/12/27, 1879, 1990
1401/12/24, 1838, 1905
1401/12/23, 1801, 1874
1401/12/22, 1784, 1870
1401/12/21, 1819, 1972
1401/12/20, 1922, 1990
1401/12/16, 1920, 1980
1401/12/15, 1914, 1979
1401/12/14, 1910, 1998
1401/12/13, 1910, 1966
1401/12/10, 1903, 1989
1401/12/09, 1905, 1990
1401/12/08, 1932, 2010
1401/12/07, 1961, 2110
1401/12/06, 2000, 2082
1401/12/03, 1920, 2030
1401/12/02, 1982, 2149
1401/12/01, 2031, 2112
1401/11/25, 1915, 2051
1401/11/24, 1950, 2110
1401/11/23, 1980, 2068
1401/11/19, 1903, 2022
1401/11/18, 1855, 2050
1401/11/17, 1871, 1986
1401/11/16, 1769, 1868
1401/11/12, 1690, 1785
1401/11/11, 1660, 1783
1401/11/10, 1631, 1828
1401/11/09, 1727, 1900
1401/11/08, 1793, 1900
1401/11/05, 1760, 1920
1401/11/04, 1814, 1938
1401/11/03, 1836, 1998
1401/11/02, 1861, 2040
1401/11/01, 1953, 2144
1401/10/28, 1931, 2116
1401/10/27, 1929, 2100
1401/10/26, 2003, 2077
1401/10/24, 1900, 1999
1401/10/21, 1950, 2116
1401/10/20, 1950, 2042
1401/10/19, 1842, 1986
1401/10/18, 1847, 1940
1401/10/17, 1815, 1908
1401/10/14, 1730, 1838
1401/10/13, 1741, 1870
1401/10/12, 1780, 1878
1401/10/11, 1745, 1930
1401/10/10, 1863, 1936
1401/10/07, 1963, 2082
1401/10/05, 1859, 1961
1401/10/04, 1789, 1885
1401/10/03, 1740, 1857
1401/09/30, 1722, 1830
1401/09/29, 1755, 1877
1401/09/28, 1725, 1837
1401/09/27, 1689, 1769
1401/09/26, 1651, 1768
1401/09/23, 1667, 1750
1401/09/22, 1703, 1800
1401/09/21, 1665, 1758
1401/09/20, 1699, 1808
1401/09/19, 1620, 1704
1401/09/16, 1530, 1596
1401/09/15, 1413, 1525
1401/09/14, 1403, 1475
1401/09/13, 1421, 1485
1401/09/12, 1448, 1485
1401/09/09, 1460, 1540
1401/09/08, 1470, 1515
1401/09/07, 1500, 1527
1401/09/06, 1509, 1526
1401/09/05, 1490, 1520
1401/09/02, 1508, 1525
1401/09/01, 1455, 1560
1401/08/30, 1490, 1544
1401/08/29, 1497, 1565
1401/08/28, 1494, 1569
1401/08/25, 1521, 1578
1401/08/24, 1500, 1572
1401/08/23, 1520, 1580
1401/08/22, 1540, 1595
1401/08/21, 1520, 1598
1401/08/18, 1550, 1589
1401/08/17, 1535, 1625
1401/08/16, 1534, 1630
1401/08/15, 1505, 1574
1401/08/14, 1520, 1590
1401/08/11, 1502, 1584
1401/08/10, 1448, 1508
1401/08/09, 1406, 1458
1401/08/08, 1361, 1430
1401/08/07, 1354, 1453
1401/08/04, 1353, 1435
1401/08/03, 1420, 1448
1401/08/02, 1406, 1454
1401/08/01, 1428, 1460
1401/07/30, 1405, 1460
1401/07/27, 1358, 1440
1401/07/26, 1339, 1369
1401/07/25, 1326, 1351
1401/07/24, 1313, 1364
1401/07/23, 1313, 1389
1401/07/20, 1341, 1369
1401/07/19, 1310, 1393
1401/07/18, 1318, 1350
1401/07/17, 1312, 1388
1401/07/16, 1340, 1400
1401/07/12, 1301, 1375
1401/07/11, 1336, 1409
1401/07/10, 1317, 1390
1401/07/09, 1358, 1396
1401/07/06, 1330, 1392
1401/07/04, 1278, 1350
1401/07/02, 1261, 1336
1401/06/30, 1312, 1360
1401/06/29, 1332, 1375
1401/06/28, 1322, 1399
1401/06/27, 1344, 1400
1401/06/23, 1378, 1400
1401/06/22, 1360, 1406
1401/06/21, 1365, 1394
1401/06/20, 1324, 1398
1401/06/19, 1354, 1430
1401/06/16, 1399, 1465
1401/06/15, 1400, 1494
1401/06/14, 1450, 1513
1401/06/13, 1420, 1475
1401/06/12, 1426, 1482
1401/06/09, 1472, 1517
1401/06/08, 1436, 1518
1401/06/07, 1430, 1510
1401/06/06, 1402, 1460
1401/06/05, 1419, 1504
1401/06/02, 1368, 1447
1401/06/01, 1326, 1390
1401/05/31, 1330, 1414
1401/05/30, 1363, 1450
1401/05/29, 1411, 1488
1401/05/26, 1342, 1435
1401/05/25, 1335, 1400
1401/05/24, 1305, 1360
1401/05/23, 1305, 1387
1401/05/22, 1348, 1400
1401/05/19, 1336, 1389
1401/05/18, 1306, 1364
1401/05/15, 1300, 1354
1401/05/12, 1290, 1340
1401/05/11, 1250, 1290
1401/05/10, 1262, 1300
1401/05/09, 1255, 1314
1401/05/08, 1280, 1371
1401/05/05, 1316, 1383
1401/05/04, 1272, 1380
1401/05/03, 1282, 1370
1401/05/02, 1333, 1399
1401/05/01, 1395, 1465
1401/04/29, 1447, 1519
1401/04/28, 1433, 1513
1401/04/26, 1463, 1550
1401/04/25, 1510, 1600
1401/04/22, 1554, 1619
1401/04/21, 1491, 1580
1401/04/20, 1567, 1648
1401/04/18, 1629, 1690
1401/04/15, 1550, 1656
1401/04/14, 1530, 1584
1401/04/13, 1530, 1587
1401/04/12, 1481, 1594
1401/04/11, 1501, 1611
1401/04/08, 1556, 1659
1401/04/01, 1543, 1635
1401/03/31, 1532, 1649
1401/03/30, 1600, 1679
1401/03/29, 1582, 1670
1401/03/28, 1620, 1735
1401/03/25, 1680, 1775
1401/03/24, 1674, 1759
1401/03/23, 1686, 1787
1401/03/22, 1676, 1776
1401/03/21, 1684, 1807
1401/03/18, 1730, 1814
1401/03/17, 1779, 1850
1401/03/09, 1850, 1969
1401/03/08, 1865, 1979
1401/03/07, 1923, 2097
1401/03/04, 2000, 2135
1401/03/03, 1986, 2149
1401/03/02, 2057, 2210
1401/03/01, 2111, 2260
1401/02/31, 2176, 2264
1401/02/28, 2229, 2425
1401/02/27, 2316, 2374
1401/02/26, 2400, 2487
1401/02/25, 2185, 2431
1401/02/24, 2260, 2354
1401/02/21, 2188, 2340
1401/02/20, 2210, 2320
1401/02/19, 2250, 2419
1401/02/18, 2337, 2460
1401/02/17, 2324, 2460
1401/02/12, 2366, 2475
1401/02/11, 2375, 2480
1401/02/10, 2401, 2560
1401/02/07, 2396, 2519
1401/02/06, 2331, 2478
1401/02/05, 2282, 2400
1401/02/04, 2300, 2469
1401/01/31, 2322, 2460
1401/01/30, 2223, 2333
1401/01/29, 2100, 2210
1401/01/28, 2009, 2129
1401/01/27, 2015, 2076
1401/01/24, 2007, 2074
1401/01/23, 2002, 2098
1401/01/22, 2063, 2187
1401/01/21, 2090, 2179
1401/01/20, 2013, 2114
1401/01/17, 2000, 2130
1401/01/16, 2000, 2046
1401/01/15, 2001, 2099
1401/01/14, 1990, 2088
1401/01/10, 1994, 2090
1401/01/09, 1970, 2048
1401/01/07, 1960, 2080
1401/01/06, 1880, 2003
1400/12/28, 1810, 1940
1400/12/25, 1847, 1910
1400/12/24, 1907, 1907
1400/12/16, 3361, 3565
1400/12/15, 3312, 3525
1400/12/14, 3384, 3660
1400/12/11, 3480, 3679
1400/12/09, 3482, 3656
1400/12/08, 3422, 3539
1400/12/07, 3400, 3570
1400/12/04, 3305, 3471
1400/12/03, 3300, 3392
1400/12/02, 3250, 3380
1400/12/01, 3229, 3327
1400/11/30, 3141, 3290
1400/11/27, 3200, 3289
1400/11/25, 3110, 3264
1400/11/24, 3055, 3205
1400/11/23, 2960, 3129
1400/11/20, 2953, 3076
1400/11/19, 2953, 3136
1400/11/18, 2916, 3059
1400/11/17, 2972, 3113
1400/11/16, 3020, 3116
1400/11/13, 3020, 3140
1400/11/12, 3123, 3245
1400/11/11, 3061, 3208
1400/11/10, 3080, 3199
1400/11/09, 3001, 3220
1400/11/06, 2947, 3200
1400/11/05, 3040, 3210
1400/11/04, 3135, 3280
1400/11/03, 3135, 3240
1400/11/02, 3168, 3455
1400/10/29, 3200, 3360
1400/10/28, 3319, 3520
1400/10/27, 3400, 3600
1400/10/26, 3450, 3605
1400/10/25, 3480, 3676
1400/10/22, 3505, 3666
1400/10/21, 3589, 3685
1400/10/20, 3570, 3685
1400/10/19, 3570, 3700
1400/10/18, 3600, 3750
1400/10/15, 3590, 3781
1400/10/14, 3630, 3800
1400/10/13, 3550, 3740
1400/10/12, 3650, 3783
1400/10/11, 3611, 3767
1400/10/08, 3702, 3769
1400/10/07, 3680, 3800
1400/10/06, 3680, 3849
1400/10/05, 3560, 3799
1400/10/04, 3670, 3799
1400/10/01, 3520, 3681
1400/09/30, 3420, 3580
1400/09/29, 3450, 3580
1400/09/28, 3410, 3630
1400/09/27, 3400, 3536
1400/09/24, 3230, 3468
1400/09/23, 3232, 3409
1400/09/22, 3344, 3553
1400/09/21, 3410, 3599
1400/09/20, 3476, 3676
1400/09/17, 3550, 3650
1400/09/16, 3463, 3631
1400/09/15, 3520, 3622
1400/09/14, 3486, 3670
1400/09/13, 3440, 3690
1400/09/10, 3531, 3740
1400/09/09, 3612, 3769
1400/09/08, 3662, 3885
1400/09/07, 3698, 3900
1400/09/06, 3792, 4055
1400/09/03, 3901, 4080
1400/09/02, 3900, 4120
1400/09/01, 3931, 4100
1400/08/30, 3902, 4074
1400/08/29, 3902, 4189
1400/08/26, 4053, 4171
1400/08/25, 3900, 4169
1400/08/24, 3990, 4298
1400/08/23, 4150, 4278
1400/08/22, 4051, 4312
1400/08/19, 4150, 4271
1400/08/18, 3818, 4133
1400/08/17, 3815, 4100
1400/08/16, 3974, 4392
1400/08/15, 4001, 4200
1400/08/12, 3849, 4045
1400/08/11, 3674, 3946
1400/08/10, 3753, 4090
1400/08/09, 3899, 4221
1400/08/08, 4047, 4047
1400/08/05, 4145, 4145
1400/08/04, 4294, 4294
1400/08/03, 4397, 4397
1400/08/01, 4511, 4511
1400/07/28, 4661, 4899
1400/07/27, 4870, 5046
1400/07/26, 4870, 4987
1400/07/25, 4937, 5158
1400/07/24, 5033, 5181
1400/07/21, 4840, 5144
1400/07/20, 5005, 5290
1400/07/19, 5111, 5360
1400/07/18, 5100, 5285
1400/07/17, 5200, 5490
1400/07/14, 5210, 5470
1400/07/12, 5209, 5405
1400/07/11, 5250, 5472
1400/07/10, 5320, 5500
1400/07/07, 5230, 5540
1400/07/06, 5362, 5545
1400/07/04, 5210, 5350
1400/07/03, 5160, 5340
1400/06/31, 4930, 5199
1400/06/30, 5064, 5356
1400/06/29, 5230, 5450
1400/06/28, 5100, 5455
1400/06/27, 5260, 5700
1400/06/24, 5462, 5700
1400/06/23, 5483, 5682
1400/06/22, 5204, 5541
1400/06/21, 5258, 5450
1400/06/20, 5450, 5750
1400/06/17, 5401, 5700
1400/06/16, 5551, 5700
1400/06/15, 5611, 5980
1400/06/14, 5660, 5884
1400/06/13, 5618, 5849
1400/06/10, 5450, 5800
1400/06/09, 5596, 5825
1400/06/08, 5880, 5990
1400/06/07, 5850, 6381
1400/06/06, 5835, 6119
1400/06/03, 5754, 5950
1400/06/02, 5840, 6087
1400/06/01, 5682, 5914
1400/05/31, 5500, 5830
1400/05/24, 5411, 5670
1400/05/23, 5481, 5750
1400/05/20, 5641, 5841
1400/05/19, 5490, 5719
1400/05/18, 5250, 5644
1400/05/17, 5260, 5440
1400/05/16, 5298, 5417
1400/05/13, 5183, 5395
1400/05/12, 5211, 5400
1400/05/11, 5310, 5540
1400/05/10, 5105, 5369
1400/05/09, 5022, 5190
1400/05/06, 4919, 5180
1400/05/05, 5003, 5300
1400/05/04, 5101, 5398
1400/04/28, 5061, 5230
1400/04/27, 4978, 5130
1400/04/26, 5152, 5350
1400/04/23, 5109, 5270
1400/04/22, 5150, 5350
1400/04/21, 5200, 5451
1400/04/20, 5161, 5330
1400/04/19, 5120, 5300
1400/04/16, 4980, 5248
1400/04/15, 4890, 5088
1400/04/14, 4790, 5050
1400/04/13, 4670, 4945
1400/04/12, 4826, 5090
1400/04/09, 5010, 5177
1400/04/08, 5100, 5290
1400/04/07, 4860, 5139
1400/04/06, 4835, 4995
1400/04/05, 4738, 5028
1400/04/02, 4800, 5029
1400/04/01, 4870, 5090
1400/03/31, 4601, 5009
1400/03/30, 4710, 4918
1400/03/29, 4875, 5161
1400/03/22, 5150, 5480
1400/03/19, 5296, 5539
1400/03/18, 5400, 5726
1400/03/17, 5350, 5618
1400/03/12, 5190, 5490
1400/03/11, 5150, 5417
1400/03/10, 5156, 5450
1400/03/09, 5212, 5680
1400/03/08, 5467, 5590
1400/03/05, 5485, 5485
1400/03/04, 5498, 5498
1400/03/03, 5519, 5519
1400/03/02, 5529, 5529
1400/03/01, 5540, 5540
1400/02/29, 5563, 5563
1400/02/28, 5567, 5567
1400/02/27, 5583, 5583
1400/02/26, 5599, 5599
1400/02/25, 5613, 5613
1400/02/22, 5733, 5733
1400/02/21, 5739, 5739
1400/02/20, 5743, 5743
1400/02/19, 5744, 5744
1400/02/18, 5744, 5744
1400/02/15, 5747, 5747
1400/02/13, 5747, 5747
1400/02/12, 5749, 5749
1400/02/11, 5752, 5752
1400/02/08, 5759, 5759
1400/02/07, 5780, 5780
1400/02/06, 5783, 5783
1400/02/05, 5787, 5787
1400/02/04, 5792, 5792
1400/02/01, 5793, 5793
1400/01/31, 5855, 5855
1400/01/30, 5859, 5859
1400/01/29, 5860, 5860
1400/01/28, 5860, 5860
1400/01/25, 5866, 5866
1400/01/24, 5936, 6042
1400/01/23, 5938, 5938
1400/01/22, 5939, 5939
1400/01/21, 5941, 5941
1400/01/18, 5948, 5948
1400/01/17, 6010, 6132
1400/01/16, 6112, 6236
1400/01/15, 6197, 6382
1400/01/14, 6191, 6620
1400/01/11, 6241, 6243
1400/01/10, 6310, 6310
1400/01/08, 6264, 6700
1400/01/07, 6120, 6454
1399/12/27, 5895, 6120
1399/12/26, 5556, 5871
