date, min_price, max_price
1402/03/03, 85000, 85290
1402/03/02, 84020, 85260
1402/03/01, 84960, 86990
1402/02/31, 84530, 85120
1402/02/30, 83000, 85120
1402/02/27, 84700, 86980
1402/02/25, 84500, 87480
1402/02/24, 85110, 86910
1402/02/23, 84000, 85500
1402/02/20, 83000, 84590
1402/02/19, 82700, 84580
1402/02/18, 82500, 84340
1402/02/17, 81000, 84590
1402/02/16, 82140, 86000
1402/02/13, 79600, 80560
1402/02/12, 79600, 81000
1402/02/11, 79610, 80600
1402/02/10, 79600, 80550
1402/02/09, 79000, 80470
1402/02/06, 78560, 80240
1402/02/05, 78520, 80590
1402/02/04, 79310, 80200
1402/01/30, 80400, 82000
1402/01/29, 80250, 80560
1402/01/28, 80100, 80540
1402/01/27, 80020, 80560
1402/01/26, 80070, 82020
1402/01/22, 80010, 82000
1402/01/21, 80010, 80780
1402/01/20, 78300, 80570
1402/01/19, 80310, 81000
1402/01/16, 79030, 80590
1402/01/15, 80010, 80890
1402/01/14, 78410, 80560
1402/01/09, 80000, 82020
1402/01/08, 79770, 80560
1402/01/07, 79510, 79990
1402/01/06, 79500, 80550
1402/01/05, 79000, 80100
1401/12/28, 78900, 80390
1401/12/27, 78000, 80540
1401/12/24, 78250, 80560
1401/12/23, 78220, 79970
1401/12/22, 78600, 79430
1401/12/21, 78250, 79980
1401/12/20, 78050, 79800
1401/12/16, 78290, 79930
1401/12/15, 78560, 80380
1401/12/14, 78300, 80010
1401/12/13, 78250, 80380
1401/12/10, 78230, 80290
1401/12/09, 78220, 80530
1401/12/08, 78260, 80500
1401/12/07, 78300, 80580
1401/12/06, 79990, 80800
1401/12/03, 79000, 79010
1401/12/02, 79050, 80560
1401/12/01, 78540, 80550
1401/11/30, 79500, 80560
1401/11/26, 79000, 80550
1401/11/25, 78000, 81000
1401/11/24, 77100, 79300
1401/11/23, 78020, 79360
1401/11/19, 77100, 81000
1401/11/18, 79000, 82000
1401/11/17, 79130, 79970
1401/11/16, 78960, 79900
1401/11/12, 77600, 79000
1401/11/11, 77660, 78990
1401/11/10, 77520, 79300
1401/11/09, 77090, 79300
1401/11/08, 78000, 79350
1401/11/05, 78600, 79500
1401/11/04, 77710, 79970
1401/11/03, 77500, 80000
1401/11/02, 78550, 79380
1401/11/01, 78300, 79360
1401/10/28, 78220, 78980
1401/10/27, 78240, 79360
1401/10/26, 78000, 82000
1401/10/24, 77250, 80000
1401/10/21, 77230, 78000
1401/10/20, 77100, 78900
1401/10/19, 77050, 77140
1401/10/18, 77050, 77280
1401/10/17, 77050, 77190
1401/10/14, 77050, 77060
1401/10/13, 77050, 77500
1401/10/12, 77050, 77990
1401/10/11, 76500, 77210
1401/10/10, 77300, 79980
1401/10/07, 77590, 78990
1401/10/05, 77070, 77270
1401/10/04, 77050, 77500
1401/10/03, 77050, 77950
1401/09/30, 77000, 77140
1401/09/29, 77050, 77060
1401/09/28, 77050, 77350
1401/09/27, 76500, 77250
1401/09/26, 77050, 77200
1401/09/23, 77150, 77500
1401/09/22, 77040, 77500
1401/09/21, 77050, 77540
1401/09/20, 77070, 77840
1401/09/19, 76600, 77900
1401/09/16, 76500, 77090
1401/09/15, 76100, 77050
1401/09/14, 75410, 77050
1401/09/13, 73210, 77050
1401/09/12, 74100, 76690
1401/09/09, 76100, 76990
1401/09/08, 75040, 77050
1401/09/07, 75340, 77060
1401/09/06, 74300, 77500
1401/09/05, 74000, 77500
1401/09/02, 72500, 77000
1401/09/01, 66300, 73000
1401/08/30, 66620, 68970
1401/08/29, 65130, 68290
1401/08/28, 66320, 67800
1401/08/25, 67000, 78960
1401/08/24, 66400, 67300
1401/08/23, 65000, 67000
1401/08/22, 64980, 65000
1401/08/21, 64120, 65000
1401/08/18, 64410, 64980
1401/08/17, 64110, 64980
1401/08/16, 63120, 64970
1401/08/15, 64520, 64980
1401/08/14, 64440, 65000
1401/08/11, 64340, 64350
1401/08/10, 63810, 64350
1401/08/09, 64310, 64330
1401/08/08, 63890, 63990
1401/08/07, 63020, 64310
1401/08/04, 63010, 64350
1401/08/03, 63010, 63690
1401/08/02, 63320, 64870
1401/08/01, 63500, 64940
1401/07/30, 63000, 63800
1401/07/27, 63050, 64390
1401/07/25, 63030, 64740
1401/07/23, 64950, 64950
1401/07/20, 64800, 64950
1401/07/19, 63150, 64960
1401/07/18, 64940, 64950
1401/07/17, 62770, 64950
1401/07/16, 62800, 62800
1401/07/12, 62790, 62800
1401/07/11, 62750, 63980
1401/07/10, 62750, 62760
1401/07/09, 62810, 63950
1401/07/06, 63130, 63130
1401/07/04, 63090, 63120
1401/07/02, 62750, 64300
1401/06/30, 62410, 62410
1401/06/29, 62410, 62420
1401/06/28, 62600, 64280
1401/06/27, 62410, 63020
1401/06/23, 63990, 63990
1401/06/22, 63000, 63200
1401/06/21, 63000, 63200
1401/06/20, 63010, 63300
1401/06/19, 64190, 64240
1401/06/16, 64300, 64300
1401/06/15, 64300, 64300
1401/06/14, 64300, 64300
1401/06/13, 63260, 64300
1401/06/12, 64300, 64300
1401/06/09, 64280, 64290
1401/06/08, 64300, 64300
1401/06/07, 64300, 64300
1401/06/06, 64300, 64300
1401/06/05, 64180, 64180
1401/06/02, 62990, 64300
1401/06/01, 63390, 63400
1401/05/31, 62800, 63010
1401/05/30, 62700, 63900
1401/05/29, 63120, 64000
1401/05/26, 63980, 63980
1401/05/25, 62610, 64300
1401/05/24, 62820, 64300
1401/05/23, 62750, 63980
1401/05/22, 62540, 64300
1401/05/19, 63530, 63590
1401/05/15, 63000, 63100
1401/05/12, 62790, 63000
1401/05/11, 62460, 62460
1401/05/10, 62460, 62500
1401/05/09, 62500, 62510
1401/05/08, 62500, 62540
1401/05/05, 62500, 62790
1401/05/04, 62510, 62950
1401/05/03, 62510, 62510
1401/05/02, 62520, 62950
1401/05/01, 62590, 62600
1401/04/29, 63490, 63490
1401/04/28, 62440, 63580
1401/04/26, 62440, 63570
1401/04/25, 62430, 62450
1401/04/22, 62850, 63400
1401/04/21, 62450, 62950
1401/04/20, 62400, 62990
1401/04/18, 62400, 62400
1401/04/15, 61980, 62890
1401/04/14, 62400, 62500
1401/04/13, 62430, 62430
1401/04/12, 62420, 62850
1401/04/11, 62410, 62980
1401/04/08, 62400, 63450
1401/04/07, 62400, 62410
1401/04/06, 62400, 62420
1401/04/05, 62410, 63000
1401/04/04, 62400, 62430
1401/04/01, 62800, 63500
1401/03/31, 62400, 62750
1401/03/30, 62400, 62400
