date, min_price, max_price
1402/03/03, 10125, 10126
1402/03/02, 10116, 10117
1402/03/01, 10109, 10110
1402/02/31, 10103, 10104
1402/02/30, 10096, 10097
1402/02/27, 10078, 10080
1402/02/25, 10064, 10065
1402/02/24, 10058, 10059
1402/02/23, 10052, 10053
1402/02/20, 10033, 10034
1402/02/19, 10026, 10027
1402/02/18, 10019, 10020
1402/02/17, 10013, 10014
1402/02/16, 10006, 10007
1402/02/13, 10184, 10185
1402/02/12, 10178, 10179
1402/02/11, 10172, 10173
1402/02/10, 10164, 10165
1402/02/09, 10158, 10159
1402/02/06, 10141, 10142
1402/02/05, 10133, 10134
1402/02/04, 10126, 10127
1402/01/30, 10107, 10108
1402/01/29, 10088, 10089
1402/01/28, 10082, 10083
1402/01/27, 10075, 10076
1402/01/26, 10069, 10070
1402/01/22, 10049, 10051
1402/01/21, 10038, 10039
1402/01/20, 10031, 10032
1402/01/19, 10025, 10027
1402/01/16, 10006, 10008
1402/01/15, 10184, 10185
1402/01/14, 10177, 10178
1402/01/09, 10152, 10154
1402/01/08, 10139, 10140
1402/01/07, 10133, 10134
1402/01/06, 10126, 10127
1402/01/05, 10120, 10121
1401/12/28, 10098, 10110
1401/12/27, 10076, 10077
1401/12/24, 10057, 10058
1401/12/23, 10050, 10051
1401/12/22, 10044, 10045
1401/12/21, 10038, 10039
1401/12/20, 10031, 10032
1401/12/16, 10013, 10014
1401/12/15, 10188, 10189
1401/12/14, 10182, 10183
1401/12/13, 10175, 10176
1401/12/10, 10157, 10158
1401/12/09, 10150, 10151
1401/12/08, 10144, 10145
1401/12/07, 10138, 10139
1401/12/06, 10132, 10133
1401/12/03, 10113, 10114
1401/12/02, 10107, 10108
1401/12/01, 10100, 10101
1401/11/30, 10094, 10095
1401/11/26, 10075, 10076
1401/11/25, 10063, 10064
1401/11/24, 10056, 10057
1401/11/23, 10050, 10051
1401/11/19, 10030, 10031
1401/11/18, 10019, 10020
1401/11/17, 10013, 10014
1401/11/16, 10006, 10007
1401/11/12, 10169, 10170
1401/11/11, 10163, 10164
1401/11/10, 10157, 10158
1401/11/09, 10150, 10151
1401/11/08, 10144, 10145
1401/11/05, 10125, 10126
1401/11/04, 10119, 10120
1401/11/03, 10113, 10114
1401/11/02, 10107, 10108
1401/11/01, 10100, 10101
1401/10/28, 10081, 10082
1401/10/27, 10075, 10076
1401/10/26, 10069, 10070
1401/10/24, 10056, 10057
1401/10/21, 10038, 10039
1401/10/20, 10031, 10032
1401/10/19, 10025, 10026
1401/10/18, 10019, 10020
1401/10/17, 10013, 10014
1401/10/14, 10180, 10181
1401/10/13, 10172, 10173
1401/10/12, 10162, 10163
1401/10/11, 10155, 10157
1401/10/10, 10150, 10151
1401/10/07, 10132, 10133
1401/10/05, 10120, 10121
1401/10/04, 10114, 10115
1401/10/03, 10108, 10109
1401/09/30, 10090, 10091
1401/09/29, 10084, 10085
1401/09/28, 10078, 10079
1401/09/27, 10072, 10073
1401/09/26, 10066, 10067
1401/09/23, 10048, 10049
1401/09/22, 10042, 10043
1401/09/21, 10036, 10037
1401/09/20, 10030, 10031
1401/09/19, 10024, 10025
1401/09/16, 10005, 10008
1401/09/15, 10180, 10181
1401/09/14, 10174, 10175
1401/09/13, 10168, 10169
1401/09/12, 10162, 10163
1401/09/09, 10144, 10147
1401/09/08, 10138, 10139
1401/09/07, 10132, 10133
1401/09/06, 10126, 10127
1401/09/05, 10120, 10121
