date, min_price, max_price
1402/03/03, 10024, 10025
1402/03/02, 10012, 10013
1402/03/01, 10006, 10007
1402/02/31, 10186, 10188
1402/02/30, 10181, 10182
1402/02/27, 10169, 10170
1402/02/25, 10151, 10153
1402/02/24, 10144, 10146
1402/02/23, 10138, 10140
1402/02/20, 10126, 10128
1402/02/19, 10114, 10116
1402/02/18, 10108, 10110
1402/02/17, 10102, 10104
1402/02/16, 10096, 10098
1402/02/13, 10084, 10086
1402/02/12, 10072, 10073
1402/02/11, 10066, 10068
1402/02/10, 10060, 10062
1402/02/09, 10055, 10056
1402/02/06, 10042, 10044
1402/02/05, 10030, 10032
1402/02/04, 10024, 10026
1402/01/30, 10229, 10231
1402/01/29, 10217, 10219
1402/01/28, 10211, 10213
1402/01/27, 10205, 10207
1402/01/26, 10199, 10201
1402/01/22, 10186, 10188
1402/01/21, 10168, 10170
1402/01/20, 10162, 10164
1402/01/19, 10156, 10158
1402/01/16, 10144, 10146
1402/01/15, 10132, 10134
1402/01/14, 10126, 10127
1402/01/09, 10108, 10110
1402/01/08, 10090, 10092
1402/01/07, 10084, 10086
1402/01/06, 10078, 10080
1402/01/05, 10072, 10074
1401/12/28, 10054, 10056
1401/12/27, 10030, 10032
1401/12/24, 10018, 10020
1401/12/23, 10006, 10008
1401/12/22, 10132, 10134
1401/12/21, 10126, 10128
1401/12/20, 10120, 10122
1401/12/16, 10108, 10110
1401/12/15, 10090, 10092
1401/12/14, 10084, 10086
1401/12/13, 10078, 10080
1401/12/10, 10066, 10068
1401/12/09, 10054, 10056
1401/12/08, 10048, 10050
1401/12/07, 10042, 10044
1401/12/06, 10036, 10038
1401/12/03, 10024, 10026
1401/12/02, 10012, 10014
1401/12/01, 10006, 10008
1401/11/30, 10181, 10183
1401/11/26, 10169, 10170
1401/11/25, 10151, 10153
1401/11/24, 10145, 10147
1401/11/23, 10138, 10140
1401/11/19, 10126, 10128
1401/11/18, 10108, 10110
1401/11/17, 10102, 10104
1401/11/16, 10096, 10098
1401/11/12, 10084, 10086
1401/11/11, 10066, 10068
1401/11/10, 10060, 10062
1401/11/09, 10054, 10056
1401/11/08, 10048, 10050
1401/11/05, 10036, 10038
1401/11/04, 10024, 10026
1401/11/03, 10018, 10020
1401/11/02, 10012, 10014
1401/11/01, 10006, 10008
1401/10/28, 10175, 10177
1401/10/27, 10163, 10165
1401/10/26, 10157, 10159
1401/10/24, 10145, 10147
1401/10/21, 10132, 10134
1401/10/20, 10120, 10122
1401/10/19, 10114, 10116
1401/10/18, 10108, 10110
1401/10/17, 10102, 10104
1401/10/14, 10090, 10092
1401/10/13, 10078, 10080
1401/10/12, 10072, 10074
1401/10/11, 10066, 10068
1401/10/10, 10060, 10062
1401/10/07, 10048, 10050
1401/10/05, 10036, 10038
1401/10/04, 10024, 10026
1401/10/03, 10018, 10020
1401/09/30, 10181, 10183
1401/09/29, 10175, 10177
1401/09/28, 10169, 10171
1401/09/27, 10163, 10165
1401/09/26, 10157, 10159
1401/09/23, 10145, 10147
1401/09/22, 10132, 10134
1401/09/21, 10126, 10128
1401/09/20, 10116, 10118
1401/09/19, 10110, 10112
1401/09/16, 10096, 10098
1401/09/15, 10085, 10087
1401/09/14, 10079, 10081
1401/09/13, 10071, 10073
1401/09/12, 10066, 10068
1401/09/09, 10055, 10057
1401/09/08, 10044, 10046
1401/09/07, 10038, 10040
1401/09/06, 10033, 10035
