date, min_price, max_price
1402/03/03, 4500, 4660
1402/03/02, 4488, 4687
1402/03/01, 4456, 4693
1402/02/31, 4160, 4590
1402/02/30, 4119, 4449
1402/02/27, 3901, 4300
1402/02/25, 3852, 4220
1402/02/24, 3808, 4125
1402/02/23, 3832, 4120
1402/02/20, 4070, 4580
1402/02/19, 4350, 4550
1402/02/18, 4670, 4670
1402/02/17, 4880, 5380
1402/02/16, 5110, 5450
1402/02/13, 5240, 5670
1402/02/12, 5300, 5530
1402/02/11, 5290, 5750
1402/02/10, 5410, 5770
1402/02/09, 5400, 5400
1402/02/05, 4850, 5058
1402/02/04, 4450, 4840
1402/01/30, 4389, 4736
1402/01/29, 4560, 4820
1402/01/28, 4310, 4533
1402/01/27, 4129, 4252
1402/01/26, 3750, 4027
1402/01/22, 3693, 3896
1402/01/21, 3700, 4031
1402/01/20, 3737, 3914
1402/01/19, 3619, 3914
1402/01/16, 3501, 3740
1402/01/15, 3442, 3646
1402/01/14, 3281, 3497
1402/01/09, 3287, 3427
1402/01/08, 3254, 3424
1402/01/07, 3130, 3345
1402/01/06, 3018, 3307
1402/01/05, 3190, 3319
1401/12/28, 3168, 3330
1401/12/27, 3170, 3311
1401/12/24, 3032, 3140
1401/12/23, 2904, 3089
1401/12/22, 2831, 3028
1401/12/21, 2921, 3096
1401/12/20, 3072, 3200
1401/12/16, 2933, 3189
1401/12/15, 2928, 3116
1401/12/14, 3063, 3177
1401/12/13, 3000, 3199
1401/12/10, 2906, 3130
1401/12/09, 2839, 3015
1401/12/08, 2863, 3000
1401/12/07, 2880, 3121
1401/12/06, 2835, 2962
1401/12/03, 2721, 2900
1401/12/02, 2837, 2978
1401/12/01, 2700, 2985
1401/11/30, 2750, 2920
1401/11/26, 2795, 3063
1401/11/25, 2740, 2963
1401/11/24, 2700, 2860
1401/11/23, 2500, 2747
1401/11/19, 2530, 2669
1401/11/18, 2532, 2640
1401/11/17, 2405, 2600
1401/11/16, 2460, 2742
1401/11/12, 2516, 2699
1401/11/11, 2471, 2625
1401/11/10, 2423, 2740
1401/11/09, 2593, 2768
1401/11/08, 2752, 2950
1401/11/05, 2834, 3137
1401/11/04, 2991, 3148
1401/11/03, 2980, 3300
