date, min_price, max_price
1402/02/25, 6860, 7470
1402/02/24, 6750, 7140
1402/02/23, 6630, 7040
1402/02/20, 6870, 7680
1402/02/19, 7170, 7570
1402/02/18, 7350, 7560
1402/02/17, 7840, 8510
1402/02/16, 8300, 8620
1402/02/13, 8300, 8650
1402/02/12, 8440, 8770
1402/02/11, 8320, 8570
1402/02/10, 8250, 8480
1402/02/09, 8160, 8440
1402/02/06, 8210, 8620
1402/02/05, 8010, 8510
1402/02/04, 7900, 8130
1402/01/30, 7920, 8320
1402/01/29, 8080, 8470
1402/01/28, 7910, 8190
1402/01/27, 8000, 8360
1402/01/26, 7580, 8090
1402/01/22, 7410, 7810
1402/01/21, 7450, 8080
1402/01/20, 7530, 7880
1402/01/19, 7030, 7500
1402/01/16, 6710, 7250
1402/01/15, 6690, 7100
1402/01/14, 6490, 6940
1402/01/09, 6590, 6800
1402/01/08, 6420, 6800
1402/01/07, 6330, 6650
1402/01/06, 6320, 6500
1402/01/05, 6300, 6570
1401/12/28, 6300, 6500
1401/12/27, 6000, 6360
1401/12/24, 5990, 6130
1401/12/23, 5810, 5940
1401/12/22, 5800, 5950
1401/12/21, 5780, 6100
1401/12/20, 5990, 6200
1401/12/16, 6030, 6210
1401/12/15, 5900, 6100
1401/12/14, 5950, 6290
1401/12/13, 5970, 6150
1401/12/10, 5960, 6270
1401/12/09, 6090, 6390
1401/12/08, 6190, 6410
1401/12/07, 6150, 6730
1401/12/06, 6090, 6430
1401/12/03, 5790, 6160
1401/12/02, 5600, 5850
1401/12/01, 5300, 5590
1401/11/30, 5180, 5420
1401/11/26, 5230, 5470
1401/11/25, 5310, 5610
1401/11/24, 5480, 5700
1401/11/23, 5520, 5730
1401/11/19, 5610, 5790
1401/11/18, 5670, 5810
1401/11/17, 5590, 5800
1401/11/16, 5530, 5800
1401/11/12, 5460, 5800
1401/11/11, 5600, 5790
1401/11/10, 5470, 5790
1401/11/09, 5560, 5940
1401/11/08, 5890, 6130
1401/11/05, 6020, 6370
1401/11/04, 6230, 6490
1401/11/03, 6240, 6430
1401/11/02, 6130, 6390
1401/11/01, 6140, 6470
1401/10/28, 6150, 6510
1401/10/27, 6170, 6430
1401/10/26, 6100, 6410
1401/10/24, 5730, 6210
1401/10/21, 5720, 5980
1401/10/20, 5770, 6000
1401/10/19, 5690, 5870
1401/10/18, 5580, 5770
1401/10/17, 5540, 5730
1401/10/14, 5410, 5600
1401/10/13, 5510, 5710
1401/10/12, 5540, 5760
1401/10/11, 5410, 5810
1401/10/10, 5580, 5990
1401/10/07, 5860, 6100
1401/10/05, 5530, 5790
1401/10/04, 5240, 5550
1401/10/03, 5240, 5440
1401/09/30, 5030, 5210
1401/09/29, 4830, 5140
1401/09/28, 4804, 5018
1401/09/27, 4910, 4963
1401/09/26, 4790, 4954
1401/09/23, 4735, 4909
1401/09/22, 4650, 4820
1401/09/21, 4540, 4720
1401/09/20, 4531, 4665
1401/09/19, 4500, 4667
1401/09/16, 4560, 4750
1401/09/15, 4571, 4708
1401/09/14, 4561, 4703
1401/09/13, 4680, 4779
1401/09/12, 4685, 4834
1401/09/09, 4662, 4825
1401/09/08, 4553, 4885
1401/09/07, 4561, 4690
1401/09/06, 4597, 4720
1401/09/05, 4642, 4790
1401/09/02, 4620, 4800
1401/09/01, 4603, 4828
1401/08/30, 4610, 4830
1401/08/29, 4707, 4974
1401/08/28, 4600, 4990
1401/08/25, 4500, 4889
1401/08/24, 4463, 4677
1401/08/23, 4422, 4800
1401/08/22, 4400, 4699
1401/08/21, 4453, 4630
