date, min_price, max_price
1402/03/03, 17060, 17890
1402/03/02, 16820, 17480
1402/03/01, 16750, 17740
1402/02/25, 17450, 18570
1402/02/24, 16920, 17600
1402/02/23, 16360, 17400
1402/02/20, 16540, 17600
1402/02/19, 16220, 17550
1402/02/18, 16480, 17690
1402/02/17, 17220, 18300
1402/02/16, 17970, 18180
1402/02/13, 18030, 18380
1402/02/12, 18000, 18450
1402/02/11, 18020, 18640
1402/02/10, 18210, 18790
1402/02/09, 17620, 18730
1402/02/06, 17320, 17770
1402/02/05, 17560, 17930
1402/02/04, 17250, 17980
1402/01/30, 17310, 17850
1402/01/29, 17200, 18090
1402/01/28, 17300, 18190
1402/01/27, 16180, 17340
1402/01/26, 15810, 16480
1402/01/22, 15050, 16190
1402/01/21, 15120, 16500
1402/01/20, 15490, 16300
1402/01/19, 14540, 15580
1402/01/16, 14200, 14840
1402/01/15, 14200, 14550
1402/01/14, 14280, 14470
1402/01/09, 14210, 14650
1402/01/08, 14170, 14750
1402/01/07, 14200, 14640
1402/01/06, 14130, 14840
1402/01/05, 14390, 15090
1401/12/28, 14360, 15050
1401/12/27, 14110, 14910
1401/12/24, 13850, 14340
1401/12/23, 13630, 13850
1401/12/22, 13660, 14000
1401/12/21, 13650, 14130
1401/12/20, 13900, 14350
1401/12/16, 13760, 14530
1401/12/15, 13700, 14180
1401/12/14, 13730, 14230
1401/12/13, 13850, 14380
1401/12/10, 14150, 14700
1401/12/09, 14230, 14880
1401/12/08, 13750, 14990
1401/12/07, 13940, 14830
1401/12/06, 13200, 13860
1401/12/03, 12800, 13250
1401/12/02, 12610, 12990
1401/12/01, 12540, 12830
1401/11/30, 12440, 12530
1401/11/26, 12500, 12520
1401/11/25, 12500, 12690
1401/11/24, 12510, 12750
1401/11/23, 12500, 12630
1401/11/19, 12510, 12670
1401/11/18, 12510, 12810
1401/11/17, 12510, 12780
1401/11/16, 12510, 12650
1401/11/12, 12510, 12660
1401/11/11, 12640, 12970
1401/11/10, 12570, 12990
1401/11/09, 12510, 13000
1401/11/08, 12720, 12920
1401/11/05, 12660, 13040
1401/11/04, 12880, 13090
1401/11/03, 12960, 13330
1401/11/02, 12910, 13290
1401/11/01, 12840, 13500
1401/10/28, 13000, 13540
1401/10/27, 12880, 13250
1401/10/26, 12590, 12940
1401/10/24, 12520, 12890
1401/10/21, 12630, 12990
1401/10/20, 12840, 13160
1401/10/19, 12500, 13070
1401/10/18, 12830, 13120
1401/10/17, 12720, 12960
1401/10/14, 12730, 12990
1401/10/13, 12730, 13080
1401/10/12, 12710, 13280
1401/10/11, 12600, 13100
1401/10/10, 12710, 13050
1401/10/07, 12930, 13570
1401/10/05, 12930, 13070
1401/10/04, 12910, 13100
1401/10/03, 12890, 13150
1401/09/30, 13000, 13030
1401/09/29, 12990, 13130
1401/09/28, 12970, 13100
1401/09/27, 12970, 13000
1401/09/26, 12960, 12980
1401/09/23, 12960, 13140
1401/09/22, 12940, 12990
1401/09/21, 12930, 13180
1401/09/20, 12910, 12940
1401/09/19, 12900, 12930
1401/09/16, 12920, 12930
1401/09/15, 12910, 12920
1401/09/14, 12900, 12930
1401/09/13, 12890, 12900
1401/09/12, 12880, 12890
1401/09/09, 12860, 12880
1401/09/08, 12850, 12880
1401/09/07, 12840, 12880
1401/09/06, 12740, 13500
1401/09/05, 12740, 12750
1401/09/02, 12740, 12750
1401/09/01, 12740, 12970
1401/08/30, 12710, 12740
1401/08/29, 12700, 12950
1401/08/28, 12670, 12970
1401/08/25, 12640, 12970
1401/08/24, 12540, 13000
1401/08/23, 12520, 12750
1401/08/22, 12490, 12790
1401/08/21, 12470, 12650
