date, min_price, max_price
1402/03/03, 5940, 6350
1402/03/02, 5470, 6050
1402/03/01, 5490, 5770
1402/02/25, 5080, 5570
1402/02/24, 4990, 5330
1402/02/23, 4940, 5390
1402/02/20, 5190, 5790
1402/02/19, 5570, 5810
1402/02/18, 5840, 5840
1402/02/17, 6200, 6600
1402/02/16, 6530, 6990
1402/02/13, 6700, 7140
1402/02/12, 6780, 7180
1402/02/11, 6610, 6860
1402/02/10, 6700, 7040
1402/02/09, 6530, 6890
1402/02/06, 6520, 7390
1402/01/30, 6640, 7000
1402/01/29, 6260, 6690
1402/01/28, 6000, 6300
1402/01/27, 5460, 5970
1402/01/26, 5460, 5700
1402/01/22, 5000, 5580
1402/01/21, 4980, 5690
1402/01/20, 5230, 5540
1402/01/19, 5070, 5370
1402/01/16, 4623, 5116
1402/01/15, 4606, 5000
1402/01/14, 4576, 5000
1402/01/09, 4800, 5090
1402/01/08, 4729, 4940
1402/01/07, 4257, 4768
1402/01/06, 4353, 4657
1402/01/05, 4484, 4660
1401/12/28, 4480, 4730
1401/12/27, 4450, 4650
1401/12/24, 4380, 4670
1401/12/23, 4300, 4559
1401/12/22, 4350, 4554
1401/12/21, 4282, 4680
1401/12/20, 4250, 4514
1401/12/16, 4135, 4310
1401/12/15, 4080, 4250
1401/12/14, 4100, 4450
1401/12/13, 3853, 4248
1401/12/10, 3766, 4079
1401/12/09, 3766, 3939
1401/12/08, 3763, 3952
1401/12/07, 3761, 4186
1401/12/06, 3840, 4061
1401/12/03, 3701, 3900
1401/12/02, 3805, 4030
1401/12/01, 3557, 3906
1401/11/30, 3577, 3765
1401/11/26, 3650, 3883
1401/11/25, 3731, 3890
1401/11/24, 3370, 3722
1401/11/23, 3362, 3600
1401/11/19, 3460, 3649
1401/11/18, 3421, 3678
1401/11/17, 3325, 3510
1401/11/16, 3370, 3700
1401/11/12, 3540, 3750
1401/11/11, 3592, 3899
1401/11/10, 3762, 4140
1401/11/09, 4032, 4300
1401/11/08, 4230, 4450
1401/11/05, 4011, 4339
1401/11/04, 4001, 4318
1401/11/03, 3921, 4299
1401/11/02, 4116, 4450
1401/11/01, 4280, 4699
1401/10/28, 4440, 4648
1401/10/27, 4489, 4729
1401/10/26, 4510, 4721
1401/10/24, 4210, 4573
1401/10/21, 4353, 4540
1401/10/20, 4398, 4680
1401/10/19, 4330, 4554
1401/10/18, 4400, 4700
1401/10/17, 4416, 4750
1401/10/14, 4302, 4638
1401/10/13, 4201, 4435
1401/10/12, 3802, 4181
1401/10/11, 3811, 4097
1401/10/10, 3930, 4187
1401/10/07, 4102, 4319
1401/10/05, 4070, 4250
1401/10/04, 4010, 4306
1401/10/03, 3861, 4194
1401/09/30, 3863, 3980
1401/09/29, 3458, 3814
1401/09/28, 3443, 3640
1401/09/27, 3346, 3461
1401/09/26, 3337, 3499
1401/09/23, 3385, 3500
1401/09/22, 3401, 3542
1401/09/21, 3403, 3508
1401/09/20, 3253, 3435
1401/09/19, 3241, 3484
1401/09/16, 3415, 3589
1401/09/15, 3425, 3550
1401/09/14, 3489, 3600
1401/09/13, 3351, 3555
1401/09/12, 3321, 3460
1401/09/09, 3401, 3500
1401/09/08, 3425, 3524
1401/09/07, 3476, 3590
1401/09/06, 3480, 3641
1401/09/05, 3410, 3700
1401/09/02, 3350, 3636
1401/09/01, 3300, 3470
1401/08/30, 3350, 3498
1401/08/29, 3360, 3560
1401/08/28, 3320, 3550
1401/08/25, 3253, 3508
1401/08/24, 3210, 3362
1401/08/23, 3241, 3450
1401/08/22, 3370, 3591
1401/08/21, 3510, 3697
1401/08/18, 3211, 3590
1401/08/17, 3248, 3421
1401/08/16, 3050, 3260
1401/08/15, 3019, 3142
1401/08/14, 2990, 3149
1401/08/11, 2915, 3077
1401/08/10, 2863, 3089
1401/08/09, 2926, 3048
1401/08/08, 2901, 3060
1401/08/07, 2997, 3299
1401/08/04, 2980, 3258
1401/08/03, 2951, 3120
1401/08/02, 2985, 3135
1401/08/01, 2831, 2987
1401/07/30, 2752, 2876
