date, min_price, max_price
1402/03/03, 12740, 13140
1402/03/02, 12800, 13180
1402/03/01, 12790, 13250
1402/02/31, 12430, 13080
1402/02/30, 12470, 13240
1402/02/27, 12510, 13330
1402/02/25, 12160, 12880
1402/02/24, 11940, 12610
1402/02/23, 11620, 12650
1402/02/20, 12240, 13600
1402/02/19, 12540, 13650
1402/02/18, 13480, 13570
1402/02/17, 14410, 15500
1402/02/16, 15250, 15750
1402/02/13, 14550, 15450
1402/02/12, 15250, 15780
1402/02/11, 15250, 16000
1402/02/10, 15250, 16110
1402/02/09, 15330, 15820
1402/02/06, 14660, 15740
1402/02/05, 14200, 15090
1402/02/04, 13910, 14260
1402/01/30, 13900, 14600
1402/01/28, 13000, 14190
1402/01/27, 13070, 13700
1402/01/26, 12780, 13380
1402/01/22, 12390, 12750
1402/01/21, 12330, 13300
1402/01/20, 12880, 13490
1402/01/19, 12660, 13510
1402/01/16, 12010, 12900
1402/01/15, 12080, 12650
1402/01/14, 11650, 12670
1402/01/09, 11460, 12250
1402/01/08, 11360, 11710
1402/01/07, 11030, 11560
1402/01/06, 11190, 11680
1402/01/05, 11460, 11950
1401/12/27, 11050, 11950
1401/12/24, 11050, 11320
1401/12/23, 10790, 11550
1401/12/22, 10830, 11550
1401/12/21, 10130, 11220
1401/12/20, 10360, 10640
1401/12/16, 10370, 10810
1401/12/15, 10250, 10660
1401/12/14, 10450, 10980
1401/12/13, 10790, 10820
1401/12/10, 10120, 10120
1401/11/24, 9320, 9700
1401/11/23, 9340, 9640
1401/11/19, 9560, 9790
1401/11/18, 9310, 9820
1401/11/17, 9190, 9600
1401/11/16, 9330, 9850
1401/11/12, 9640, 10090
1401/11/11, 9800, 10080
1401/11/10, 9500, 10060
1401/11/09, 9650, 10400
1401/11/08, 10100, 10600
1401/11/05, 10230, 10860
1401/11/04, 10550, 10990
1401/11/03, 10700, 11040
1401/11/02, 10580, 10980
1401/11/01, 10600, 11000
1401/10/28, 10880, 11230
1401/10/27, 11070, 11350
1401/10/26, 11100, 11450
1401/10/24, 10540, 11340
1401/10/21, 10630, 10990
1401/10/20, 10640, 11120
1401/10/19, 10800, 11290
1401/10/18, 10900, 11530
1401/10/13, 10890, 11590
1401/10/12, 11330, 11890
1401/10/11, 11360, 12360
1401/10/10, 12110, 12960
1401/10/07, 12290, 13070
1401/10/05, 12040, 12480
1401/10/04, 12350, 12980
1401/10/03, 12800, 13280
1401/09/30, 12230, 12510
1401/09/29, 11250, 12150
1401/09/28, 11570, 12000
1401/09/27, 11800, 12300
1401/09/26, 11700, 12150
1401/09/23, 11650, 12270
1401/09/22, 11640, 12300
1401/09/21, 10900, 11640
1401/09/20, 10550, 11100
1401/09/19, 10630, 11030
1401/09/16, 10310, 11030
1401/09/15, 10090, 10700
