date, min_price, max_price
1402/02/27, 8110, 8690
1402/02/25, 8110, 8760
1402/02/24, 8100, 8590
1402/02/23, 7980, 8400
1402/02/20, 8420, 9400
1402/02/19, 8930, 9400
1402/02/18, 9540, 9690
1402/02/17, 10110, 11000
1402/02/16, 10650, 11330
1402/02/13, 10740, 11330
1402/02/12, 10910, 11700
1402/02/11, 10250, 11300
1402/02/10, 10380, 10920
1402/02/09, 9940, 10530
1402/02/06, 9550, 10150
1402/02/05, 9950, 10620
1402/02/04, 10200, 10690
1402/01/29, 9850, 10440
1402/01/28, 9260, 9980
1402/01/27, 9110, 9680
1402/01/26, 8900, 9260
1402/01/22, 8210, 8810
1402/01/21, 8320, 9200
1402/01/20, 8700, 9170
1402/01/19, 8700, 9220
1402/01/16, 7870, 8680
1402/01/15, 7850, 8490
1402/01/14, 7300, 8190
1402/01/09, 7350, 7760
1402/01/08, 6900, 7430
1402/01/07, 6750, 7120
1402/01/06, 6750, 7150
1402/01/05, 6600, 6900
1401/12/28, 6500, 6740
1401/12/27, 6450, 6760
1401/12/24, 6200, 6460
1401/12/23, 6150, 6320
1401/12/22, 6070, 6500
1401/12/21, 6270, 6530
1401/12/20, 6470, 6800
1401/12/16, 6510, 6650
1401/12/15, 6460, 6620
1401/12/14, 6460, 6850
1401/12/09, 6530, 6690
1401/12/08, 6520, 6850
1401/12/07, 6600, 7160
1401/12/06, 6460, 6910
1401/12/03, 6250, 6570
1401/12/02, 6400, 6800
1401/12/01, 6370, 6630
1401/11/30, 6020, 6310
1401/11/26, 6050, 6220
1401/11/25, 6060, 6270
1401/11/24, 6160, 6490
1401/11/23, 6100, 6330
1401/11/19, 6320, 6720
1401/11/18, 6330, 6760
1401/11/17, 6060, 6480
1401/11/16, 6200, 6550
1401/11/12, 6350, 6700
1401/11/11, 6400, 6670
1401/11/10, 6190, 6800
1401/11/09, 6560, 7090
1401/11/08, 6850, 7110
1401/11/05, 6910, 7220
1401/11/04, 7020, 7310
1401/11/03, 7020, 7430
1401/11/02, 7130, 7470
1401/11/01, 7250, 7650
1401/10/28, 7600, 7960
1401/10/27, 7630, 8280
1401/10/26, 7440, 7850
1401/10/24, 7030, 7450
1401/10/21, 7140, 7400
1401/10/20, 7190, 7600
1401/10/19, 7180, 7470
1401/10/18, 7190, 7540
1401/10/17, 7050, 7300
1401/10/14, 7000, 7320
1401/10/13, 7020, 7450
1401/10/12, 7220, 7480
1401/10/11, 7010, 7440
1401/10/10, 7200, 7800
1401/10/07, 7370, 7800
1401/10/05, 7020, 7420
1401/10/04, 7020, 7480
1401/10/03, 6550, 7080
1401/09/30, 6520, 6900
1401/09/29, 6410, 6680
1401/09/28, 6500, 6670
1401/09/27, 6440, 6790
1401/09/26, 6400, 6680
1401/09/23, 6230, 6480
1401/09/22, 6050, 6400
1401/09/21, 5960, 6170
1401/09/20, 5930, 6050
1401/09/19, 5850, 6020
1401/09/16, 5930, 6040
1401/09/15, 5960, 6140
1401/09/14, 5940, 6090
1401/09/13, 6000, 6120
1401/09/12, 5990, 6230
1401/09/09, 6080, 6290
1401/09/08, 5980, 6300
1401/09/07, 5850, 6120
1401/09/06, 5670, 6040
1401/09/05, 5760, 6000
1401/09/02, 5880, 6000
1401/09/01, 5880, 6000
1401/08/30, 5800, 6140
1401/08/29, 5690, 6000
1401/08/28, 5600, 5850
1401/08/25, 5720, 5900
1401/08/24, 5790, 5920
1401/08/23, 5760, 5920
1401/08/22, 5770, 5950
1401/08/21, 5830, 6100
1401/08/18, 5690, 6000
1401/08/17, 5680, 6120
1401/08/16, 5570, 5950
1401/08/15, 5460, 5750
1401/08/14, 5450, 5800
1401/08/11, 5300, 5490
1401/08/10, 5400, 5570
1401/08/09, 5430, 5650
1401/08/08, 5180, 5630
1401/08/07, 5090, 5430
1401/08/04, 5280, 5380
1401/08/03, 5370, 5620
1401/08/02, 5480, 5690
1401/08/01, 5580, 5800
1401/07/30, 5720, 5940
1401/07/27, 5800, 6000
1401/07/26, 5750, 6150
1401/07/25, 5690, 6000
1401/07/24, 5900, 6110
1401/07/23, 6000, 6220
1401/07/20, 6110, 6350
1401/07/19, 6090, 6500
1401/07/18, 5970, 6180
1401/07/17, 6020, 6220
1401/07/16, 6040, 6240
1401/07/12, 6020, 6250
1401/07/11, 6040, 6210
1401/07/10, 6050, 6250
1401/07/09, 6160, 6570
1401/07/06, 6350, 6500
1401/07/04, 6190, 6550
1401/07/02, 6230, 6650
1401/06/30, 6300, 6530
1401/06/29, 6360, 6570
1401/06/28, 6410, 6630
1401/06/27, 6470, 6630
1401/06/23, 6390, 6670
1401/06/22, 6520, 6730
1401/06/21, 6580, 6770
1401/06/20, 6300, 6630
1401/06/19, 6430, 6660
1401/06/16, 6560, 6680
1401/06/15, 6590, 6740
1401/06/14, 6590, 6770
1401/06/13, 6490, 6710
1401/06/12, 6510, 6720
1401/06/09, 6630, 6810
1401/06/08, 6560, 6780
1401/06/07, 6610, 6850
1401/06/06, 6610, 6830
1401/06/05, 6800, 6990
1401/06/02, 6710, 6920
1401/06/01, 6530, 7020
1401/05/31, 6400, 6660
1401/05/30, 6450, 6720
1401/05/29, 6480, 6820
1401/05/26, 6740, 7000
