date, min_price, max_price
1402/02/31, 2905, 2979
1402/02/30, 2864, 3025
1402/02/27, 2812, 2951
1402/02/25, 2689, 2857
1402/02/24, 2650, 2752
1402/02/23, 2603, 2744
1402/02/20, 2696, 2935
1402/02/19, 2720, 2940
1402/02/18, 2849, 2859
1402/02/17, 2979, 3200
1402/02/16, 3105, 3135
1402/02/13, 2898, 3012
1402/02/12, 2770, 2887
1402/02/11, 2665, 2765
1402/02/10, 2571, 2670
1402/02/09, 2485, 2639
1402/02/06, 2483, 2580
1402/02/05, 2521, 2670
1402/02/04, 2504, 2600
1402/01/30, 2528, 2652
1402/01/29, 2570, 2654
1402/01/28, 2435, 2581
1402/01/27, 2400, 2540
1402/01/26, 2400, 2434
1402/01/22, 2270, 2370
1402/01/21, 2347, 2498
1402/01/20, 2407, 2556
1402/01/19, 2420, 2524
1402/01/16, 2250, 2413
1402/01/15, 2226, 2322
1402/01/14, 2081, 2230
1402/01/09, 2090, 2170
1402/01/08, 2098, 2122
1402/01/07, 1940, 2092
1402/01/06, 1957, 2060
1402/01/05, 1999, 2080
1401/12/28, 2000, 2071
1401/12/27, 1998, 2008
1401/12/24, 1895, 1940
1401/12/23, 1870, 1910
1401/12/22, 1850, 1918
1401/12/21, 1855, 1910
1401/12/20, 1886, 1924
1401/12/16, 1805, 1848
1401/12/15, 1773, 1850
1401/12/14, 1754, 1829
1401/12/13, 1730, 1784
1401/12/10, 1760, 1835
1401/12/09, 1838, 1873
1401/12/08, 1807, 1910
1401/12/07, 1808, 1911
1401/12/06, 1786, 1821
1401/12/03, 1704, 1768
1401/12/02, 1726, 1796
1401/12/01, 1630, 1718
1401/11/30, 1620, 1656
1401/11/26, 1620, 1670
1401/11/25, 1653, 1692
1401/11/24, 1655, 1715
1401/11/23, 1612, 1700
1401/11/19, 1636, 1691
1401/11/18, 1632, 1702
1401/11/17, 1552, 1690
1401/11/16, 1615, 1663
1401/11/12, 1670, 1755
1401/11/11, 1681, 1734
1401/11/10, 1599, 1735
1401/11/09, 1681, 1681
1401/11/08, 1742, 1850
1401/11/05, 1830, 1857
1401/11/03, 1870, 1979
1401/11/02, 1870, 1976
1401/11/01, 1880, 2044
1401/10/28, 1928, 2015
1401/10/27, 1887, 1961
1401/10/26, 1809, 1871
1401/10/24, 1752, 1809
1401/10/21, 1738, 1825
1401/10/20, 1786, 1897
1401/10/19, 1771, 1855
1401/10/18, 1790, 1860
1401/10/17, 1740, 1792
1401/10/14, 1620, 1730
1401/10/13, 1621, 1705
1401/10/12, 1603, 1665
1401/10/11, 1558, 1650
1401/10/10, 1611, 1664
1401/10/07, 1639, 1691
1401/10/05, 1581, 1640
1401/10/04, 1598, 1645
1401/10/03, 1604, 1655
1401/09/30, 1520, 1593
1401/09/29, 1478, 1536
1401/09/28, 1505, 1560
1401/09/27, 1537, 1610
1401/09/26, 1498, 1575
1401/09/23, 1490, 1539
1401/09/22, 1503, 1557
1401/09/21, 1441, 1492
1401/09/20, 1364, 1431
1401/09/19, 1346, 1381
1401/09/16, 1373, 1396
1401/09/15, 1369, 1399
1401/09/14, 1362, 1396
1401/09/13, 1370, 1410
1401/09/12, 1367, 1396
1401/09/09, 1385, 1419
1401/09/08, 1398, 1416
1401/09/07, 1395, 1420
1401/09/06, 1405, 1435
1401/09/05, 1415, 1465
1401/09/02, 1396, 1470
1401/09/01, 1389, 1413
1401/08/30, 1397, 1423
1401/08/29, 1375, 1421
1401/08/28, 1352, 1401
1401/08/25, 1371, 1404
1401/08/24, 1385, 1414
1401/08/23, 1380, 1421
1401/08/22, 1400, 1428
1401/08/21, 1401, 1464
1401/08/18, 1400, 1472
1401/08/17, 1421, 1487
1401/08/16, 1391, 1441
1401/08/15, 1330, 1400
1401/08/14, 1291, 1347
1401/08/11, 1262, 1293
1401/08/10, 1280, 1311
1401/08/09, 1235, 1281
1401/08/08, 1210, 1249
1401/08/07, 1221, 1238
1401/08/04, 1204, 1252
1401/08/03, 1252, 1290
1401/08/02, 1255, 1314
1401/08/01, 1294, 1325
1401/07/30, 1308, 1348
1401/07/27, 1320, 1338
1401/07/26, 1330, 1350
1401/07/25, 1320, 1343
1401/07/24, 1320, 1358
1401/07/23, 1345, 1372
1401/07/20, 1350, 1377
1401/07/19, 1351, 1385
1401/07/18, 1347, 1379
1401/07/17, 1343, 1414
1401/07/16, 1380, 1417
1401/07/12, 1381, 1409
1401/07/11, 1363, 1420
1401/07/10, 1390, 1420
1401/07/09, 1395, 1460
1401/07/06, 1438, 1480
1401/07/04, 1381, 1462
1401/07/02, 1381, 1425
1401/06/30, 1412, 1440
1401/06/29, 1416, 1450
1401/06/28, 1429, 1468
1401/06/27, 1440, 1479
1401/06/23, 1474, 1518
1401/06/22, 1450, 1513
1401/06/21, 1432, 1485
1401/06/20, 1421, 1495
1401/06/19, 1462, 1509
1401/06/16, 1510, 1546
1401/06/15, 1523, 1557
1401/06/14, 1554, 1590
1401/06/13, 1551, 1588
1401/06/12, 1576, 1609
1401/06/09, 1623, 1679
1401/06/08, 1640, 1678
1401/06/07, 1647, 1700
1401/06/06, 1636, 1700
1401/06/05, 1690, 1769
1401/06/02, 1740, 1800
1401/06/01, 1701, 1778
1401/05/31, 1690, 1757
1401/05/30, 1724, 1769
1401/05/29, 1701, 1776
1401/05/26, 1714, 1793
1401/05/25, 1662, 1714
1401/05/24, 1520, 1655
1401/05/23, 1550, 1620
1401/05/22, 1531, 1571
1401/05/19, 1480, 1514
1401/05/18, 1480, 1569
1401/05/15, 1481, 1513
1401/05/12, 1422, 1464
1401/05/11, 1419, 1439
1401/05/10, 1401, 1438
1401/05/09, 1410, 1483
1401/05/08, 1458, 1530
1401/05/05, 1481, 1541
1401/05/04, 1476, 1520
1401/05/03, 1489, 1529
1401/05/02, 1530, 1530
1401/04/28, 1543, 1604
1401/04/26, 1545, 1610
1401/04/25, 1581, 1650
1401/04/22, 1630, 1676
1401/04/21, 1593, 1673
1401/04/20, 1599, 1674
1401/04/18, 1648, 1720
1401/04/15, 1694, 1750
1401/04/14, 1730, 1770
1401/04/13, 1729, 1784
1401/04/12, 1726, 1778
1401/04/11, 1759, 1802
1401/04/08, 1810, 1881
1401/04/07, 1836, 1902
1401/04/06, 1770, 1849
1401/04/05, 1775, 1880
1401/04/04, 1766, 1839
1401/04/01, 1735, 1787
1401/03/31, 1761, 1820
1401/03/30, 1786, 1820
1401/03/29, 1783, 1839
1401/03/28, 1760, 1824
1401/03/25, 1779, 1818
1401/03/24, 1795, 1859
1401/03/23, 1791, 1865
1401/03/22, 1734, 1815
1401/03/21, 1752, 1840
1401/03/18, 1800, 1867
1401/03/17, 1806, 1862
1401/03/16, 1842, 1973
1401/03/11, 1902, 1999
1401/03/10, 1940, 2001
1401/03/09, 1971, 2052
1401/03/08, 2036, 2036
1401/03/03, 2121, 2176
1401/03/02, 2103, 2220
1401/03/01, 2190, 2220
1401/02/31, 2130, 2265
1401/02/28, 2161, 2226
1401/02/27, 2151, 2255
1401/02/26, 2134, 2174
1401/02/25, 2100, 2188
1401/02/24, 2138, 2206
1401/02/21, 2140, 2198
1401/02/20, 2125, 2170
1401/02/19, 2125, 2239
1401/02/18, 2205, 2270
1401/02/17, 2158, 2230
1401/02/12, 2170, 2251
1401/02/11, 2140, 2250
1401/02/10, 2100, 2200
1401/02/07, 2090, 2179
1401/02/06, 2131, 2195
1401/02/05, 2094, 2130
1401/02/04, 2101, 2190
1401/01/31, 2130, 2194
1401/01/30, 2066, 2196
1401/01/29, 2070, 2160
1401/01/28, 2035, 2126
1401/01/27, 2083, 2153
1401/01/24, 2080, 2176
1401/01/23, 2176, 2260
1401/01/22, 2252, 2334
1401/01/21, 2212, 2308
1401/01/20, 2161, 2249
1401/01/17, 2160, 2342
1401/01/16, 2160, 2289
1401/01/15, 2102, 2200
1401/01/14, 2050, 2140
1401/01/10, 2005, 2100
1401/01/09, 2003, 2152
1401/01/08, 1975, 2086
1401/01/07, 1912, 2030
1401/01/06, 1921, 2000
1400/12/28, 1954, 1954
1400/12/24, 1821, 1896
1400/12/23, 1816, 1887
1400/12/22, 1795, 1889
1400/12/21, 1858, 1900
1400/12/18, 1913, 1992
1400/12/17, 1912, 1976
1400/12/16, 1975, 2065
1400/12/15, 2018, 2082
1400/12/14, 1980, 2041
1400/12/11, 1915, 1978
1400/12/09, 1970, 2023
1400/12/08, 1930, 2023
1400/12/07, 1973, 2058
1400/12/04, 2026, 2130
1400/12/03, 2035, 2135
1400/12/02, 2060, 2121
1400/12/01, 1970, 2067
1400/11/30, 1945, 2012
1400/11/27, 1890, 1958
1400/11/25, 1915, 1965
1400/11/24, 1911, 1951
1400/11/23, 1957, 2025
1400/11/20, 2004, 2090
1400/11/19, 1980, 2080
1400/11/18, 1950, 2050
1400/11/17, 1983, 2089
1400/11/16, 2039, 2130
1400/11/13, 2000, 2076
1400/11/12, 1985, 2066
1400/11/11, 1891, 1983
1400/11/10, 1850, 1899
1400/11/09, 1750, 1822
1400/11/06, 1711, 1769
1400/11/05, 1659, 1772
1400/11/04, 1710, 1795
1400/11/03, 1740, 1818
1400/11/02, 1800, 1880
1400/10/29, 1790, 1860
1400/10/28, 1808, 1870
1400/10/27, 1854, 1959
1400/10/26, 1880, 1949
1400/10/25, 1908, 1990
