date, min_price, max_price
1402/03/03, 5320, 5850
1402/03/02, 5260, 5570
1402/03/01, 4930, 5360
1402/02/31, 4850, 5070
1402/02/30, 4850, 5400
1402/02/27, 4900, 5280
1402/02/25, 4555, 5020
1402/02/24, 4470, 4800
1402/02/23, 4623, 4900
1402/02/20, 4850, 5450
1402/02/19, 5130, 5450
1402/02/18, 5450, 5590
1402/02/17, 5840, 6260
1402/02/16, 6060, 6520
1402/02/13, 6010, 6390
1402/02/12, 5830, 6310
1402/02/11, 5750, 6200
1402/02/10, 6053, 6173
1402/02/09, 5770, 5770
1402/01/28, 5260, 5539
1402/01/27, 5012, 5202
1402/01/26, 4700, 4946
1402/01/22, 4390, 4788
1402/01/21, 4469, 4900
1402/01/20, 4621, 4910
1402/01/19, 4521, 4605
1402/01/16, 4101, 4378
1402/01/15, 4092, 4092
1402/01/14, 3580, 3968
1402/01/09, 3640, 3738
1402/01/08, 3560, 3730
1402/01/07, 3434, 3700
1402/01/06, 3512, 3710
1402/01/05, 3401, 3700
1401/12/28, 3440, 3741
1401/12/27, 3380, 3553
1401/12/24, 3247, 3378
1401/12/23, 3180, 3350
1401/12/22, 3170, 3394
1401/12/21, 3228, 3403
1401/12/20, 3375, 3490
1401/12/16, 3333, 3450
1401/12/15, 3301, 3499
1401/12/14, 3335, 3470
1401/12/13, 3280, 3428
1401/12/10, 3290, 3439
1401/12/09, 3331, 3499
1401/12/08, 3272, 3488
1401/12/07, 3190, 3472
1401/12/06, 3288, 3440
1401/12/03, 3114, 3278
1401/12/02, 3200, 3397
1401/12/01, 3200, 3357
1401/11/30, 3159, 3260
1401/11/26, 3148, 3355
1401/11/25, 3230, 3470
1401/11/24, 3251, 3410
1401/11/23, 3109, 3294
1401/11/19, 2900, 3185
1401/11/18, 2900, 3091
1401/11/17, 2805, 3014
1401/11/16, 2940, 3100
1401/11/12, 3020, 3149
1401/11/11, 3000, 3193
1401/11/10, 2968, 3191
1401/11/09, 3187, 3350
1401/11/08, 3347, 3641
1401/11/05, 3400, 3759
1401/11/04, 3544, 3763
1401/11/03, 3673, 4067
1401/11/02, 3850, 4179
1401/11/01, 3961, 4250
1401/10/28, 3900, 4198
1401/10/27, 3983, 4321
1401/10/26, 4051, 4253
1401/10/24, 3944, 4230
1401/10/21, 4055, 4399
1401/10/20, 4063, 4233
1401/10/19, 3780, 4158
1401/10/18, 3972, 4271
1401/10/17, 4082, 4560
1401/10/14, 4051, 4479
1401/10/13, 3910, 4498
1401/10/11, 4100, 4210
1401/10/10, 3520, 3980
1401/10/07, 3700, 3721
1401/10/05, 3180, 3521
1401/10/04, 3189, 3298
1401/10/03, 3083, 3083
1401/09/30, 2759, 2911
1401/09/29, 2652, 2759
1401/09/28, 2706, 2799
1401/09/27, 2730, 2850
1401/09/26, 2680, 2819
1401/09/23, 2606, 2746
1401/09/22, 2670, 2745
1401/09/21, 2540, 2700
1401/09/20, 2520, 2622
1401/09/19, 2525, 2624
1401/09/16, 2570, 2642
1401/09/15, 2510, 2658
1401/09/14, 2525, 2617
1401/09/13, 2550, 2624
1401/09/12, 2556, 2680
1401/09/09, 2600, 2741
1401/09/08, 2590, 2743
1401/09/06, 2520, 2526
1401/09/05, 2501, 2637
1401/09/02, 2460, 2677
1401/09/01, 2521, 2640
1401/08/30, 2591, 2672
1401/08/29, 2579, 2636
1401/08/28, 2460, 2670
1401/08/25, 2565, 2688
1401/08/24, 2595, 2735
1401/08/23, 2631, 2837
1401/08/22, 2688, 2763
1401/08/21, 2456, 2700
1401/08/18, 2371, 2640
1401/08/17, 2410, 2661
1401/08/16, 2363, 2514
1401/08/15, 2313, 2393
1401/08/14, 2333, 2450
1401/08/11, 2264, 2373
1401/08/10, 2310, 2410
1401/08/09, 2250, 2399
1401/08/08, 2160, 2380
1401/08/07, 2309, 2410
1401/08/04, 2481, 2537
1401/08/03, 2640, 2838
1401/06/14, 14000, 15150
1401/06/13, 14300, 14750
1401/06/12, 14440, 15060
1401/06/09, 14360, 15240
1401/06/08, 14810, 16150
1401/06/07, 15030, 16590
1401/06/06, 15000, 15560
1401/06/05, 14200, 14680
1401/06/02, 13580, 13930
1401/06/01, 13580, 14000
1401/05/31, 13590, 13930
1401/05/30, 13510, 13960
1401/05/29, 13610, 13990
1401/05/26, 13700, 14000
1401/05/25, 13710, 14050
1401/05/24, 13610, 14080
1401/05/23, 13690, 14220
1401/05/22, 13590, 14200
1401/05/19, 13470, 14050
1401/05/18, 13400, 14090
1401/05/15, 13800, 14230
1401/05/12, 13960, 14220
1401/05/11, 13430, 14200
1401/05/10, 13510, 13990
1401/05/09, 13410, 14160
1401/05/08, 13640, 14200
1401/05/05, 13560, 14340
1401/05/04, 13560, 14360
1401/05/03, 13630, 14390
1401/05/02, 13940, 14480
1401/05/01, 13980, 14680
1401/04/29, 14030, 14670
1401/04/28, 13900, 14420
1401/04/26, 14020, 14590
1401/04/25, 14200, 14700
1401/04/22, 14300, 14780
1401/04/21, 13830, 14780
1401/04/20, 13910, 14840
1401/04/18, 14300, 14970
1401/04/15, 14450, 14960
1401/04/14, 14500, 15090
1401/04/13, 14600, 15120
1401/04/12, 14550, 14890
1401/04/11, 14570, 15260
1401/04/08, 14850, 15250
1401/04/07, 14650, 15300
1401/04/06, 14660, 15370
1401/04/05, 14650, 15660
1401/04/04, 14730, 15690
1401/04/01, 14650, 15510
1401/03/31, 14610, 15730
1401/03/30, 14650, 15790
1401/03/29, 14560, 15150
1401/03/28, 14570, 15100
1401/03/25, 14630, 15230
1401/03/24, 14500, 15580
1401/03/23, 15010, 15550
1401/03/22, 14500, 15510
1401/03/21, 14670, 15390
1401/03/18, 14920, 15570
1401/03/17, 14630, 16390
1401/03/16, 15400, 16900
1401/03/11, 15860, 17250
1401/03/10, 16460, 17280
1401/03/09, 16400, 17500
1401/03/08, 16370, 17370
1401/03/07, 16900, 17700
1401/03/04, 15200, 16810
1401/03/03, 15490, 16230
1401/03/02, 15760, 16750
1401/03/01, 15800, 17280
1401/02/31, 16230, 17030
1401/02/28, 16380, 17160
1401/02/27, 16870, 17430
1401/02/26, 16950, 17530
1401/02/25, 16980, 17500
1401/02/24, 16910, 17770
1401/02/21, 16860, 17420
1401/02/20, 16730, 17790
1401/02/19, 17240, 18340
1401/02/18, 17530, 18800
1401/02/17, 18010, 18640
1401/02/12, 18100, 19100
1401/02/11, 18210, 19180
1401/02/10, 18300, 19010
1401/02/07, 17520, 18430
1401/02/06, 17720, 18180
1401/02/05, 17850, 19240
1401/02/04, 18400, 19800
1401/01/31, 19000, 20100
1401/01/30, 18150, 20370
1401/01/29, 18560, 20600
1401/01/23, 19210, 20760
1401/01/22, 19080, 20200
1401/01/21, 18990, 20000
1401/01/20, 18990, 19700
1401/01/17, 18640, 19550
1401/01/16, 18610, 19560
1401/01/15, 18900, 19400
1401/01/14, 17350, 18800
1401/01/10, 17990, 18400
1401/01/09, 17500, 18280
1401/01/08, 17040, 18380
1401/01/07, 17700, 18480
1401/01/06, 18060, 18490
1400/12/28, 16560, 18070
1400/12/25, 16500, 17460
1400/12/24, 15790, 17270
1400/12/23, 16350, 16530
1400/12/22, 15260, 15820
1400/12/21, 13870, 15300
1400/12/18, 14040, 14710
1400/12/17, 13310, 14190
1400/12/16, 13000, 13750
1400/12/15, 13010, 13410
1400/12/14, 12700, 13000
1400/12/11, 11860, 12690
1400/12/09, 11900, 12390
1400/12/08, 11790, 12170
1400/12/07, 11810, 12190
1400/12/04, 11900, 12430
1400/12/03, 12060, 12380
1400/12/02, 11710, 12500
1400/12/01, 11660, 12100
1400/11/30, 11640, 12290
1400/11/27, 11730, 12250
1400/11/25, 11860, 12280
1400/11/24, 11840, 12240
1400/11/23, 11800, 12410
1400/11/20, 12120, 12690
1400/11/19, 12100, 12640
1400/11/18, 11970, 12540
1400/11/17, 12050, 12700
1400/11/16, 12120, 12890
1400/11/13, 12350, 12880
1400/11/12, 12300, 12990
1400/11/11, 12130, 12810
1400/11/10, 12340, 13320
1400/11/09, 12170, 13270
1400/11/06, 12430, 12890
1400/11/05, 12430, 12430
1400/11/04, 12510, 12520
1400/11/03, 12580, 12940
1400/11/02, 12650, 13240
1400/10/29, 12830, 13290
1400/10/28, 12890, 13300
1400/10/27, 13010, 13480
1400/10/26, 13090, 13710
1400/10/25, 13200, 13800
1400/10/22, 13870, 14490
1400/10/21, 13800, 14390
1400/10/20, 13260, 14250
1400/10/19, 13200, 13840
1400/10/18, 13520, 13990
1400/10/15, 13330, 13970
1400/10/14, 13520, 14050
1400/10/13, 13610, 14000
1400/10/12, 13480, 14000
1400/10/11, 13540, 14280
1400/10/08, 14100, 14500
1400/10/07, 14210, 14570
1400/10/06, 14110, 14700
1400/10/05, 13660, 14700
1400/10/04, 14010, 14370
1400/10/01, 13540, 14380
1400/09/30, 13500, 14270
1400/09/29, 13500, 14040
1400/09/28, 13610, 14610
1400/09/27, 13600, 14500
1400/09/24, 13520, 14170
1400/09/23, 13860, 14190
1400/09/22, 13980, 14500
1400/09/21, 14050, 14460
1400/09/20, 14460, 15040
1400/09/17, 14500, 15210
1400/09/16, 14610, 15110
1400/09/15, 14880, 15640
1400/09/14, 15060, 15600
1400/09/13, 15500, 15980
1400/09/10, 15790, 16010
1400/09/09, 16340, 17200
1400/09/08, 16560, 17920
1400/09/07, 16220, 17730
1400/09/06, 16760, 17750
1400/09/03, 16800, 17800
1400/09/02, 16160, 17240
1400/09/01, 15440, 16710
1400/08/30, 15290, 15970
1400/08/29, 14160, 15330
1400/08/26, 13620, 14850
1400/08/25, 13620, 14340
1400/08/24, 13870, 14900
1400/08/23, 14350, 14980
1400/08/22, 14440, 15100
1400/08/19, 14850, 15400
1400/08/18, 14830, 15860
1400/08/17, 14860, 15500
1400/08/16, 14820, 16000
1400/08/15, 15000, 15660
1400/08/12, 14520, 15230
