date, min_price, max_price
1402/02/25, 4006, 4200
1402/02/24, 3733, 3994
1402/02/23, 3722, 3905
1402/02/20, 3790, 4330
1402/02/19, 3978, 4229
1402/02/18, 4277, 4440
1402/02/17, 4563, 4986
1402/02/16, 4705, 5068
1402/02/13, 4603, 4936
1402/02/12, 4760, 4968
1402/02/11, 4756, 5036
1402/02/10, 4920, 5219
1402/02/09, 4724, 4975
1402/02/05, 4650, 4791
1402/02/04, 4250, 4553
1402/01/30, 4051, 4332
1402/01/29, 4070, 4255
1402/01/28, 3960, 4239
1402/01/27, 3930, 4139
1402/01/26, 3633, 3883
1402/01/22, 3510, 3760
1402/01/21, 3500, 3820
1402/01/20, 3541, 3759
1402/01/19, 3360, 3543
1402/01/16, 3121, 3389
1402/01/15, 3160, 3289
1402/01/14, 3083, 3300
1402/01/09, 3102, 3219
1402/01/08, 3001, 3160
1402/01/07, 2936, 3075
1402/01/06, 2966, 3079
1402/01/05, 2975, 3085
1401/12/28, 2889, 3034
1401/12/27, 2830, 2960
1401/12/24, 2701, 2828
1401/12/23, 2701, 2745
1401/12/22, 2670, 2750
1401/12/21, 2660, 2762
1401/12/20, 2707, 2789
1401/12/16, 2691, 2765
1401/12/15, 2690, 2752
1401/12/14, 2690, 2754
1401/12/13, 2640, 2800
1401/12/10, 2762, 2890
1401/12/09, 2751, 2880
1401/12/08, 2731, 2900
1401/12/07, 2822, 2932
1401/12/06, 2620, 2753
1401/12/03, 2526, 2659
1401/12/02, 2545, 2651
1401/12/01, 2351, 2533
1401/11/30, 2350, 2426
1401/11/26, 2313, 2446
1401/11/25, 2390, 2457
1401/11/24, 2379, 2480
1401/11/23, 2376, 2450
1401/11/19, 2400, 2519
1401/11/18, 2328, 2471
1401/11/17, 2300, 2440
1401/11/16, 2360, 2460
1401/11/12, 2339, 2444
1401/11/11, 2310, 2414
1401/11/10, 2250, 2380
1401/11/09, 2276, 2515
1401/11/08, 2400, 2599
1401/11/05, 2486, 2685
1401/11/04, 2630, 2729
1401/11/03, 2632, 2769
1401/11/02, 2640, 2795
1401/11/01, 2703, 2900
1401/10/28, 2610, 2741
1401/10/24, 2441, 2615
1401/10/21, 2480, 2630
1401/10/20, 2546, 2665
1401/10/19, 2502, 2589
1401/10/18, 2490, 2594
1401/10/17, 2410, 2548
1401/10/14, 2385, 2468
1401/10/13, 2420, 2510
1401/10/12, 2383, 2509
1401/10/11, 2360, 2500
1401/10/10, 2450, 2598
1401/10/07, 2500, 2656
1401/10/05, 2465, 2550
1401/10/04, 2440, 2520
1401/10/03, 2410, 2495
1401/09/30, 2423, 2477
1401/09/29, 2385, 2504
1401/09/28, 2376, 2480
1401/09/27, 2420, 2474
1401/09/26, 2401, 2468
1401/09/23, 2390, 2540
1401/09/22, 2481, 2580
1401/09/21, 2394, 2529
1401/09/20, 2314, 2410
1401/09/19, 2240, 2358
1401/09/16, 2185, 2257
