date, min_price, max_price
1402/02/30, 21750, 24520
1402/02/27, 22400, 24270
1402/02/25, 23000, 24720
1402/02/20, 23950, 27000
1402/02/19, 24590, 27660
1402/02/18, 26440, 26440
1402/02/17, 27840, 31700
1402/02/16, 28830, 30190
1402/02/13, 27080, 28290
1402/02/12, 25420, 26860
1402/02/11, 23320, 26500
1402/02/10, 24160, 25160
1402/02/06, 22600, 23790
1402/02/05, 22380, 22380
1402/02/04, 19700, 21190
1402/01/30, 19180, 20340
1402/01/29, 18500, 19900
1402/01/28, 17600, 18810
1402/01/27, 17070, 17840
1402/01/26, 16730, 17840
1402/01/22, 16150, 17000
1402/01/21, 16200, 17080
1402/01/20, 16510, 17250
1402/01/19, 16230, 17250
1402/01/16, 15610, 16620
1402/01/15, 15730, 16840
1402/01/14, 15020, 16000
1402/01/09, 15280, 15750
1402/01/08, 15520, 16100
1402/01/07, 15020, 15780
1402/01/06, 15450, 16610
1402/01/05, 15760, 16760
1401/12/28, 15010, 15750
1401/12/27, 14120, 15150
1401/12/24, 13890, 14290
1401/12/23, 13870, 14150
1401/12/22, 13210, 14490
1401/12/21, 13000, 14000
1401/12/20, 13060, 13840
1401/12/16, 13270, 13800
1401/12/15, 12510, 13800
1401/12/14, 12790, 13560
1401/12/13, 12860, 13730
1401/12/10, 13030, 14370
1401/12/09, 13500, 14600
1401/12/08, 13820, 14750
1401/12/07, 13370, 13820
1401/12/06, 12370, 13300
1401/12/03, 12220, 12980
1401/12/02, 12230, 12860
1401/12/01, 12210, 12700
1401/11/30, 11770, 12690
1401/11/26, 12150, 13060
1401/11/25, 12410, 13900
1401/11/24, 12450, 13700
1401/11/23, 11800, 13210
1401/11/19, 11870, 12370
1401/11/18, 10710, 11930
1401/11/17, 10760, 11790
1401/11/16, 10530, 11880
1401/11/12, 10860, 11430
1401/11/11, 9990, 10860
1401/11/10, 9860, 11030
1401/11/09, 10580, 11190
1401/11/08, 10860, 12200
1401/11/03, 11620, 11620
1401/11/02, 10100, 11220
1401/11/01, 9990, 10520
1401/10/28, 9370, 9990
1401/10/27, 9090, 9370
1401/10/26, 8530, 9090
1401/10/24, 8500, 8500
1401/10/21, 8520, 9480
1401/10/20, 9070, 9070
1401/10/19, 8150, 8720
1401/10/18, 7790, 8330
1401/10/17, 7600, 8100
1401/10/14, 7520, 7900
1401/10/13, 7460, 7920
1401/10/12, 7400, 7670
1401/10/11, 7350, 7990
1401/10/10, 7690, 8250
1401/10/07, 7820, 8340
1401/10/05, 7630, 7950
1401/10/04, 7610, 7850
1401/10/03, 7540, 7880
1401/09/30, 7510, 7830
1401/09/29, 7480, 7700
1401/09/28, 7560, 8050
1401/09/27, 7620, 8000
1401/09/26, 7650, 7870
1401/09/23, 7510, 8290
1401/09/22, 7880, 8320
1401/09/21, 7370, 7910
1401/09/20, 7310, 7600
1401/09/19, 7280, 7540
1401/09/16, 7380, 7770
1401/09/15, 7470, 7840
1401/09/14, 7650, 8100
1401/09/13, 7920, 8240
1401/09/12, 7210, 7900
1401/09/09, 7220, 7500
1401/09/08, 7300, 7600
1401/09/07, 7150, 7570
1401/09/06, 7130, 7500
1401/09/05, 7250, 7540
1401/09/02, 7310, 7630
1401/09/01, 7400, 7680
1401/08/30, 7290, 7690
1401/08/29, 7290, 7660
1401/08/28, 7330, 7770
1401/08/25, 7300, 8040
1401/08/24, 7400, 8040
1401/08/23, 7730, 8060
1401/08/22, 7010, 7730
1401/08/21, 7100, 7520
1401/08/18, 6800, 7430
1401/08/17, 7060, 7670
1401/08/16, 7150, 7670
1401/08/15, 7060, 7500
1401/08/14, 6900, 7640
1401/08/11, 6900, 7480
1401/08/10, 6790, 7090
1401/08/09, 6020, 6690
1401/08/08, 6210, 6680
1401/08/07, 6600, 7240
1401/08/04, 6970, 7730
1401/08/03, 7220, 7700
1401/08/02, 6780, 7750
1401/08/01, 6910, 7630
1401/07/30, 6480, 7300
1401/07/27, 6510, 7010
1401/07/26, 6470, 6700
1401/07/25, 5780, 6380
1401/07/24, 5760, 6010
1401/07/23, 5300, 5750
1401/07/20, 5270, 5670
1401/07/19, 5290, 5500
1401/07/18, 5230, 5520
1401/07/17, 5260, 5520
1401/07/16, 5300, 5790
1401/07/12, 5330, 5500
1401/07/11, 5300, 5600
1401/07/10, 5330, 5530
1401/07/09, 5430, 5890
1401/07/06, 5600, 5980
1401/07/04, 5330, 5860
1401/07/02, 5570, 5910
1401/06/30, 5820, 6440
1401/06/29, 6100, 6630
1401/06/28, 6330, 6640
1401/06/27, 5930, 6630
1401/06/23, 6020, 6240
1401/06/22, 6090, 6460
1401/06/21, 5870, 6420
1401/06/20, 6060, 6420
1401/06/19, 6250, 6590
1401/06/16, 6410, 6700
1401/06/15, 6800, 7000
1401/06/14, 6260, 6920
1401/06/13, 6270, 6510
1401/06/12, 6290, 6500
1401/06/09, 6230, 6790
1401/06/08, 6330, 6580
1401/06/07, 6370, 6670
1401/06/06, 6350, 6620
1401/06/05, 6460, 6770
1401/06/02, 6440, 6800
1401/06/01, 6200, 6570
1401/05/31, 6030, 6400
1401/05/30, 6200, 6490
1401/05/29, 5710, 6320
1401/05/26, 5800, 6200
1401/05/25, 5730, 6000
1401/05/24, 5870, 6200
1401/05/23, 5910, 6300
1401/05/22, 6130, 6440
1401/05/19, 6180, 6430
1401/05/18, 6000, 6270
1401/05/15, 5800, 6130
1401/05/12, 5540, 6000
1401/05/11, 5540, 6090
1401/05/10, 5520, 5850
1401/05/09, 5600, 5950
1401/05/08, 5730, 6100
1401/05/05, 5790, 6050
1401/05/04, 5730, 6400
1401/05/03, 5780, 6300
1401/04/28, 6000, 6450
1401/04/26, 5890, 6310
1401/04/25, 6020, 6490
1401/04/22, 6120, 6430
1401/04/21, 6100, 6500
1401/04/20, 6280, 6650
1401/04/18, 6600, 7050
1401/04/15, 6810, 7200
1401/04/14, 7050, 7230
1401/04/13, 7060, 7500
1401/04/12, 7220, 7690
1401/04/11, 7390, 8000
1401/04/08, 7600, 8000
1401/04/07, 7430, 7710
1401/04/06, 7090, 7440
1401/04/05, 7450, 7850
1401/04/04, 7760, 8290
1401/04/01, 8150, 8690
1401/03/31, 8180, 8810
1401/03/30, 8200, 8910
1401/03/29, 8630, 9100
1401/03/28, 8620, 9340
1401/03/25, 8530, 8860
1401/03/24, 7840, 8420
1401/03/23, 7840, 8150
1401/03/22, 7800, 8000
1401/03/21, 8000, 8050
1401/03/18, 7960, 8050
1401/03/17, 7970, 8200
1401/03/16, 7640, 8250
1401/03/11, 8000, 8100
1401/03/10, 7900, 8250
1401/03/09, 7660, 8120
1401/03/08, 7780, 8000
1401/03/07, 7820, 8140
1401/03/04, 7760, 8190
1401/03/03, 7760, 8470
1401/03/02, 8100, 8300
1401/03/01, 8110, 8450
1401/02/31, 8090, 8300
1401/02/28, 8300, 8680
1401/02/27, 8550, 8980
1401/02/26, 8040, 8530
1401/02/25, 7900, 8200
1401/02/24, 7820, 8300
1401/02/21, 7840, 8200
1401/02/20, 7690, 8170
1401/02/19, 7700, 8290
1401/02/18, 7700, 8290
1401/02/17, 7690, 8000
1401/02/12, 7720, 8060
1401/02/11, 7720, 7960
1401/02/10, 7240, 7690
1401/02/07, 7350, 7790
1401/02/06, 7540, 8040
1401/02/05, 7700, 8150
1401/02/04, 7210, 7780
1401/01/31, 7230, 7480
1401/01/30, 7200, 7550
1401/01/29, 7330, 7550
1401/01/28, 7020, 7420
1401/01/27, 7130, 7300
1401/01/24, 6960, 7320
1401/01/23, 7080, 7440
1401/01/22, 6930, 7200
1401/01/21, 7000, 7200
1401/01/20, 6650, 7090
1401/01/17, 6540, 6850
1401/01/16, 6440, 6770
1401/01/15, 6750, 7240
1401/01/14, 6900, 7280
1401/01/10, 6960, 7300
1401/01/09, 6950, 7510
1401/01/08, 7010, 7350
1401/01/07, 7040, 7360
1401/01/06, 7150, 7720
1400/12/28, 7350, 7980
1400/12/25, 7550, 7800
1400/12/24, 7180, 7460
1400/12/23, 6900, 7260
1400/12/22, 6650, 7260
1400/12/21, 6410, 6940
1400/12/18, 6150, 6650
1400/12/17, 6330, 6480
1400/12/16, 6450, 6770
1400/12/15, 6210, 6490
1400/12/14, 6380, 6380
1400/12/11, 6260, 6260
1400/12/09, 6170, 6170
1400/12/08, 6060, 6070
1400/12/07, 5510, 5890
1400/12/04, 5250, 5680
1400/12/03, 5290, 5550
1400/12/02, 5140, 5580
1400/12/01, 5200, 5400
1400/11/30, 5260, 5520
1400/11/27, 5290, 5530
1400/11/25, 5400, 5640
1400/11/24, 5590, 5690
1400/11/23, 5700, 6140
1400/11/20, 5770, 6100
1400/11/19, 5880, 6210
1400/11/18, 5740, 6310
1400/11/17, 5870, 6020
1400/11/16, 5910, 6210
1400/11/13, 6040, 6360
1400/11/12, 6110, 6320
1400/11/11, 6020, 6330
1400/11/10, 6110, 6500
1400/11/09, 6220, 6540
1400/11/06, 6010, 6390
1400/11/05, 6060, 6250
1400/11/04, 6150, 6230
1400/11/03, 6180, 6200
1400/11/02, 6230, 6510
1400/10/29, 6300, 6600
1400/10/28, 6400, 6700
1400/10/27, 6550, 7050
1400/10/26, 6600, 6900
1400/10/25, 6640, 7200
1400/10/22, 7000, 7000
1400/10/13, 8080, 8740
1400/10/12, 8230, 8690
1400/10/11, 8330, 8650
1400/10/08, 8540, 8950
1400/10/07, 8790, 9250
1400/10/06, 8920, 9310
1400/10/05, 8500, 8900
1400/10/04, 8380, 8490
