date, min_price, max_price
1402/02/23, 11640, 12650
1402/02/20, 11720, 12910
1402/02/19, 11570, 12690
1402/02/18, 12390, 12900
1402/02/17, 13220, 14640
1402/02/16, 13690, 14550
1402/02/13, 13660, 14780
1402/02/12, 14100, 14820
1402/02/11, 13900, 14710
1402/02/10, 14520, 15210
1402/02/09, 13950, 15250
1402/02/06, 13890, 14600
1402/02/05, 14130, 14980
1402/02/04, 13820, 14820
1402/01/30, 13700, 14260
1402/01/29, 13500, 14450
1402/01/28, 13500, 14500
1402/01/27, 13330, 14340
1402/01/26, 13840, 14300
1402/01/22, 12800, 13800
1402/01/21, 12780, 14400
1402/01/20, 13060, 13930
1402/01/19, 12700, 13060
1402/01/16, 11160, 12420
1402/01/15, 11350, 11900
1402/01/14, 10550, 11690
1402/01/09, 10720, 11390
1402/01/08, 11020, 11240
1402/01/07, 10300, 11250
1402/01/06, 10630, 11540
1402/01/05, 11080, 11750
1401/12/28, 11300, 11780
1401/12/27, 11260, 11280
1401/12/24, 10100, 10740
1401/12/23, 9890, 10450
1401/12/22, 9800, 10290
1401/12/21, 9800, 10250
1401/12/20, 10260, 11130
1401/12/16, 10410, 11320
1401/12/15, 10640, 11180
1401/12/14, 10890, 11600
1401/12/13, 10640, 11180
1401/12/10, 10900, 11740
1401/12/09, 10300, 11180
1401/12/08, 10230, 10710
1401/12/07, 10530, 11170
1401/12/06, 10200, 10450
1401/12/03, 9340, 9990
1401/12/02, 9230, 9660
1401/12/01, 8640, 9030
1401/11/30, 8100, 8630
1401/11/26, 8040, 8320
1401/11/25, 8250, 8450
1401/11/24, 8220, 8490
1401/11/23, 8150, 8500
1401/11/19, 8340, 8600
1401/11/18, 7660, 8200
1401/11/17, 7350, 7770
1401/11/16, 7570, 7850
1401/11/12, 7670, 8000
1401/11/11, 7800, 8190
1401/11/10, 7550, 8280
1401/11/09, 7910, 8390
1401/11/08, 8400, 8860
1401/11/05, 8700, 9250
1401/11/04, 8910, 9210
1401/11/03, 8930, 9330
1401/11/02, 8770, 9690
1401/11/01, 9310, 10080
1401/10/28, 9800, 10220
1401/10/27, 9300, 9920
1401/10/26, 8760, 9380
1401/10/24, 8470, 9020
1401/10/21, 8730, 9350
1401/10/20, 8980, 9370
1401/10/19, 8540, 8990
1401/10/18, 8400, 8680
1401/10/17, 8210, 8720
1401/10/14, 8150, 8470
1401/10/13, 8410, 8960
1401/10/12, 8590, 8990
1401/10/11, 8280, 9150
1401/10/10, 8580, 9140
1401/10/07, 8900, 9260
1401/10/05, 8520, 8900
1401/10/04, 8550, 8790
1401/10/03, 7900, 8530
1401/09/30, 7900, 8200
1401/09/29, 7930, 8250
1401/09/28, 8030, 8410
1401/09/27, 7900, 8350
1401/09/26, 7920, 8120
1401/09/23, 7930, 8370
1401/09/22, 7450, 7920
1401/09/21, 7230, 7540
1401/09/20, 7210, 7450
1401/09/19, 7150, 7540
1401/09/16, 7300, 7670
1401/09/15, 7570, 7720
1401/09/14, 7520, 7750
1401/09/13, 7520, 7780
1401/09/12, 7600, 7850
1401/09/09, 7560, 7860
1401/09/08, 7480, 7640
1401/09/07, 7480, 7590
1401/09/06, 7440, 7600
1401/09/05, 7420, 7660
1401/09/02, 7530, 7660
1401/09/01, 7470, 7800
1401/08/30, 7610, 7810
1401/08/29, 7550, 7780
1401/08/28, 7450, 7880
1401/08/25, 7450, 7870
1401/08/24, 7260, 7580
1401/08/23, 7270, 7480
1401/08/22, 7280, 7500
1401/08/21, 7320, 7670
1401/08/18, 7200, 7690
1401/08/17, 7220, 7980
1401/08/16, 7140, 7670
1401/08/15, 7000, 7250
1401/08/14, 6690, 7040
1401/08/11, 6490, 6730
1401/08/10, 6250, 6610
1401/08/09, 6170, 6420
1401/08/08, 5950, 6240
1401/08/07, 6000, 6240
1401/08/04, 6070, 6300
1401/08/03, 6270, 6640
1401/08/02, 6420, 6900
1401/08/01, 6710, 7020
1401/07/30, 6860, 7280
1401/07/27, 6480, 6830
1401/07/26, 6060, 6560
1401/07/25, 6230, 6560
1401/07/24, 6380, 6720
1401/07/23, 6410, 6760
1401/07/20, 6540, 6790
1401/07/19, 6610, 6850
1401/07/18, 6530, 6720
1401/07/17, 6430, 6980
1401/07/16, 6710, 7000
1401/07/12, 6550, 6840
1401/07/11, 6660, 6990
1401/07/10, 6800, 7200
1401/07/09, 6990, 7430
1401/07/06, 7190, 7680
1401/07/04, 7200, 7630
1401/07/02, 7410, 7900
1401/06/30, 7720, 8200
1401/06/29, 7470, 8090
1401/06/28, 7520, 7790
1401/06/27, 7590, 7750
1401/06/23, 7560, 7810
1401/06/22, 7500, 7800
1401/06/21, 7640, 7930
1401/06/20, 7620, 7990
1401/06/19, 7700, 8170
1401/06/16, 8000, 8490
1401/06/15, 8250, 8740
1401/06/14, 8500, 8800
1401/06/13, 8570, 8880
1401/06/12, 8470, 8860
1401/06/09, 8560, 8920
1401/06/08, 8640, 8980
1401/06/07, 8720, 9100
1401/06/06, 8080, 8850
1401/06/05, 8100, 8680
1401/06/02, 7850, 8460
1401/06/01, 7800, 8110
1401/05/31, 7900, 8160
1401/05/30, 8100, 8370
1401/05/29, 8040, 8380
1401/05/26, 8100, 8350
1401/05/25, 8140, 8640
1401/05/24, 8460, 8800
1401/05/23, 8500, 9000
1401/05/22, 8570, 9100
1401/05/19, 8670, 9100
1401/05/18, 8720, 9340
