date, min_price, max_price
1402/03/03, 5170, 5360
1402/03/02, 5200, 5450
1402/03/01, 5240, 5500
1402/02/31, 5160, 5480
1402/02/30, 5330, 5530
1402/02/27, 5220, 5530
1402/02/25, 5070, 5410
1402/02/24, 5110, 5410
1402/02/23, 5030, 5290
1402/02/20, 5200, 5500
1402/02/19, 5100, 5350
1402/02/18, 5300, 5450
1402/02/17, 5560, 5790
1402/02/16, 5760, 5910
1402/02/13, 5670, 5830
1402/02/12, 5670, 5830
1402/02/11, 5620, 5800
1402/02/10, 5570, 5850
1402/02/09, 5520, 5750
1402/02/06, 5420, 5720
1402/02/05, 5500, 5750
1402/02/04, 5280, 5570
1402/01/30, 5180, 5490
1402/01/29, 5180, 5370
1402/01/28, 4970, 5314
1402/01/27, 5005, 5160
1402/01/26, 5000, 5166
1402/01/22, 4788, 5030
1402/01/21, 4755, 5187
1402/01/20, 4959, 5240
1402/01/19, 4776, 5013
1402/01/16, 4652, 4896
1402/01/15, 4709, 4970
1402/01/14, 4552, 4900
1402/01/09, 4615, 4785
1402/01/08, 4618, 4757
1402/01/07, 4370, 4764
1402/01/06, 4390, 4598
1402/01/05, 4447, 4620
1401/12/28, 4563, 4690
1401/12/27, 4420, 4621
1401/12/24, 4269, 4480
1401/12/23, 4260, 4398
1401/12/22, 4230, 4400
1401/12/21, 4210, 4390
1401/12/20, 4296, 4565
1401/12/16, 4289, 4480
1401/12/15, 4301, 4410
1401/12/14, 4353, 4487
1401/12/13, 4302, 4501
1401/12/10, 4370, 4450
1401/12/09, 4317, 4600
1401/12/08, 4170, 4489
1401/12/07, 4219, 4383
1401/12/06, 4010, 4268
1401/12/03, 4050, 4200
1401/12/02, 4023, 4213
1401/12/01, 3893, 4122
1401/11/30, 3890, 3993
1401/11/26, 3838, 3980
1401/11/25, 3853, 3945
1401/11/24, 3898, 3981
1401/11/23, 3816, 3950
1401/11/19, 3862, 4000
1401/11/18, 3922, 4079
1401/11/17, 3856, 4000
1401/11/16, 3917, 4080
1401/11/12, 3950, 4009
1401/11/11, 3997, 4134
1401/11/10, 3976, 4017
1401/11/09, 3977, 4180
1401/11/08, 4147, 4289
1401/11/05, 4135, 4324
1401/11/04, 4175, 4350
1401/11/03, 4200, 4399
1401/11/02, 4201, 4360
1401/11/01, 4210, 4408
1401/10/28, 4360, 4519
1401/10/27, 4380, 4500
1401/10/26, 4371, 4515
1401/10/24, 4276, 4500
1401/10/21, 4294, 4600
1401/10/20, 4450, 4620
1401/10/19, 4296, 4590
1401/10/18, 4287, 4470
1401/10/17, 4162, 4360
1401/10/14, 4134, 4320
1401/10/13, 4299, 4526
1401/10/12, 4211, 4491
1401/10/11, 4200, 4306
1401/10/10, 4170, 4307
1401/10/07, 4230, 4370
1401/10/05, 4196, 4330
1401/10/04, 4259, 4390
1401/10/03, 4110, 4370
1401/09/30, 4091, 4200
1401/09/29, 4100, 4186
1401/09/28, 4097, 4139
1401/09/27, 4060, 4199
1401/09/26, 4019, 4128
1401/09/23, 4043, 4147
1401/09/22, 4000, 4150
1401/09/21, 3951, 4045
1401/09/20, 3936, 3990
1401/09/19, 3903, 3990
1401/09/16, 3960, 3999
1401/09/15, 3937, 3998
1401/09/14, 3989, 4020
1401/09/13, 3937, 3999
