date, min_price, max_price
1402/03/03, 8210, 8570
1402/03/02, 8280, 8870
1402/03/01, 8300, 8800
1402/02/31, 8000, 8560
1402/02/30, 7870, 8480
1402/02/27, 7940, 8500
1402/02/25, 7990, 8600
1402/02/24, 8010, 8680
1402/02/23, 8220, 8560
1402/02/20, 8640, 9590
1402/02/19, 9040, 9850
1402/02/18, 9720, 9940
1402/02/17, 9860, 11340
1402/02/16, 10600, 10600
1402/02/13, 9570, 10050
1402/02/12, 8900, 9630
1402/02/11, 8750, 9260
1402/02/10, 8720, 9250
1402/02/09, 8560, 8890
1402/02/06, 8540, 9080
1402/02/05, 8860, 9720
1402/02/04, 8860, 9660
1402/01/30, 8960, 9570
1402/01/29, 8550, 9210
1402/01/28, 8370, 8900
1402/01/27, 8430, 8990
1402/01/26, 8500, 8740
1402/01/22, 7660, 8450
1402/01/21, 7590, 8500
1402/01/20, 7490, 8160
1402/01/19, 7320, 7880
1402/01/16, 7360, 7820
1402/01/15, 7400, 8000
1402/01/14, 7060, 7760
1402/01/09, 7000, 7470
1402/01/08, 6940, 7250
1402/01/07, 6660, 7010
1402/01/06, 6690, 7200
1402/01/05, 6860, 7410
1401/12/28, 6750, 7140
1401/12/27, 6390, 6740
1401/12/24, 6200, 6440
1401/12/23, 6020, 6280
1401/12/22, 6050, 6320
1401/12/21, 6000, 6380
1401/12/20, 6260, 6670
1401/12/15, 6390, 6770
1401/12/14, 6480, 6790
1401/12/13, 6180, 6650
1401/12/10, 6220, 6670
1401/12/09, 6560, 6920
1401/12/08, 6750, 7140
1401/12/07, 6440, 7080
1401/12/06, 6560, 6790
1401/12/03, 6220, 6690
1401/12/02, 6440, 6890
1401/12/01, 6070, 6550
1401/11/30, 6000, 6320
1401/11/26, 6000, 6280
1401/11/25, 6020, 6470
1401/11/24, 6150, 6390
1401/11/23, 5860, 6250
1401/11/19, 6130, 6560
1401/11/18, 6000, 6310
1401/11/17, 5880, 6080
1401/11/16, 6200, 6660
1401/11/12, 6500, 6890
1401/11/11, 6570, 6950
1401/11/10, 6300, 6850
1401/11/09, 6540, 7130
1401/11/08, 6720, 7330
1401/11/05, 6690, 7330
1401/11/04, 6970, 7360
1401/11/03, 6450, 7320
1401/11/02, 6550, 7230
1401/11/01, 6690, 7270
1401/10/28, 7140, 7190
1401/10/24, 7090, 7410
1401/10/21, 7440, 8050
1401/10/20, 7740, 8240
1401/10/19, 7420, 7920
1401/10/18, 7260, 7630
1401/10/17, 7340, 7670
1401/10/14, 7150, 7550
1401/10/13, 7350, 8030
1401/10/12, 7100, 7580
1401/10/11, 6830, 7450
1401/10/10, 7070, 7390
1401/10/07, 7450, 7810
1401/10/05, 7310, 7770
1401/10/04, 7180, 7800
1401/10/03, 7150, 7450
1401/09/30, 7170, 7400
1401/09/29, 6710, 7190
1401/09/28, 6610, 7090
1401/09/27, 6990, 7260
1401/09/26, 6970, 7290
1401/09/23, 7080, 7400
1401/09/22, 7040, 7400
1401/09/21, 6960, 7450
1401/09/20, 6760, 7390
1401/09/19, 6650, 7130
1401/09/16, 6670, 6670
1401/09/15, 5810, 6320
1401/09/14, 5830, 6070
1401/09/13, 5820, 6100
1401/09/12, 5670, 5940
1401/09/09, 5700, 5950
1401/09/08, 5760, 6040
1401/09/07, 5720, 6100
1401/09/06, 5500, 5970
1401/09/05, 5390, 5750
1401/09/02, 5250, 5540
1401/09/01, 4900, 5550
1401/08/30, 5050, 5380
1401/08/29, 5030, 5148
1401/08/28, 4686, 5040
1401/08/25, 4830, 5140
1401/08/24, 4830, 5090
1401/08/23, 4880, 5160
1401/08/22, 4980, 5300
1401/08/21, 5080, 5350
1401/08/18, 4970, 5428
1401/08/17, 5000, 5249
1401/08/16, 4840, 4912
1401/08/15, 4302, 4652
1401/08/14, 4070, 4380
1401/08/11, 4009, 4174
1401/08/10, 4128, 4298
1401/08/09, 4065, 4234
1401/08/08, 3934, 4100
1401/08/07, 3950, 4345
1401/08/04, 4129, 4400
1401/08/03, 4320, 4570
1401/08/02, 4480, 4610
1401/08/01, 4521, 4750
1401/07/30, 4510, 4680
1401/07/27, 4568, 4750
1401/07/26, 4629, 4839
1401/07/25, 4520, 4705
1401/07/24, 4511, 4735
1401/07/23, 4700, 4930
1401/07/20, 4800, 4990
1401/07/19, 4800, 5010
1401/07/18, 4740, 4930
1401/07/17, 4740, 5050
1401/07/16, 4960, 5240
1401/07/12, 4990, 5160
1401/07/11, 4940, 5200
1401/07/10, 4860, 5170
1401/07/09, 4920, 5170
1401/07/06, 5180, 5440
1401/07/04, 4860, 5180
1401/07/02, 4750, 5030
1401/06/30, 4810, 5170
1401/06/29, 4850, 5120
1401/06/28, 4990, 5290
1401/06/27, 5000, 5320
1401/06/23, 5280, 5500
1401/06/22, 5100, 5410
1401/06/21, 4910, 5220
1401/06/20, 4880, 5100
1401/06/19, 4990, 5270
1401/06/16, 5210, 5460
1401/06/15, 5160, 5440
1401/06/14, 5190, 5460
1401/06/13, 5200, 5460
1401/06/12, 5240, 5590
1401/06/09, 5480, 5750
1401/06/08, 5450, 5860
1401/06/07, 5770, 6040
1401/06/06, 5840, 6240
1401/06/05, 5870, 6210
1401/06/02, 6010, 6270
1401/06/01, 6140, 6400
1401/05/31, 5910, 6330
1401/05/30, 5830, 6170
1401/05/29, 6030, 6270
1401/05/26, 6230, 6600
1401/05/25, 5970, 6590
1401/05/24, 5840, 6330
1401/05/23, 5800, 6020
1401/05/22, 5680, 5680
1401/05/19, 5151, 5550
1401/05/18, 5060, 5393
1401/05/15, 5050, 5088
1401/05/12, 4620, 4810
1401/05/11, 4390, 4780
1401/05/10, 4570, 4800
1401/05/09, 4640, 4930
1401/05/08, 4910, 5180
1401/05/05, 5000, 5440
1401/05/04, 5170, 5590
1401/05/03, 5480, 5720
1401/05/02, 5640, 6140
1401/05/01, 5900, 6170
1401/04/29, 5810, 6120
1401/04/28, 5750, 6190
1401/04/26, 5900, 6280
1401/04/25, 5560, 6250
1401/04/22, 5730, 5980
1401/04/21, 5150, 5780
1401/04/20, 5370, 5840
1401/04/18, 5670, 5970
1401/04/15, 5970, 6290
1401/04/14, 6180, 6580
1401/04/13, 6300, 6480
1401/04/12, 5910, 6260
1401/04/11, 6080, 6420
1401/04/08, 6220, 6640
1401/04/07, 6350, 6750
1401/04/06, 6170, 6600
1401/04/05, 6330, 6900
1401/04/04, 6470, 6740
1401/04/01, 5960, 6430
1401/03/31, 5940, 6240
1401/03/30, 5790, 5940
1401/03/29, 5320, 5740
1401/03/28, 5370, 5810
1401/03/25, 5640, 5950
1401/03/24, 5710, 6250
1401/03/23, 5710, 5920
1401/03/22, 5270, 5750
1401/03/21, 5270, 5600
1401/03/18, 5200, 5420
1401/03/17, 4720, 5160
1401/03/16, 4850, 5130
1401/03/11, 5130, 5280
1401/03/07, 5340, 5750
1401/03/04, 5520, 5890
1401/03/03, 5550, 5960
1401/03/02, 5810, 6020
1401/03/01, 6030, 6430
1401/02/31, 6110, 6460
1401/02/28, 5970, 6100
1401/02/27, 5570, 5990
1401/02/26, 5550, 5750
1401/02/25, 5310, 5670
1401/02/24, 5580, 5930
1401/02/21, 5800, 6120
1401/02/20, 5640, 6060
1401/02/19, 5760, 6270
1401/02/18, 5960, 6290
1401/02/17, 5970, 6380
1401/02/12, 5980, 6370
1401/02/11, 5770, 6270
1401/02/10, 5860, 6230
1401/02/07, 6030, 6730
1401/02/06, 6160, 6430
1401/02/05, 5710, 6230
1401/02/04, 5700, 5940
1401/01/31, 5392, 5920
1401/01/30, 5270, 5848
1401/01/29, 5435, 5521
1401/01/28, 4930, 5410
1401/01/27, 5120, 5153
1401/01/24, 4810, 4930
1401/01/23, 4573, 4702
1401/01/22, 4479, 4479
1401/01/17, 4393, 4393
1401/01/16, 4198, 4198
1401/01/15, 4066, 4066
1401/01/14, 3948, 3948
1401/01/09, 3784, 3784
1401/01/08, 3665, 3665
1401/01/07, 3493, 3493
1401/01/06, 3329, 3329
1400/12/28, 3173, 3173
1400/12/25, 3022, 3022
1400/12/24, 2760, 2884
1400/12/23, 2680, 2797
1400/12/22, 2660, 2789
1400/12/21, 2747, 2870
1400/12/18, 2790, 2970
1400/12/17, 2806, 2936
1400/12/16, 2912, 3065
1400/12/15, 2990, 3111
1400/12/14, 2954, 3048
1400/12/11, 2889, 3097
1400/12/09, 2950, 3128
1400/12/08, 2942, 3070
1400/12/07, 2900, 3076
1400/12/04, 2800, 2965
1400/12/03, 2758, 2826
1400/12/02, 2620, 2704
1400/12/01, 2520, 2650
1400/11/30, 2522, 2668
1400/11/27, 2500, 2629
1400/11/25, 2494, 2589
1400/11/24, 2444, 2590
1400/11/23, 2490, 2650
1400/11/20, 2481, 2688
1400/11/19, 2551, 2679
1400/11/18, 2530, 2643
1400/11/17, 2648, 2759
1400/11/16, 2750, 2850
1400/11/13, 2651, 2810
1400/11/12, 2680, 2727
1400/11/11, 2420, 2644
1400/11/10, 2470, 2640
1400/11/09, 2466, 2576
1400/11/06, 2390, 2550
1400/11/05, 2425, 2482
1400/11/04, 2538, 2667
1400/11/03, 2669, 2750
1400/11/02, 2717, 2799
1400/10/26, 2862, 2966
1400/10/25, 2910, 3028
1400/10/22, 2922, 3059
1400/10/21, 2980, 3138
1400/10/20, 2860, 3125
1400/10/19, 2901, 3069
1400/10/18, 2894, 3024
1400/10/15, 2780, 2947
1400/10/14, 2780, 2924
1400/10/13, 2860, 2987
1400/10/12, 2850, 3045
1400/10/11, 2953, 3107
1400/10/08, 3031, 3190
1400/10/07, 3021, 3200
1400/10/06, 3007, 3152
1400/10/05, 2950, 3048
1400/10/04, 2970, 3150
1400/10/01, 2923, 3130
1400/09/30, 2846, 3070
1400/09/29, 2824, 2989
1400/09/28, 2770, 2982
1400/09/27, 2670, 2852
1400/09/24, 2610, 2812
1400/09/23, 2699, 2825
1400/09/22, 2801, 3020
1400/09/21, 2946, 3040
1400/09/20, 2990, 3230
1400/09/17, 2900, 3092
