date, min_price, max_price
1402/03/03, 7510, 7980
1402/03/02, 7650, 8400
1402/03/01, 7700, 7980
1402/02/31, 7100, 7590
1402/02/25, 7200, 7750
1402/02/24, 7100, 7500
1402/02/23, 6900, 7750
1402/02/20, 6860, 7530
1402/02/19, 6420, 7380
1402/02/18, 6780, 6780
1402/02/17, 7040, 8070
1402/02/16, 7510, 7560
1402/02/13, 6900, 7080
1402/02/12, 6770, 6770
1402/02/11, 6110, 6350
1402/02/10, 5640, 6030
1402/02/09, 5530, 5770
1402/02/06, 5500, 5690
1402/02/05, 5440, 5790
1402/02/04, 5490, 5800
1402/01/30, 5500, 5960
1402/01/29, 5550, 5900
1402/01/28, 5530, 6100
1402/01/27, 5660, 6160
1402/01/26, 5420, 5860
1402/01/22, 5208, 5764
1402/01/21, 5210, 5572
1402/01/20, 5208, 5208
1402/01/19, 4969, 4969
1402/01/16, 4472, 4648
1402/01/15, 4460, 4460
1402/01/14, 4121, 4265
1402/01/09, 3892, 4095
1402/01/08, 3851, 3950
1402/01/07, 3750, 3919
1402/01/06, 3700, 3992
1402/01/05, 3850, 4010
1401/12/27, 3770, 3900
1401/12/24, 3653, 3792
1401/12/23, 3621, 3710
1401/12/22, 3711, 3775
1401/12/21, 3740, 3813
1401/12/20, 3793, 4011
1401/12/16, 3751, 3880
1401/12/15, 3710, 3840
1401/12/14, 3730, 3900
1401/12/13, 3732, 3800
1401/12/10, 3804, 3887
1401/12/09, 3780, 3940
1401/12/08, 3842, 4022
1401/12/07, 3910, 4165
1401/12/06, 3843, 4117
1401/12/03, 3760, 3852
1401/12/02, 3850, 4084
1401/12/01, 3700, 4040
1401/11/30, 3700, 4119
1401/11/12, 7850, 8520
1401/11/11, 7900, 8300
1401/11/10, 7440, 8140
1401/11/09, 7550, 7940
1401/11/08, 7710, 8200
1401/11/05, 8080, 8500
1401/11/04, 8300, 8730
1401/11/03, 8610, 9470
1401/11/02, 8780, 9710
1401/11/01, 9000, 9270
1401/10/28, 8660, 8670
1401/10/27, 8160, 8160
1401/10/26, 7770, 7770
1401/10/24, 7120, 7320
1401/10/21, 7190, 7390
1401/10/20, 7250, 7490
1401/10/19, 7120, 7400
1401/10/18, 7210, 7460
1401/10/17, 7100, 7300
1401/10/14, 6960, 7100
1401/10/13, 6990, 7240
1401/10/12, 7010, 7200
1401/10/11, 6910, 7230
1401/10/10, 7080, 7500
1401/10/07, 7450, 7660
1401/10/05, 7200, 7440
1401/10/04, 7170, 7370
1401/10/03, 6900, 7350
1401/09/30, 7030, 7190
1401/09/29, 7010, 7360
1401/09/28, 6880, 7270
1401/09/27, 6860, 7010
1401/09/26, 6850, 6890
1401/09/23, 6860, 6990
1401/09/22, 6860, 7010
1401/09/21, 6850, 6870
1401/09/20, 6850, 6860
1401/09/19, 6850, 6880
1401/09/16, 6850, 6890
1401/09/15, 6850, 6860
