date, min_price, max_price
1402/03/03, 3681, 3770
1402/03/02, 3702, 3780
1402/03/01, 3693, 3769
1402/02/31, 3615, 3762
1402/02/30, 3680, 3833
1402/02/27, 3700, 3829
1402/02/25, 3686, 3818
1402/02/24, 3550, 3780
1402/02/23, 3433, 3627
1402/02/20, 3601, 3910
1402/02/19, 3522, 3890
1402/02/18, 3742, 3949
1402/02/17, 3961, 4300
1402/02/16, 4201, 4295
1402/02/13, 4155, 4430
1402/02/12, 4255, 4452
1402/02/11, 4271, 4480
1402/02/10, 4300, 4453
1402/02/09, 3950, 4202
1402/02/06, 3838, 3980
1402/02/05, 3849, 4052
1402/02/04, 3751, 3860
1402/01/30, 3725, 3849
1402/01/29, 3740, 3849
1402/01/28, 3650, 3780
1402/01/27, 3673, 3800
1402/01/26, 3582, 3743
1402/01/22, 3460, 3645
1402/01/21, 3484, 3700
1402/01/20, 3590, 3690
1402/01/19, 3481, 3722
1402/01/16, 3373, 3550
1402/01/15, 3410, 3599
1402/01/14, 3333, 3524
1402/01/09, 3382, 3560
1402/01/08, 3190, 3450
1402/01/07, 3130, 3250
1402/01/06, 3190, 3320
1402/01/05, 3191, 3311
1401/12/28, 3165, 3308
1401/12/27, 3099, 3205
1401/12/24, 2903, 3045
1401/12/23, 2905, 2970
1401/12/22, 2903, 2987
1401/12/21, 2958, 3050
1401/12/20, 3030, 3123
1401/12/16, 3005, 3110
1401/12/15, 3013, 3060
1401/12/14, 2960, 3100
1401/12/13, 3009, 3105
1401/12/10, 3111, 3175
1401/12/09, 3100, 3213
1401/12/08, 3101, 3220
1401/12/07, 3141, 3270
1401/12/06, 2950, 3066
1401/12/03, 2820, 2938
1401/12/02, 2782, 2782
1401/11/25, 2961, 3068
1401/11/24, 2962, 3035
1401/11/23, 2960, 3078
1401/11/19, 3006, 3047
1401/11/18, 2980, 3080
1401/11/17, 2930, 3035
1401/11/16, 2940, 3100
1401/11/12, 2984, 3029
1401/11/11, 2980, 3042
1401/11/10, 2900, 2990
1401/11/09, 2900, 3002
1401/11/08, 3000, 3141
1401/11/05, 3010, 3105
