date, min_price, max_price
1402/03/03, 2792, 3091
1402/03/02, 2842, 2970
1402/03/01, 2900, 3030
1402/02/31, 2815, 2972
1402/02/30, 2600, 2926
1402/02/20, 2864, 3250
1402/02/19, 3011, 3221
1402/02/18, 3237, 3237
1402/02/17, 3480, 3480
1402/02/12, 3651, 3741
1402/02/11, 3317, 3519
1402/02/10, 3175, 3415
1402/02/09, 3196, 3397
1402/02/06, 3162, 3367
1402/02/05, 3120, 3304
1402/02/04, 2991, 3234
1402/01/30, 3020, 3250
1402/01/29, 2950, 3187
1402/01/28, 2855, 3088
1402/01/27, 2875, 2957
1402/01/26, 2761, 2764
1402/01/22, 2401, 2638
1402/01/21, 2351, 2574
1402/01/20, 2410, 2530
1402/01/19, 2410, 2556
1402/01/16, 2330, 2506
1402/01/15, 2375, 2590
1402/01/14, 2500, 2564
1402/01/09, 2255, 2447
1402/01/08, 2204, 2353
1402/01/07, 2170, 2348
1402/01/06, 2154, 2280
1402/01/05, 2106, 2274
1401/12/28, 2122, 2264
1401/12/27, 2143, 2230
1401/12/24, 2100, 2155
1401/12/23, 2058, 2151
1401/12/22, 2055, 2161
1401/12/21, 2060, 2187
1401/12/20, 2131, 2241
1401/12/16, 1981, 2136
1401/12/15, 1950, 2020
1401/12/14, 1954, 2029
1401/12/13, 1905, 2017
1401/12/10, 1900, 2020
1401/12/09, 1900, 1998
1401/12/08, 1900, 1999
1401/12/07, 1911, 2090
1401/12/06, 1899, 1982
1401/12/03, 1820, 1915
1401/12/02, 1830, 1988
1401/12/01, 1800, 1961
1401/11/30, 1778, 1885
1401/11/26, 1781, 1910
1401/11/25, 1840, 1950
1401/11/24, 1928, 2023
1401/11/23, 1934, 2080
1401/11/19, 2005, 2130
1401/11/18, 2020, 2110
1401/11/17, 1930, 2070
1401/11/16, 1937, 2038
1401/11/12, 2010, 2098
1401/11/11, 1840, 1991
1401/11/10, 1830, 1990
1401/11/09, 1955, 2130
1401/11/08, 2026, 2157
1401/11/05, 2010, 2160
1401/11/04, 2011, 2141
1401/11/03, 2024, 2260
1401/11/02, 2102, 2282
1401/11/01, 2227, 2387
1401/10/28, 2316, 2526
1401/10/27, 2331, 2401
1401/10/26, 2146, 2400
1401/10/24, 2305, 2350
1401/10/21, 2305, 2651
1401/10/19, 2478, 2478
1401/10/18, 2316, 2316
1401/10/17, 2110, 2166
1401/10/14, 1938, 2061
1401/10/13, 1799, 1937
1401/10/12, 1750, 1848
1401/10/11, 1673, 1817
1401/10/10, 1739, 1839
1401/10/07, 1817, 1907
1401/10/05, 1771, 1894
1401/10/04, 1730, 1847
1401/10/03, 1700, 1749
1401/09/30, 1651, 1748
1401/09/29, 1656, 1800
1401/09/28, 1602, 1729
1401/09/27, 1561, 1648
1401/09/26, 1521, 1583
1401/09/23, 1510, 1592
1401/09/22, 1500, 1590
1401/09/21, 1460, 1524
1401/09/20, 1437, 1480
1401/09/19, 1450, 1522
1401/09/16, 1486, 1532
1401/09/15, 1492, 1534
1401/09/14, 1520, 1571
1401/09/13, 1458, 1570
1401/09/12, 1470, 1525
1401/09/09, 1490, 1534
1401/09/08, 1480, 1508
1401/09/07, 1479, 1535
1401/09/06, 1486, 1528
1401/09/05, 1471, 1541
1401/09/02, 1465, 1502
1401/09/01, 1465, 1513
1401/08/30, 1480, 1520
1401/08/29, 1480, 1549
1401/08/28, 1481, 1575
1401/08/25, 1522, 1588
1401/08/24, 1523, 1647
1401/08/23, 1565, 1639
1401/08/22, 1518, 1585
1401/08/21, 1555, 1650
1401/08/18, 1611, 1770
1401/08/17, 1670, 1780
1401/08/16, 1603, 1732
1401/08/15, 1532, 1667
1401/08/14, 1543, 1634
1401/08/11, 1460, 1555
1401/08/10, 1370, 1460
1401/08/09, 1350, 1389
1401/08/08, 1311, 1382
1401/08/07, 1388, 1484
1401/08/04, 1447, 1564
1401/08/03, 1478, 1593
1401/08/02, 1488, 1609
1401/08/01, 1557, 1654
1401/07/30, 1600, 1680
1401/07/27, 1631, 1731
1401/07/26, 1611, 1729
1401/07/25, 1605, 1708
1401/07/24, 1693, 1798
1401/07/23, 1750, 1860
1401/07/20, 1770, 1849
1401/07/19, 1741, 1850
1401/07/18, 1655, 1903
1401/07/17, 1779, 1779
1401/07/16, 1663, 1663
1401/07/12, 1501, 1850
