date, min_price, max_price
1402/03/01, 2280, 2333
1402/02/31, 2120, 2230
1402/02/30, 2080, 2219
1402/02/27, 2050, 2226
1402/02/25, 2003, 2180
1402/02/24, 2006, 2180
1402/02/23, 2086, 2199
1402/02/20, 2199, 2412
1402/02/19, 2358, 2425
1402/02/18, 2535, 2535
1402/02/17, 2650, 2960
1402/02/16, 2757, 2865
1402/02/13, 2590, 2684
1402/02/12, 2364, 2547
1402/02/11, 2322, 2450
1402/02/10, 2320, 2438
1402/02/09, 2275, 2395
1402/02/06, 2285, 2400
1402/02/05, 2380, 2519
1402/02/04, 2266, 2459
1402/01/30, 2350, 2528
1402/01/29, 2301, 2528
1402/01/28, 2280, 2436
1402/01/27, 2180, 2309
1402/01/26, 2110, 2159
1402/01/22, 1940, 2095
1402/01/21, 1930, 2151
1402/01/20, 1992, 2127
1402/01/19, 1852, 2006
1402/01/16, 1803, 1916
1402/01/15, 1756, 1879
1402/01/14, 1681, 1846
1402/01/09, 1721, 1790
1402/01/08, 1656, 1723
1402/01/07, 1574, 1685
1402/01/06, 1571, 1697
1402/01/05, 1601, 1730
1401/12/28, 1520, 1640
1401/12/27, 1480, 1548
1401/12/24, 1419, 1477
1401/12/23, 1388, 1439
1401/12/22, 1396, 1443
1401/12/21, 1408, 1498
1401/12/20, 1474, 1535
1401/12/16, 1465, 1514
1401/12/15, 1467, 1507
1401/12/14, 1484, 1537
1401/12/13, 1449, 1526
1401/12/10, 1475, 1579
1401/12/09, 1456, 1506
1401/12/08, 1456, 1555
1401/12/07, 1423, 1561
1401/12/06, 1443, 1469
1401/12/03, 1342, 1423
1401/12/02, 1375, 1460
1401/12/01, 1324, 1402
1401/11/30, 1285, 1350
1401/11/26, 1270, 1318
1401/11/25, 1302, 1350
1401/11/24, 1321, 1388
1401/11/23, 1321, 1375
1401/11/19, 1346, 1410
1401/11/18, 1333, 1407
1401/11/17, 1279, 1345
1401/11/16, 1302, 1408
1401/11/12, 1382, 1438
1401/11/11, 1375, 1431
1401/11/10, 1317, 1416
1401/11/09, 1380, 1468
1401/11/08, 1453, 1565
1401/11/05, 1535, 1684
1401/11/04, 1613, 1699
1401/11/03, 1626, 1800
1401/11/02, 1685, 1812
1401/11/01, 1650, 1760
1401/10/28, 1570, 1730
1401/10/27, 1575, 1657
1401/10/26, 1560, 1617
1401/10/24, 1466, 1560
1401/10/21, 1521, 1633
1401/10/20, 1567, 1647
1401/10/19, 1540, 1630
1401/10/18, 1546, 1640
1401/10/17, 1461, 1550
1401/10/14, 1403, 1472
1401/10/13, 1439, 1527
1401/10/12, 1399, 1479
1401/10/11, 1365, 1461
1401/10/10, 1420, 1461
