date, min_price, max_price
1402/03/03, 7670, 8790
1402/03/02, 7780, 8320
1402/03/01, 7590, 8100
1402/02/31, 7850, 8820
1402/02/30, 8420, 8720
1402/02/27, 8600, 9560
1402/02/25, 8570, 9220
1402/02/24, 7750, 8830
1402/02/23, 8020, 8690
1402/02/20, 7780, 8320
1402/02/19, 7030, 7970
1402/02/18, 7010, 8050
1402/02/17, 6720, 7720
1402/02/12, 7200, 7630
1402/02/11, 7050, 7140
1402/02/10, 6240, 7160
1402/02/09, 6210, 6970
1402/02/06, 6360, 6690
1402/02/05, 5530, 6340
1402/02/04, 5800, 5930
1402/01/28, 5279, 5550
1402/01/27, 5000, 5315
1402/01/26, 4800, 5008
1402/01/22, 4450, 4719
1402/01/21, 4235, 4416
1402/01/20, 3855, 4223
1402/01/19, 3802, 4040
1402/01/16, 3615, 3878
1402/01/15, 3550, 3848
1402/01/14, 3642, 3860
1402/01/09, 3640, 3850
1402/01/08, 3547, 3778
1402/01/07, 3484, 3596
1402/01/06, 3535, 3620
1402/01/05, 3483, 3642
1401/12/28, 3410, 3645
1401/12/27, 3405, 3678
1401/12/24, 3430, 3596
1401/12/23, 3130, 3455
1401/12/22, 3078, 3320
1401/12/21, 3091, 3265
1401/12/20, 3281, 3410
1401/12/16, 3254, 3409
1401/12/15, 3218, 3400
1401/12/14, 3305, 3453
1401/12/13, 3333, 3510
1401/12/10, 3400, 3647
1401/12/09, 3265, 3649
1401/12/08, 3283, 3495
1401/12/07, 3300, 3580
1401/12/06, 3257, 3510
1401/12/03, 3215, 3400
1401/12/02, 3213, 3445
1401/12/01, 3148, 3368
1401/11/30, 3121, 3280
1401/11/26, 3052, 3275
1401/11/25, 3151, 3260
1401/11/24, 3110, 3350
1401/11/23, 3168, 3321
1401/11/19, 3352, 3442
1401/11/18, 3315, 3450
1401/11/17, 3149, 3500
1401/11/16, 3261, 3407
1401/11/12, 3072, 3287
1401/11/11, 2990, 3149
1401/11/10, 2862, 3178
1401/11/09, 3069, 3255
1401/11/08, 3211, 3430
1401/11/05, 3311, 3540
1401/11/04, 3362, 3520
1401/11/03, 3381, 3588
1401/11/02, 3390, 3700
1401/11/01, 3567, 3890
1401/10/28, 3702, 3960
1401/10/27, 3710, 4029
1401/10/26, 3910, 4088
1401/10/24, 3906, 4140
1401/10/21, 4100, 4440
1401/10/20, 4219, 4481
1401/10/19, 4000, 4276
1401/10/18, 3907, 4095
1401/10/17, 3870, 4110
1401/10/14, 3863, 4190
1401/10/13, 3800, 4310
1401/10/12, 3843, 4115
1401/10/11, 3660, 3911
1401/10/10, 3448, 3692
1401/10/07, 3324, 3569
1401/10/05, 3355, 3562
1401/10/04, 3181, 3434
1401/10/03, 3106, 3287
1401/09/30, 3150, 3240
1401/09/29, 3060, 3220
1401/09/28, 3125, 3297
1401/09/27, 3150, 3251
1401/09/26, 3155, 3270
1401/09/23, 3160, 3387
1401/09/22, 3040, 3387
1401/09/21, 3052, 3217
1401/09/20, 2940, 3051
1401/09/19, 2806, 2970
1401/09/16, 2920, 3139
1401/09/15, 3030, 3198
1401/09/14, 3040, 3320
1401/09/13, 3055, 3231
1401/09/12, 2855, 3069
1401/09/09, 2794, 2920
1401/09/08, 2800, 2920
1401/09/07, 2779, 2893
1401/09/06, 2760, 2839
1401/09/05, 2776, 2894
1401/09/02, 2780, 2869
1401/09/01, 2760, 2900
1401/08/30, 2720, 2883
1401/08/29, 2762, 2908
1401/08/28, 2768, 2912
1401/08/25, 2785, 2966
1401/08/24, 2813, 3040
1401/08/23, 2918, 3130
1401/08/22, 2739, 2976
1401/08/21, 2704, 2867
1401/08/18, 2719, 2872
1401/08/17, 2741, 3087
1401/08/16, 2795, 3000
1401/08/15, 2760, 2992
1401/08/14, 2831, 2885
1401/08/09, 2600, 2780
1401/08/08, 2653, 2800
1401/08/07, 2761, 3078
1401/08/04, 2809, 3068
1401/08/03, 2851, 3044
1401/08/02, 3003, 3329
1401/08/01, 2986, 3370
1401/07/30, 3042, 3300
1401/07/27, 3089, 3321
1401/07/26, 3255, 3628
1401/07/25, 3115, 3583
1401/07/24, 3345, 3450
1401/07/23, 3577, 3729
1401/07/20, 3660, 4190
1401/07/19, 3935, 3935
1401/07/18, 3513, 3682
1401/07/17, 3442, 3442
1401/07/10, 3217, 3217
1401/07/09, 2855, 3016
1401/07/06, 2819, 2819
1401/07/04, 2501, 2676
1401/07/02, 2501, 2501
1401/06/30, 2224, 2365
1401/06/29, 2051, 2222
1401/06/28, 2033, 2135
1401/06/27, 2036, 2125
1401/06/23, 2057, 2147
1401/06/22, 2056, 2165
1401/06/21, 2010, 2140
1401/06/20, 2002, 2151
1401/06/19, 2060, 2158
1401/06/16, 2131, 2300
1401/06/15, 2138, 2260
1401/06/14, 2040, 2205
1401/06/13, 2005, 2128
1401/06/12, 2000, 2080
1401/06/09, 2057, 2119
1401/06/08, 2033, 2129
1401/06/07, 2029, 2150
1401/06/06, 2081, 2199
1401/06/05, 2134, 2199
1401/06/02, 1984, 2116
1401/06/01, 1934, 2098
1401/05/31, 1992, 2149
1401/05/30, 1951, 2101
1401/05/29, 1950, 2070
1401/05/26, 2030, 2200
1401/05/25, 2100, 2299
1401/05/24, 2110, 2290
1401/05/23, 2115, 2333
1401/05/22, 2112, 2233
1401/05/19, 2052, 2132
1401/05/18, 1870, 2052
1401/05/15, 1905, 1982
1401/05/12, 1824, 1920
1401/05/11, 1815, 1995
1401/05/10, 1871, 2070
1401/05/09, 1970, 2080
1401/05/08, 2033, 2189
1401/05/05, 2120, 2230
1401/05/04, 2074, 2240
1401/05/03, 2097, 2210
1401/05/02, 2160, 2338
1401/05/01, 2235, 2328
1401/04/29, 2246, 2337
1401/04/28, 2204, 2326
1401/04/26, 2247, 2374
1401/04/25, 2301, 2494
1401/04/22, 2250, 2496
1401/04/21, 2284, 2500
1401/04/20, 2426, 2520
1401/04/18, 2521, 2721
1401/04/15, 2613, 2705
1401/04/14, 2552, 2552
1401/04/13, 2423, 2423
1401/04/12, 2223, 2336
1401/04/11, 2158, 2218
1401/04/08, 2150, 2294
1401/04/07, 2161, 2300
1401/04/06, 2135, 2241
1401/04/05, 2122, 2304
1401/04/04, 2190, 2330
1401/04/01, 2158, 2250
1401/03/31, 2136, 2266
1401/03/30, 2163, 2303
1401/03/29, 2216, 2359
1401/03/28, 2276, 2480
1401/03/25, 2300, 2393
1401/03/24, 2128, 2295
1401/03/23, 2122, 2191
1401/03/22, 1948, 2130
1401/03/21, 2002, 2130
1401/03/18, 2081, 2179
1401/03/17, 2032, 2217
1401/03/16, 2092, 2261
1401/03/11, 2150, 2314
1401/03/10, 2170, 2328
1401/03/09, 2201, 2429
1401/03/08, 2295, 2430
1401/03/07, 2328, 2596
1401/03/04, 2375, 2561
1401/03/03, 2409, 2550
1401/03/02, 2300, 2426
1401/03/01, 2149, 2338
1401/02/31, 2164, 2242
1401/02/28, 2180, 2260
1401/02/27, 2189, 2320
1401/02/26, 2160, 2340
1401/02/25, 2160, 2247
1401/02/24, 2198, 2198
1401/02/21, 2170, 2170
1401/02/20, 2152, 2152
1401/02/19, 2128, 2128
1401/02/18, 2101, 2101
1401/02/17, 2082, 2082
1401/02/12, 2061, 2061
1401/02/11, 2050, 2050
1401/02/10, 2037, 2037
1401/01/29, 2286, 2286
1401/01/28, 2157, 2157
1401/01/27, 1980, 2098
1401/01/24, 1935, 2022
1401/01/23, 1950, 2038
1401/01/22, 1982, 2097
1401/01/21, 2024, 2134
1401/01/20, 1985, 2080
1401/01/17, 1959, 2050
1401/01/16, 1886, 2011
1401/01/15, 1907, 2071
1401/01/14, 1974, 2049
1401/01/10, 1950, 1983
1401/01/09, 1830, 1917
1401/01/08, 0, 0
1401/01/07, 1789, 1847
1401/01/06, 1785, 1860
1400/12/28, 1806, 1889
1400/12/25, 1755, 1889
1400/12/24, 1761, 1824
1400/12/23, 1760, 1830
1400/12/22, 1752, 1801
1400/12/21, 1755, 1811
1400/12/18, 1813, 1855
1400/12/17, 1811, 1850
1400/12/16, 1830, 1903
1400/12/15, 1810, 1905
1400/12/14, 1810, 1888
1400/12/11, 1817, 1904
1400/12/09, 1862, 1906
1400/12/08, 1791, 1911
1400/12/07, 1772, 1890
1400/12/04, 1787, 1830
1400/12/03, 1780, 1855
1400/12/02, 1760, 1840
1400/12/01, 1767, 1839
1400/11/30, 1791, 1863
1400/11/27, 1801, 1880
1400/11/25, 1800, 1885
1400/11/24, 1828, 1890
1400/11/23, 1841, 1910
1400/11/20, 1925, 2010
1400/11/19, 1831, 1995
1400/11/18, 1833, 1868
1400/11/17, 1860, 1985
1400/11/16, 1900, 1990
1400/11/13, 1880, 1940
1400/11/12, 1859, 1969
1400/11/11, 1852, 1924
1400/11/10, 1833, 1987
1400/11/09, 1910, 1978
1400/11/06, 1850, 1988
1400/11/05, 1846, 1920
1400/11/04, 1868, 1920
1400/11/03, 1878, 1931
1400/11/02, 1887, 2030
1400/10/29, 1910, 2070
1400/10/28, 1982, 2110
1400/10/27, 2010, 2155
1400/10/26, 2007, 2148
1400/10/25, 2044, 2165
1400/10/22, 2091, 2150
1400/10/21, 2100, 2240
1400/10/20, 2115, 2214
1400/10/19, 2170, 2245
1400/10/18, 2201, 2290
1400/10/15, 2241, 2388
1400/10/14, 2342, 2426
1400/10/13, 2314, 2410
1400/10/12, 2134, 2350
1400/10/11, 2155, 2270
1400/10/08, 2175, 2311
1400/10/07, 2230, 2300
1400/10/06, 2247, 2355
1400/10/05, 2227, 2311
1400/10/04, 2266, 2380
1400/10/01, 2300, 2380
1400/09/30, 2241, 2348
1400/09/29, 2230, 2335
1400/09/28, 2200, 2355
1400/09/27, 2200, 2340
1400/09/24, 2170, 2369
1400/09/23, 2085, 2303
1400/09/22, 2130, 2247
1400/09/21, 2156, 2205
1400/09/20, 2207, 2389
1400/09/17, 2262, 2379
1400/09/16, 2333, 2410
1400/09/15, 2379, 2530
1400/09/14, 2490, 2600
1400/09/13, 2531, 2531
1400/09/10, 2584, 2584
1400/09/09, 2668, 2668
1400/09/08, 2663, 2943
1400/09/07, 2875, 2875
1400/09/03, 2821, 2821
1400/09/02, 2733, 2733
1400/08/19, 4382, 4812
1400/08/18, 4560, 4799
1400/08/17, 4702, 4970
1400/08/16, 4581, 4844
1400/08/15, 4677, 4677
1400/08/12, 4373, 4555
1400/08/11, 4132, 4391
1400/08/10, 4100, 4329
1400/08/05, 4274, 4420
1400/08/04, 4385, 4385
1400/08/03, 4427, 4427
1400/08/01, 4480, 4600
1400/07/28, 4656, 5020
1400/07/27, 4800, 5100
1400/07/26, 4940, 5220
1400/07/25, 5124, 5420
1400/07/24, 5271, 5603
1400/07/21, 5437, 5709
1400/07/20, 5714, 6016
1400/07/19, 5872, 6096
1400/07/18, 5850, 6080
1400/07/17, 5881, 6180
1400/07/14, 5776, 5999
1400/07/12, 5782, 5969
1400/07/11, 5794, 6150
1400/07/10, 6000, 6340
1400/07/07, 5676, 6168
1400/07/06, 5780, 6000
1400/07/04, 5800, 6050
1400/07/03, 5800, 6100
1400/06/31, 5873, 6080
1400/06/30, 6156, 6470
1400/06/29, 6252, 6739
1400/06/28, 6511, 6840
1400/06/27, 6513, 7056
