date, min_price, max_price
1402/03/03, 6110, 6600
1402/03/02, 6300, 6920
1402/03/01, 6420, 6830
1402/02/31, 6080, 6620
1402/02/30, 6190, 6770
1402/02/27, 6100, 6480
1402/02/25, 5800, 6250
1402/02/24, 5630, 6300
1402/02/23, 6050, 6280
1402/02/20, 6280, 7150
1402/02/19, 6690, 7140
1402/02/18, 7190, 7190
1402/02/17, 7540, 8400
1402/02/16, 7720, 8320
1402/02/13, 7450, 8170
1402/02/12, 7530, 7840
1402/02/11, 7000, 7530
1402/02/10, 6860, 7210
1402/02/09, 6590, 6800
1402/02/06, 5820, 6680
1402/02/05, 6020, 6440
1402/02/04, 5750, 6200
1402/01/30, 5800, 6050
1402/01/29, 5670, 6220
1402/01/28, 5750, 6250
1402/01/26, 5700, 5900
1402/01/22, 5270, 5562
1402/01/21, 5000, 5284
1402/01/20, 4770, 5194
1402/01/19, 4700, 4991
1402/01/16, 4271, 4765
1402/01/15, 4260, 4740
1402/01/14, 4220, 4623
1402/01/09, 4220, 4400
1402/01/08, 3980, 4248
1402/01/07, 3910, 4099
1402/01/06, 3901, 4162
1402/01/05, 4081, 4188
1401/12/28, 3902, 4166
1401/12/27, 3920, 4137
1401/12/24, 3820, 3970
1401/12/23, 3743, 3850
1401/12/22, 3736, 3990
1401/12/21, 3868, 4000
1401/12/20, 3943, 4110
1401/12/16, 3870, 4098
1401/12/15, 3826, 4000
1401/12/14, 3898, 4092
1401/12/13, 3682, 3949
1401/12/10, 3689, 3915
1401/12/09, 3687, 3687
1401/12/08, 3446, 3446
1401/11/30, 3173, 3370
1401/11/26, 3200, 3373
1401/11/25, 3226, 3479
1401/11/24, 3400, 3589
1401/11/23, 3385, 3620
1401/11/19, 3461, 3761
1401/11/18, 3513, 3680
1401/11/17, 3370, 3500
1401/11/16, 3350, 3690
1401/11/12, 3404, 3650
1401/11/11, 3330, 3535
1401/11/10, 3240, 3590
1401/11/09, 3469, 3699
1401/11/08, 3621, 3905
1401/11/05, 3827, 4180
1401/11/04, 4030, 4328
1401/11/03, 4131, 4480
1401/11/02, 4111, 4450
1401/11/01, 4259, 4635
1401/10/28, 4450, 4750
1401/10/27, 4522, 4889
1401/10/26, 4350, 4641
1401/10/24, 4115, 4473
1401/10/21, 4207, 4528
1401/10/20, 4300, 4530
1401/10/19, 4076, 4375
1401/10/18, 4210, 4561
1401/10/17, 4142, 4377
1401/10/14, 4077, 4257
1401/10/13, 4110, 4561
1401/10/11, 4119, 4350
1401/10/10, 3939, 4214
1401/10/07, 3760, 3966
1401/10/05, 3570, 3735
1401/10/04, 3435, 3600
1401/10/03, 3365, 3640
1401/09/30, 3344, 3497
1401/09/29, 3335, 3447
1401/09/28, 3328, 3478
1401/09/27, 3312, 3531
1401/09/26, 3305, 3463
1401/09/23, 3140, 3253
1401/09/22, 2891, 3063
1401/09/21, 2800, 2893
1401/09/20, 2771, 2900
1401/09/19, 2760, 2910
1401/09/16, 2895, 3049
1401/09/15, 2935, 3062
1401/09/14, 3003, 3140
1401/09/13, 2853, 3072
1401/09/12, 2753, 2951
1401/09/09, 2751, 2865
1401/09/08, 2736, 2800
1401/09/07, 2731, 2899
1401/09/06, 2810, 2927
1401/09/05, 2760, 2918
1401/09/02, 2720, 2799
1401/09/01, 2689, 2776
1401/08/30, 2650, 2790
1401/08/29, 2661, 2790
1401/08/28, 2651, 2785
1401/08/25, 2759, 2845
1401/08/24, 2780, 2898
1401/08/23, 2800, 2910
1401/08/22, 2802, 2940
1401/08/21, 2801, 2946
1401/08/18, 2725, 2959
1401/08/17, 2744, 3040
1401/08/16, 2810, 2945
1401/08/15, 2619, 2860
1401/08/14, 2641, 2790
1401/08/11, 2660, 2799
1401/08/08, 2659, 2720
1401/08/07, 2806, 3090
1401/08/04, 3001, 3226
1401/08/03, 3130, 3339
1401/08/02, 3171, 3396
1401/08/01, 3285, 3500
1401/07/30, 3380, 3540
1401/07/27, 3363, 3549
1401/07/26, 3370, 3552
1401/07/25, 3383, 3485
1401/07/24, 3360, 3560
1401/07/23, 3456, 3730
1401/07/20, 3622, 3730
1401/07/19, 3636, 3970
1401/07/18, 3551, 3975
1401/07/17, 3678, 3870
1401/07/16, 3830, 4027
1401/07/12, 3660, 3804
1401/07/11, 3405, 3690
1401/07/10, 3390, 3710
1401/07/09, 3306, 3699
1401/07/06, 3251, 3568
1401/07/04, 3163, 3450
1401/07/02, 3162, 3490
1401/06/30, 3180, 3497
1401/06/29, 3196, 3460
1401/06/28, 3331, 3548
1401/06/27, 3334, 3550
1401/06/23, 3433, 3699
1401/06/22, 3520, 3756
1401/06/21, 3222, 3547
1401/06/20, 3231, 3500
1401/06/19, 3361, 3479
1401/06/16, 3406, 3406
1401/06/15, 3299, 3299
1401/06/14, 3228, 3228
1401/06/13, 3110, 3110
1401/06/12, 3060, 3060
1401/06/02, 7700, 8130
1401/06/01, 7390, 7980
1401/05/31, 7810, 8300
1401/05/30, 8070, 8500
1401/05/29, 8020, 8790
1401/05/26, 8050, 8640
1401/05/25, 8090, 8560
1401/05/24, 7710, 8500
1401/05/23, 7600, 8270
1401/05/22, 7720, 7930
1401/05/19, 7310, 7540
1401/05/18, 7160, 7340
1401/05/15, 6350, 7140
1401/05/12, 6720, 6970
1401/05/11, 6360, 6980
1401/05/10, 6360, 7030
1401/05/09, 6530, 6780
1401/05/08, 6690, 7190
1401/05/05, 6740, 7400
1401/05/04, 6970, 7350
1401/05/03, 7220, 7630
1401/05/02, 7380, 7770
1401/05/01, 7600, 7990
1401/04/29, 7490, 8190
1401/04/28, 7480, 7970
1401/04/26, 7620, 8060
1401/04/25, 7780, 8290
1401/04/22, 8050, 8590
1401/04/21, 7760, 8240
1401/04/20, 8220, 8620
1401/04/18, 8580, 9160
1401/04/15, 8900, 9360
1401/04/14, 8870, 9500
1401/04/13, 9030, 9440
1401/04/12, 8560, 9440
1401/04/11, 8880, 9430
1401/04/08, 9000, 9700
1401/04/07, 9300, 9750
1401/04/06, 8940, 9390
1401/04/05, 8900, 9480
1401/04/04, 8900, 9370
1401/04/01, 8650, 9180
1401/03/31, 8780, 9350
1401/03/30, 9010, 9400
1401/03/29, 8900, 9340
1401/03/28, 9020, 9750
1401/03/25, 9100, 9840
1401/03/24, 9380, 10130
1401/03/23, 9670, 10500
1401/03/22, 9420, 10100
1401/03/21, 9490, 10180
1401/03/18, 9950, 10550
1401/03/17, 9910, 10930
1401/03/16, 10420, 11060
1401/03/11, 10610, 11490
1401/03/10, 10130, 10910
1401/03/09, 10230, 10990
1401/03/08, 10880, 11210
1401/03/07, 10890, 12100
1401/03/04, 11110, 11980
1401/03/03, 10580, 11510
1401/03/02, 10810, 11550
1401/03/01, 11010, 12000
1401/02/31, 10950, 11690
1401/02/28, 10940, 11590
1401/02/27, 11330, 12170
1401/02/26, 11730, 12400
1401/02/25, 11420, 12190
1401/02/24, 11490, 12600
1401/02/21, 11890, 11890
1401/02/20, 11100, 11220
1401/02/19, 10380, 10620
1401/02/18, 9780, 10240
1401/02/17, 9980, 10410
1401/02/12, 9900, 10490
1401/02/11, 10040, 10300
1401/02/10, 9670, 10450
1401/02/07, 10070, 10600
1401/02/06, 10200, 11400
1401/02/05, 10000, 11000
1401/02/04, 10220, 10650
1401/01/31, 9400, 10280
1401/01/30, 9010, 10000
1401/01/29, 9210, 9890
1401/01/28, 9700, 9840
1401/01/22, 9280, 10240
1401/01/21, 9760, 9760
1401/01/20, 9100, 9340
1401/01/17, 8600, 8920
1401/01/16, 8420, 8930
1401/01/15, 8770, 9500
1401/01/14, 9000, 9260
1401/01/10, 8600, 8850
1401/01/09, 8230, 8440
1401/01/08, 7880, 8060
1401/01/07, 7470, 7720
1401/01/06, 7220, 7600
1400/12/28, 7300, 7800
1400/12/25, 7240, 7800
1400/12/24, 7370, 7790
1400/12/23, 7510, 8090
1400/12/22, 7760, 8350
1400/12/21, 7930, 8400
1400/12/18, 8170, 8580
1400/12/17, 8040, 8210
1400/12/16, 7800, 8090
1400/12/15, 7940, 8190
1400/12/14, 7940, 8690
1400/12/11, 7890, 8510
1400/12/09, 8000, 8210
1400/12/08, 7540, 7860
1400/12/07, 7270, 7510
1400/12/04, 6950, 7210
1400/12/03, 6460, 7010
1400/12/02, 6480, 6870
1400/12/01, 6350, 6580
1400/11/30, 6020, 6300
1400/11/27, 5810, 6270
1400/11/25, 5900, 6180
1400/11/24, 6000, 6340
1400/11/23, 6170, 6190
1400/11/18, 5740, 6000
1400/11/17, 6030, 6270
1400/11/16, 6300, 6800
1400/11/13, 6480, 6870
1400/11/12, 6570, 7030
1400/11/11, 6840, 7190
1400/11/10, 6960, 7470
1400/11/09, 7000, 7350
