date, min_price, max_price
1402/03/03, 6660, 7060
1402/03/02, 6380, 6790
1402/03/01, 6110, 6520
1402/02/31, 5900, 6250
1402/02/30, 5800, 6290
1402/02/27, 6040, 6260
1402/02/25, 5660, 6210
1402/02/24, 5650, 6020
1402/02/23, 5590, 6100
1402/02/20, 5910, 6580
1402/02/19, 6310, 6690
1402/02/18, 6780, 6900
1402/02/17, 7130, 8130
1402/02/16, 7300, 7890
1402/02/13, 7290, 7650
1402/02/12, 7540, 7760
1402/02/11, 7060, 7640
1402/02/10, 6810, 7390
1402/02/09, 6830, 7140
1402/02/06, 6810, 7330
1402/02/05, 7130, 7650
1402/02/04, 7400, 8200
1402/01/30, 7500, 7760
1402/01/29, 6600, 7440
1402/01/28, 6580, 7040
1402/01/27, 6450, 6580
1402/01/20, 5900, 6160
1402/01/19, 5560, 5770
1402/01/16, 5030, 5510
1402/01/15, 5030, 5300
1402/01/14, 4980, 5270
1402/01/09, 5065, 5306
1402/01/08, 5045, 5471
1402/01/07, 4754, 5358
1402/01/06, 4830, 5140
1402/01/05, 4873, 4873
1401/12/28, 4312, 4613
1401/12/27, 4110, 4364
1401/12/24, 3955, 4145
1401/12/23, 3901, 4046
1401/12/22, 3951, 4190
1401/12/21, 3950, 4150
1401/12/16, 4050, 4327
1401/12/15, 4150, 4430
1401/12/14, 4220, 4500
1401/12/13, 4175, 4400
1401/12/10, 4307, 4499
1401/12/09, 4000, 4360
1401/12/08, 4020, 4245
1401/12/07, 4040, 4587
1401/12/06, 4139, 4304
1401/12/03, 3960, 4140
1401/12/02, 3810, 4022
1401/11/30, 3650, 3880
1401/11/26, 3747, 4015
1401/11/25, 3918, 4269
1401/11/24, 4138, 4324
1401/11/23, 4100, 4212
1401/11/19, 4212, 4340
1401/11/18, 4170, 4360
1401/11/17, 4153, 4371
1401/11/16, 4427, 4760
1401/11/12, 4660, 4950
1401/11/11, 4330, 4970
1401/11/10, 4620, 4950
1401/11/09, 4940, 5340
1401/11/08, 5180, 5690
1401/11/05, 5080, 5740
1401/11/04, 5030, 5480
1401/11/03, 5000, 5300
1401/11/02, 4860, 5300
1401/11/01, 4850, 5350
1401/10/28, 5000, 5350
1401/10/27, 5040, 5380
1401/10/26, 5250, 5740
1401/10/24, 4900, 5580
1401/10/21, 4975, 5322
1401/10/20, 4734, 4994
1401/10/19, 4390, 4772
1401/10/18, 4387, 4590
1401/10/17, 4326, 4581
1401/10/14, 4400, 4600
1401/10/13, 4520, 4899
1401/10/12, 4350, 4704
1401/10/11, 4330, 4477
1401/10/10, 4257, 4550
1401/10/07, 4410, 4579
1401/10/05, 4111, 4301
1401/10/04, 3810, 4148
1401/10/03, 3817, 3998
1401/09/30, 3700, 3993
1401/09/29, 3910, 4020
1401/09/28, 3877, 4160
1401/09/27, 4050, 4300
1401/09/26, 4002, 4199
1401/09/23, 3900, 4180
1401/09/22, 4065, 4279
1401/09/21, 4070, 4200
1401/09/20, 3850, 4274
1401/09/19, 3972, 4250
1401/09/16, 4178, 4528
1401/09/15, 4426, 4850
1401/09/14, 4600, 4935
1401/09/13, 4600, 4798
1401/09/12, 4410, 4760
1401/09/09, 4398, 4910
1401/09/08, 4612, 4849
1401/09/05, 4750, 4810
1401/09/02, 4250, 4596
1401/09/01, 4202, 4600
1401/08/30, 4400, 4699
1401/08/29, 4261, 4502
1401/08/28, 3851, 4255
1401/08/25, 3672, 4059
1401/08/24, 3670, 3989
1401/08/23, 3822, 4080
1401/08/22, 3756, 4088
1401/08/21, 3720, 3893
1401/08/18, 3451, 3688
1401/08/17, 3447, 3447
1401/08/16, 2967, 3245
1401/08/15, 2980, 3130
1401/08/14, 2900, 3150
1401/08/11, 2854, 3044
1401/08/10, 2971, 3138
1401/08/09, 2936, 3109
1401/08/08, 2901, 3140
1401/08/07, 2899, 3000
1401/08/04, 2920, 3010
1401/08/03, 2950, 3071
1401/08/02, 2960, 3320
1401/08/01, 3030, 3171
1401/07/30, 2830, 2980
1401/07/27, 2840, 2937
1401/07/26, 2865, 3000
1401/07/25, 2830, 3030
1401/07/24, 2880, 2955
1401/07/23, 2912, 3143
1401/07/20, 3005, 3137
1401/07/19, 3042, 3150
1401/07/18, 2980, 3179
1401/07/17, 2960, 3088
1401/07/16, 3001, 3209
1401/07/12, 3014, 3240
1401/07/11, 3039, 3247
1401/07/10, 3257, 3400
1401/07/09, 3341, 3615
1401/07/06, 3343, 3640
1401/07/04, 3271, 3499
1401/07/02, 3300, 3489
1401/06/30, 3395, 3482
1401/06/29, 3420, 3518
1401/06/28, 3440, 3697
1401/06/27, 3388, 3700
1401/06/23, 3401, 3500
1401/06/22, 3460, 3600
1401/06/21, 3421, 3735
1401/06/20, 3370, 3748
1401/06/19, 3380, 3600
