date, min_price, max_price
1402/03/01, 9030, 9300
1402/02/31, 8560, 9140
1402/02/30, 8610, 8960
1402/02/27, 8500, 9090
1402/02/25, 8600, 8900
1402/02/24, 8220, 8640
1402/02/23, 8170, 8570
1402/02/20, 8450, 9290
1402/02/19, 8620, 9300
1402/02/18, 8820, 8900
1402/02/17, 9250, 9580
1402/02/16, 9640, 9990
1402/02/13, 9650, 10250
1402/02/12, 9810, 10240
1402/02/11, 9710, 9990
1402/02/10, 9760, 10180
1402/02/09, 9770, 10150
1402/02/06, 9550, 9740
1402/02/05, 8930, 9370
1402/02/04, 8720, 9080
1402/01/30, 8610, 9100
1402/01/29, 8520, 8920
1402/01/28, 8170, 8610
1402/01/27, 8030, 8200
1402/01/26, 7490, 7840
1402/01/22, 7280, 7580
1402/01/21, 7200, 7660
1402/01/20, 7280, 7700
1402/01/19, 7210, 7500
1402/01/16, 7080, 7270
1402/01/15, 7090, 7340
1402/01/14, 6880, 7240
1402/01/09, 7000, 7240
1402/01/08, 7000, 7290
1402/01/07, 6880, 7120
1402/01/06, 6950, 7150
1402/01/05, 7020, 7400
1401/12/28, 7000, 7170
1401/12/27, 6700, 6830
1401/12/24, 6270, 6580
