date, min_price, max_price
1402/03/03, 2597, 2698
1402/03/02, 2642, 2780
1402/03/01, 2644, 2755
1402/02/31, 2572, 2694
1402/02/30, 2581, 2780
1402/02/27, 2601, 2732
1402/02/25, 2510, 2698
1402/02/24, 2554, 2700
1402/02/23, 2688, 2688
1402/02/20, 2770, 2949
1402/02/19, 2915, 2916
1402/02/18, 3008, 3008
1402/02/17, 3148, 3310
1402/02/16, 3231, 3319
1402/02/13, 3075, 3224
1402/02/12, 3080, 3189
1402/02/11, 3075, 3298
1402/02/04, 2752, 2850
1402/01/30, 2820, 2980
1402/01/29, 2840, 3026
1402/01/28, 2760, 2903
1402/01/27, 2720, 2765
1402/01/26, 2634, 2634
1402/01/22, 2339, 2581
1402/01/21, 2368, 2616
1402/01/20, 2360, 2509
1402/01/19, 2343, 2392
1402/01/16, 2140, 2341
1402/01/15, 2158, 2330
1402/01/14, 2074, 2258
1402/01/09, 2100, 2210
1402/01/08, 2100, 2136
1402/01/07, 1956, 2088
1402/01/06, 1996, 2100
1402/01/05, 2060, 2149
1401/12/28, 2020, 2150
1401/12/27, 2011, 2084
1401/12/24, 1899, 1992
1401/12/23, 1880, 1939
1401/12/22, 1881, 1977
1401/12/21, 1821, 1975
1401/12/20, 1846, 1886
1401/12/16, 1760, 1818
1401/12/15, 1775, 1820
1401/12/14, 1773, 1850
1401/12/13, 1750, 1838
1401/12/10, 1745, 1820
1401/12/09, 1805, 1878
1401/12/08, 1830, 1909
1401/12/07, 1825, 1885
1401/12/06, 1760, 1815
1401/12/03, 1698, 1750
1401/12/02, 1720, 1812
1401/12/01, 1689, 1771
1401/11/30, 1650, 1705
1401/11/26, 1666, 1700
1401/11/25, 1682, 1742
1401/11/24, 1703, 1779
1401/11/23, 1692, 1736
1401/11/19, 1739, 1799
1401/11/18, 1755, 1834
1401/11/17, 1691, 1826
1401/11/16, 1718, 1826
1401/11/12, 1771, 1849
1401/11/11, 1750, 1795
1401/11/10, 1652, 1770
1401/11/09, 1727, 1770
1401/11/08, 1755, 1878
1401/11/05, 1811, 1938
1401/11/04, 1870, 1950
1401/11/03, 1856, 2000
1401/11/02, 1921, 2046
1401/11/01, 2007, 2098
1401/10/28, 2068, 2179
1401/10/27, 2100, 2247
1401/10/26, 2105, 2185
1401/10/24, 2016, 2140
1401/10/21, 2070, 2200
