date, min_price, max_price
1402/03/03, 27800, 29440
1402/03/02, 27230, 28460
1402/03/01, 27220, 28200
1402/02/31, 26620, 28330
1402/02/30, 27360, 29290
1402/02/27, 27680, 28750
1402/02/25, 26150, 28740
1402/02/24, 25660, 27630
1402/02/23, 25120, 27970
1402/02/20, 25100, 28390
1402/02/19, 24830, 28000
1402/02/18, 26690, 26810
1402/02/17, 28630, 30780
1402/02/16, 30000, 32180
1402/02/13, 29630, 31740
1402/02/12, 29000, 30500
1402/02/11, 29020, 30930
1402/02/10, 30000, 32190
1402/02/09, 29000, 30350
1402/02/06, 27400, 29050
1402/02/05, 25850, 28030
1402/02/04, 25540, 26800
1402/01/30, 24050, 26500
1402/01/29, 23750, 25270
1402/01/28, 23500, 24490
1402/01/27, 23210, 24690
1402/01/26, 23710, 24500
1402/01/22, 22010, 23750
1402/01/21, 22100, 24160
1402/01/20, 23100, 25440
1402/01/19, 23690, 25290
1402/01/16, 22230, 24800
1402/01/15, 22410, 23720
1402/01/14, 20640, 22510
1402/01/09, 20500, 21900
1402/01/08, 20000, 20900
1402/01/07, 18790, 20200
1402/01/06, 19610, 20570
1402/01/05, 19610, 20890
1401/12/28, 20010, 20900
1401/12/27, 19000, 21130
1401/12/24, 19120, 20280
1401/12/23, 18470, 19200
1401/12/22, 18530, 19390
1401/12/21, 18480, 19590
1401/12/20, 19050, 20060
1401/12/16, 17820, 19400
1401/12/15, 18000, 18840
1401/12/14, 18440, 19910
1401/12/13, 18610, 19540
1401/12/10, 19170, 20130
1401/12/09, 19590, 21300
1401/12/08, 19840, 20850
1401/12/07, 20500, 21740
1401/12/06, 19900, 20440
1401/12/03, 18590, 19900
1401/12/01, 17600, 18090
1401/11/30, 16000, 17290
1401/11/24, 15700, 16170
1401/11/17, 15120, 15120
1401/11/16, 13700, 14550
1401/11/12, 14240, 15090
1401/11/11, 14200, 14810
1401/11/10, 13790, 14750
1401/11/09, 14270, 15200
1401/11/08, 15010, 16000
1401/11/05, 15670, 16570
1401/11/04, 16100, 17180
1401/11/03, 15910, 17200
1401/11/02, 15560, 16530
1401/11/01, 15560, 16450
1401/10/28, 15900, 16850
1401/10/27, 16270, 17150
1401/10/26, 15640, 16400
1401/10/24, 14440, 15900
1401/10/21, 14750, 15290
1401/10/20, 14750, 15850
1401/10/19, 14460, 15320
1401/10/18, 13880, 14780
1401/10/17, 13060, 13960
1401/10/14, 12780, 13300
1401/10/13, 13000, 13500
1401/10/12, 12670, 13500
1401/10/11, 12410, 13510
1401/10/10, 13050, 13860
1401/10/07, 13600, 14300
1401/10/05, 13300, 14080
1401/10/04, 13850, 14290
1401/10/03, 13790, 14200
1401/09/30, 13750, 13990
1401/09/29, 13600, 14070
1401/09/28, 13310, 14200
1401/09/27, 12990, 13700
1401/09/26, 12380, 13210
1401/09/23, 12350, 12990
1401/09/22, 12480, 12990
1401/09/21, 12520, 12870
1401/09/20, 12380, 13080
1401/09/19, 12280, 12350
1401/09/16, 11300, 11740
1401/09/15, 11220, 11660
1401/09/14, 11200, 11510
1401/09/13, 10830, 11700
1401/09/12, 11140, 11790
1401/09/09, 10960, 11800
1401/09/08, 10710, 11530
1401/09/07, 10440, 10980
1401/09/06, 10410, 10880
1401/09/05, 10460, 10990
1401/09/02, 10150, 10620
1401/09/01, 9820, 10320
1401/08/30, 9870, 10400
1401/08/29, 9360, 10090
1401/08/28, 9060, 9670
1401/08/25, 8920, 9380
1401/08/24, 8860, 9170
1401/08/23, 8920, 9270
1401/08/22, 9100, 9300
1401/08/21, 9150, 9700
1401/08/18, 9400, 9860
1401/08/17, 9190, 9840
1401/08/16, 8780, 9440
1401/08/15, 8440, 9020
1401/08/14, 7770, 8620
1401/08/11, 7780, 8330
1401/08/10, 7800, 8040
1401/08/09, 7600, 7910
1401/08/08, 7210, 7540
1401/08/07, 7250, 7870
1401/08/04, 7460, 7640
1401/08/03, 7600, 7980
1401/08/02, 7750, 8020
1401/08/01, 7930, 8240
1401/07/30, 8000, 8570
1401/07/27, 8190, 8670
1401/07/26, 8020, 8570
1401/07/25, 7850, 8360
1401/07/24, 8060, 8440
1401/07/23, 8310, 8600
1401/07/20, 8310, 8550
1401/07/19, 8410, 8900
1401/07/18, 8370, 8600
1401/07/17, 8500, 8880
1401/07/16, 8800, 9170
1401/07/12, 8780, 9250
1401/07/11, 8660, 9180
1401/07/10, 8530, 8950
1401/07/09, 8670, 9240
1401/07/06, 8880, 9360
1401/07/04, 8520, 9130
1401/07/02, 8740, 9210
1401/06/30, 9000, 9380
1401/06/29, 9100, 9420
1401/06/28, 9180, 9500
1401/06/27, 8920, 9400
1401/06/23, 9030, 9430
1401/06/22, 8980, 9470
1401/06/21, 8870, 9150
1401/06/20, 8860, 9200
1401/06/19, 8900, 9300
1401/06/16, 8940, 9220
1401/06/15, 8930, 9180
1401/06/14, 8880, 9150
1401/06/13, 8910, 9210
1401/06/12, 8990, 9490
1401/06/09, 9280, 9580
1401/06/08, 9350, 9690
1401/06/07, 9270, 9720
1401/06/06, 9240, 9510
1401/06/05, 9220, 9620
1401/06/02, 9100, 9370
1401/06/01, 9010, 9390
1401/05/31, 8740, 9180
1401/05/30, 8740, 9060
1401/05/29, 8890, 9160
1401/05/26, 8730, 9040
1401/05/25, 8880, 9200
1401/05/24, 8530, 8890
1401/05/23, 8540, 8900
1401/05/22, 8580, 8580
1401/05/19, 8100, 8100
1401/05/10, 9200, 9300
1401/05/09, 9050, 9200
1401/05/08, 9040, 9290
1401/05/05, 8960, 9200
1401/05/04, 8870, 9170
1401/05/03, 8910, 9450
1401/05/02, 9290, 9680
1401/05/01, 9210, 9500
1401/04/29, 9040, 9280
1401/04/28, 9100, 9400
1401/04/26, 9040, 9480
1401/04/25, 9210, 9690
1401/04/22, 9340, 9630
1401/04/21, 9350, 9580
1401/04/20, 9290, 9690
1401/04/18, 9420, 9910
1401/04/15, 9730, 9940
1401/04/14, 9710, 9980
1401/04/13, 9690, 10000
1401/04/12, 9660, 9970
1401/04/11, 9780, 10180
1401/04/08, 9900, 10180
1401/04/07, 9710, 10100
1401/04/06, 9440, 9990
1401/04/05, 9650, 10230
1401/04/04, 10110, 10600
1401/04/01, 10480, 10810
1401/03/31, 10770, 11260
1401/03/30, 10870, 11380
1401/03/29, 11000, 11620
1401/03/28, 11200, 11810
1401/03/25, 11590, 12000
1401/03/24, 11660, 11950
1401/03/23, 11510, 12250
1401/03/22, 11450, 12230
1401/03/21, 11350, 12350
1401/03/18, 11640, 12440
1401/03/17, 11620, 12310
1401/03/16, 10990, 11770
1401/03/11, 10850, 11280
1401/03/10, 10800, 11340
1401/03/09, 10950, 11600
1401/03/08, 11200, 12050
1401/03/07, 11360, 11810
1401/03/04, 10850, 11380
1401/03/03, 10900, 11180
1401/03/02, 10850, 11510
1401/03/01, 11190, 11580
1401/02/31, 11310, 11990
1401/02/28, 11830, 12240
1401/02/27, 12000, 12750
1401/02/26, 12000, 12630
1401/02/25, 11950, 12810
1401/02/24, 11950, 12440
1401/02/21, 11200, 11820
1401/02/20, 10750, 11540
1401/02/19, 11100, 11780
1401/02/18, 11410, 12040
1401/02/17, 11020, 11840
1401/02/12, 10930, 11600
1401/02/11, 11390, 11940
1401/02/10, 10740, 11730
1401/02/07, 10700, 11320
1401/02/06, 10140, 10700
1401/02/05, 9650, 10370
1401/02/04, 9710, 9950
1401/01/31, 10100, 10560
1401/01/30, 10400, 11160
1401/01/29, 10410, 10930
1401/01/28, 9900, 10380
1401/01/27, 9890, 9890
1401/01/24, 9000, 9670
1401/01/23, 9320, 9680
1401/01/22, 9660, 9980
1401/01/21, 9700, 10080
1401/01/20, 9420, 9840
1401/01/17, 9200, 9880
1401/01/16, 9350, 9910
1401/01/15, 9200, 9680
1401/01/14, 8790, 9450
1401/01/10, 8700, 9150
1401/01/09, 8800, 9200
1401/01/08, 8830, 9120
1401/01/07, 8600, 8950
1401/01/06, 8710, 8950
1400/12/28, 8500, 8770
1400/12/25, 8230, 8480
1400/12/24, 8290, 8420
1400/12/23, 8320, 8500
1400/12/22, 8320, 8500
1400/12/21, 8300, 8530
1400/12/18, 8140, 8480
1400/12/17, 8130, 8400
1400/12/16, 8270, 8600
1400/12/15, 8120, 8400
1400/12/14, 8060, 8300
1400/12/11, 8000, 8280
1400/12/09, 7850, 8250
1400/12/08, 7800, 8250
1400/12/07, 7990, 8250
1400/12/04, 8020, 8280
1400/12/03, 8010, 8310
1400/12/02, 7970, 8360
1400/12/01, 7980, 8370
1400/11/30, 8200, 8690
1400/11/27, 8400, 8770
1400/11/25, 8360, 8900
1400/11/24, 8500, 8930
1400/11/23, 8750, 8940
1400/11/20, 8200, 8550
1400/11/19, 8080, 8400
1400/11/18, 7860, 8240
1400/11/17, 8130, 8500
1400/11/16, 8400, 8970
1400/11/13, 8300, 8790
1400/11/12, 8230, 8640
1400/11/11, 7950, 8410
1400/11/10, 8160, 8850
1400/11/09, 8500, 8580
1400/11/06, 7980, 8610
1400/11/05, 8370, 8370
1400/11/04, 8490, 8850
1400/11/03, 8660, 8980
1400/11/02, 8780, 9440
1400/10/29, 9200, 9700
1400/10/28, 9330, 9740
1400/10/27, 9780, 10440
1400/10/26, 10000, 10390
1400/10/25, 10010, 10500
1400/10/22, 10320, 10750
1400/10/21, 10300, 10680
1400/10/20, 10230, 10720
1400/10/19, 10210, 10770
1400/10/18, 10600, 11170
1400/10/15, 10910, 11400
1400/10/14, 10810, 11300
1400/10/13, 10800, 11350
1400/10/12, 10700, 11400
1400/10/11, 10720, 11070
1400/10/08, 10700, 11100
1400/10/07, 10360, 10860
1400/10/06, 10480, 10870
1400/10/05, 10370, 10870
1400/10/04, 10360, 10970
1400/10/01, 10100, 10790
1400/09/30, 10100, 10500
1400/09/29, 10050, 10470
1400/09/28, 10010, 10400
1400/09/27, 10200, 10810
1400/09/24, 10150, 10720
1400/09/23, 10040, 10500
1400/09/22, 10160, 10620
1400/09/21, 10270, 11120
1400/09/20, 10670, 11320
1400/09/17, 10610, 11140
1400/09/16, 10600, 10970
1400/09/15, 10610, 11130
1400/09/14, 10840, 11190
1400/09/13, 10800, 11500
1400/09/10, 10990, 11500
1400/09/09, 11440, 11600
1400/09/08, 11300, 11700
1400/09/07, 11270, 11900
1400/09/06, 11740, 12480
1400/09/03, 12000, 12480
1400/09/02, 12080, 12600
1400/09/01, 12300, 12860
1400/08/30, 12140, 12660
1400/08/29, 12230, 12610
1400/08/26, 12140, 12900
1400/08/25, 12270, 12890
1400/08/24, 12500, 13000
1400/08/23, 12250, 12920
1400/08/22, 12160, 12820
1400/08/19, 12520, 12970
1400/08/18, 12410, 12880
1400/08/17, 12160, 12880
1400/08/16, 12320, 13000
1400/08/15, 12620, 13090
1400/08/12, 12220, 12850
1400/08/11, 11810, 12630
1400/08/10, 11200, 12210
1400/08/09, 11570, 12430
1400/08/08, 11810, 12390
1400/08/05, 11180, 11980
1400/08/04, 11000, 11890
1400/08/03, 11210, 11700
1400/08/01, 11760, 12390
1400/07/28, 12240, 12550
1400/07/27, 12000, 12490
1400/07/26, 11910, 12220
1400/07/25, 12060, 12830
1400/07/24, 12390, 13000
1400/07/21, 12130, 12970
1400/07/20, 12650, 13330
1400/07/19, 13100, 13820
1400/07/18, 12970, 13500
1400/07/17, 13270, 13990
1400/07/14, 13760, 14040
1400/07/12, 13720, 14040
1400/07/11, 13700, 14160
1400/07/10, 13700, 14240
