date, min_price, max_price
1402/03/03, 9570, 9990
1402/03/02, 9810, 10360
1402/03/01, 9800, 10050
1402/02/31, 9110, 9740
1402/02/30, 9160, 9550
1402/02/27, 8810, 9330
1402/02/25, 8420, 9110
1402/02/24, 8390, 8700
1402/02/23, 8170, 8870
1402/02/20, 8300, 9160
1402/02/19, 8650, 9400
1402/02/18, 9100, 9100
1402/02/17, 9550, 9910
1402/02/16, 9700, 10230
1402/02/13, 9400, 9760
1402/02/12, 8940, 9310
1402/02/11, 8560, 8910
1402/02/10, 8310, 8490
1402/02/09, 7730, 8300
1402/02/06, 7820, 8170
1402/02/05, 8070, 8540
1402/02/04, 8130, 8690
1402/01/30, 8270, 8900
1402/01/29, 8380, 8690
1402/01/28, 7840, 8380
1402/01/27, 7760, 8190
1402/01/26, 7690, 8030
1402/01/22, 7430, 7920
1402/01/21, 7580, 8330
1402/01/20, 7550, 8030
1402/01/19, 7350, 7670
1402/01/16, 6920, 7560
1402/01/15, 7000, 7610
1402/01/14, 6950, 7280
1402/01/09, 6560, 6970
1402/01/08, 6440, 6750
1402/01/07, 6210, 6640
1402/01/06, 6290, 6720
1402/01/05, 6530, 6730
1401/12/28, 6500, 6800
1401/12/27, 6500, 6720
1401/12/24, 6250, 6530
1401/12/23, 6280, 6510
1401/12/22, 6350, 6670
1401/12/21, 6350, 6730
1401/12/20, 6530, 6690
1401/12/16, 6250, 6530
1401/12/15, 6240, 6500
1401/12/14, 6070, 6430
1401/12/13, 6050, 6270
1401/12/10, 6070, 6350
1401/12/09, 6250, 6470
1401/12/08, 6230, 6580
1401/12/07, 6310, 6820
1401/12/06, 6380, 6520
1401/12/03, 6000, 6360
1401/12/02, 5890, 6180
1401/12/01, 5630, 5950
1401/11/30, 5570, 5760
1401/11/26, 5480, 5730
1401/11/25, 5580, 5830
1401/11/24, 5620, 5820
1401/11/23, 5580, 5840
1401/11/19, 5690, 5980
1401/11/18, 5800, 5930
1401/11/17, 5370, 5850
1401/11/16, 5430, 5830
1401/11/12, 5580, 5810
1401/11/11, 5400, 5560
1401/11/10, 5210, 5460
1401/11/09, 5440, 5690
1401/11/08, 5490, 5830
1401/11/05, 5700, 6050
1401/11/04, 5770, 5950
1401/11/03, 5800, 6110
1401/11/02, 5640, 6000
1401/11/01, 5740, 6090
1401/10/28, 5970, 6260
1401/10/27, 6100, 6550
1401/10/26, 6100, 6390
1401/10/24, 5620, 6120
1401/10/21, 5610, 5990
1401/10/20, 5530, 5800
1401/10/19, 5500, 5680
1401/10/18, 5520, 5690
1401/10/17, 5200, 5430
1401/10/14, 5000, 5290
1401/10/13, 4980, 5200
1401/10/12, 5000, 5200
1401/10/11, 4900, 5190
1401/10/10, 4940, 5220
1401/10/07, 5060, 5250
1401/10/05, 5050, 5200
1401/10/04, 5130, 5500
1401/10/03, 5160, 5360
1401/09/30, 4980, 5185
1401/09/29, 4903, 5080
1401/09/28, 4980, 5120
1401/09/27, 5001, 5270
1401/09/26, 4812, 5147
1401/09/23, 4850, 4970
1401/09/22, 4785, 5070
1401/09/21, 4670, 4906
1401/09/20, 4420, 4750
1401/09/19, 4511, 4640
1401/09/16, 4544, 4636
1401/09/15, 4501, 4610
1401/09/14, 4421, 4545
1401/09/13, 4450, 4549
1401/09/12, 4350, 4547
1401/09/09, 4401, 4530
1401/09/08, 4380, 4512
1401/09/07, 4250, 4382
1401/09/06, 4220, 4385
1401/09/05, 4220, 4420
1401/09/02, 4200, 4342
1401/09/01, 4101, 4240
1401/08/30, 4140, 4230
1401/08/29, 4138, 4219
1401/08/28, 4086, 4215
1401/08/25, 4172, 4248
1401/08/24, 4178, 4291
1401/08/23, 4175, 4360
1401/08/22, 4300, 4447
1401/08/21, 4330, 4492
1401/08/18, 4306, 4519
1401/08/17, 4310, 4679
1401/08/16, 4303, 4518
1401/08/15, 4203, 4330
1401/08/14, 4126, 4336
1401/08/11, 4119, 4194
1401/08/10, 4111, 4220
1401/08/09, 4050, 4199
1401/08/08, 3980, 4190
1401/08/07, 3963, 4100
1401/08/04, 3963, 4137
1401/08/03, 4073, 4199
1401/08/02, 4121, 4260
1401/08/01, 4172, 4264
1401/07/30, 4200, 4347
1401/07/27, 4210, 4368
1401/07/26, 4121, 4365
1401/07/25, 4056, 4199
1401/07/24, 4124, 4200
1401/07/23, 4122, 4199
1401/07/20, 4124, 4240
1401/07/19, 4120, 4229
1401/07/18, 4072, 4181
1401/07/17, 4005, 4160
1401/07/16, 4062, 4200
1401/07/12, 4087, 4290
1401/07/11, 4061, 4166
1401/07/06, 4060, 4180
1401/07/04, 3882, 4140
1401/07/02, 3911, 4148
1401/06/30, 4009, 4140
1401/06/29, 4004, 4100
1401/06/28, 4001, 4130
1401/06/27, 4046, 4144
1401/06/23, 4115, 4260
1401/06/22, 4000, 4221
1401/06/21, 4013, 4089
1401/06/20, 3996, 4070
1401/06/19, 4000, 4193
1401/06/16, 4102, 4238
1401/06/15, 4180, 4260
1401/06/14, 4216, 4340
1401/06/13, 4193, 4300
1401/06/12, 4190, 4300
1401/06/09, 4200, 4325
1401/06/08, 4191, 4340
1401/06/07, 4213, 4344
1401/06/06, 4170, 4340
1401/06/05, 4219, 4400
1401/06/02, 4290, 4442
1401/06/01, 4064, 4320
1401/05/31, 4059, 4203
1401/05/30, 4150, 4215
1401/05/29, 4153, 4269
1401/05/26, 4163, 4290
1401/05/25, 4129, 4450
1401/05/24, 4120, 4380
1401/05/23, 4171, 4339
1401/05/22, 4120, 4296
1401/05/19, 4041, 4135
1401/05/18, 3936, 4193
1401/05/15, 4001, 4193
1401/05/12, 3900, 4104
1401/05/11, 3865, 4029
1401/05/10, 3860, 3971
1401/05/09, 3702, 3879
1401/05/08, 3785, 3889
1401/05/05, 3747, 3899
1401/05/04, 3750, 3922
1401/05/03, 3772, 3999
1401/05/02, 3916, 4100
1401/05/01, 4063, 4188
1401/04/29, 3950, 4092
1401/04/28, 3922, 4149
1401/04/26, 4000, 4219
1401/04/25, 4203, 4398
1401/04/22, 4350, 4398
1401/04/14, 4370, 4580
1401/04/13, 4451, 4640
1401/04/12, 4331, 4599
1401/04/11, 4404, 4502
1401/04/08, 4494, 4583
1401/04/07, 4303, 4405
1401/04/06, 4200, 4420
1401/04/05, 4302, 4580
1401/04/04, 4140, 4454
1401/04/01, 4174, 4322
1401/03/31, 4120, 4310
1401/03/30, 4160, 4320
1401/03/29, 4115, 4253
1401/03/28, 3940, 4160
1401/03/25, 3913, 4030
1401/03/24, 3880, 4048
1401/03/23, 3890, 4004
1401/03/22, 3830, 3950
1401/03/21, 3860, 4030
1401/03/18, 3880, 4030
1401/03/17, 3831, 4025
1401/03/16, 3956, 4199
1401/03/11, 4073, 4220
1401/03/10, 4025, 4170
1401/03/09, 4051, 4229
1401/03/08, 4001, 4225
1401/03/07, 3961, 4150
1401/03/04, 3993, 4113
1401/03/03, 3991, 4120
1401/03/02, 3980, 4240
1401/03/01, 4068, 4240
1401/02/31, 3865, 4149
1401/02/28, 3940, 4055
1401/02/27, 3961, 4190
1401/02/26, 3990, 4130
1401/02/25, 3923, 4070
1401/02/24, 3950, 4200
1401/02/21, 4040, 4194
1401/02/20, 3802, 4091
1401/02/19, 3811, 4015
1401/02/18, 3901, 4049
1401/02/17, 3929, 4100
1401/02/12, 4033, 4147
1401/02/11, 4051, 4298
1401/02/10, 4010, 4176
1401/02/07, 4010, 4180
1401/02/06, 4002, 4202
1401/02/05, 3982, 4090
1401/02/04, 4051, 4300
1401/01/31, 4170, 4170
1401/01/30, 3972, 3972
1401/01/29, 3783, 3783
1401/01/28, 3458, 3685
1401/01/27, 3470, 3626
1401/01/24, 3435, 3590
1401/01/23, 3503, 3705
1401/01/22, 3650, 3738
1401/01/21, 3635, 3749
1401/01/20, 3560, 3665
1401/01/17, 3565, 3750
1401/01/16, 3500, 3680
1401/01/15, 3547, 3699
1401/01/14, 3480, 3615
1401/01/10, 3431, 3560
1401/01/09, 3450, 3650
1401/01/08, 3400, 3580
1401/01/07, 3275, 3478
1401/01/06, 3306, 3588
1400/12/28, 3430, 3433
1400/12/25, 3283, 3350
1400/12/24, 3126, 3351
1400/12/23, 3152, 3249
1400/12/22, 3199, 3470
1400/12/21, 3342, 3547
1400/12/18, 3450, 3630
