date, min_price, max_price
1402/03/03, 3787, 3949
1402/03/02, 3760, 3860
1402/03/01, 3699, 3929
1402/02/31, 3680, 4000
1402/02/25, 4472, 4780
1402/02/24, 4102, 4497
1402/02/23, 4176, 4399
1402/02/20, 4270, 4790
1402/02/19, 4330, 4740
1402/02/18, 4650, 4650
1402/02/17, 4900, 5330
1402/02/16, 5100, 5580
1402/02/13, 5315, 5610
1402/02/12, 4950, 5398
1402/02/11, 5000, 5190
1402/02/10, 4707, 5035
1402/02/09, 4604, 4773
1402/02/06, 4400, 4696
1402/02/05, 4481, 4600
1402/02/04, 4410, 4640
1402/01/30, 4441, 4725
1402/01/29, 4400, 4679
1402/01/28, 4250, 4585
1402/01/27, 4207, 4309
1402/01/22, 3901, 4094
1402/01/21, 3665, 3977
1402/01/20, 3611, 3770
1402/01/19, 3582, 3764
1402/01/16, 3312, 3639
1402/01/15, 3326, 3541
1402/01/14, 3275, 3460
1402/01/09, 3400, 3490
1402/01/08, 3278, 3420
1402/01/07, 2951, 3250
1402/01/06, 2910, 3080
1402/01/05, 2971, 3100
1401/12/28, 2932, 3025
1401/12/27, 2800, 2974
1401/12/24, 2672, 2830
1401/12/23, 2647, 2740
1401/12/22, 2643, 2725
1401/12/21, 2638, 2729
1401/12/20, 2694, 2811
1401/12/16, 2680, 2774
1401/12/15, 2615, 2777
1401/12/14, 2641, 2729
1401/12/13, 2594, 2720
1401/12/10, 2690, 2797
1401/12/09, 2724, 2836
1401/12/08, 2724, 2850
1401/12/07, 2725, 2867
1401/12/06, 2600, 2682
1401/12/03, 2474, 2568
1401/12/02, 2464, 2599
1401/12/01, 2322, 2473
1401/11/30, 2290, 2350
1401/11/26, 2265, 2350
1401/11/25, 2273, 2318
1401/11/24, 2266, 2329
1401/11/23, 2268, 2342
1401/11/19, 2270, 2320
1401/11/18, 2240, 2349
1401/11/17, 2189, 2300
1401/11/16, 2228, 2359
1401/11/12, 2281, 2361
1401/11/11, 2280, 2369
1401/11/10, 2188, 2328
1401/11/09, 2189, 2370
1401/11/08, 2271, 2429
1401/11/05, 2362, 2539
1401/11/04, 2495, 2596
1401/11/03, 2552, 2728
1401/11/02, 2570, 2750
1401/11/01, 2662, 2846
1401/10/28, 2620, 2856
1401/10/27, 2618, 2730
1401/10/26, 2561, 2711
1401/10/24, 2483, 2599
1401/10/21, 2551, 2638
1401/10/20, 2560, 2643
1401/10/19, 2503, 2613
1401/10/18, 2465, 2613
1401/10/17, 2390, 2532
1401/10/14, 2321, 2429
1401/10/13, 2340, 2455
1401/10/12, 2290, 2408
1401/10/11, 2231, 2401
1401/10/10, 2334, 2440
1401/10/07, 2402, 2545
1401/10/05, 2362, 2438
1401/10/04, 2355, 2447
1401/10/03, 2291, 2373
1401/09/30, 2177, 2309
1401/09/29, 2160, 2210
1401/09/28, 2176, 2239
1401/09/27, 2135, 2220
1401/09/26, 2121, 2155
1401/09/23, 2113, 2163
1401/09/22, 2054, 2157
1401/09/21, 2013, 2110
1401/09/20, 1990, 2075
1401/09/19, 2080, 2135
1401/09/16, 2051, 2166
1401/09/15, 2110, 2165
1401/09/14, 2141, 2176
1401/09/13, 2140, 2187
1401/09/12, 2140, 2196
1401/09/09, 2161, 2210
1401/09/08, 2138, 2196
1401/09/07, 2094, 2168
1401/09/06, 2096, 2125
1401/09/05, 2105, 2148
1401/09/02, 2100, 2169
1401/09/01, 2085, 2137
1401/08/30, 2094, 2153
1401/08/29, 2080, 2166
1401/08/28, 2079, 2200
1401/08/25, 2136, 2199
1401/08/24, 2103, 2200
1401/08/23, 2080, 2194
1401/08/22, 2155, 2190
1401/08/21, 2160, 2258
1401/08/18, 2155, 2250
1401/08/17, 2150, 2338
1401/08/16, 2056, 2232
1401/08/15, 2048, 2139
1401/08/14, 2000, 2149
1401/08/11, 1980, 2075
1401/08/10, 2017, 2110
1401/08/09, 1941, 2005
1401/08/08, 1765, 1939
1401/08/07, 1766, 1842
1401/08/04, 1785, 1864
1401/08/03, 1830, 1897
1401/08/02, 1880, 1918
1401/08/01, 1885, 1924
1401/07/30, 1890, 1920
1401/07/27, 1888, 1920
1401/07/26, 1894, 1929
1401/07/25, 1889, 1932
1401/07/24, 1883, 1930
1401/07/23, 1885, 1950
1401/07/20, 1904, 1946
1401/07/19, 1891, 1960
1401/07/18, 1850, 1925
1401/07/17, 1856, 1969
1401/07/16, 1910, 1991
1401/07/12, 1928, 1979
1401/07/11, 1925, 2012
1401/07/10, 1946, 2003
1401/07/09, 1941, 2090
1401/07/06, 1981, 2053
1401/07/04, 1964, 2029
1401/07/02, 1959, 2000
1401/06/30, 1980, 2047
1401/06/29, 2010, 2056
1401/06/28, 2015, 2073
1401/06/27, 2008, 2061
1401/06/23, 1989, 2080
1401/06/22, 1955, 2111
1401/06/21, 1975, 2011
1401/06/20, 1970, 2027
1401/06/19, 1964, 2020
1401/06/16, 2003, 2035
1401/06/15, 2011, 2090
1401/06/14, 1990, 2049
1401/06/13, 1993, 2054
1401/06/12, 2020, 2076
1401/06/09, 2040, 2078
1401/06/08, 2043, 2069
1401/06/07, 2035, 2080
1401/06/06, 2040, 2079
1401/06/05, 2066, 2132
1401/06/02, 2060, 2120
1401/06/01, 2026, 2078
1401/05/31, 2007, 2076
1401/05/30, 2008, 2079
1401/05/29, 2013, 2086
1401/05/26, 2030, 2109
1401/05/25, 2030, 2119
1401/05/24, 2020, 2075
1401/05/23, 2015, 2074
1401/05/22, 1992, 2079
1401/05/19, 1970, 2070
1401/05/18, 2000, 2068
1401/05/15, 1952, 2070
1401/05/12, 1954, 1987
1401/05/11, 1922, 1993
1401/05/10, 1923, 2008
1401/05/09, 1922, 1994
1401/05/08, 1990, 2070
1401/05/05, 1980, 2035
1401/05/04, 1957, 2037
1401/05/03, 1950, 2014
1401/05/02, 2000, 2030
1401/05/01, 2011, 2079
1401/04/29, 2000, 2060
1401/04/28, 1985, 2055
1401/04/26, 1976, 2100
1401/04/25, 2044, 2120
1401/04/22, 2066, 2135
1401/04/21, 2052, 2129
1401/04/20, 2099, 2226
1401/04/18, 2170, 2274
1401/04/15, 2207, 2270
1401/04/14, 2222, 2270
1401/04/13, 2213, 2300
1401/04/12, 2193, 2289
1401/04/11, 2191, 2342
1401/04/08, 2256, 2357
1401/04/07, 2235, 2320
1401/04/06, 2222, 2320
1401/04/05, 2211, 2305
1401/04/04, 2280, 2390
1401/04/01, 2338, 2400
1401/03/31, 2351, 2417
1401/03/30, 2271, 2406
1401/03/29, 2264, 2338
1401/03/28, 2245, 2372
1401/03/25, 2271, 2350
1401/03/24, 2271, 2400
1401/03/23, 2270, 2364
1401/03/22, 2198, 2318
1401/03/21, 2204, 2271
1401/03/18, 2211, 2327
1401/03/17, 2183, 2315
1401/03/16, 2257, 2409
1401/03/11, 2373, 2447
1401/03/10, 2410, 2514
1401/03/09, 2445, 2563
1401/03/08, 2523, 2699
1401/03/07, 2605, 2700
1401/03/04, 2488, 2550
1401/03/03, 2300, 2510
1401/03/02, 2233, 2492
1401/02/27, 3255, 3440
1401/02/26, 3369, 3500
1401/02/25, 3350, 3500
1401/02/24, 3334, 3499
1401/02/21, 3200, 3387
1401/02/20, 3171, 3235
1401/02/19, 3160, 3217
1401/02/18, 3146, 3220
1401/02/17, 3136, 3225
1401/02/12, 3120, 3200
1401/02/11, 3103, 3239
1401/02/10, 3113, 3198
1401/02/07, 3122, 3240
1401/02/06, 3130, 3245
1401/02/05, 3070, 3198
1401/02/04, 3011, 3148
1401/01/31, 3000, 3099
1401/01/30, 2955, 3090
1401/01/29, 2936, 3107
1401/01/28, 2875, 2985
1401/01/27, 2900, 3030
1401/01/24, 2822, 3010
1401/01/23, 2936, 3095
1401/01/22, 2969, 3102
1401/01/21, 2890, 2958
1401/01/20, 2633, 2893
1401/01/17, 2651, 2845
1401/01/16, 2601, 2772
1401/01/15, 2580, 2698
1401/01/14, 2600, 2700
1401/01/10, 2530, 2668
1401/01/09, 2472, 2562
1401/01/08, 0, 0
1401/01/07, 2414, 2496
1401/01/06, 2362, 2471
1400/12/28, 2350, 2472
1400/12/25, 2315, 2396
1400/12/24, 2318, 2380
1400/12/23, 2330, 2400
1400/12/22, 2311, 2398
1400/12/21, 2351, 2457
1400/12/18, 2340, 2457
1400/12/17, 2270, 2350
1400/12/16, 2300, 2415
1400/12/15, 2260, 2365
1400/12/14, 2246, 2377
1400/12/11, 2281, 2398
1400/12/09, 2281, 2361
1400/12/08, 2116, 2280
1400/12/07, 2124, 2189
1400/12/04, 2180, 2220
1400/12/03, 2202, 2277
1400/12/02, 2233, 2340
1400/12/01, 2256, 2328
1400/11/30, 2280, 2280
1400/11/19, 3000, 3120
1400/11/18, 2925, 3130
1400/11/17, 3012, 3150
1400/11/16, 3120, 3240
1400/11/13, 3136, 3222
1400/11/12, 3181, 3287
1400/11/11, 3091, 3249
1400/11/10, 3166, 3288
1400/11/09, 3106, 3234
1400/11/06, 3029, 3178
1400/11/05, 2981, 3137
1400/11/04, 3050, 3145
1400/11/03, 3071, 3170
1400/11/02, 3155, 3300
1400/10/29, 3072, 3218
1400/10/28, 3070, 3196
1400/10/27, 3167, 3280
1400/10/26, 3177, 3220
1400/10/25, 3205, 3288
1400/10/22, 3221, 3300
1400/10/21, 3235, 3349
1400/10/20, 3230, 3343
1400/10/19, 3244, 3397
1400/10/18, 3285, 3427
1400/10/15, 3330, 3550
1400/10/14, 3401, 3480
1400/10/13, 3463, 3591
1400/10/12, 3442, 3600
1400/10/11, 3487, 3600
1400/10/08, 3626, 3730
1400/10/07, 3413, 3663
1400/10/06, 3411, 3559
1400/10/05, 3350, 3512
1400/10/04, 3462, 3606
1400/10/01, 3361, 3446
1400/09/30, 3246, 3376
1400/09/29, 3210, 3321
1400/09/28, 3156, 3326
1400/09/27, 3140, 3298
1400/09/24, 3091, 3245
1400/09/23, 3062, 3240
1400/09/22, 3174, 3335
1400/09/21, 3276, 3400
1400/09/20, 3351, 3558
1400/09/17, 3350, 3480
1400/09/16, 3367, 3440
1400/09/15, 3411, 3549
1400/09/14, 3411, 3626
1400/09/13, 3501, 3630
1400/09/10, 3625, 3740
1400/09/09, 3681, 3776
1400/09/08, 3621, 3779
1400/09/07, 3611, 3770
1400/09/06, 3677, 3850
1400/09/03, 3802, 3929
1400/09/02, 3807, 4070
1400/09/01, 3920, 4099
1400/08/30, 3870, 4030
1400/08/29, 3876, 4080
1400/08/26, 4014, 4138
1400/08/25, 3861, 4137
1400/08/24, 4014, 4200
1400/08/23, 4141, 4328
1400/08/22, 4026, 4370
1400/08/19, 4051, 4307
1400/08/18, 4011, 4221
1400/08/17, 3971, 4250
1400/08/16, 4104, 4346
1400/08/15, 4177, 4328
1400/08/12, 3918, 4174
1400/08/11, 3920, 4050
1400/08/10, 3611, 3977
1400/08/09, 3768, 3966
1400/08/08, 3866, 4100
1400/08/05, 3900, 4080
1400/08/04, 3852, 4000
1400/08/03, 3832, 4025
1400/08/01, 4023, 4149
1400/07/28, 4145, 4309
1400/07/27, 4150, 4290
1400/07/26, 4132, 4309
1400/07/25, 4280, 4480
1400/07/24, 4096, 4316
1400/07/21, 4098, 4245
1400/07/20, 4307, 4533
1400/07/19, 4410, 4649
1400/07/18, 4457, 4664
1400/07/17, 4664, 4850
1400/07/14, 4810, 5000
1400/07/12, 4750, 4988
1400/07/11, 4869, 5110
1400/07/10, 4901, 5227
1400/07/07, 4690, 4994
1400/07/06, 4674, 4850
1400/07/04, 4555, 4800
1400/07/03, 4555, 4730
1400/06/31, 4428, 4770
1400/06/30, 4616, 4919
1400/06/29, 4743, 4995
1400/06/28, 4824, 5100
1400/06/27, 5047, 5251
1400/06/24, 5251, 5499
1400/06/23, 5380, 5619
1400/06/22, 5330, 5563
1400/06/21, 5598, 5780
1400/06/20, 5730, 6200
1400/06/17, 5861, 6300
1400/06/16, 6117, 6430
1400/06/15, 6246, 6473
1400/06/14, 5840, 6216
1400/06/13, 5738, 5955
1400/06/10, 5400, 5737
1400/06/09, 5388, 5740
1400/06/08, 5652, 5840
1400/06/07, 5765, 6242
1400/06/06, 5748, 6161
1400/06/03, 5638, 5996
1400/06/02, 5500, 5796
1400/06/01, 5426, 5777
1400/05/31, 5612, 5713
1400/05/24, 5135, 5475
1400/05/23, 5039, 5290
1400/05/20, 4831, 5056
1400/05/19, 4710, 4831
1400/05/18, 4452, 4623
1400/05/17, 4350, 4430
1400/05/16, 4363, 4437
1400/05/13, 4331, 4411
1400/05/12, 4321, 4470
1400/05/11, 4370, 4519
1400/05/10, 4387, 4590
1400/05/09, 4369, 4590
1400/05/06, 4356, 4510
1400/05/05, 4369, 4543
1400/05/04, 4531, 4680
