date, min_price, max_price
1402/03/03, 2978, 3054
1402/03/02, 3000, 3139
1402/03/01, 3011, 3089
1402/02/31, 2960, 3083
1402/02/30, 3000, 3164
1402/02/27, 2942, 3120
1402/02/25, 2880, 3070
1402/02/24, 2781, 3014
1402/02/23, 2806, 3017
1402/02/20, 2938, 3270
1402/02/19, 3039, 3320
1402/02/18, 3263, 3380
1402/02/17, 3441, 3799
1402/02/16, 3540, 3760
1402/02/13, 3463, 3617
1402/02/12, 3539, 3629
1402/02/11, 3530, 3668
1402/02/10, 3550, 3668
1402/02/09, 3525, 3720
1402/02/06, 3572, 3781
1402/02/05, 3680, 3995
1402/02/04, 3831, 4070
1402/01/30, 3759, 4036
1402/01/29, 3682, 3844
1402/01/28, 3628, 3732
1402/01/27, 3634, 3732
1402/01/26, 3607, 3795
1402/01/22, 3700, 3844
1402/01/21, 3649, 3800
1402/01/20, 3550, 3720
1402/01/19, 3570, 3700
1402/01/16, 3557, 3695
1402/01/15, 3570, 3695
1402/01/14, 3551, 3719
1402/01/09, 3440, 3661
1402/01/08, 3439, 3477
1402/01/07, 3411, 3549
1402/01/06, 3402, 3589
1402/01/05, 3417, 3600
1401/12/28, 3421, 3525
1401/12/27, 3410, 3547
1401/12/24, 3300, 3496
1401/12/23, 3275, 3448
1401/12/22, 3254, 3410
1401/12/21, 3300, 3430
1401/12/20, 3333, 3540
1401/12/16, 3231, 3400
1401/12/15, 3300, 3346
1401/12/14, 3300, 3344
1401/12/13, 3340, 3350
1401/12/10, 3220, 3360
1401/12/09, 3340, 3390
1401/12/08, 3330, 3383
1401/12/07, 3330, 3430
1401/12/06, 3320, 3449
1401/12/03, 3301, 3330
1401/12/02, 3306, 3345
1401/12/01, 3300, 3347
1401/11/30, 3200, 3329
1401/11/26, 3262, 3331
1401/11/25, 3278, 3310
1401/11/24, 3300, 3312
1401/11/23, 3300, 3339
1401/11/19, 3300, 3358
1401/11/18, 3290, 3368
1401/11/17, 3290, 3390
1401/11/16, 3289, 3389
1401/11/12, 3270, 3339
1401/11/11, 3270, 3400
1401/11/10, 3255, 3337
1401/11/09, 3200, 3300
1401/11/08, 3250, 3333
1401/11/05, 3280, 3300
1401/11/04, 3249, 3338
1401/11/03, 3249, 3337
1401/11/02, 3270, 3290
1401/11/01, 3270, 3320
1401/10/28, 3249, 3345
1401/10/27, 3230, 3440
1401/10/26, 3300, 3398
1401/10/11, 3692, 3752
1401/10/10, 3685, 3758
1401/10/07, 3679, 3750
1401/10/05, 3672, 3800
1401/10/04, 3680, 3800
1401/10/03, 3672, 3819
1401/09/30, 3649, 3758
1401/09/29, 3649, 3720
1401/09/28, 3647, 3728
1401/09/27, 3645, 3728
1401/09/26, 3661, 3728
1401/09/23, 3653, 3707
1401/09/22, 3651, 3737
1401/09/21, 3645, 3732
1401/09/20, 3632, 3721
1401/09/19, 3626, 3701
1401/09/16, 3626, 3689
1401/09/15, 3622, 3697
1401/09/14, 3618, 3689
1401/09/13, 3617, 3670
1401/09/12, 3620, 3700
1401/09/09, 3615, 3682
1401/09/08, 3610, 3699
1401/09/07, 3613, 3695
1401/09/06, 3610, 3715
1401/09/05, 3630, 3700
1401/09/02, 3567, 3688
1401/09/01, 3558, 3630
1401/08/30, 3547, 3654
1401/08/29, 3539, 3600
1401/08/28, 3534, 3610
1401/08/25, 3539, 3629
1401/08/24, 3536, 3634
1401/08/23, 3525, 3630
1401/08/22, 3520, 3596
1401/08/21, 3508, 3580
1401/08/18, 3511, 3565
1401/08/17, 3509, 3540
1401/08/16, 3503, 3550
1401/08/15, 3501, 3529
1401/08/14, 3499, 3550
1401/08/11, 3490, 3500
1401/08/10, 3490, 3514
1401/08/09, 3500, 3533
1401/08/08, 3492, 3520
1401/08/07, 3499, 3542
1401/08/04, 3495, 3549
1401/08/03, 3474, 3520
1401/08/02, 3469, 3550
1401/08/01, 3468, 3490
1401/07/30, 3467, 3550
1401/07/27, 3400, 3548
