date, min_price, max_price
1402/03/03, 19217, 19630
1402/03/02, 19121, 19610
1402/03/01, 19020, 19277
1402/02/31, 18712, 18950
1402/02/30, 18500, 19189
1402/02/27, 18338, 19210
1402/02/25, 18045, 18660
1402/02/24, 17981, 19499
1402/02/23, 17498, 18990
1402/02/20, 18156, 19810
1402/02/19, 18655, 21460
1402/02/18, 19185, 20308
1402/02/17, 20306, 21890
1402/02/16, 21705, 21796
1402/02/13, 21388, 21650
1402/02/12, 21000, 21624
1402/02/11, 20300, 20889
1402/02/10, 20500, 20816
1402/02/09, 20046, 20990
1402/02/06, 19550, 21728
1402/02/05, 19551, 20000
1402/02/04, 19129, 19635
1402/01/30, 19203, 21100
1402/01/29, 18878, 19548
1402/01/28, 18510, 19100
1402/01/27, 18457, 18850
1402/01/26, 18153, 19980
1402/01/22, 17383, 19980
1402/01/21, 17308, 20060
1402/01/20, 17805, 18393
1402/01/19, 17298, 18272
1402/01/16, 16830, 17559
1402/01/15, 16700, 18500
1402/01/14, 16630, 17099
1402/01/09, 16678, 17168
1402/01/08, 16384, 16691
1402/01/07, 15976, 16539
1402/01/05, 16008, 16610
1401/12/28, 15962, 16247
1401/12/27, 15064, 15589
1401/12/24, 14650, 14850
1401/12/23, 13953, 14204
1401/12/22, 13680, 14235
1401/12/21, 13869, 13950
1401/12/20, 14159, 14650
1401/12/16, 14477, 14600
1401/12/15, 13879, 14053
1401/12/14, 14160, 14190
1401/12/13, 14089, 14238
1401/12/10, 14517, 14866
1401/12/09, 14794, 15100
1401/12/08, 14242, 14990
1401/12/07, 14260, 15235
1401/12/06, 14020, 14516
1401/12/03, 13195, 13200
1401/12/02, 13092, 13608
1401/12/01, 12826, 13093
1401/11/30, 12078, 12155
1401/11/26, 11864, 11864
1401/11/25, 11974, 11993
1401/11/24, 12326, 12399
1401/11/23, 12066, 12093
1401/11/19, 12073, 12073
1401/11/18, 12053, 12164
1401/11/17, 11970, 12217
1401/11/16, 11822, 12302
1401/11/12, 12236, 12270
1401/11/11, 12436, 12460
1401/11/10, 12143, 12310
1401/11/09, 12152, 12437
1401/11/08, 12768, 13102
1401/11/05, 12989, 13087
1401/11/04, 13494, 13576
1401/11/03, 13515, 13700
1401/11/02, 13194, 13408
1401/11/01, 13196, 13520
1401/10/28, 13707, 13855
1401/10/27, 13539, 13865
1401/10/26, 13640, 13670
1401/10/24, 13042, 13638
1401/10/20, 13386, 13757
1401/10/19, 13247, 13446
1401/10/18, 13234, 13467
1401/10/17, 13019, 13297
