date, min_price, max_price
1402/04/14, 11532, 11533
1402/04/13, 11524, 11525
1402/04/12, 11516, 11517
1402/04/11, 11508, 11509
1402/04/10, 11500, 11501
1402/04/07, 11477, 11478
1402/04/06, 11469, 11470
1402/04/05, 11461, 11462
1402/04/04, 11453, 11454
1402/04/03, 11445, 11446
1402/03/31, 11429, 11430
1402/03/30, 11412, 11413
1402/03/29, 11404, 11405
1402/03/28, 11395, 11396
1402/03/27, 11387, 11388
1402/03/24, 11370, 11371
1402/03/23, 11353, 11354
1402/03/22, 11344, 11345
1402/03/21, 11336, 11337
1402/03/20, 11328, 11329
1402/03/17, 11311, 11312
1402/03/16, 11295, 11296
1402/03/13, 11278, 11279
1402/03/10, 11254, 11255
1402/03/09, 11238, 11239
1402/03/08, 11229, 11230
1402/03/07, 11221, 11222
1402/03/06, 11212, 11213
1402/03/03, 11196, 11197
1402/03/02, 11180, 11181
1402/03/01, 11172, 11173
1402/02/31, 11164, 11165
1402/02/30, 11156, 11157
1402/02/27, 11140, 11141
1402/02/25, 11123, 11124
1402/02/24, 11107, 11108
1402/02/23, 11098, 11099
1402/02/20, 11081, 11082
1402/02/19, 11065, 11066
1402/02/18, 11057, 11058
1402/02/17, 11049, 11050
1402/02/16, 11041, 11042
1402/02/13, 11025, 11026
1402/02/12, 11010, 11011
1402/02/11, 11002, 11003
1402/02/10, 10994, 10995
1402/02/09, 10986, 10987
1402/02/06, 10971, 10972
1402/02/05, 10955, 10956
1402/02/04, 10947, 10948
1402/01/30, 10924, 10925
1402/01/29, 10900, 10901
1402/01/28, 10891, 10892
1402/01/27, 10883, 10884
1402/01/26, 10875, 10876
1402/01/22, 10859, 10860
1402/01/21, 10835, 10836
1402/01/20, 10826, 10827
1402/01/19, 10817, 10818
1402/01/16, 10801, 10802
1402/01/15, 10785, 10786
1402/01/14, 10777, 10778
1402/01/09, 10753, 10754
1402/01/08, 10729, 10730
1402/01/07, 10720, 10721
1402/01/05, 10704, 10705
1401/12/28, 10661, 10675
1401/12/27, 10652, 10653
1401/12/24, 10636, 10637
1401/12/23, 10620, 10621
1401/12/22, 10613, 10614
1401/12/21, 10606, 10607
1401/12/20, 10599, 10600
1401/12/16, 10584, 10585
1401/12/15, 10562, 10563
1401/12/14, 10555, 10556
1401/12/13, 10548, 10549
1401/12/10, 10533, 10534
1401/12/09, 10517, 10518
1401/12/08, 10509, 10510
1401/12/07, 10501, 10502
1401/12/06, 10494, 10495
1401/12/03, 10479, 10480
1401/12/02, 10463, 10464
1401/12/01, 10456, 10457
1401/11/30, 10449, 10450
1401/11/26, 10433, 10434
1401/11/25, 10410, 10412
1401/11/24, 10403, 10404
1401/11/23, 10396, 10397
1401/11/19, 10380, 10381
1401/11/18, 10358, 10359
1401/11/17, 10351, 10352
1401/11/16, 10344, 10345
1401/11/12, 10324, 10331
1401/11/11, 10312, 10313
1401/11/10, 10305, 10306
1401/11/09, 10299, 10300
1401/11/08, 10293, 10294
