date, min_price, max_price
1402/02/31, 4301, 4549
1402/02/30, 4242, 4692
1402/02/27, 4267, 4520
1402/02/25, 4041, 4380
1402/02/24, 4070, 4283
1402/02/23, 3944, 4270
1402/02/20, 4190, 4730
1402/02/19, 4480, 4750
1402/02/18, 4810, 4950
1402/02/17, 4960, 5500
1402/02/16, 5120, 5480
1402/02/13, 5035, 5395
1402/02/12, 5170, 5526
1402/02/11, 5110, 5560
1402/02/10, 5040, 5443
1402/02/09, 4975, 5600
1402/01/29, 5015, 5346
1402/01/28, 4754, 5150
1402/01/27, 4723, 4890
1402/01/26, 4571, 4571
1402/01/22, 4080, 4453
1402/01/21, 4149, 4593
1402/01/20, 4373, 4649
1402/01/19, 4221, 4421
1402/01/16, 3912, 4264
1402/01/15, 3951, 4260
1402/01/14, 3908, 4249
1402/01/09, 3981, 4164
1402/01/08, 3612, 3965
1402/01/07, 3440, 3798
1402/01/06, 3552, 3784
1402/01/05, 3333, 3650
1401/12/28, 3435, 3569
1401/12/27, 3203, 3432
1401/12/24, 3170, 3310
1401/12/23, 3167, 3268
1401/12/22, 3160, 3296
1401/12/21, 3175, 3427
1401/12/20, 3350, 3450
1401/12/16, 3242, 3381
1401/12/15, 3235, 3377
1401/12/14, 3250, 3439
1401/12/13, 3265, 3465
1401/12/10, 3350, 3535
1401/12/09, 3441, 3550
1401/12/08, 3416, 3643
1401/12/07, 3410, 3860
1401/12/06, 3390, 3611
1401/12/03, 3290, 3472
1401/12/02, 3360, 3499
1401/12/01, 3286, 3499
1401/11/30, 3236, 3379
1401/11/26, 3208, 3353
1401/11/25, 3275, 3423
1401/11/24, 3311, 3436
1401/11/23, 3294, 3420
1401/11/19, 3214, 3442
1401/11/18, 3184, 3387
1401/11/17, 3126, 3384
1401/11/16, 3131, 3354
1401/11/12, 3282, 3469
1401/11/11, 3271, 3479
1401/11/10, 3200, 3480
1401/11/09, 3415, 3674
1401/11/08, 3520, 3770
1401/11/05, 3560, 3834
1401/11/04, 3471, 3778
1401/11/03, 3380, 3677
1401/11/02, 3495, 3700
1401/11/01, 3571, 3880
1401/10/28, 3780, 3910
1401/10/27, 3672, 3900
1401/10/26, 3500, 3736
1401/10/24, 3428, 3593
1401/10/21, 3648, 3917
1401/10/20, 3704, 4095
1401/10/19, 3700, 3890
1401/10/18, 3520, 3662
1401/10/17, 3300, 3453
1401/10/14, 3000, 3293
1401/10/13, 3035, 3150
1401/10/12, 3066, 3147
1401/10/11, 3018, 3249
1401/10/10, 3165, 3365
1401/10/07, 3322, 3499
1401/10/05, 3280, 3390
1401/10/04, 3165, 3370
1401/10/03, 3155, 3244
1401/09/30, 3130, 3260
1401/09/29, 3098, 3238
1401/09/28, 3147, 3292
1401/09/27, 3177, 3329
1401/09/26, 3057, 3287
1401/09/23, 3033, 3100
1401/09/22, 3029, 3091
1401/09/21, 3029, 3083
1401/09/20, 3003, 3083
1401/09/19, 3011, 3082
1401/09/16, 3000, 3140
1401/09/15, 3021, 3110
1401/09/14, 3035, 3150
1401/09/13, 3012, 3120
1401/09/12, 3000, 3168
1401/09/09, 3049, 3188
1401/09/08, 3034, 3099
1401/09/07, 3040, 3130
1401/09/06, 3050, 3128
1401/09/05, 3061, 3146
1401/09/02, 3037, 3140
1401/09/01, 3037, 3147
1401/08/30, 3023, 3090
1401/08/29, 3022, 3124
1401/08/28, 3015, 3130
1401/08/25, 3047, 3100
1401/08/24, 3017, 3109
1401/08/23, 3019, 3100
1401/08/22, 3058, 3141
1401/08/21, 3077, 3195
1401/08/18, 2980, 3195
1401/08/17, 3055, 3240
1401/08/16, 2888, 3096
1401/08/15, 2805, 2949
1401/08/14, 2890, 2935
1401/08/11, 2846, 2949
1401/08/10, 2860, 2939
1401/08/09, 2868, 2940
1401/08/08, 2802, 2910
1401/08/07, 2782, 2919
1401/08/04, 2744, 2894
1401/08/03, 2840, 2940
1401/08/02, 2807, 2929
1401/08/01, 2861, 2935
1401/07/30, 2853, 2969
1401/07/27, 2851, 2948
1401/07/26, 2879, 2980
1401/07/25, 2850, 2979
1401/07/24, 2900, 2960
1401/07/23, 2899, 3050
1401/07/20, 2898, 3020
1401/07/19, 2900, 3050
1401/07/18, 2851, 2953
1401/07/17, 2846, 3099
1401/07/16, 2974, 3080
1401/07/12, 2990, 3090
1401/07/11, 2990, 3100
1401/07/10, 2977, 3126
1401/07/09, 2974, 3172
1401/07/06, 3107, 3200
1401/07/04, 3070, 3250
1401/07/02, 2950, 3199
1401/06/30, 3070, 3190
1401/06/29, 3075, 3219
1401/06/28, 2963, 3240
1401/06/27, 3090, 3230
1401/06/15, 3323, 3419
1401/06/14, 3337, 3455
1401/06/13, 3321, 3429
1401/06/12, 3352, 3425
1401/06/09, 3345, 3449
1401/06/08, 3355, 3480
1401/06/07, 3302, 3473
1401/06/06, 3336, 3449
1401/06/05, 3359, 3494
1401/06/02, 3400, 3500
1401/06/01, 3382, 3489
1401/05/31, 3345, 3470
1401/05/30, 3379, 3583
1401/05/29, 3350, 3540
1401/05/26, 3236, 3400
1401/05/25, 3306, 3390
1401/05/24, 3305, 3399
1401/05/23, 3320, 3420
1401/05/22, 3313, 3477
1401/05/19, 3354, 3450
1401/05/18, 3302, 3469
1401/05/15, 3404, 3465
1401/05/12, 3350, 3480
1401/05/11, 3340, 3410
1401/05/10, 3380, 3465
1401/05/09, 3400, 3501
1401/05/08, 3407, 3550
1401/05/05, 3401, 3575
1401/05/04, 3420, 3613
1401/05/03, 3512, 3653
1401/05/02, 3580, 3745
1401/05/01, 3578, 3678
1401/04/29, 3506, 3670
1401/04/28, 3561, 3656
1401/04/26, 3526, 3640
1401/04/25, 3503, 3625
1401/04/22, 3527, 3618
1401/04/21, 3513, 3670
1401/04/20, 3556, 3691
1401/04/18, 3570, 3694
1401/04/15, 3534, 3658
1401/04/14, 3532, 3659
1401/04/13, 3589, 3649
1401/04/12, 3580, 3680
1401/04/11, 3525, 3663
1401/04/08, 3551, 3720
1401/04/07, 3600, 3729
1401/04/06, 3520, 3745
1401/04/05, 3513, 3864
1401/03/31, 3514, 3749
1401/03/30, 3500, 3621
1401/03/29, 3488, 3600
1401/03/28, 3520, 3650
1401/03/25, 3461, 3560
1401/03/24, 3461, 3588
1401/03/23, 3407, 3568
1401/03/22, 3452, 3575
1401/03/21, 3356, 3650
1401/03/10, 3430, 3583
1401/03/09, 3471, 3639
1401/03/08, 3480, 3620
1401/03/07, 3510, 3779
1401/03/04, 3478, 3700
1401/03/03, 3430, 3730
1401/03/02, 3564, 3819
1401/03/01, 3706, 3884
1401/02/31, 3750, 3918
1401/02/28, 3752, 3938
1401/02/27, 3851, 4030
1401/02/26, 3916, 4030
1401/02/25, 3846, 4020
1401/02/24, 3825, 4047
1401/02/21, 3920, 4051
1401/02/20, 3848, 4010
1401/02/19, 3990, 4200
1401/02/18, 4060, 4189
1401/02/17, 4021, 4190
1401/02/12, 3913, 4148
1401/02/11, 3850, 3980
1401/02/10, 3803, 4007
1401/02/07, 3830, 4030
1401/02/06, 3787, 4011
1401/02/05, 3609, 3899
1401/02/04, 3753, 3950
1401/01/31, 3724, 3965
1401/01/30, 3660, 3873
1401/01/29, 3565, 3788
1401/01/28, 3550, 3790
1401/01/27, 3660, 3800
1401/01/24, 3648, 3776
1401/01/23, 3715, 3893
1401/01/22, 3782, 4060
