date, min_price, max_price
1402/04/14, 160620, 164290
1402/04/13, 163000, 166660
1402/04/12, 162220, 166670
1402/04/11, 159100, 161800
1402/04/10, 158510, 161890
1402/04/07, 158200, 162500
1402/04/06, 160500, 165490
1402/04/05, 166010, 170890
1402/04/04, 169780, 175980
1402/04/03, 159990, 178790
1402/03/31, 162010, 166790
1402/03/30, 159120, 168500
1402/03/29, 159930, 164700
1402/03/28, 157760, 162980
1402/03/27, 161000, 166740
1402/03/24, 164850, 169300
1402/03/23, 159810, 168500
1402/03/22, 158010, 168400
1402/03/21, 166420, 173900
1402/03/20, 168560, 177500
1402/03/17, 178000, 186530
1402/03/16, 183030, 187000
1402/03/13, 182000, 185990
1402/03/10, 184300, 189060
1402/03/09, 189750, 193200
1402/03/08, 190350, 194400
1402/03/07, 186100, 196900
1402/03/06, 197310, 203000
1402/03/03, 202280, 211000
1402/03/02, 195000, 199490
1402/03/01, 196200, 199920
1402/02/31, 191300, 196740
1402/02/30, 191100, 199970
1402/02/27, 192780, 199500
1402/02/25, 185550, 198330
1402/02/24, 188300, 197370
1402/02/23, 172060, 187320
1402/02/20, 180010, 198850
1402/02/19, 180000, 199500
1402/02/18, 180540, 193800
1402/02/17, 190020, 216900
1402/02/16, 197000, 216880
1402/02/13, 196850, 199200
1402/02/12, 197300, 203000
1402/02/11, 194600, 199900
1402/02/10, 195550, 199950
1402/02/09, 189010, 195100
1402/02/06, 184000, 187500
1402/02/05, 185000, 188500
1402/02/04, 183960, 186550
1402/01/30, 183000, 187970
1402/01/29, 182120, 189200
1402/01/28, 179570, 183450
1402/01/27, 179100, 183500
1402/01/26, 179520, 182100
1402/01/22, 171100, 175600
1402/01/21, 169260, 181510
1402/01/20, 175750, 179480
1402/01/19, 174000, 180990
1402/01/16, 172600, 176900
1402/01/15, 172800, 181990
1402/01/14, 173000, 179990
1402/01/09, 178200, 181880
1402/01/08, 177800, 182490
1402/01/07, 172250, 181000
1402/01/06, 166110, 181600
1402/01/05, 162200, 170740
1401/12/28, 161020, 170000
1401/12/27, 153000, 165270
1401/12/24, 148300, 151870
1401/12/23, 144000, 147330
1401/12/22, 140220, 144870
1401/12/21, 138030, 142700
1401/12/20, 139750, 145900
1401/12/16, 132820, 140230
1401/12/15, 131710, 135500
1401/12/14, 134560, 140550
1401/12/13, 133900, 140100
1401/12/10, 138550, 145980
1401/12/09, 144000, 150990
1401/12/08, 141200, 150590
1401/12/07, 143360, 154440
1401/12/06, 137000, 141380
1401/12/03, 125130, 131010
1401/12/02, 125520, 131360
1401/12/01, 115500, 125450
1401/11/30, 113910, 115640
1401/11/26, 112610, 117000
1401/11/25, 115900, 119410
1401/11/24, 117600, 118750
1401/11/23, 115600, 117500
1401/11/19, 114500, 116800
1401/11/18, 112000, 114500
1401/11/17, 107800, 111350
1401/11/16, 107800, 111000
1401/11/12, 107520, 112200
1401/11/11, 106810, 109990
1401/11/10, 104220, 108800
1401/11/09, 106110, 111200
1401/11/08, 110600, 114490
1401/11/05, 112000, 116800
1401/11/04, 116180, 119190
1401/11/03, 116500, 120900
1401/11/02, 117110, 121100
1401/11/01, 116520, 120100
1401/10/28, 113600, 122000
1401/10/27, 112550, 117400
1401/10/26, 112300, 117000
1401/10/24, 110610, 112800
1401/10/21, 109950, 113640
1401/10/20, 111010, 113500
1401/10/19, 107020, 110200
1401/10/18, 106900, 108690
1401/10/17, 103420, 106280
1401/10/14, 101330, 103750
1401/10/13, 101390, 107300
1401/10/12, 96880, 101110
1401/10/11, 94020, 97400
1401/10/10, 94880, 96890
1401/10/07, 97400, 102120
1401/10/05, 95220, 96640
1401/10/04, 95690, 98340
1401/10/03, 95550, 97890
1401/09/30, 93390, 94100
1401/09/29, 92800, 93980
1401/09/28, 93330, 94700
