date, min_price, max_price
1402/03/03, 6890, 7200
1402/03/02, 6720, 7120
1402/03/01, 6690, 7060
1402/02/31, 6510, 6770
1402/02/30, 6530, 6970
1402/02/27, 6620, 7010
1402/02/25, 6550, 6900
1402/02/24, 6210, 6790
1402/02/23, 6310, 6500
1402/02/20, 6490, 7120
1402/02/19, 6590, 7100
1402/02/18, 6790, 7000
1402/02/17, 7060, 7540
1402/02/16, 7290, 7740
1402/02/13, 7330, 7760
1402/02/12, 7540, 7860
1402/02/11, 7590, 7890
1402/02/10, 7700, 8030
1402/02/09, 7820, 8110
1402/02/06, 7500, 8080
1402/02/05, 7730, 7870
1402/02/04, 7370, 7510
1402/01/30, 6820, 7190
1402/01/29, 6810, 7080
1402/01/28, 6760, 7070
1402/01/27, 6700, 7000
1402/01/26, 6700, 6840
1402/01/22, 6190, 6650
1402/01/21, 6090, 6490
1402/01/20, 6350, 6630
1402/01/19, 6300, 6570
1402/01/16, 6170, 6470
1402/01/15, 6110, 6400
1402/01/14, 6180, 6390
1402/01/09, 6200, 6360
1402/01/08, 6030, 6260
1402/01/07, 5970, 6150
1402/01/06, 5970, 6190
1402/01/05, 5940, 6190
1401/12/28, 5850, 6120
1401/12/27, 5750, 5950
1401/12/24, 5670, 5990
1401/12/23, 5590, 5750
1401/12/22, 5680, 5860
1401/12/21, 5740, 5900
1401/12/20, 5730, 5930
1401/12/16, 5750, 5900
1401/12/15, 5740, 5910
1401/12/14, 5750, 5900
1401/12/13, 5750, 5900
1401/12/10, 5750, 5930
1401/12/09, 5880, 5990
1401/12/08, 5830, 5980
1401/12/07, 5840, 6150
1401/12/06, 5810, 6140
1401/12/03, 5780, 5900
1401/12/02, 5800, 5990
1401/12/01, 5620, 5890
1401/11/30, 5610, 5730
1401/11/26, 5600, 5730
1401/11/25, 5640, 5760
1401/11/24, 5700, 5790
1401/11/23, 5700, 5820
1401/11/19, 5700, 5940
1401/11/18, 5790, 5930
1401/11/17, 5760, 5880
1401/11/16, 5820, 5980
1401/11/12, 5860, 5990
1401/11/11, 5840, 6050
1401/11/10, 5860, 5990
1401/11/09, 5860, 6010
1401/11/08, 5950, 6100
1401/11/05, 6050, 6250
1401/11/04, 6160, 6330
1401/11/03, 6200, 6360
1401/11/02, 6170, 6410
1401/11/01, 6200, 6520
1401/10/28, 6340, 6590
1401/10/27, 6360, 6610
1401/10/26, 6000, 6340
1401/10/24, 5960, 6080
1401/10/21, 5990, 6120
1401/10/20, 5990, 6090
1401/10/19, 5970, 6150
1401/10/18, 5980, 6170
1401/10/17, 5920, 6030
1401/10/14, 5900, 6040
1401/10/13, 5920, 6090
1401/10/12, 6000, 6170
1401/10/11, 5950, 6120
1401/10/10, 5950, 6260
1401/10/07, 6000, 6240
1401/10/05, 6050, 6120
1401/10/04, 5890, 6100
1401/10/03, 5830, 5900
1401/09/30, 5770, 5870
1401/09/29, 5750, 5900
1401/09/28, 5800, 5920
1401/09/27, 5820, 5960
1401/09/26, 5800, 5850
1401/09/23, 5810, 5930
1401/09/22, 5810, 5940
1401/09/21, 5800, 5920
1401/09/20, 5800, 5930
1401/09/19, 5790, 5940
1401/09/16, 5790, 5900
1401/09/15, 5810, 5950
1401/09/14, 5810, 5930
1401/09/13, 5850, 5940
1401/09/12, 5870, 5980
1401/09/09, 5880, 5960
1401/09/08, 5870, 5980
1401/09/07, 5890, 5980
1401/09/06, 5910, 6010
1401/09/05, 5910, 6000
1401/09/02, 5880, 6010
1401/09/01, 5930, 6020
1401/08/30, 5940, 6090
1401/08/29, 5940, 6020
1401/08/28, 5920, 6000
1401/08/25, 5900, 6000
1401/08/24, 5920, 6020
1401/08/23, 5920, 6010
1401/08/22, 5950, 6030
1401/08/21, 5910, 6020
1401/08/18, 5910, 6020
1401/08/17, 5800, 6050
1401/08/16, 5930, 6050
1401/08/15, 5900, 6040
1401/08/14, 5930, 6060
1401/08/11, 5910, 6050
1401/08/10, 5850, 6090
1401/08/09, 5920, 6070
1401/08/08, 5880, 6120
1401/08/07, 5790, 6080
1401/08/04, 5760, 5850
1401/08/03, 5800, 5900
1401/08/02, 5830, 6000
1401/08/01, 5870, 6010
1401/07/30, 5880, 5990
1401/07/27, 5900, 6030
1401/07/26, 5950, 6100
1401/07/25, 5980, 6110
1401/07/24, 6030, 6120
1401/07/23, 5990, 6140
1401/07/20, 6000, 6130
1401/07/19, 5920, 6090
1401/07/18, 5990, 6070
1401/07/17, 5900, 6140
1401/07/16, 5980, 6200
1401/07/12, 5960, 6150
1401/07/11, 5870, 6140
1401/07/10, 5880, 6090
1401/07/09, 5940, 6010
1401/07/06, 5940, 6150
1401/07/04, 5870, 6090
1401/07/02, 5900, 6040
1401/06/30, 5880, 6030
1401/06/29, 5900, 6060
1401/06/28, 5930, 6080
1401/06/27, 5930, 6130
1401/06/23, 5920, 6060
1401/06/22, 5910, 6150
1401/06/21, 5900, 6020
1401/06/20, 5920, 6020
1401/06/19, 5980, 6120
1401/06/16, 6010, 6100
1401/06/15, 6050, 6160
1401/06/14, 6060, 6200
1401/06/13, 6030, 6230
1401/06/12, 6070, 6240
1401/06/09, 6090, 6210
1401/06/08, 6100, 6240
1401/06/07, 6110, 6190
1401/06/06, 6120, 6230
1401/06/05, 6170, 6270
1401/06/02, 6160, 6270
1401/06/01, 6090, 6240
1401/05/31, 6080, 6240
1401/05/30, 6110, 6200
1401/05/29, 6010, 6250
1401/05/26, 6150, 6300
1401/05/25, 6110, 6310
1401/05/24, 6170, 6330
1401/05/23, 6100, 6340
1401/05/22, 6150, 6410
1401/05/19, 6150, 6270
1401/05/18, 6200, 6290
1401/05/15, 6170, 6330
1401/05/12, 6170, 6290
1401/05/11, 6070, 6180
1401/05/10, 6090, 6250
1401/05/09, 6100, 6260
1401/05/08, 6150, 6270
1401/05/05, 6080, 6240
1401/05/04, 6030, 6160
1401/05/03, 6050, 6200
1401/05/02, 6100, 6300
1401/04/26, 6180, 6400
1401/04/25, 6120, 6320
1401/04/22, 6160, 6290
1401/04/21, 6150, 6290
1401/04/20, 6160, 6330
1401/04/18, 6180, 6330
1401/04/15, 6210, 6370
1401/04/14, 6200, 6420
1401/04/13, 6260, 6420
1401/04/12, 6240, 6370
1401/04/11, 6250, 6390
1401/04/08, 6270, 6510
1401/04/07, 6210, 6460
1401/04/06, 6210, 6300
1401/04/05, 6230, 6360
1401/04/04, 6250, 6450
1401/04/01, 6330, 6400
1401/03/31, 6300, 6540
1401/03/30, 6390, 6540
1401/03/29, 6350, 6510
1401/03/28, 6350, 6550
1401/03/25, 6420, 6480
1401/03/24, 6460, 6600
1401/03/23, 6470, 6650
1401/03/22, 6450, 6730
1401/03/21, 6380, 6740
1401/03/18, 6540, 6660
1401/03/17, 6350, 6620
1401/03/16, 6340, 6600
1401/03/11, 6450, 6680
1401/03/10, 6500, 6760
1401/03/09, 6500, 6640
1401/03/08, 6350, 6670
1401/03/07, 6410, 6730
1401/03/04, 6650, 6850
1401/03/03, 6560, 6880
1401/03/02, 6500, 6970
1401/03/01, 6450, 6980
1401/02/31, 6510, 6870
1401/02/28, 6400, 6780
1401/02/27, 6300, 6490
1401/02/26, 6320, 6500
1401/02/25, 6330, 6630
1401/02/24, 6470, 6730
1401/02/21, 6400, 6700
1401/02/20, 6300, 6500
1401/02/19, 6320, 6550
1401/02/18, 6440, 6600
1401/02/17, 6380, 6760
1401/02/12, 6360, 6850
1401/02/11, 6600, 6850
1401/02/10, 6340, 6630
1401/02/07, 6230, 6400
1401/02/06, 6240, 6440
1401/02/05, 6140, 6400
1401/02/04, 6140, 6250
1401/01/31, 6180, 6300
1401/01/30, 6190, 6280
1401/01/29, 6190, 6350
1401/01/28, 6160, 6300
1401/01/27, 6170, 6340
1401/01/24, 6280, 6510
1401/01/23, 6350, 6510
1401/01/22, 6010, 6360
1401/01/21, 5980, 6110
1401/01/20, 6000, 6110
1401/01/17, 6020, 6150
1401/01/16, 6030, 6160
1401/01/15, 6000, 6160
1401/01/14, 6010, 6100
1401/01/10, 5990, 6090
1401/01/09, 6000, 6190
1401/01/08, 6020, 6150
1401/01/07, 6000, 6120
1401/01/06, 6030, 6130
1400/12/28, 6030, 6170
1400/12/25, 6020, 6160
1400/12/24, 6020, 6150
1400/12/23, 6030, 6180
1400/12/22, 6020, 6100
1400/12/21, 6050, 6130
1400/12/18, 6000, 6210
1400/12/17, 6060, 6210
1400/12/16, 6100, 6240
1400/12/15, 6060, 6270
1400/12/14, 6080, 6270
1400/12/11, 6090, 6230
1400/12/09, 6140, 6280
1400/12/08, 6180, 6260
1400/12/07, 6170, 6300
1400/12/04, 6120, 6330
1400/12/03, 6190, 6340
1400/12/02, 6120, 6320
1400/12/01, 6130, 6220
1400/11/30, 6170, 6400
1400/11/27, 6180, 6410
1400/11/25, 6230, 6270
1400/11/24, 6170, 6280
1400/11/23, 6230, 6310
1400/11/20, 6250, 6470
1400/11/19, 6250, 6410
1400/11/18, 6230, 6440
1400/11/17, 6290, 6470
1400/11/16, 6330, 6400
1400/11/13, 6340, 6520
1400/11/12, 6310, 6530
1400/11/11, 6230, 6520
1400/11/10, 6230, 6490
1400/11/09, 6250, 6490
1400/11/06, 6260, 6340
1400/11/05, 6210, 6320
1400/11/04, 6200, 6350
1400/11/03, 5970, 6350
1400/11/02, 6000, 6210
1400/10/29, 5910, 6250
1400/10/28, 5890, 6000
1400/10/27, 5870, 6030
1400/10/26, 5890, 6000
1400/10/25, 5890, 6040
1400/10/22, 5900, 6040
1400/10/21, 5930, 6060
1400/10/20, 5920, 6040
1400/10/19, 5910, 6070
1400/10/18, 5900, 6090
1400/10/15, 5850, 6020
1400/10/14, 5910, 6060
1400/10/13, 5890, 6030
1400/10/12, 5950, 6070
1400/10/11, 5930, 6050
1400/10/08, 6000, 6080
1400/10/07, 6020, 6110
1400/10/06, 6040, 6200
1400/10/05, 6020, 6170
1400/10/04, 6010, 6300
1400/10/01, 6020, 6330
1400/09/30, 6010, 6050
1400/09/29, 6020, 6080
1400/09/28, 6020, 6120
1400/09/27, 6020, 6050
1400/09/24, 6020, 6050
1400/09/23, 6000, 6030
1400/09/22, 5850, 6030
1400/09/21, 6000, 6050
1400/09/20, 6010, 6050
1400/09/17, 6010, 6050
1400/09/16, 6010, 6050
1400/09/15, 6030, 6090
1400/09/14, 6030, 6050
1400/09/13, 6010, 6050
1400/09/10, 6010, 6030
1400/09/09, 6010, 6030
1400/09/08, 6010, 6040
1400/09/07, 6000, 6050
1400/09/06, 5980, 6090
1400/09/03, 6040, 6090
1400/09/02, 6020, 6080
1400/09/01, 6020, 6100
1400/08/30, 6000, 6080
1400/08/29, 5900, 6130
1400/08/26, 6040, 6280
1400/08/25, 5750, 6000
1400/08/24, 5570, 5740
1400/08/23, 5480, 5570
1400/08/22, 5390, 5620
1400/08/19, 5310, 5410
1400/08/18, 5310, 5460
1400/08/17, 5210, 5420
1400/08/16, 5280, 5500
1400/08/15, 5390, 5600
1400/08/12, 5250, 5400
1400/08/11, 5270, 5500
1400/08/10, 5310, 5540
1400/08/09, 5250, 5460
1400/08/08, 5300, 5550
1400/08/05, 5350, 5460
1400/08/04, 5410, 5590
1400/08/03, 5390, 5550
1400/08/01, 5440, 5730
1400/07/28, 5710, 5810
1400/07/27, 5700, 5870
1400/07/26, 5400, 5840
1400/07/25, 5590, 5700
1400/07/24, 5590, 5710
1400/07/21, 5450, 5730
1400/07/20, 5530, 5750
1400/07/19, 5630, 5760
1400/07/18, 5600, 5710
1400/07/17, 5620, 5800
1400/07/14, 5700, 5780
1400/07/12, 5760, 5790
1400/07/11, 5710, 5810
1400/07/10, 5750, 5840
1400/07/07, 5700, 5850
1400/07/06, 5740, 5900
1400/07/04, 5630, 5880
1400/07/03, 5670, 5780
1400/06/31, 5310, 5670
1400/06/30, 5200, 5590
1400/06/29, 5390, 5540
1400/06/28, 5390, 5590
1400/06/27, 5550, 5770
1400/06/24, 5730, 5880
1400/06/23, 5800, 5990
1400/06/22, 5750, 6030
1400/06/20, 5950, 6230
1400/06/17, 6100, 6270
1400/06/16, 5950, 6180
1400/06/15, 6050, 6350
1400/06/14, 5930, 6240
1400/06/13, 5910, 6100
1400/06/10, 5890, 6090
1400/06/09, 5660, 6080
1400/06/08, 5860, 6190
1400/06/07, 5980, 6330
1400/06/06, 6200, 6410
1400/06/03, 5960, 6400
1400/06/02, 6050, 6230
1400/06/01, 5950, 6210
1400/05/31, 5930, 6210
1400/05/24, 5750, 5940
1400/05/23, 5510, 5810
1400/05/20, 5600, 5880
1400/05/19, 5750, 6030
1400/05/18, 5650, 5980
1400/05/17, 5730, 6000
1400/05/16, 5830, 6040
1400/05/13, 5330, 5770
1400/05/12, 5390, 5680
1400/05/11, 5270, 5700
1400/05/10, 5400, 5620
1400/05/09, 5560, 5850
1400/05/06, 5630, 5920
1400/04/28, 5910, 6290
1400/04/27, 6030, 6230
1400/04/26, 5990, 5990
1400/04/23, 5550, 5810
1400/04/22, 5400, 5630
1400/04/21, 5390, 5640
1400/04/20, 5410, 5610
1400/04/19, 5400, 5590
1400/04/16, 5400, 5620
1400/04/15, 5320, 5670
1400/04/14, 5360, 5500
1400/04/13, 5360, 5510
1400/04/12, 5370, 5560
1400/04/09, 5460, 5670
1400/04/08, 5440, 5820
1400/04/07, 5490, 5670
1400/04/06, 5590, 5850
1400/04/05, 5500, 5850
1400/04/02, 5700, 5890
1400/04/01, 5710, 5890
1400/03/31, 5220, 5680
1400/03/30, 5210, 5490
1400/03/29, 5350, 5800
1400/03/26, 5430, 5590
1400/03/25, 5500, 5720
1400/03/24, 5500, 5710
1400/03/23, 5560, 5650
1400/03/22, 5600, 5790
1400/03/19, 5620, 5980
1400/03/18, 5750, 6050
1400/03/12, 5580, 6100
1400/03/11, 5610, 5770
1400/03/10, 5640, 5900
1400/03/09, 5780, 5980
1400/03/08, 5770, 5990
1400/03/05, 5750, 6050
1400/03/04, 5770, 6100
1400/03/03, 5790, 6090
1400/03/02, 5840, 6000
1400/03/01, 5890, 6300
1400/02/29, 5990, 6400
1400/02/28, 5880, 6170
1400/02/27, 5920, 6230
1400/02/26, 5990, 6260
1400/02/25, 6010, 6330
1400/02/22, 6150, 6490
1400/02/21, 6330, 6650
1400/02/20, 6140, 6640
1400/02/19, 6140, 6140
1400/02/18, 6140, 6140
1400/02/15, 6160, 6290
1400/02/13, 6200, 6400
1400/02/12, 6230, 6300
1400/02/11, 6280, 6440
1400/02/08, 6300, 6640
1400/02/07, 6320, 6630
1400/02/06, 6440, 6730
1400/02/05, 6630, 6700
1400/02/04, 6640, 7250
1399/12/19, 80000, 85000
1399/12/18, 78260, 83000
1399/12/17, 78250, 80000
1399/12/16, 79610, 82000
1399/12/13, 80700, 83000
1399/12/12, 77500, 80940
1399/12/11, 75310, 78500
1399/12/10, 75780, 75800
1399/12/09, 75910, 75990
1399/12/06, 76280, 77900
1399/12/05, 76740, 78490
1399/12/04, 77220, 78950
1399/12/03, 77990, 79890
1399/12/02, 78710, 80200
1399/11/29, 78500, 81070
1399/11/28, 78500, 80900
1399/11/27, 78300, 81630
1399/11/26, 79470, 81500
1399/11/25, 80200, 83510
1399/11/21, 80010, 81500
1399/11/20, 78550, 82790
1399/11/19, 79500, 81900
1399/11/18, 77290, 82000
1399/11/15, 78850, 84500
1399/11/14, 80200, 83810
1399/11/13, 79050, 83400
1399/11/12, 80010, 83330
1399/11/11, 76710, 81690
1399/11/08, 76200, 79000
1399/11/07, 77000, 80000
1399/11/06, 76000, 82200
1399/11/05, 76000, 82000
1399/11/04, 77560, 79900
1399/11/01, 74500, 79990
1399/10/30, 77020, 81490
1399/10/29, 77890, 80590
1399/10/27, 80630, 85710
1399/10/24, 84760, 85500
1399/10/23, 84450, 85200
1399/10/22, 84500, 86490
1399/10/21, 84050, 85800
1399/10/20, 82300, 85700
1399/10/17, 84900, 88350
1399/10/16, 84010, 88500
1399/10/15, 85060, 89000
1399/10/14, 84250, 89800
1399/10/13, 84700, 88700
1399/10/10, 87100, 91200
1399/10/09, 87000, 89130
1399/10/08, 83000, 85600
1399/10/07, 78260, 84000
1399/10/06, 80000, 83900
1399/10/03, 81000, 85370
1399/10/02, 80590, 84400
1399/10/01, 80200, 84380
1399/09/30, 79740, 86000
1399/09/29, 81210, 84280
1399/09/26, 77200, 81210
1399/09/25, 76740, 83500
1399/09/24, 79030, 85000
1399/09/23, 82520, 86860
1399/09/22, 84740, 90000
1399/09/19, 82000, 87990
1399/09/18, 83060, 87020
1399/09/17, 87020, 90030
1399/09/16, 90280, 93900
1399/09/15, 93220, 97550
1399/09/12, 93400, 97350
1399/09/11, 94030, 98300
1399/09/10, 96470, 101290
1399/09/09, 96470, 96470
1399/09/08, 86560, 93670
1399/09/05, 85000, 90200
1399/09/04, 85380, 93990
1399/09/03, 86680, 91000
1399/09/02, 86670, 86670
1399/09/01, 82000, 82550
1399/08/28, 77520, 81880
1399/08/27, 81020, 85270
1399/08/26, 84010, 87550
1399/08/25, 86000, 90690
1399/08/24, 88000, 91510
1399/08/21, 87500, 92980
1399/08/20, 89000, 91460
1399/08/19, 87140, 90640
1399/08/18, 83940, 88790
1399/08/17, 85900, 90300
1399/08/14, 86010, 93340
1399/08/12, 84760, 91500
1399/08/11, 86400, 91000
1399/08/10, 89650, 92980
1399/08/07, 86960, 90670
1399/08/06, 85340, 87400
1399/08/05, 80300, 85490
1399/08/03, 81430, 86800
1399/07/30, 83000, 87150
1399/07/27, 76000, 83050
1399/07/23, 80100, 80100
1399/07/22, 77630, 77630
1399/07/21, 71500, 74240
1399/07/20, 69460, 73080
1399/07/19, 71500, 76500
1399/07/16, 74310, 76660
1399/07/15, 74030, 79990
1399/07/14, 74500, 81500
1399/07/13, 75050, 78490
1399/07/12, 74760, 74760
1399/07/09, 71200, 71200
1399/07/08, 65000, 67870
1399/07/07, 60800, 67200
1399/06/29, 74020, 76530
1399/06/26, 70000, 75500
1399/06/25, 66550, 73550
1399/06/24, 70110, 70110
1399/06/23, 66780, 66780
1399/06/22, 63600, 63600
1399/06/19, 58410, 60710
1399/06/18, 55340, 58300
1399/06/17, 56310, 60000
1399/06/16, 58290, 60400
1399/06/15, 57530, 59470
1399/06/12, 54550, 57400
1399/06/11, 57080, 60000
1399/06/10, 58350, 63000
1399/06/05, 58900, 61710
1399/06/04, 56420, 59150
1399/06/03, 54640, 58700
1399/06/02, 55670, 58590
1399/06/01, 56210, 61000
1399/05/29, 57520, 61000
1399/05/28, 58650, 63000
1399/05/27, 56000, 61540
1399/05/26, 56860, 62540
1399/05/25, 59350, 61250
1399/05/22, 61010, 64970
1399/05/21, 59500, 65220
1399/05/20, 62000, 64000
1399/05/19, 62300, 66090
1399/05/15, 62950, 62950
1399/05/14, 56280, 61070
1399/05/13, 56700, 59520
1399/05/12, 53790, 59450
1399/05/11, 55200, 57030
1399/05/08, 53160, 56000
1399/05/07, 54100, 56900
1399/05/06, 53000, 58220
1399/05/05, 54620, 57000
1399/05/04, 55200, 59230
1399/05/01, 56980, 60090
1399/04/31, 59830, 61450
1399/04/30, 61250, 65000
1399/04/29, 62000, 66980
1399/04/28, 62300, 65000
1399/04/25, 57590, 63650
1399/04/24, 59120, 63390
1399/04/23, 58530, 64100
1399/04/22, 58900, 62970
1399/04/21, 58810, 64790
1399/04/18, 59980, 63200
1399/04/17, 61610, 67000
1399/04/16, 62900, 68350
1399/04/14, 56310, 62220
