date, min_price, max_price
1402/03/03, 11028, 11029
1402/03/02, 11013, 11014
1402/03/01, 11006, 11007
1402/02/31, 10999, 11000
1402/02/30, 10992, 10993
1402/02/27, 10980, 10981
1402/02/25, 10964, 10965
1402/02/24, 10949, 10950
1402/02/23, 10942, 10943
1402/02/20, 10928, 10929
1402/02/19, 10916, 10918
1402/02/18, 10908, 10909
1402/02/17, 10900, 10901
1402/02/16, 10893, 10894
1402/02/13, 10879, 10880
1402/02/12, 10867, 10868
1402/02/11, 10859, 10860
1402/02/10, 10851, 10853
1402/02/09, 10842, 10843
1402/02/06, 10828, 10829
1402/02/05, 10816, 10817
1402/02/04, 10808, 10809
1402/01/30, 10781, 10782
1402/01/29, 10769, 10770
1402/01/28, 10761, 10762
1402/01/27, 10753, 10754
1402/01/26, 10745, 10746
1402/01/22, 10733, 10734
1402/01/21, 10718, 10719
1402/01/20, 10708, 10710
1402/01/19, 10698, 10699
1402/01/16, 10678, 10679
1402/01/15, 10671, 10673
1402/01/14, 10664, 10665
1402/01/09, 10644, 10646
1402/01/08, 10623, 10624
1402/01/07, 10616, 10617
1402/01/05, 10603, 10604
1401/12/28, 10580, 10582
1401/12/27, 10554, 10557
1401/12/24, 10541, 10543
1401/12/23, 10528, 10529
1401/12/22, 10521, 10522
1401/12/21, 10515, 10516
1401/12/20, 10508, 10509
1401/12/16, 10490, 10491
1401/12/15, 10473, 10474
1401/12/14, 10466, 10467
1401/12/13, 10460, 10462
1401/12/10, 10448, 10450
1401/12/09, 10436, 10437
1401/12/08, 10429, 10431
1401/12/07, 10419, 11459
1401/12/06, 10413, 10600
1401/12/03, 10390, 10400
1401/12/02, 10376, 10499
1401/12/01, 10369, 10377
1401/11/30, 10363, 10450
1401/11/26, 10337, 11349
1401/11/25, 10318, 10550
1401/10/05, 10000, 10000
1401/10/04, 10000, 10000
1401/10/03, 10000, 10000
