date, min_price, max_price
1402/03/03, 2909, 3044
1402/03/02, 2933, 3170
1402/03/01, 2917, 3127
1402/02/31, 2880, 3020
1402/02/30, 2834, 3031
1402/02/27, 2690, 2879
1402/02/25, 2590, 2852
1402/02/24, 2560, 2840
1402/02/23, 2687, 2770
1402/02/20, 2777, 3143
1402/02/19, 2966, 3100
1402/02/18, 3159, 3159
1402/02/17, 3388, 3520
1402/02/16, 3501, 3750
1402/02/13, 3339, 3709
1402/02/12, 3350, 3505
1402/02/11, 3098, 3292
1402/02/10, 2941, 3180
1402/02/09, 3053, 3200
1402/02/06, 2937, 3176
1402/02/05, 3123, 3390
1402/02/04, 3159, 3555
1402/01/30, 3220, 3400
1402/01/29, 3178, 3178
1402/01/28, 2750, 3059
1402/01/27, 2850, 2859
1402/01/26, 2672, 2672
1402/01/22, 2403, 2570
1402/01/21, 2352, 2402
1402/01/19, 2325, 2325
1402/01/16, 2080, 2186
1402/01/15, 2000, 2043
1402/01/14, 1754, 1951
1402/01/09, 1824, 1824
1402/01/08, 1681, 1705
1402/01/07, 1491, 1638
1402/01/06, 1491, 1570
1402/01/05, 1520, 1588
1401/12/28, 1482, 1594
1401/12/27, 1480, 1566
1401/12/24, 1396, 1491
1401/12/23, 1381, 1429
1401/12/22, 1377, 1426
1401/12/21, 1380, 1420
1401/12/20, 1442, 1512
1401/12/16, 1439, 1511
1401/12/15, 1318, 1478
1401/12/13, 1401, 1458
1401/12/10, 1406, 1483
1401/12/09, 1420, 1475
1401/12/08, 1392, 1479
1401/12/07, 1420, 1541
1401/12/06, 1401, 1445
1401/12/03, 1323, 1385
1401/12/02, 1351, 1418
1401/12/01, 1300, 1372
1401/11/30, 1259, 1309
1401/11/26, 1255, 1300
1401/11/25, 1266, 1338
1401/11/24, 1245, 1295
1401/11/23, 1240, 1289
1401/11/19, 1271, 1324
1401/11/18, 1267, 1324
1401/11/17, 1198, 1278
1401/11/16, 1256, 1363
1401/11/12, 1313, 1407
1401/11/11, 1303, 1367
1401/11/10, 1202, 1320
1401/11/09, 1268, 1360
1401/11/08, 1338, 1430
1401/11/05, 1381, 1483
1401/11/04, 1442, 1493
1401/11/03, 1431, 1557
1401/11/02, 1452, 1569
1401/11/01, 1510, 1638
1401/10/28, 1607, 1658
1401/10/27, 1600, 1692
1401/10/26, 1552, 1622
1401/10/24, 1480, 1564
1401/10/21, 1505, 1600
1401/10/20, 1523, 1619
1401/10/19, 1450, 1553
1401/10/18, 1412, 1485
1401/10/17, 1383, 1440
1401/10/14, 1371, 1405
1401/10/13, 1382, 1440
1401/10/12, 1381, 1434
1401/10/11, 1370, 1445
1401/10/10, 1385, 1458
1401/10/07, 1451, 1510
1401/10/05, 1377, 1440
1401/10/04, 1403, 1455
1401/10/03, 1418, 1459
