date, min_price, max_price
1402/03/03, 12420, 13440
1402/03/02, 12220, 12380
1402/03/01, 12180, 12400
1402/02/31, 12120, 12340
1402/02/30, 12160, 12530
1402/02/27, 12180, 12540
1402/02/25, 12100, 12510
1402/02/24, 12140, 12630
1402/02/23, 11670, 12150
1402/02/20, 11900, 12880
1402/02/19, 11600, 12660
1402/02/18, 11610, 12390
1402/02/17, 12460, 13520
1402/02/16, 13260, 13500
1402/02/13, 13270, 13560
1402/02/12, 13270, 13600
1402/02/11, 13080, 13530
1402/02/10, 13250, 13530
1402/02/09, 13190, 13660
1402/02/06, 12270, 12910
1402/02/05, 12150, 12520
1402/02/04, 11950, 12160
1402/01/30, 12010, 12180
1402/01/29, 12000, 12300
1402/01/28, 11910, 12100
1402/01/27, 11900, 12160
1402/01/26, 11910, 12130
1402/01/22, 11430, 11810
1402/01/21, 11460, 12140
1402/01/20, 11900, 12100
1402/01/19, 11600, 12180
1402/01/16, 11170, 11740
1402/01/15, 11220, 11570
1402/01/14, 10700, 11220
1402/01/09, 10980, 11380
1402/01/08, 10860, 11120
1402/01/07, 10700, 10980
1402/01/06, 10710, 11210
1402/01/05, 10700, 10960
1401/12/28, 10600, 10950
1401/12/27, 10500, 10930
1401/12/24, 10130, 10440
1401/12/23, 10000, 10100
1401/12/22, 9890, 10120
1401/12/21, 9830, 10050
1401/12/20, 10060, 10270
1401/12/16, 10160, 10370
1401/12/15, 10040, 10210
1401/12/14, 10080, 10600
1401/12/13, 10310, 10890
1401/12/10, 10720, 11710
1401/12/09, 10150, 11120
1401/12/08, 10000, 10200
1401/12/07, 10060, 10090
1401/11/26, 10000, 10000
1401/11/25, 10000, 10000
1401/11/24, 10000, 10000
1401/11/23, 10000, 10000
